Date,RFMD
2010-10-12,6.7
2010-10-11,6.4
2010-10-08,6.45
2010-10-07,6.35
2010-10-06,6.1
2010-10-05,6.18
2010-10-04,5.96
2010-10-01,6.13
2010-09-30,6.14
2010-09-29,6.08
2010-09-28,6.15
2010-09-27,5.8
2010-09-24,5.85
2010-09-23,5.55
2010-09-22,6.0
2010-09-21,5.77
2010-09-20,5.82
2010-09-17,5.66
2010-09-16,5.47
2010-09-15,5.39
2010-09-14,5.53
2010-09-13,5.42
2010-09-10,5.25
2010-09-09,5.4
2010-09-08,5.4
2010-09-07,5.17
2010-09-03,5.43
2010-09-02,5.24
2010-09-01,5.14
2010-08-31,4.88
2010-08-30,4.82
2010-08-27,5.01
2010-08-26,4.83
2010-08-25,4.95
2010-08-24,5.12
2010-08-23,4.7
2010-08-20,4.67
2010-08-19,4.61
2010-08-18,4.57
2010-08-17,4.31
2010-08-16,4.18
2010-08-13,4.04
2010-08-12,4.14
2010-08-11,4.25
2010-08-10,4.41
2010-08-09,4.53
2010-08-06,4.4
2010-08-05,4.44
2010-08-04,4.46
2010-08-03,4.35
2010-08-02,4.32
2010-07-30,4.17
2010-07-29,4.2
2010-07-28,4.31
2010-07-27,4.44
2010-07-26,4.49
2010-07-23,4.23
2010-07-22,4.21
2010-07-21,4.0
2010-07-20,3.92
2010-07-19,3.96
2010-07-16,3.9
2010-07-15,4.06
2010-07-14,4.2
2010-07-13,4.26
2010-07-12,4.2
2010-07-09,4.06
2010-07-08,3.93
2010-07-07,3.84
2010-07-06,3.76
2010-07-01,3.98
2010-06-30,3.96
2010-06-29,4.11
2010-06-28,4.26
2010-06-25,4.3
2010-06-24,4.33
2010-06-23,4.44
2010-06-22,4.43
2010-06-21,4.64
2010-06-18,4.69
2010-06-17,4.66
2010-06-16,4.67
2010-06-15,4.62
2010-06-14,4.49
2010-06-11,4.45
2010-06-10,4.27
2010-06-09,4.3
2010-06-08,4.41
2010-06-07,4.43
2010-06-04,4.62
2010-06-03,4.76
2010-06-02,4.85
2010-06-01,4.72
2010-05-28,4.8
2010-05-27,4.97
2010-05-26,4.92
2010-05-25,4.81
2010-05-24,4.47
2010-05-20,4.66
2010-05-19,4.72
2010-05-18,4.92
2010-05-17,5.22
2010-05-14,5.14
2010-05-13,5.17
2010-05-12,5.31
2010-05-11,5.28
2010-05-10,5.22
2010-05-07,5.08
2010-05-06,5.06
2010-05-05,5.43
2010-05-04,5.4
2010-05-03,5.79
2010-04-30,5.64
2010-04-29,5.87
2010-04-28,5.98
2010-04-27,5.85
2010-04-26,5.64
2010-04-23,5.43
2010-04-22,5.4
2010-04-21,5.18
2010-04-20,5.65
2010-04-19,5.49
2010-04-16,5.49
2010-04-15,5.41
2010-04-14,5.67
2010-04-13,5.43
2010-04-12,5.29
2010-04-09,5.22
2010-04-08,5.21
2010-04-07,5.14
2010-04-06,5.06
2010-04-05,5.07
2010-04-01,5.03
2010-03-31,5.04
2010-03-30,5.0
2010-03-29,5.05
2010-03-26,5.03
2010-03-25,5.16
2010-03-24,5.24
2010-03-23,5.19
2010-03-22,5.16
2010-03-19,4.95
2010-03-18,5.07
2010-03-17,5.21
2010-03-16,5.03
2010-03-15,4.86
2010-03-12,4.91
2010-03-11,4.72
2010-03-10,4.81
2010-03-09,4.88
2010-03-08,4.97
2010-03-05,4.81
2010-03-04,4.7
2010-03-03,4.55
2010-03-02,4.56
2010-03-01,4.26
2010-02-26,4.21
2010-02-25,4.34
2010-02-24,4.38
2010-02-23,4.32
2010-02-22,4.39
2010-02-19,4.39
2010-02-18,4.39
2010-02-17,4.35
2010-02-16,4.1
2010-02-12,4.05
2010-02-11,4.06
2010-02-10,4.05
2010-02-09,4.01
2010-02-08,3.98
2010-02-05,4.01
2010-02-04,3.87
2010-02-03,4.1
2010-02-02,4.11
2010-02-01,3.99
2010-01-29,3.87
2010-01-28,4.01
2010-01-27,4.1
2010-01-26,4.28
2010-01-25,4.21
2010-01-22,4.05
2010-01-21,4.26
2010-01-20,4.37
2010-01-19,4.38
2010-01-15,4.28
2010-01-14,4.39
2010-01-13,4.51
2010-01-12,4.55
2010-01-11,4.76
2010-01-08,4.76
2010-01-07,4.76
2010-01-06,4.76
2010-01-05,4.89
2010-01-04,4.96
2009-12-31,4.78
2009-12-30,4.88
2009-12-29,4.87
2009-12-28,4.87
2009-12-24,4.95
2009-12-23,5.0
2009-12-22,5.0
2009-12-21,4.86
