TAP,Date
44.53395462036133,2021-09-28
44.37452697753906,2021-09-29
43.4930419921875,2021-09-30
44.19635772705078,2021-10-01
44.646480560302734,2021-10-04
45.246639251708984,2021-10-05
44.37452697753906,2021-10-06
44.25262451171875,2021-10-07
43.85877227783203,2021-10-08
42.996036529541016,2021-10-11
42.92101287841797,2021-10-12
42.939762115478516,2021-10-13
43.44615936279297,2021-10-14
42.78034973144531,2021-10-15
42.170814514160156,2021-10-18
42.16143035888672,2021-10-19
42.51778030395508,2021-10-20
41.68317794799805,2021-10-21
41.673797607421875,2021-10-22
41.0361328125,2021-10-25
40.839202880859375,2021-10-26
40.904842376708984,2021-10-27
41.129905700683594,2021-10-28
41.345584869384766,2021-10-29
42.36773681640625,2021-11-01
42.77097702026367,2021-11-02
43.93378448486328,2021-11-03
43.33362579345703,2021-11-04
43.7087287902832,2021-11-05
43.221099853515625,2021-11-08
42.84599304199219,2021-11-09
43.17421340942383,2021-11-10
44.39328384399414,2021-11-11
44.63710021972656,2021-11-12
46.14689254760742,2021-11-15
45.22789001464844,2021-11-16
44.7496337890625,2021-11-17
43.624324798583984,2021-11-18
43.05229568481445,2021-11-19
44.515193939208984,2021-11-22
44.759010314941406,2021-11-23
44.318267822265625,2021-11-24
42.761592864990234,2021-11-26
42.50839614868164,2021-11-29
41.673797607421875,2021-11-30
41.242435455322266,2021-12-01
42.886844635009766,2021-12-02
43.23651123046875,2021-12-03
44.26662826538086,2021-12-06
44.1248664855957,2021-12-07
43.57673263549805,2021-12-08
43.066402435302734,2021-12-09
43.69014358520508,2021-12-10
43.49167251586914,2021-12-13
43.34991455078125,2021-12-14
42.45210647583008,2021-12-15
42.52771759033203,2021-12-16
42.282005310058594,2021-12-17
40.99671936035156,2021-12-20
42.09298324584961,2021-12-21
42.20639419555664,2021-12-22
43.085304260253906,2021-12-23
43.17035675048828,2021-12-27
43.25541305541992,2021-12-28
43.4255256652832,2021-12-29
43.378273010253906,2021-12-30
43.80354690551758,2021-12-31
44.74860382080078,2022-01-03
46.21345520019531,2022-01-04
46.695438385009766,2022-01-05
47.045101165771484,2022-01-06
47.85785675048828,2022-01-07
46.582027435302734,2022-01-10
46.54422378540039,2022-01-11
45.91102981567383,2022-01-12
47.517635345458984,2022-01-13
48.85017013549805,2022-01-14
48.8123664855957,2022-01-18
47.47983169555664,2022-01-19
46.65762710571289,2022-01-20
45.948829650878906,2022-01-21
47.12071228027344,2022-01-24
47.4609260559082,2022-01-25
45.722015380859375,2022-01-26
45.51410675048828,2022-01-27
45.56135940551758,2022-01-28
45.04157257080078,2022-01-31
45.5897102355957,2022-02-01
45.84487533569336,2022-02-02
46.13784408569336,2022-02-03
45.08882141113281,2022-02-04
44.83366394042969,2022-02-07
45.74092483520508,2022-02-08
46.40245819091797,2022-02-09
46.52531814575195,2022-02-10
47.0545539855957,2022-02-11
46.695438385009766,2022-02-14
46.79938888549805,2022-02-15
46.723777770996094,2022-02-16
46.07168960571289,2022-02-17
46.307960510253906,2022-02-18
45.92047882080078,2022-02-22
48.01851272583008,2022-02-23
46.70487976074219,2022-02-24
50.01259231567383,2022-02-25
49.3132438659668,2022-02-28
47.63104248046875,2022-03-01
48.39653778076172,2022-03-02
48.31148147583008,2022-03-03
48.43526077270508,2022-03-04
49.09223556518555,2022-03-07
49.46357727050781,2022-03-08
49.968204498291016,2022-03-09
47.93062973022461,2022-03-10
48.387657165527344,2022-03-11
48.37812805175781,2022-03-14
48.416221618652344,2022-03-15
49.63495635986328,2022-03-16
49.882511138916016,2022-03-17
50.425228118896484,2022-03-18
50.13007354736328,2022-03-21
50.349063873291016,2022-03-22
49.987247467041016,2022-03-23
50.38714599609375,2022-03-24
51.37736511230469,2022-03-25
50.796566009521484,2022-03-28
51.48210525512695,2022-03-29
51.70109558105469,2022-03-30
50.82513427734375,2022-03-31
49.91107177734375,2022-04-01
49.57782745361328,2022-04-04
48.93037033081055,2022-04-05
48.33052444458008,2022-04-06
48.07345199584961,2022-04-07
49.09223556518555,2022-04-08
50.310970306396484,2022-04-11
51.10124588012695,2022-04-12
51.69157791137695,2022-04-13
52.948394775390625,2022-04-14
52.96744155883789,2022-04-18
53.19594955444336,2022-04-19
54.06239700317383,2022-04-20
53.19594955444336,2022-04-21
51.19646072387695,2022-04-22
51.83439254760742,2022-04-25
51.57732009887695,2022-04-26
51.63444519042969,2022-04-27
