STCN,Date
59.48340606689453,2003-03-11
59.48340606689453,2003-03-12
57.8757438659668,2003-03-13
58.67957305908203,2003-03-14
59.48340606689453,2003-03-17
64.30638122558594,2003-03-18
67.5217056274414,2003-03-19
72.34468078613281,2003-03-20
74.75617218017578,2003-03-21
65.11021423339844,2003-03-24
67.5217056274414,2003-03-25
68.3255386352539,2003-03-26
67.5217056274414,2003-03-27
66.7178726196289,2003-03-28
61.8948974609375,2003-03-31
65.11021423339844,2003-04-01
67.5217056274414,2003-04-02
69.12936401367188,2003-04-03
67.5217056274414,2003-04-04
71.54085540771484,2003-04-07
67.5217056274414,2003-04-08
68.3255386352539,2003-04-09
67.5217056274414,2003-04-10
66.7178726196289,2003-04-11
65.11021423339844,2003-04-14
65.91404724121094,2003-04-15
66.7178726196289,2003-04-16
68.3255386352539,2003-04-17
66.7178726196289,2003-04-21
69.93318939208984,2003-04-22
76.36383056640625,2003-04-23
74.75617218017578,2003-04-24
76.36383056640625,2003-04-25
82.79447174072266,2003-04-28
81.99063873291016,2003-04-29
79.57915496826172,2003-04-30
75.55999755859375,2003-05-01
83.59829711914062,2003-05-02
86.8136215209961,2003-05-05
87.61744689941406,2003-05-06
99.67489624023438,2003-05-07
91.6365966796875,2003-05-08
84.40213012695312,2003-05-09
81.99063873291016,2003-05-12
86.8136215209961,2003-05-13
87.61744689941406,2003-05-14
90.83277130126953,2003-05-15
96.45957946777344,2003-05-16
89.22510528564453,2003-05-19
91.6365966796875,2003-05-20
90.83277130126953,2003-05-21
93.2442626953125,2003-05-22
104.49787902832031,2003-05-23
114.14383697509766,2003-05-27
106.10552978515625,2003-05-28
110.12468719482422,2003-05-29
112.53617858886719,2003-05-30
114.9476547241211,2003-06-02
114.9476547241211,2003-06-03
116.5553207397461,2003-06-04
122.18213653564453,2003-06-05
124.5936279296875,2003-06-06
121.37830352783203,2003-06-09
125.39745330810547,2003-06-10
122.18213653564453,2003-06-11
122.18213653564453,2003-06-12
106.90936279296875,2003-06-13
108.51702117919922,2003-06-16
104.49787902832031,2003-06-17
106.10552978515625,2003-06-18
105.30171203613281,2003-06-19
106.10552978515625,2003-06-20
102.89021301269531,2003-06-23
101.28255462646484,2003-06-24
102.08638763427734,2003-06-25
104.49787902832031,2003-06-26
106.90936279296875,2003-06-27
121.37830352783203,2003-06-30
121.37830352783203,2003-07-01
123.789794921875,2003-07-02
119.77063751220703,2003-07-03
122.9859619140625,2003-07-07
121.37830352783203,2003-07-08
125.39745330810547,2003-07-09
119.77063751220703,2003-07-10
121.37830352783203,2003-07-11
159.96214294433594,2003-07-14
165.5889434814453,2003-07-15
160.76596069335938,2003-07-16
146.29702758789062,2003-07-17
151.1199951171875,2003-07-18
143.88552856445312,2003-07-21
148.70852661132812,2003-07-22
144.68936157226562,2003-07-23
143.0817108154297,2003-07-24
138.25872802734375,2003-07-25
141.4740447998047,2003-07-28
139.8663787841797,2003-07-29
140.6702117919922,2003-07-30
143.88552856445312,2003-07-31
141.4740447998047,2003-08-01
132.6319122314453,2003-08-04
127.0051040649414,2003-08-05
116.5553207397461,2003-08-06
120.57447052001953,2003-08-07
121.37830352783203,2003-08-08
122.9859619140625,2003-08-11
128.61276245117188,2003-08-12
131.02426147460938,2003-08-13
135.0434112548828,2003-08-14
131.82809448242188,2003-08-15
135.0434112548828,2003-08-18
135.0434112548828,2003-08-19
131.02426147460938,2003-08-20
128.61276245117188,2003-08-21
123.789794921875,2003-08-22
122.18213653564453,2003-08-25
121.37830352783203,2003-08-26
122.9859619140625,2003-08-27
124.5936279296875,2003-08-28
123.789794921875,2003-08-29
127.8089370727539,2003-09-02
132.6319122314453,2003-09-03
134.2395782470703,2003-09-04
130.22042846679688,2003-09-05
134.2395782470703,2003-09-08
141.4740447998047,2003-09-09
132.6319122314453,2003-09-10
138.25872802734375,2003-09-11
137.4549102783203,2003-09-12
140.6702117919922,2003-09-15
146.29702758789062,2003-09-16
143.0817108154297,2003-09-17
143.88552856445312,2003-09-18
140.6702117919922,2003-09-19
139.0625457763672,2003-09-22
139.0625457763672,2003-09-23
133.4357452392578,2003-09-24
126.20128631591797,2003-09-25
124.5936279296875,2003-09-26
130.22042846679688,2003-09-29
124.5936279296875,2003-09-30
128.61276245117188,2003-10-01
128.61276245117188,2003-10-02
136.6510772705078,2003-10-03
135.8472442626953,2003-10-06
139.0625457763672,2003-10-07
135.8472442626953,2003-10-08
140.6702117919922,2003-10-09
139.0625457763672,2003-10-10
137.4549102783203,2003-10-13
139.0625457763672,2003-10-14
134.2395782470703,2003-10-15
139.8663787841797,2003-10-16
138.25872802734375,2003-10-17
139.0625457763672,2003-10-20
142.2778778076172,2003-10-21
136.6510772705078,2003-10-22
132.6319122314453,2003-10-23
127.8089370727539,2003-10-24
133.4357452392578,2003-10-27
135.8472442626953,2003-10-28
139.0625457763672,2003-10-29
134.2395782470703,2003-10-30
151.1199951171875,2003-10-31
163.9812774658203,2003-11-03
152.7276611328125,2003-11-04
151.923828125,2003-11-05
158.35447692871094,2003-11-06
166.39276123046875,2003-11-07
163.1774444580078,2003-11-10
159.15830993652344,2003-11-11
169.60809326171875,2003-11-12
164.7851104736328,2003-11-13
170.41192626953125,2003-11-14
162.37362670898438,2003-11-17
158.35447692871094,2003-11-18
162.37362670898438,2003-11-19
157.55064392089844,2003-11-20
155.13914489746094,2003-11-21
151.1199951171875,2003-11-24
155.13914489746094,2003-11-25
156.74681091308594,2003-11-26
170.41192626953125,2003-11-28
166.39276123046875,2003-12-01
167.19659423828125,2003-12-02
161.56979370117188,2003-12-03
170.41192626953125,2003-12-04
165.5889434814453,2003-12-05
167.19659423828125,2003-12-08
156.74681091308594,2003-12-09
151.923828125,2003-12-10
159.96214294433594,2003-12-11
155.94297790527344,2003-12-12
149.51234436035156,2003-12-15
144.68936157226562,2003-12-16
146.29702758789062,2003-12-17
147.10086059570312,2003-12-18
144.68936157226562,2003-12-19
146.29702758789062,2003-12-22
146.29702758789062,2003-12-23
143.88552856445312,2003-12-24
143.0817108154297,2003-12-26
146.29702758789062,2003-12-29
145.49319458007812,2003-12-30
143.0817108154297,2003-12-31
145.49319458007812,2004-01-02
165.5889434814453,2004-01-05
161.56979370117188,2004-01-06
163.1774444580078,2004-01-07
167.19659423828125,2004-01-08
161.56979370117188,2004-01-09
213.8187255859375,2004-01-12
189.70382690429688,2004-01-13
204.9766082763672,2004-01-14
217.03404235839844,2004-01-15
217.03404235839844,2004-01-16
220.24937438964844,2004-01-20
245.971923828125,2004-01-21
249.187255859375,2004-01-22
239.54127502441406,2004-01-23
240.34512329101562,2004-01-26
