SPY,Date
55.92082595825195,2002-08-05
57.803279876708984,2002-08-06
58.81131362915039,2002-08-07
60.71382522583008,2002-08-08
60.9408073425293,2002-08-09
60.49355697631836,2002-08-12
59.39207458496094,2002-08-13
61.56161117553711,2002-08-14
62.41608428955078,2002-08-15
62.22915267944336,2002-08-16
63.684444427490234,2002-08-19
63.01020812988281,2002-08-20
63.918094635009766,2002-08-21
64.53890228271484,2002-08-22
63.15040588378906,2002-08-23
63.59097671508789,2002-08-26
62.85668182373047,2002-08-27
61.48153305053711,2002-08-28
61.50823211669922,2002-08-29
61.26787567138672,2002-08-30
58.93148422241211,2002-09-03
59.77260208129883,2002-09-04
59.265262603759766,2002-09-05
60.07963943481445,2002-09-06
60.52024459838867,2002-09-09
61.2144889831543,2002-09-10
60.834007263183594,2002-09-11
59.71251678466797,2002-09-12
59.85934829711914,2002-09-13
60.006229400634766,2002-09-16
58.63105773925781,2002-09-17
58.04362869262695,2002-09-18
56.541648864746094,2002-09-19
56.560420989990234,2002-09-20
56.09775161743164,2002-09-23
55.19252014160156,2002-09-24
56.560420989990234,2002-09-25
57.485774993896484,2002-09-26
55.487548828125,2002-09-27
54.84381866455078,2002-09-30
57.47905731201172,2002-10-01
55.75577163696289,2002-10-02
55.19252014160156,2002-10-03
54.17998504638672,2002-10-04
53.06016159057617,2002-10-07
53.89164733886719,2002-10-08
52.36953353881836,2002-10-09
54.065982818603516,2002-10-10
56.433006286621094,2002-10-11
56.748172760009766,2002-10-14
59.47726058959961,2002-10-15
58.03559875488281,2002-10-16
59.18895721435547,2002-10-17
59.43708038330078,2002-10-18
60.46297073364258,2002-10-21
60.02711486816406,2002-10-22
60.48311233520508,2002-10-23
59.2492790222168,2002-10-24
60.48311233520508,2002-10-25
60.087459564208984,2002-10-28
59.390132904052734,2002-10-29
59.96677780151367,2002-10-30
59.35655975341797,2002-10-31
60.5300407409668,2002-11-01
61.10669708251953,2002-11-04
61.589500427246094,2002-11-05
62.3874397277832,2002-11-06
60.85860061645508,2002-11-07
60.11429977416992,2002-11-08
59.182254791259766,2002-11-11
59.651641845703125,2002-11-12
59.711952209472656,2002-11-13
60.838478088378906,2002-11-14
61.287750244140625,2002-11-15
60.67085266113281,2002-11-18
60.59040069580078,2002-11-19
61.938201904296875,2002-11-20
63.09148406982422,2002-11-21
62.64223861694336,2002-11-22
62.6825065612793,2002-11-25
61.488929748535156,2002-11-26
63.21893310546875,2002-11-27
63.01774597167969,2002-11-29
63.11834716796875,2002-12-02
62.273460388183594,2002-12-03
61.9918327331543,2002-12-04
61.3078727722168,2002-12-05
61.71019744873047,2002-12-06
60.01371383666992,2002-12-09
60.81840515136719,2002-12-10
60.87202453613281,2002-12-11
60.86534118652344,2002-12-12
59.90641784667969,2002-12-13
61.45539855957031,2002-12-16
60.91898727416992,2002-12-17
60.21487045288086,2002-12-18
59.78571701049805,2002-12-19
60.63880920410156,2002-12-20
60.659027099609375,2002-12-23
60.20753479003906,2002-12-24
60.234493255615234,2002-12-26
58.88007354736328,2002-12-27
59.37199020385742,2002-12-30
59.45283508300781,2002-12-31
61.36655044555664,2003-01-02
61.55523681640625,2003-01-03
62.64015579223633,2003-01-06
62.48509216308594,2003-01-07
61.58218002319336,2003-01-08
62.53902816772461,2003-01-09
62.70748519897461,2003-01-10
62.687286376953125,2003-01-13
62.88943099975586,2003-01-14
62.26276397705078,2003-01-15
62.00669860839844,2003-01-16
61.09029769897461,2003-01-17
60.14017868041992,2003-01-21
59.41240692138672,2003-01-22
59.77630615234375,2003-01-23
58.20625686645508,2003-01-24
57.4111442565918,2003-01-27
57.83563232421875,2003-01-28
58.27364730834961,2003-01-29
56.89226150512695,2003-01-30
57.99063491821289,2003-01-31
58.10516357421875,2003-02-03
57.53242492675781,2003-02-04
57.17526626586914,2003-02-05
56.90571594238281,2003-02-06
56.211669921875,2003-02-07
56.609249114990234,2003-02-10
56.21839904785156,2003-02-11
55.322208404541016,2003-02-12
55.490684509277344,2003-02-13
56.7036018371582,2003-02-14
57.700843811035156,2003-02-18
57.397674560546875,2003-02-19
56.824867248535156,2003-02-20
57.397674560546875,2003-02-21
56.46773147583008,2003-02-24
56.91920471191406,2003-02-25
56.090396881103516,2003-02-26
56.83161163330078,2003-02-27
57.20896530151367,2003-02-28
56.66313171386719,2003-03-03
55.76024627685547,2003-03-04
56.231903076171875,2003-03-05
55.76024627685547,2003-03-06
56.144309997558594,2003-03-07
54.796607971191406,2003-03-10
54.25756072998047,2003-03-11
54.621421813964844,2003-03-12
56.5081901550293,2003-03-13
56.69011306762695,2003-03-14
58.475772857666016,2003-03-17
58.81943893432617,2003-03-18
59.27091979980469,2003-03-19
59.398956298828125,2003-03-20
60.66679382324219,2003-03-21
58.65066909790039,2003-03-24
59.21220779418945,2003-03-25
58.91453170776367,2003-03-26
58.96188735961914,2003-03-27
58.66419219970703,2003-03-28
57.33137893676758,2003-03-31
58.2109260559082,2003-04-01
59.61818313598633,2003-04-02
59.334007263183594,2003-04-03
59.68579864501953,2003-04-04
59.570777893066406,2003-04-07
59.66550827026367,2003-04-08
58.8807258605957,2003-04-09
59.205467224121094,2003-04-10
58.96188735961914,2003-04-11
60.179656982421875,2003-04-14
60.74122619628906,2003-04-15
59.70610046386719,2003-04-16
60.59238052368164,2003-04-17
60.65327072143555,2003-04-21
61.796653747558594,2003-04-22
62.364990234375,2003-04-23
61.81019592285156,2003-04-24
61.04567337036133,2003-04-25
62.10110855102539,2003-04-28
62.31760787963867,2003-04-29
62.18230438232422,2003-04-30
62.175514221191406,2003-05-01
63.061832427978516,2003-05-02
62.940040588378906,2003-05-05
63.5354118347168,2003-05-06
63.183589935302734,2003-05-07
62.547611236572266,2003-05-08
63.41362762451172,2003-05-09
64.19168853759766,2003-05-12
64.07666778564453,2003-05-13
63.94135665893555,2003-05-14
64.3472671508789,2003-05-15
64.18489837646484,2003-05-16
62.682945251464844,2003-05-19
62.55440902709961,2003-05-20
62.682945251464844,2003-05-21
63.30538558959961,2003-05-22
63.43394470214844,2003-05-23
64.54347229003906,2003-05-27
64.72614288330078,2003-05-28
64.55704498291016,2003-05-29
65.59210968017578,2003-05-30
65.86275482177734,2003-06-02
66.13335418701172,2003-06-03
67.08733367919922,2003-06-04
67.4188461303711,2003-06-05
67.15497589111328,2003-06-06
66.4716796875,2003-06-09
67.14820861816406,2003-06-10
67.85861206054688,2003-06-11
68.0683364868164,2003-06-12
67.35797119140625,2003-06-13
68.77870178222656,2003-06-16
68.77870178222656,2003-06-17
