STX,Date
11.07086181640625,2006-10-17
10.883735656738281,2006-10-18
10.949481964111328,2006-10-19
11.161896705627441,2006-10-20
10.848332405090332,2006-10-23
10.686487197875977,2006-10-24
11.343966484069824,2006-10-25
11.60695743560791,2006-10-26
11.212467193603516,2006-10-27
11.470399856567383,2006-10-30
11.419828414916992,2006-10-31
11.308070182800293,2006-11-01
11.328390121459961,2006-11-02
11.572226524353027,2006-11-03
11.734786987304688,2006-11-06
11.567144393920898,2006-11-07
11.72970962524414,2006-11-08
12.00910758972168,2006-11-09
11.912586212158203,2006-11-10
11.760187149047852,2006-11-13
12.075149536132812,2006-11-14
12.562823295593262,2006-11-15
12.87270736694336,2006-11-16
12.877786636352539,2006-11-17
13.121626853942871,2006-11-20
13.04034423828125,2006-11-21
13.365464210510254,2006-11-22
13.558506965637207,2006-11-24
12.943825721740723,2006-11-27
13.121626853942871,2006-11-28
13.035269737243652,2006-11-29
13.086068153381348,2006-11-30
13.116549491882324,2006-12-01
13.218146324157715,2006-12-04
13.33498477935791,2006-12-05
13.395942687988281,2006-12-06
13.390864372253418,2006-12-07
13.411190032958984,2006-12-08
13.29434585571289,2006-12-11
13.091145515441895,2006-12-12
13.258788108825684,2006-12-13
13.385788917541504,2006-12-14
13.578826904296875,2006-12-15
13.563586235046387,2006-12-18
13.624544143676758,2006-12-19
13.665184020996094,2006-12-20
13.380707740783691,2006-12-21
13.482307434082031,2006-12-22
13.639780044555664,2006-12-26
13.62962532043457,2006-12-27
13.446744918823242,2006-12-28
13.461992263793945,2006-12-29
13.243549346923828,2007-01-03
13.411190032958984,2007-01-04
13.213065147399902,2007-01-05
13.136860847473145,2007-01-08
13.553427696228027,2007-01-09
13.619460105895996,2007-01-10
13.619460105895996,2007-01-11
13.624544143676758,2007-01-12
13.700742721557617,2007-01-16
13.909029960632324,2007-01-17
13.355310440063477,2007-01-18
13.182588577270508,2007-01-19
13.451822280883789,2007-01-22
13.299427032470703,2007-01-23
14.401778221130371,2007-01-24
14.076664924621582,2007-01-25
13.893784523010254,2007-01-26
13.949666976928711,2007-01-29
14.02586555480957,2007-01-30
13.811729431152344,2007-01-31
13.638383865356445,2007-02-01
13.429347038269043,2007-02-02
13.459939002990723,2007-02-05
13.296782493591309,2007-02-06
13.429347038269043,2007-02-07
13.4242525100708,2007-02-08
13.28658676147461,2007-02-09
13.271293640136719,2007-02-12
13.2916898727417,2007-02-13
13.56190299987793,2007-02-14
13.592497825622559,2007-02-15
13.531316757202148,2007-02-16
13.679169654846191,2007-02-20
13.786235809326172,2007-02-21
14.036063194274902,2007-02-22
14.275688171386719,2007-02-23
14.35726547241211,2007-02-26
13.567004203796387,2007-02-27
13.714858055114746,2007-02-28
13.475234031677246,2007-03-01
12.562606811523438,2007-03-02
12.55750846862793,2007-03-05
12.639087677001953,2007-03-06
12.59320068359375,2007-03-07
12.389256477355957,2007-03-08
12.368865013122559,2007-03-09
12.562606811523438,2007-03-12
12.26179313659668,2007-03-13
12.399455070495605,2007-03-14
12.542218208312988,2007-03-15
12.465739250183105,2007-03-16
12.48103141784668,2007-03-19
12.552410125732422,2007-03-20
12.87360954284668,2007-03-21
12.802237510681152,2007-03-22
12.766542434692383,2007-03-23
12.628886222839355,2007-03-26
12.496330261230469,2007-03-27
12.134339332580566,2007-03-28
11.940594673156738,2007-03-29
11.879412651062012,2007-03-30
11.69077205657959,2007-04-02
11.843727111816406,2007-04-03
11.655081748962402,2007-04-04
11.864117622375488,2007-04-05
11.960987091064453,2007-04-09
11.216614723205566,2007-04-10
10.961689949035645,2007-04-11
11.084053993225098,2007-04-12
11.221712112426758,2007-04-13
11.49193000793457,2007-04-16
11.293089866638184,2007-04-17
10.859719276428223,2007-04-18
10.875017166137695,2007-04-19
11.002476692199707,2007-04-20
10.987183570861816,2007-04-23
11.262496948242188,2007-04-24
11.252304077148438,2007-04-25
11.446046829223633,2007-04-26
11.267595291137695,2007-04-27
11.293089866638184,2007-04-30
11.012675285339355,2007-05-01
11.089505195617676,2007-05-02
11.360982894897461,2007-05-03
11.304641723632812,2007-05-04
11.442936897277832,2007-05-07
11.52489185333252,2007-05-08
11.412203788757324,2007-05-09
11.115119934082031,2007-05-10
11.325130462646484,2007-05-11
11.12024211883545,2007-05-14
10.976819038391113,2007-05-15
10.89999008178711,2007-05-16
10.608027458190918,2007-05-17
10.695100784301758,2007-05-18
10.684856414794922,2007-05-21
10.935842514038086,2007-05-22
10.833395004272461,2007-05-23
10.5977783203125,2007-05-24
10.398014068603516,2007-05-25
10.633631706237793,2007-05-29
10.5977783203125,2007-05-30
10.546557426452637,2007-05-31
10.618267059326172,2007-06-01
10.628514289855957,2007-06-04
10.449234962463379,2007-06-05
10.541433334350586,2007-06-06
10.42874526977539,2007-06-07
10.705344200134277,2007-06-08
10.684856414794922,2007-06-11
10.669489860534668,2007-06-12
10.602906227111816,2007-06-13
10.63875961303711,2007-06-14
10.736076354980469,2007-06-15
10.761686325073242,2007-06-18
11.099753379821777,2007-06-19
10.951207160949707,2007-06-20
11.38659381866455,2007-06-21
11.366110801696777,2007-06-22
11.181708335876465,2007-06-25
11.268784523010254,2007-06-26
11.427571296691895,2007-06-27
11.038286209106445,2007-06-28
11.150972366333008,2007-06-29
11.442936897277832,2007-07-02
11.647823333740234,2007-07-03
11.842469215393066,2007-07-05
12.072965621948242,2007-07-06
12.04735279083252,2007-07-09
11.78099536895752,2007-07-10
11.61708927154541,2007-07-11
11.806612014770508,2007-07-12
11.678558349609375,2007-07-13
11.66831111907959,2007-07-16
11.883442878723145,2007-07-17
11.991007804870605,2007-07-18
12.354684829711914,2007-07-19
12.615913391113281,2007-07-20
12.743967056274414,2007-07-23
12.46225357055664,2007-07-24
12.784950256347656,2007-07-25
12.605671882629395,2007-07-26
12.195898056030273,2007-07-27
12.375177383422852,2007-07-30
12.042230606079102,2007-07-31
12.232562065124512,2007-08-01
12.422889709472656,2007-08-02
12.078243255615234,2007-08-03
12.309725761413574,2007-08-06
11.831321716308594,2007-08-07
12.273716926574707,2007-08-08
11.94449520111084,2007-08-09
12.268568992614746,2007-08-10
12.500052452087402,2007-08-13
12.500052452087402,2007-08-14
12.016514778137207,2007-08-15
11.661569595336914,2007-08-16
12.217127799987793,2007-08-17
12.464040756225586,2007-08-20
12.474334716796875,2007-08-21
12.587494850158691,2007-08-22
12.70581340789795,2007-08-23
12.83956527709961,2007-08-24
12.803550720214844,2007-08-27
12.58236026763916,2007-08-28
13.060755729675293,2007-08-29
13.065897941589355,2007-08-30
13.281949043273926,2007-08-31
13.3488187789917,2007-09-04
13.10705280303955,2007-09-05
13.369397163391113,2007-09-06
12.932154655456543,2007-09-07
12.782976150512695,2007-09-10
13.071040153503418,2007-09-11
