PRDO,Date
7.141785144805908,2000-11-20
7.693511009216309,2000-11-21
7.632208347320557,2000-11-22
7.96937370300293,2000-11-24
8.107305526733398,2000-11-27
8.398494720458984,2000-11-28
9.318037033081055,2000-11-29
8.812288284301758,2000-11-30
8.459796905517578,2000-12-01
8.429145812988281,2000-12-04
9.440642356872559,2000-12-05
9.226082801818848,2000-12-06
9.057500839233398,2000-12-07
9.149454116821289,2000-12-08
9.27206039428711,2000-12-11
9.011523246765137,2000-12-12
8.827613830566406,2000-12-13
8.827613830566406,2000-12-14
9.011523246765137,2000-12-15
9.685853958129883,2000-12-18
8.781637191772461,2000-12-19
8.21458625793457,2000-12-20
8.551751136779785,2000-12-21
9.931066513061523,2000-12-22
9.747157096862793,2000-12-26
10.114974975585938,2000-12-27
9.563249588012695,2000-12-28
9.593899726867676,2000-12-29
9.854437828063965,2001-01-02
9.931066513061523,2001-01-03
9.440642356872559,2001-01-04
8.766310691833496,2001-01-05
7.923396587371826,2001-01-08
7.800790786743164,2001-01-09
9.195430755615234,2001-01-10
9.364014625549316,2001-01-11
8.09197998046875,2001-01-12
9.471294403076172,2001-01-16
9.13412857055664,2001-01-17
8.674357414245605,2001-01-18
8.337190628051758,2001-01-19
8.398494720458984,2001-01-22
8.934894561767578,2001-01-23
8.85826587677002,2001-01-24
8.643705368041992,2001-01-25
8.613054275512695,2001-01-26
9.364014625549316,2001-01-29
10.574746131896973,2001-01-30
10.421489715576172,2001-01-31
12.015363693237305,2001-02-01
12.199272155761719,2001-02-02
11.67819881439209,2001-02-05
11.509614944458008,2001-02-06
11.29505443572998,2001-02-07
10.850608825683594,2001-02-08
11.049843788146973,2001-02-09
10.66670036315918,2001-02-12
10.91191291809082,2001-02-13
11.448311805725098,2001-02-14
11.524941444396973,2001-02-15
11.279728889465332,2001-02-16
11.586243629455566,2001-02-20
11.448311805725098,2001-02-21
11.203100204467773,2001-02-22
10.973215103149414,2001-02-23
11.540266990661621,2001-02-26
11.463638305664062,2001-02-27
11.187774658203125,2001-02-28
10.758655548095703,2001-03-01
10.865935325622559,2001-03-02
10.789305686950684,2001-03-05
11.034518241882324,2001-03-06
11.049843788146973,2001-03-07
10.91191291809082,2001-03-08
10.896586418151855,2001-03-09
10.72800350189209,2001-03-12
10.038345336914062,2001-03-13
10.268232345581055,2001-03-14
11.065169334411621,2001-03-15
11.095820426940918,2001-03-16
11.524941444396973,2001-03-19
11.49428939819336,2001-03-20
11.310380935668945,2001-03-21
11.570918083190918,2001-03-22
11.877432823181152,2001-03-23
12.214598655700684,2001-03-26
12.459810256958008,2001-03-27
12.260576248168945,2001-03-28
12.275900840759277,2001-03-29
12.321878433227539,2001-03-30
11.8927583694458,2001-04-02
11.402335166931152,2001-04-03
11.341032028198242,2001-04-04
11.708849906921387,2001-04-05
12.015363693237305,2001-04-06
12.201725006103516,2001-04-09
12.272835731506348,2001-04-10
11.7529878616333,2001-04-11
12.272835731506348,2001-04-12
11.55191421508789,2001-04-16
11.733369827270508,2001-04-17
11.941801071166992,2001-04-18
12.211532592773438,2001-04-19
11.708849906921387,2001-04-20
11.750535011291504,2001-04-23
11.804481506347656,2001-04-24
12.272835731506348,2001-04-25
12.750998497009277,2001-04-26
12.996209144592285,2001-04-27
12.34639835357666,2001-04-30
13.045252799987793,2001-05-01
12.885865211486816,2001-05-02
12.461648941040039,2001-05-03
12.48371696472168,2001-05-04
12.44938850402832,2001-05-07
12.157587051391602,2001-05-08
12.25076675415039,2001-05-09
12.336590766906738,2001-05-10
12.38318157196045,2001-05-11
12.505785942077637,2001-05-14
12.456745147705078,2001-05-15
12.260576248168945,2001-05-16
12.039883613586426,2001-05-17
12.015363693237305,2001-05-18
12.162490844726562,2001-05-21
12.30961799621582,2001-05-22
12.287549018859863,2001-05-23
12.275288581848145,2001-05-24
12.133065223693848,2001-05-25
12.37092113494873,2001-05-29
12.750998497009277,2001-05-30
12.348851203918457,2001-05-31
12.72647762298584,2001-06-01
12.925098419189453,2001-06-04
