TRIN,Date
11.497308731079102,2022-09-12
11.270835876464844,2022-09-13
11.361425399780273,2022-09-14
11.293481826782227,2022-09-15
11.542603492736816,2022-09-16
11.58034896850586,2022-09-19
11.436915397644043,2022-09-20
11.270835876464844,2022-09-21
10.840535163879395,2022-09-22
10.591415405273438,2022-09-23
10.10072135925293,2022-09-26
10.251704216003418,2022-09-27
10.395137786865234,2022-09-28
9.526902198791504,2022-09-29
9.889981269836426,2022-09-30
9.834731101989746,2022-10-03
10.537212371826172,2022-10-04
10.26884937286377,2022-10-05
10.000484466552734,2022-10-06
9.937341690063477,2022-10-07
9.929447174072266,2022-10-10
9.984699249267578,2022-10-11
10.182024955749512,2022-10-12
10.339885711669922,2022-10-13
10.395136833190918,2022-10-14
10.5214262008667,2022-10-17
10.663500785827637,2022-10-18
10.63982105255127,2022-10-19
10.560891151428223,2022-10-20
10.497747421264648,2022-10-21
10.513531684875488,2022-10-24
10.813467979431152,2022-10-25
10.908185005187988,2022-10-26
9.732121467590332,2022-10-27
9.495329856872559,2022-10-28
9.408507347106934,2022-10-31
9.597940444946289,2022-11-01
9.32957649230957,2022-11-02
8.927031517028809,2022-11-03
8.682347297668457,2022-11-04
8.72181224822998,2022-11-07
8.36662483215332,2022-11-08
8.36662483215332,2022-11-09
8.642881393432617,2022-11-10
8.777063369750977,2022-11-11
9.163822174072266,2022-11-14
8.919137954711914,2022-11-15
8.5955228805542,2022-11-16
8.548165321350098,2022-11-17
8.390304565429688,2022-11-18
8.311373710632324,2022-11-21
8.437663078308105,2022-11-22
8.271907806396484,2022-11-23
8.477127075195312,2022-11-25
8.398198127746582,2022-11-28
8.556058883666992,2022-11-29
8.579737663269043,2022-11-30
8.492914199829102,2022-12-01
8.358732223510742,2022-12-02
8.287693977355957,2022-12-05
8.18508529663086,2022-12-06
8.082474708557129,2022-12-07
8.264016151428223,2022-12-08
8.153512001037598,2022-12-09
8.264016151428223,2022-12-12
8.406089782714844,2022-12-13
8.548165321350098,2022-12-14
8.429770469665527,2022-12-15
8.8165283203125,2022-12-16
8.89546012878418,2022-12-19
9.140143394470215,2022-12-20
8.919137954711914,2022-12-21
9.242752075195312,2022-12-22
9.195394515991211,2022-12-23
9.534795761108398,2022-12-27
8.95071029663086,2022-12-28
9.125887870788574,2022-12-29
9.117547035217285,2022-12-30
9.24267292022705,2023-01-03
9.467900276184082,2023-01-04
9.100861549377441,2023-01-05
9.301064491271973,2023-01-06
9.568000793457031,2023-01-09
9.926695823669434,2023-01-10
10.193633079528809,2023-01-11
10.310417175292969,2023-01-12
10.210315704345703,2023-01-13
10.602378845214844,2023-01-17
10.585694313049316,2023-01-18
10.919366836547852,2023-01-19
10.794239044189453,2023-01-20
10.83594799041748,2023-01-23
11.06951904296875,2023-01-24
11.0194673538208,2023-01-25
11.0444917678833,2023-01-26
11.1946439743042,2023-01-27
10.894340515136719,2023-01-30
11.1696195602417,2023-01-31
11.152935981750488,2023-02-01
11.244694709777832,2023-02-02
11.244694709777832,2023-02-03
10.969416618347168,2023-02-06
11.161276817321777,2023-02-07
11.186302185058594,2023-02-08
10.961075782775879,2023-02-09
11.011125564575195,2023-02-10
11.077858924865723,2023-02-13
11.253035545349121,2023-02-14
11.42821216583252,2023-02-15
11.39484691619873,2023-02-16
11.761884689331055,2023-02-17
11.30308723449707,2023-02-21
11.48660659790039,2023-02-22
11.761884689331055,2023-02-23
