CMI,Date
5.909178733825684,2001-06-26
5.8683857917785645,2001-06-27
5.895581245422363,2001-06-28
5.847233295440674,2001-06-29
6.064805507659912,2001-07-02
6.087471008300781,2001-07-03
6.070847034454346,2001-07-05
5.854788780212402,2001-07-06
6.0527191162109375,2001-07-09
6.017964839935303,2001-07-10
5.960553169250488,2001-07-11
6.3080620765686035,2001-07-12
6.291442394256592,2001-07-13
6.243093967437744,2001-07-16
6.459153652191162,2001-07-17
6.394187927246094,2001-07-18
6.360944747924805,2001-07-19
6.395693778991699,2001-07-20
6.26726770401001,2001-07-23
6.111645221710205,2001-07-24
6.129772663116455,2001-07-25
6.172082424163818,2001-07-26
6.197763442993164,2001-07-27
6.104091167449951,2001-07-30
6.150928020477295,2001-07-31
6.147906303405762,2001-08-01
6.2068328857421875,2001-08-02
6.255178928375244,2001-08-03
6.149416923522949,2001-08-06
6.072360992431641,2001-08-07
6.028542518615723,2001-08-08
6.066317558288574,2001-08-09
6.199277400970459,2001-08-10
6.32468318939209,2001-08-13
6.311083793640137,2001-08-14
6.238559722900391,2001-08-15
6.26726770401001,2001-08-16
6.200786590576172,2001-08-17
6.060271263122559,2001-08-20
5.969616413116455,2001-08-21
6.0119242668151855,2001-08-22
5.968107223510742,2001-08-23
6.040633201599121,2001-08-24
5.9907708168029785,2001-08-27
5.995303630828857,2001-08-28
5.969419956207275,2001-08-29
5.739538669586182,2001-08-30
5.747148036956787,2001-08-31
5.832402229309082,2001-09-04
5.727354049682617,2001-09-05
5.629921913146973,2001-09-06
5.416780471801758,2001-09-07
5.386333465576172,2001-09-10
4.9006805419921875,2001-09-17
4.78954553604126,2001-09-18
4.462221145629883,2001-09-19
4.462221145629883,2001-09-20
4.568789958953857,2001-09-21
4.8854570388793945,2001-09-24
4.957009315490723,2001-09-25
4.795633316040039,2001-09-26
4.897635459899902,2001-09-27
5.023995399475098,2001-09-28
4.886978626251221,2001-10-01
5.098597526550293,2001-10-02
5.122955799102783,2001-10-03
5.165582180023193,2001-10-04
5.25692892074585,2001-10-05
5.08489465713501,2001-10-08
5.016384601593018,2001-10-09
5.176240921020508,2001-10-10
5.393943786621094,2001-10-11
5.162539005279541,2001-10-12
5.141221046447754,2001-10-15
5.176240921020508,2001-10-16
4.985937118530273,2001-10-17
4.861098766326904,2001-10-18
4.749960422515869,2001-10-19
4.876321792602539,2001-10-22
4.882411003112793,2001-10-23
4.9296088218688965,2001-10-24
4.906770706176758,2001-10-25
4.9965925216674805,2001-10-26
4.795633316040039,2001-10-29
4.721036434173584,2001-10-30
4.766706466674805,2001-10-31
4.888500690460205,2001-11-01
4.9965925216674805,2001-11-02
5.1534013748168945,2001-11-05
5.2523627281188965,2001-11-06
5.275197982788086,2001-11-07
5.282811641693115,2001-11-08
5.217344284057617,2001-11-09
5.133612155914307,2001-11-12
5.371110439300537,2001-11-13
5.377197742462158,2001-11-14
5.392423629760742,2001-11-15
5.444186687469482,2001-11-16
5.468544960021973,2001-11-19
5.404603958129883,2001-11-20
5.336095333099365,2001-11-21
5.432004928588867,2001-11-23
5.541621685028076,2001-11-26
5.582725524902344,2001-11-27
5.486021518707275,2001-11-28
5.403133869171143,2001-11-29
5.5658416748046875,2001-11-30
5.538212299346924,2001-12-03
5.682500839233398,2001-12-04
5.855953216552734,2001-12-05
6.044755935668945,2001-12-06
5.964937686920166,2001-12-07
5.868233680725098,2001-12-10
5.860558032989502,2001-12-11
5.935772895812988,2001-12-12
5.875908374786377,2001-12-13
5.8528852462768555,2001-12-14
5.829856872558594,2001-12-17
6.018660068511963,2001-12-18
6.000242233276367,2001-12-19
5.868233680725098,2001-12-20
5.862092018127441,2001-12-21
5.944981098175049,2001-12-24
5.918889999389648,2001-12-26
5.991029262542725,2001-12-27
6.007913589477539,2001-12-28
5.9158196449279785,2001-12-31
5.981822967529297,2002-01-02
6.043221473693848,2002-01-03
6.098482131958008,2002-01-04
6.066245079040527,2002-01-07
5.949585914611816,2002-01-08
5.971078872680664,2002-01-09
5.865162372589111,2002-01-10
5.763853549957275,2002-01-11
5.6686882972717285,2002-01-14
5.502907752990723,2002-01-15
5.39392614364624,2002-01-16
5.519793510437012,2002-01-17
5.396994113922119,2002-01-18
