QRVO,Date
61.86000061035156,2019-01-10
63.689998626708984,2019-01-11
61.18000030517578,2019-01-14
61.560001373291016,2019-01-15
61.40999984741211,2019-01-16
62.25,2019-01-17
63.279998779296875,2019-01-18
61.939998626708984,2019-01-22
61.90999984741211,2019-01-23
63.380001068115234,2019-01-24
65.76000213623047,2019-01-25
65.08999633789062,2019-01-28
63.65999984741211,2019-01-29
65.52999877929688,2019-01-30
65.36000061035156,2019-01-31
65.91999816894531,2019-02-01
65.95999908447266,2019-02-04
66.04000091552734,2019-02-05
68.62999725341797,2019-02-06
66.52999877929688,2019-02-07
64.51000213623047,2019-02-08
64.5,2019-02-11
65.18000030517578,2019-02-12
64.9000015258789,2019-02-13
64.66999816894531,2019-02-14
65.16000366210938,2019-02-15
64.87000274658203,2019-02-19
65.86000061035156,2019-02-20
66.05999755859375,2019-02-21
67.80000305175781,2019-02-22
68.69999694824219,2019-02-25
69.13999938964844,2019-02-26
69.3499984741211,2019-02-27
70.13999938964844,2019-02-28
70.5,2019-03-01
70.05000305175781,2019-03-04
69.86000061035156,2019-03-05
69.06999969482422,2019-03-06
68.3499984741211,2019-03-07
68.58000183105469,2019-03-08
69.37000274658203,2019-03-11
69.23999786376953,2019-03-12
69.08999633789062,2019-03-13
68.6500015258789,2019-03-14
69.66000366210938,2019-03-15
69.83000183105469,2019-03-18
70.11000061035156,2019-03-19
69.12000274658203,2019-03-20
73.88999938964844,2019-03-21
71.66999816894531,2019-03-22
70.87000274658203,2019-03-25
71.1500015258789,2019-03-26
70.56999969482422,2019-03-27
70.2300033569336,2019-03-28
71.7300033569336,2019-03-29
73.20999908447266,2019-04-01
74.06999969482422,2019-04-02
74.41000366210938,2019-04-03
74.04000091552734,2019-04-04
74.88999938964844,2019-04-05
75.25,2019-04-08
75.22000122070312,2019-04-09
76.2300033569336,2019-04-10
76.05000305175781,2019-04-11
77.19000244140625,2019-04-12
76.38999938964844,2019-04-15
78.30999755859375,2019-04-16
76.55999755859375,2019-04-17
76.68000030517578,2019-04-18
76.01000213623047,2019-04-22
76.5999984741211,2019-04-23
77.25,2019-04-24
77.30000305175781,2019-04-25
74.98999786376953,2019-04-26
75.44999694824219,2019-04-29
75.61000061035156,2019-04-30
75.58000183105469,2019-05-01
76.75,2019-05-02
75.18000030517578,2019-05-03
74.33000183105469,2019-05-06
73.68000030517578,2019-05-07
76.18000030517578,2019-05-08
75.1500015258789,2019-05-09
75.06999969482422,2019-05-10
71.05000305175781,2019-05-13
72.86000061035156,2019-05-14
73.3499984741211,2019-05-15
68.11000061035156,2019-05-16
63.93000030517578,2019-05-17
61.27000045776367,2019-05-20
61.540000915527344,2019-05-21
60.20000076293945,2019-05-22
60.65999984741211,2019-05-23
62.29999923706055,2019-05-24
60.75,2019-05-28
62.08000183105469,2019-05-29
61.869998931884766,2019-05-30
61.18000030517578,2019-05-31
61.880001068115234,2019-06-03
64.18000030517578,2019-06-04
63.439998626708984,2019-06-05
63.45000076293945,2019-06-06
64.37999725341797,2019-06-07
65.5,2019-06-10
64.30999755859375,2019-06-11
62.779998779296875,2019-06-12
63.310001373291016,2019-06-13
61.5,2019-06-14
61.65999984741211,2019-06-17
65.08999633789062,2019-06-18
65.58999633789062,2019-06-19
64.83999633789062,2019-06-20
63.88999938964844,2019-06-21
64.55000305175781,2019-06-24
63.459999084472656,2019-06-25
65.63999938964844,2019-06-26
67.05999755859375,2019-06-27
66.61000061035156,2019-06-28
70.58000183105469,2019-07-01
69.62000274658203,2019-07-02
68.98999786376953,2019-07-03
68.97000122070312,2019-07-05
68.95999908447266,2019-07-08
69.62999725341797,2019-07-09
69.33999633789062,2019-07-10
69.33999633789062,2019-07-11
70.26000213623047,2019-07-12
70.69000244140625,2019-07-15
70.55000305175781,2019-07-16
70.5199966430664,2019-07-17
71.23999786376953,2019-07-18
71.29000091552734,2019-07-19
72.80000305175781,2019-07-22
73.88999938964844,2019-07-23
75.33000183105469,2019-07-24
