TT,Date
0.8004306554794312,1983-02-24
0.8175520300865173,1983-02-25
0.8004306554794312,1983-02-28
0.8025711178779602,1983-03-01
0.808991551399231,1983-03-02
0.8261135220527649,1983-03-03
0.7982902526855469,1983-03-04
0.7747486233711243,1983-03-07
0.7726083993911743,1983-03-08
0.7875897884368896,1983-03-09
0.7982902526855469,1983-03-10
0.7790294289588928,1983-03-11
0.7747486233711243,1983-03-14
0.7790294289588928,1983-03-15
0.7619068622589111,1983-03-16
0.7726083993911743,1983-03-17
0.7683277726173401,1983-03-18
0.7661879658699036,1983-03-21
0.7576271295547485,1983-03-22
0.7833088040351868,1983-03-23
0.7918701767921448,1983-03-24
0.7790294289588928,1983-03-25
0.7918701767921448,1983-03-28
0.7790294289588928,1983-03-29
0.7918701767921448,1983-03-30
0.7747486233711243,1983-03-31
0.7640476822853088,1983-04-04
0.7490661144256592,1983-04-05
0.7298042178153992,1983-04-06
0.7191034555435181,1983-04-07
0.7212436199188232,1983-04-08
0.7298042178153992,1983-04-11
0.7362250685691833,1983-04-12
0.7512063980102539,1983-04-13
0.7533468008041382,1983-04-14
0.7447858452796936,1983-04-15
0.7383654117584229,1983-04-18
0.7362250685691833,1983-04-19
0.7447858452796936,1983-04-20
0.7255238890647888,1983-04-21
0.7383654117584229,1983-04-22
0.7490661144256592,1983-04-25
0.7704683542251587,1983-04-26
0.7747486233711243,1983-04-27
0.7704683542251587,1983-04-28
0.8025711178779602,1983-04-29
0.7875897884368896,1983-05-02
0.7875897884368896,1983-05-03
0.7875897884368896,1983-05-04
0.7961509823799133,1983-05-05
0.8132719397544861,1983-05-06
0.808991551399231,1983-05-09
0.8047106862068176,1983-05-10
0.8047106862068176,1983-05-11
0.7961509823799133,1983-05-12
0.8047106862068176,1983-05-13
0.8159957528114319,1983-05-16
0.8159957528114319,1983-05-17
0.8159957528114319,1983-05-18
0.8116557002067566,1983-05-19
0.8159957528114319,1983-05-20
0.8159957528114319,1983-05-23
0.8268470168113708,1983-05-24
0.8268470168113708,1983-05-25
0.8246771693229675,1983-05-26
0.8246771693229675,1983-05-27
0.8246771693229675,1983-05-31
0.802975058555603,1983-06-01
0.800804853439331,1983-06-02
0.8116557002067566,1983-06-03
0.802975058555603,1983-06-06
0.7986345291137695,1983-06-07
0.80731600522995,1983-06-08
0.80731600522995,1983-06-09
0.83118736743927,1983-06-10
0.872421383857727,1983-06-13
0.872421383857727,1983-06-14
0.9006341695785522,1983-06-15
0.9245063066482544,1983-06-16
0.920165479183197,1983-06-17
0.9028043746948242,1983-06-20
0.8897829055786133,1983-06-21
0.8854427337646484,1983-06-22
0.8854427337646484,1983-06-23
0.8811023235321045,1983-06-24
0.872421383857727,1983-06-27
0.8507192134857178,1983-06-28
0.8637403845787048,1983-06-29
0.9158252477645874,1983-06-30
0.937527596950531,1983-07-01
0.9288467168807983,1983-07-05
0.9418678879737854,1983-07-06
0.9418678879737854,1983-07-07
0.937527596950531,1983-07-08
0.9896120429039001,1983-07-11
0.967910885810852,1983-07-12
0.9548892974853516,1983-07-13
0.9570594429969788,1983-07-14
0.9483785033226013,1983-07-15
0.9505486488342285,1983-07-18
0.9505486488342285,1983-07-19
0.965739905834198,1983-07-20
0.967910885810852,1983-07-21
0.959229588508606,1983-07-22
0.965739905834198,1983-07-25
0.9635694622993469,1983-07-26
0.9527186155319214,1983-07-27
0.9418678879737854,1983-07-28
0.920165479183197,1983-07-29
0.8984628915786743,1983-08-01
0.9028043746948242,1983-08-02
0.9288467168807983,1983-08-03
0.9331867694854736,1983-08-04
0.9158252477645874,1983-08-05
0.8854427337646484,1983-08-08
0.9006341695785522,1983-08-09
0.920165479183197,1983-08-10
0.9093151688575745,1983-08-11
0.9028043746948242,1983-08-12
0.9288467168807983,1983-08-15
0.9468613862991333,1983-08-16
0.9446640014648438,1983-08-17
0.9270884394645691,1983-08-18
0.9204984307289124,1983-08-19
0.9051197171211243,1983-08-22
0.8919388055801392,1983-08-23
0.8919388055801392,1983-08-24
0.8853480815887451,1983-08-25
0.8941357135772705,1983-08-26
0.8831513524055481,1983-08-29
0.8831513524055481,1983-08-30
0.8809542655944824,1983-08-31
0.8721665143966675,1983-09-01
0.8721665143966675,1983-09-02
0.8699698448181152,1983-09-06
0.8963322043418884,1983-09-07
0.9183017015457153,1983-09-08
0.9095131754875183,1983-09-09
0.9051197171211243,1983-09-12
0.8985286951065063,1983-09-13
0.8853480815887451,1983-09-14
0.8699698448181152,1983-09-15
0.8721665143966675,1983-09-16
0.8743634819984436,1983-09-19
0.8831513524055481,1983-09-20
0.8919388055801392,1983-09-21
0.8919388055801392,1983-09-22
0.949057936668396,1983-09-23
0.966633141040802,1983-09-26
0.949057936668396,1983-09-27
0.940270185470581,1983-09-28
0.9424670338630676,1983-09-29
0.9424670338630676,1983-09-30
0.9314826130867004,1983-10-03
0.9314826130867004,1983-10-04
0.9710271954536438,1983-10-05
0.9776172041893005,1983-10-06
0.9842080473899841,1983-10-07
0.9820111393928528,1983-10-10
0.9710271954536438,1983-10-11
0.9468613862991333,1983-10-12
