PXD,Date
10.523046493530273,2000-10-02
10.475860595703125,2000-10-03
10.475860595703125,2000-10-04
10.475860595703125,2000-10-05
10.617425918579102,2000-10-06
10.711801528930664,2000-10-09
10.664615631103516,2000-10-10
10.711801528930664,2000-10-11
10.947746276855469,2000-10-12
10.617425918579102,2000-10-13
10.475860595703125,2000-10-16
10.523046493530273,2000-10-17
10.192728042602539,2000-10-18
10.28710651397705,2000-10-19
10.475860595703125,2000-10-20
10.28710651397705,2000-10-23
10.239916801452637,2000-10-24
9.62646770477295,2000-10-25
9.862409591674805,2000-10-26
9.720843315124512,2000-10-27
9.956786155700684,2000-10-30
9.862409591674805,2000-10-31
10.239916801452637,2000-11-01
10.28710651397705,2000-11-02
10.145540237426758,2000-11-03
10.098355293273926,2000-11-06
10.098355293273926,2000-11-07
10.192728042602539,2000-11-08
10.098355293273926,2000-11-09
9.720843315124512,2000-11-10
9.484902381896973,2000-11-13
9.673650741577148,2000-11-14
10.42867374420166,2000-11-15
10.85336971282959,2000-11-16
10.523046493530273,2000-11-17
10.42867374420166,2000-11-20
10.806177139282227,2000-11-21
10.85336971282959,2000-11-22
11.04212474822998,2000-11-24
10.85336971282959,2000-11-27
10.85336971282959,2000-11-28
10.900555610656738,2000-11-29
10.947746276855469,2000-11-30
11.04212474822998,2000-12-01
11.136502265930176,2000-12-04
11.089309692382812,2000-12-05
11.230876922607422,2000-12-06
11.183682441711426,2000-12-07
11.514007568359375,2000-12-08
11.749951362609863,2000-12-11
11.561195373535156,2000-12-12
11.3252534866333,2000-12-13
11.089309692382812,2000-12-14
11.04212474822998,2000-12-15
11.3252534866333,2000-12-18
11.938705444335938,2000-12-19
11.938705444335938,2000-12-20
12.97685432434082,2000-12-21
13.071233749389648,2000-12-22
14.911584854125977,2000-12-26
15.147529602050781,2000-12-27
15.241908073425293,2000-12-28
14.864392280578613,2000-12-29
14.439696311950684,2001-01-02
13.779057502746582,2001-01-03
13.165606498718262,2001-01-04
13.590304374694824,2001-01-05
14.722827911376953,2001-01-08
14.01500129699707,2001-01-09
14.628457069396973,2001-01-10
13.967815399169922,2001-01-11
13.873433113098145,2001-01-12
13.448740005493164,2001-01-16
13.307173728942871,2001-01-17
12.740911483764648,2001-01-18
12.88248062133789,2001-01-19
13.307173728942871,2001-01-22
13.448740005493164,2001-01-23
13.637494087219238,2001-01-24
13.401546478271484,2001-01-25
13.212797164916992,2001-01-26
13.590304374694824,2001-01-29
13.212797164916992,2001-01-30
13.212797164916992,2001-01-31
13.099546432495117,2001-02-01
13.190144538879395,2001-02-02
13.590304374694824,2001-02-05
13.665807723999023,2001-02-06
14.005562782287598,2001-02-07
13.665807723999023,2001-02-08
14.36042308807373,2001-02-09
14.111268043518066,2001-02-12
14.315116882324219,2001-02-13
14.186765670776367,2001-02-14
13.590304374694824,2001-02-15
13.88476276397705,2001-02-16
13.567655563354492,2001-02-20
13.099546432495117,2001-02-21
12.805087089538574,2001-02-22
12.903239250183105,2001-02-23
13.054245948791504,2001-02-26
12.63143539428711,2001-02-27
12.72203540802002,2001-02-28
12.827741622924805,2001-03-01
12.729584693908691,2001-03-02
13.356250762939453,2001-03-05
13.250543594360352,2001-03-06
15.024835586547852,2001-03-07
14.904037475585938,2001-03-08
14.911584854125977,2001-03-09
14.04331111907959,2001-03-12
13.424199104309082,2001-03-13
13.099546432495117,2001-03-14
12.684281349182129,2001-03-15
12.571032524108887,2001-03-16
12.986292839050293,2001-03-19
12.880593299865723,2001-03-20
12.4124755859375,2001-03-21
12.231271743774414,2001-03-22
12.805087089538574,2001-03-23
12.49553108215332,2001-03-26
12.608784675598145,2001-03-27
12.155773162841797,2001-03-28
11.70276165008545,2001-03-29
11.853767395019531,2001-03-30
11.3252534866333,2001-04-02
10.796746253967285,2001-04-03
11.40075397491455,2001-04-04
12.29167366027832,2001-04-05
11.70276165008545,2001-04-06
12.4124755859375,2001-04-09
12.714487075805664,2001-04-10
12.49553108215332,2001-04-11
12.797537803649902,2001-04-12
13.039144515991211,2001-04-16
13.288293838500977,2001-04-17
12.789983749389648,2001-04-18
12.571032524108887,2001-04-19
13.212797164916992,2001-04-20
13.416647911071777,2001-04-23
13.794159889221191,2001-04-24
14.798336029052734,2001-04-25
15.107892036437988,2001-04-26
14.790782928466797,2001-04-27
14.428373336791992,2001-04-30
14.156567573547363,2001-05-01
13.590304374694824,2001-05-02
13.892313003540039,2001-05-03
14.602023124694824,2001-05-04
14.194320678710938,2001-05-07
14.103718757629395,2001-05-08
14.24716854095459,2001-05-09
14.21696949005127,2001-05-10
14.292475700378418,2001-05-11
14.820980072021484,2001-05-14
16.776479721069336,2001-05-15
16.678325653076172,2001-05-16
16.912376403808594,2001-05-17
17.078481674194336,2001-05-18
17.36539077758789,2001-05-21
16.87462615966797,2001-05-22
16.232864379882812,2001-05-23
16.24796485900879,2001-05-24
