SBNY,Date
109.02982330322266,2019-06-24
110.17271423339844,2019-06-25
109.095947265625,2019-06-26
112.38298034667969,2019-06-27
114.13985443115234,2019-06-28
116.40677642822266,2019-07-01
114.95215606689453,2019-07-02
117.0963134765625,2019-07-03
117.61581420898438,2019-07-05
117.3796615600586,2019-07-08
118.15419006347656,2019-07-09
117.5024642944336,2019-07-10
119.14599609375,2019-07-11
120.52503204345703,2019-07-12
118.97595977783203,2019-07-15
118.44701385498047,2019-07-16
118.06919860839844,2019-07-17
115.97227478027344,2019-07-18
117.00186157226562,2019-07-19
117.31353759765625,2019-07-22
118.27701568603516,2019-07-23
119.8921890258789,2019-07-24
117.10575103759766,2019-07-25
119.5049057006836,2019-07-26
119.61825561523438,2019-07-29
121.23344421386719,2019-07-30
120.92037963867188,2019-07-31
116.86945343017578,2019-08-01
115.43694305419922,2019-08-02
113.38774871826172,2019-08-05
113.79569244384766,2019-08-06
113.2359848022461,2019-08-07
113.53955841064453,2019-08-08
114.6874771118164,2019-08-09
113.83364868164062,2019-08-12
113.99491882324219,2019-08-13
110.80731964111328,2019-08-14
109.9155502319336,2019-08-15
113.28340148925781,2019-08-16
114.09927368164062,2019-08-19
112.74264526367188,2019-08-20
112.76163482666016,2019-08-21
112.30624389648438,2019-08-22
108.74866485595703,2019-08-23
109.18504333496094,2019-08-26
106.97460174560547,2019-08-27
107.52483367919922,2019-08-28
109.63093566894531,2019-08-29
110.6650161743164,2019-08-30
107.97071838378906,2019-09-03
107.88533782958984,2019-09-04
110.43733978271484,2019-09-05
111.44293975830078,2019-09-06
113.78621673583984,2019-09-09
115.05746459960938,2019-09-10
114.611572265625,2019-09-11
114.94359588623047,2019-09-12
114.94359588623047,2019-09-13
115.65514373779297,2019-09-16
114.29850006103516,2019-09-17
114.5167236328125,2019-09-18
115.09542083740234,2019-09-19
113.51110076904297,2019-09-20
115.53181457519531,2019-09-23
113.56800842285156,2019-09-24
114.05184936523438,2019-09-25
114.19415283203125,2019-09-26
114.12773895263672,2019-09-27
113.1031494140625,2019-09-30
110.58910369873047,2019-10-01
110.1622085571289,2019-10-02
110.64603424072266,2019-10-03
113.19802856445312,2019-10-04
112.07855224609375,2019-10-07
109.53607177734375,2019-10-08
109.89656829833984,2019-10-09
110.95911407470703,2019-10-10
111.45243072509766,2019-10-11
111.58525085449219,2019-10-14
112.58135986328125,2019-10-15
112.60034942626953,2019-10-16
114.72541046142578,2019-10-17
116.4140853881836,2019-10-18
116.28126525878906,2019-10-21
117.36278533935547,2019-10-22
116.64178466796875,2019-10-23
114.9815673828125,2019-10-24
115.33258819580078,2019-10-25
116.75560760498047,2019-10-28
118.11225128173828,2019-10-29
113.36878204345703,2019-10-30
112.77782440185547,2019-10-31
115.42760467529297,2019-11-01
117.80096435546875,2019-11-04
118.6492919921875,2019-11-05
118.63021087646484,2019-11-06
118.85899353027344,2019-11-07
120.00276947021484,2019-11-08
118.94477081298828,2019-11-11
120.13619995117188,2019-11-12
118.37288665771484,2019-11-13
119.6596450805664,2019-11-14
118.1822280883789,2019-11-15
118.36334228515625,2019-11-18
119.55480194091797,2019-11-19
119.0877456665039,2019-11-20
118.69695281982422,2019-11-21
117.93441772460938,2019-11-22
118.59208679199219,2019-11-25
118.5634994506836,2019-11-26
118.6492919921875,2019-11-27
117.58174896240234,2019-11-29
116.228271484375,2019-12-02
117.2672119140625,2019-12-03
118.91617584228516,2019-12-04
119.42134857177734,2019-12-05
120.35543060302734,2019-12-06
120.23152923583984,2019-12-09
120.15528106689453,2019-12-10
123.8630599975586,2019-12-11
128.31431579589844,2019-12-12
128.66702270507812,2019-12-13
129.3914031982422,2019-12-16
130.80206298828125,2019-12-17
129.08641052246094,2019-12-18
128.81951904296875,2019-12-19
130.82113647460938,2019-12-20
129.57249450683594,2019-12-23
130.02999877929688,2019-12-24
130.7734832763672,2019-12-26
130.1348419189453,2019-12-27
130.1634521484375,2019-12-30
130.2111053466797,2019-12-31
130.4017333984375,2020-01-02
129.53436279296875,2020-01-03
128.78140258789062,2020-01-06
127.53273010253906,2020-01-07
129.6296844482422,2020-01-08
131.48831176757812,2020-01-09
131.2691192626953,2020-01-10
131.19288635253906,2020-01-13
131.46926879882812,2020-01-14
129.9346923828125,2020-01-15
131.77427673339844,2020-01-16
132.65118408203125,2020-01-17
140.5910186767578,2020-01-21
139.16127014160156,2020-01-22
139.4281768798828,2020-01-23
138.9706268310547,2020-01-24
138.21763610839844,2020-01-27
139.40908813476562,2020-01-28
136.5591583251953,2020-01-29
138.90353393554688,2020-01-30
135.77452087402344,2020-01-31
137.42994689941406,2020-02-03
139.36766052246094,2020-02-04
140.4824676513672,2020-02-05
137.573486328125,2020-02-06
136.740966796875,2020-02-07
137.44906616210938,2020-02-10
137.27684020996094,2020-02-11
138.65475463867188,2020-02-12
138.17630004882812,2020-02-13
138.13803100585938,2020-02-14
138.10934448242188,2020-02-18
140.11878967285156,2020-02-19
140.15707397460938,2020-02-20
139.10450744628906,2020-02-21
137.37252807617188,2020-02-24
132.07130432128906,2020-02-25
130.4923858642578,2020-02-26
125.84186553955078,2020-02-27
119.7081527709961,2020-02-28
125.88018035888672,2020-03-02
122.77978515625,2020-03-03
