ZTS,Date
158.45391845703125,2020-12-15
157.14291381835938,2020-12-16
159.1779022216797,2020-12-17
160.0877685546875,2020-12-18
157.35816955566406,2020-12-21
158.32672119140625,2020-12-22
156.38958740234375,2020-12-23
157.24070739746094,2020-12-24
158.87460327148438,2020-12-28
159.58880615234375,2020-12-29
160.71388244628906,2020-12-30
161.91725158691406,2020-12-31
160.0486297607422,2021-01-04
161.16392517089844,2021-01-05
163.5315399169922,2021-01-06
163.38479614257812,2021-01-07
164.47076416015625,2021-01-08
165.72303771972656,2021-01-11
162.52386474609375,2021-01-12
158.4441375732422,2021-01-13
157.47555541992188,2021-01-14
158.06256103515625,2021-01-15
159.29718017578125,2021-01-19
160.07127380371094,2021-01-20
161.149169921875,2021-01-21
160.0419158935547,2021-01-22
158.0919189453125,2021-01-25
156.49481201171875,2021-01-26
150.06680297851562,2021-01-27
153.37876892089844,2021-01-28
151.14471435546875,2021-01-29
152.4479217529297,2021-02-01
154.22146606445312,2021-02-02
152.10494995117188,2021-02-03
153.9667205810547,2021-02-04
156.0734405517578,2021-02-05
156.7985382080078,2021-02-08
156.6123504638672,2021-02-09
157.38645935058594,2021-02-10
161.12954711914062,2021-02-11
163.35386657714844,2021-02-12
162.97171020507812,2021-02-16
165.499755859375,2021-02-17
164.56887817382812,2021-02-18
156.7789306640625,2021-02-19
156.9357147216797,2021-02-22
156.30859375,2021-02-23
155.8480682373047,2021-02-24
153.32980346679688,2021-02-25
152.11474609375,2021-02-26
154.5154266357422,2021-03-01
153.88833618164062,2021-03-02
146.31393432617188,2021-03-03
141.10104370117188,2021-03-04
142.74720764160156,2021-03-05
142.22792053222656,2021-03-08
147.11744689941406,2021-03-09
148.0482940673828,2021-03-10
149.29273986816406,2021-03-11
149.4984893798828,2021-03-12
151.7227783203125,2021-03-15
151.90899658203125,2021-03-16
153.0260467529297,2021-03-17
149.35153198242188,2021-03-18
150.0374298095703,2021-03-19
152.49688720703125,2021-03-22
152.8986358642578,2021-03-23
152.3009490966797,2021-03-24
149.80227661132812,2021-03-25
153.00643920898438,2021-03-26
155.2013397216797,2021-03-29
153.8785400390625,2021-03-30
154.3096466064453,2021-03-31
154.71141052246094,2021-04-01
155.22097778320312,2021-04-05
152.76148986816406,2021-04-06
154.7016143798828,2021-04-07
156.7789306640625,2021-04-08
156.63194274902344,2021-04-09
159.2384033203125,2021-04-12
160.1790771484375,2021-04-13
159.79693603515625,2021-04-14
162.1192169189453,2021-04-15
164.2553253173828,2021-04-16
164.71588134765625,2021-04-19
165.58926391601562,2021-04-20
166.972900390625,2021-04-21
165.91311645507812,2021-04-22
167.3556365966797,2021-04-23
166.6294708251953,2021-04-26
166.58041381835938,2021-04-27
168.51361083984375,2021-04-28
171.26133728027344,2021-04-29
169.7991485595703,2021-04-30
171.96786499023438,2021-05-03
170.5253448486328,2021-05-04
170.61366271972656,2021-05-05
164.39202880859375,2021-05-06
168.34681701660156,2021-05-07
167.973876953125,2021-05-10
167.0514373779297,2021-05-11
164.90232849121094,2021-05-12
167.6598358154297,2021-05-13
169.07296752929688,2021-05-14
167.0906982421875,2021-05-17
