NDX,Date
15712.0400390625,2021-12-03
15846.16015625,2021-12-06
16394.33984375,2021-12-08
16149.5703125,2021-12-09
16331.98046875,2021-12-10
16082.5498046875,2021-12-13
15914.900390625,2021-12-14
16289.58984375,2021-12-15
15863.9404296875,2021-12-16
15801.4599609375,2021-12-17
15627.6396484375,2021-12-20
15986.2802734375,2021-12-21
16180.1396484375,2021-12-22
16308.2099609375,2021-12-23
16567.5,2021-12-27
16488.66015625,2021-12-28
16491.009765625,2021-12-29
16429.099609375,2021-12-30
16320.080078125,2021-12-31
16501.76953125,2022-01-03
16279.73046875,2022-01-04
15771.7802734375,2022-01-05
15765.3603515625,2022-01-06
15592.1904296875,2022-01-07
15614.4296875,2022-01-10
15844.1201171875,2022-01-11
15905.099609375,2022-01-12
15495.6201171875,2022-01-13
15611.58984375,2022-01-14
15210.759765625,2022-01-18
15047.83984375,2022-01-19
14846.4599609375,2022-01-20
14438.400390625,2022-01-21
14509.580078125,2022-01-24
14149.1201171875,2022-01-25
14172.759765625,2022-01-26
14003.1103515625,2022-01-27
14454.6103515625,2022-01-28
14930.0498046875,2022-01-31
15019.6796875,2022-02-01
15139.740234375,2022-02-02
14501.1103515625,2022-02-03
14694.349609375,2022-02-04
14571.25,2022-02-07
14747.0302734375,2022-02-08
15056.9599609375,2022-02-09
14705.6396484375,2022-02-10
14253.83984375,2022-02-11
14268.58984375,2022-02-14
14620.8203125,2022-02-15
14603.6396484375,2022-02-16
14171.740234375,2022-02-17
14009.5400390625,2022-02-18
13870.5302734375,2022-02-22
13509.4296875,2022-02-23
13974.669921875,2022-02-24
14189.16015625,2022-02-25
14237.8095703125,2022-02-28
14005.990234375,2022-03-01
14243.6904296875,2022-03-02
14035.2099609375,2022-03-03
13837.830078125,2022-03-04
13319.3798828125,2022-03-07
13267.599609375,2022-03-08
13742.2001953125,2022-03-09
13591.0,2022-03-10
13046.6396484375,2022-03-14
13956.7900390625,2022-03-16
14118.599609375,2022-03-17
14420.080078125,2022-03-18
14376.08984375,2022-03-21
14654.330078125,2022-03-22
14447.5498046875,2022-03-23
14765.6904296875,2022-03-24
14754.3095703125,2022-03-25
14987.400390625,2022-03-28
15239.3203125,2022-03-29
15071.5498046875,2022-03-30
14838.490234375,2022-03-31
14861.2099609375,2022-04-01
15159.580078125,2022-04-04
14820.6396484375,2022-04-05
14498.8798828125,2022-04-06
14531.8095703125,2022-04-07
14327.259765625,2022-04-08
13990.2099609375,2022-04-11
13940.240234375,2022-04-12
14217.2900390625,2022-04-13
13893.2099609375,2022-04-14
13910.759765625,2022-04-18
14210.259765625,2022-04-19
13998.5302734375,2022-04-20
13720.4501953125,2022-04-21
13356.8701171875,2022-04-22
13533.2197265625,2022-04-25
13009.7099609375,2022-04-26
13003.3603515625,2022-04-27
13456.0595703125,2022-04-28
12854.7998046875,2022-04-29
13075.849609375,2022-05-02
13089.900390625,2022-05-03
13535.7099609375,2022-05-04
12850.5498046875,2022-05-05
12693.5302734375,2022-05-06
12187.7197265625,2022-05-09
12345.8603515625,2022-05-10
11945.5,2022-05-12
12243.580078125,2022-05-16
12564.099609375,2022-05-17
11928.3095703125,2022-05-18
11875.6298828125,2022-05-19
11835.6201171875,2022-05-20
12034.2802734375,2022-05-23
11769.83984375,2022-05-24
11943.9296875,2022-05-25
12276.7900390625,2022-05-26
12681.419921875,2022-05-27
12642.099609375,2022-05-31
12548.3603515625,2022-06-01
12892.8896484375,2022-06-02
12548.0302734375,2022-06-03
12599.6298828125,2022-06-06
12711.6796875,2022-06-07
12615.1298828125,2022-06-08
12269.7802734375,2022-06-09
11288.3203125,2022-06-13
11311.6904296875,2022-06-14
11593.76953125,2022-06-15
11127.5703125,2022-06-16
11265.990234375,2022-06-17
11546.759765625,2022-06-21
11527.7099609375,2022-06-22
11697.6796875,2022-06-23
12008.240234375,2022-06-27
11637.76953125,2022-06-28
11658.259765625,2022-06-29
11503.7197265625,2022-06-30
11779.900390625,2022-07-05
11852.58984375,2022-07-06
12109.0498046875,2022-07-07
12125.6904296875,2022-07-08
11860.2802734375,2022-07-11
11744.990234375,2022-07-12
11728.5302734375,2022-07-13
11768.400390625,2022-07-14
11983.6201171875,2022-07-15
11877.5,2022-07-18
12249.419921875,2022-07-19
12439.6796875,2022-07-20
12619.41015625,2022-07-21
12396.4697265625,2022-07-22
12328.41015625,2022-07-25
12086.900390625,2022-07-26
12601.4697265625,2022-07-27
12717.8701171875,2022-07-28
12947.9697265625,2022-07-29
12940.7802734375,2022-08-01
12901.599609375,2022-08-02
13253.259765625,2022-08-03
13311.0400390625,2022-08-04
13207.6904296875,2022-08-05
13159.16015625,2022-08-08
13008.169921875,2022-08-09
13378.3203125,2022-08-10
13291.990234375,2022-08-11
13565.8701171875,2022-08-12
13667.1796875,2022-08-15
13635.2099609375,2022-08-16
13470.8603515625,2022-08-17
13505.990234375,2022-08-18
13242.900390625,2022-08-19
12890.5400390625,2022-08-22
12881.7900390625,2022-08-23
13143.580078125,2022-08-25
12484.3203125,2022-08-29
12342.7001953125,2022-08-30
12272.0302734375,2022-08-31
12274.6201171875,2022-09-01
12098.4404296875,2022-09-02
12011.3095703125,2022-09-06
12259.3896484375,2022-09-07
12321.1904296875,2022-09-08
12588.2900390625,2022-09-09
12739.7197265625,2022-09-12
12033.6201171875,2022-09-13
12134.400390625,2022-09-14
11927.490234375,2022-09-15
11861.3798828125,2022-09-16
11953.26953125,2022-09-19
11851.5400390625,2022-09-20
11637.7900390625,2022-09-21
11501.650390625,2022-09-22
11311.240234375,2022-09-23
11254.1103515625,2022-09-26
11271.75,2022-09-27
11493.830078125,2022-09-28
11164.7802734375,2022-09-29
10971.2197265625,2022-09-30
11229.73046875,2022-10-03
11582.5400390625,2022-10-04
11573.1796875,2022-10-05
11485.5,2022-10-06
11039.4697265625,2022-10-07
10926.9697265625,2022-10-10
10791.349609375,2022-10-11
10785.6201171875,2022-10-12
11033.580078125,2022-10-13
11062.5302734375,2022-10-17
11147.740234375,2022-10-18
11103.3798828125,2022-10-19
11046.7099609375,2022-10-20
11310.330078125,2022-10-21
11430.259765625,2022-10-24
11669.990234375,2022-10-25
11405.900390625,2022-10-26
11191.6298828125,2022-10-27
11405.5703125,2022-10-31
11288.9501953125,2022-11-01
10690.599609375,2022-11-03
10857.0302734375,2022-11-04
10977.0,2022-11-07
11059.5,2022-11-08
10797.5498046875,2022-11-09
11605.9599609375,2022-11-10
11817.009765625,2022-11-11
11700.9404296875,2022-11-14
11871.150390625,2022-11-15
11699.08984375,2022-11-16
11676.8603515625,2022-11-17
11677.01953125,2022-11-18
11553.4501953125,2022-11-21
11724.83984375,2022-11-22
11756.0302734375,2022-11-25
11587.75,2022-11-28
11503.4501953125,2022-11-29
12030.0595703125,2022-11-30
12041.8896484375,2022-12-01
11994.259765625,2022-12-02
11786.7998046875,2022-12-05
11549.6904296875,2022-12-06
11497.3896484375,2022-12-07
11637.5,2022-12-08
11563.330078125,2022-12-09
11706.4404296875,2022-12-12
11834.2099609375,2022-12-13
11740.919921875,2022-12-14
11345.2197265625,2022-12-15
11243.7197265625,2022-12-16
11084.58984375,2022-12-19
11072.419921875,2022-12-20
11235.8798828125,2022-12-21
10956.1396484375,2022-12-22
10985.4501953125,2022-12-23
10822.509765625,2022-12-27
10679.33984375,2022-12-28
10951.0498046875,2022-12-29
10939.759765625,2022-12-30
10862.6396484375,2023-01-03
10914.7998046875,2023-01-04
10741.2197265625,2023-01-05
11040.349609375,2023-01-06
11108.4501953125,2023-01-09
11205.7802734375,2023-01-10
11402.51953125,2023-01-11
11459.6103515625,2023-01-12
11541.48046875,2023-01-13
11557.1904296875,2023-01-17
11410.2900390625,2023-01-18
11295.669921875,2023-01-19
11619.0302734375,2023-01-20
11872.5400390625,2023-01-23
11846.6396484375,2023-01-24
11814.6904296875,2023-01-25
12051.48046875,2023-01-26
12166.599609375,2023-01-27
11912.3896484375,2023-01-30
12101.9296875,2023-01-31
12363.099609375,2023-02-01
12803.1396484375,2023-02-02
12573.3603515625,2023-02-03
12464.509765625,2023-02-06
12728.26953125,2023-02-07
12495.3798828125,2023-02-08
12381.169921875,2023-02-09
12304.919921875,2023-02-10
12502.3095703125,2023-02-13
12590.8896484375,2023-02-14
12687.8896484375,2023-02-15
12442.48046875,2023-02-16
12358.1796875,2023-02-17
12060.2998046875,2023-02-21
12066.26953125,2023-02-22
12180.1396484375,2023-02-23
11969.650390625,2023-02-24
12057.7900390625,2023-02-27
12042.1201171875,2023-02-28
11938.5703125,2023-03-01
12044.8701171875,2023-03-02
12290.8095703125,2023-03-03
12302.48046875,2023-03-06
12152.169921875,2023-03-07
12215.330078125,2023-03-08
11995.8798828125,2023-03-09
11923.169921875,2023-03-13
12199.7900390625,2023-03-14
12251.3203125,2023-03-15
12581.3896484375,2023-03-16
12519.8798828125,2023-03-17
12562.6103515625,2023-03-20
12741.4404296875,2023-03-21
12567.150390625,2023-03-22
12729.23046875,2023-03-23
12767.0498046875,2023-03-24
12673.0703125,2023-03-27
12610.5703125,2023-03-28
12846.0302734375,2023-03-29
12963.1396484375,2023-03-30
13181.349609375,2023-03-31
13148.349609375,2023-04-03
13100.0703125,2023-04-04
12967.2001953125,2023-04-05
13062.599609375,2023-04-06
13051.23046875,2023-04-10
12964.150390625,2023-04-11
12848.349609375,2023-04-12
13109.3896484375,2023-04-13
13079.51953125,2023-04-14
13087.7099609375,2023-04-17
13091.7900390625,2023-04-18
13088.7099609375,2023-04-19
12985.98046875,2023-04-20
13000.76953125,2023-04-21
12969.759765625,2023-04-24
12725.1103515625,2023-04-25
12806.48046875,2023-04-26
13160.0302734375,2023-04-27
13245.990234375,2023-04-28
13231.4697265625,2023-05-01
13113.66015625,2023-05-02
13030.2099609375,2023-05-03
12982.48046875,2023-05-04
13259.1298828125,2023-05-05
13291.6396484375,2023-05-08
13201.1103515625,2023-05-09
13347.830078125,2023-05-10
13389.7802734375,2023-05-11
13340.1796875,2023-05-12
13413.509765625,2023-05-15
13426.009765625,2023-05-16
13589.259765625,2023-05-17
13834.6201171875,2023-05-18
13803.490234375,2023-05-19
13849.740234375,2023-05-22
13672.5400390625,2023-05-23
13604.48046875,2023-05-24
13938.5302734375,2023-05-25
14298.41015625,2023-05-26
14354.990234375,2023-05-30
14254.08984375,2023-05-31
14441.509765625,2023-06-01
14546.6396484375,2023-06-02
14556.5,2023-06-05
