TSN,Date
9.924126625061035,1993-08-19
9.867417335510254,1993-08-20
9.697291374206543,1993-08-23
9.697291374206543,1993-08-24
9.583868026733398,1993-08-25
9.531672477722168,1993-08-26
9.645148277282715,1993-08-27
9.815350532531738,1993-08-30
9.928829193115234,1993-08-31
9.872088432312012,1993-09-01
9.928829193115234,1993-09-02
9.815350532531738,1993-09-03
9.815350532531738,1993-09-07
9.758618354797363,1993-09-08
9.701883316040039,1993-09-09
9.701883316040039,1993-09-10
9.701883316040039,1993-09-13
9.701883316040039,1993-09-14
9.758618354797363,1993-09-15
9.418198585510254,1993-09-16
9.304727554321289,1993-09-17
9.361462593078613,1993-09-20
9.304727554321289,1993-09-21
9.19125747680664,1993-09-22
9.19125747680664,1993-09-23
9.19125747680664,1993-09-24
9.134519577026367,1993-09-27
9.361462593078613,1993-09-28
9.645148277282715,1993-09-29
9.701883316040039,1993-09-30
9.701883316040039,1993-10-01
9.645148277282715,1993-10-04
9.645148277282715,1993-10-05
9.928829193115234,1993-10-06
9.815350532531738,1993-10-07
9.701883316040039,1993-10-08
9.872088432312012,1993-10-11
9.701883316040039,1993-10-12
9.701883316040039,1993-10-13
9.758618354797363,1993-10-14
10.042304039001465,1993-10-15
10.666399002075195,1993-10-18
10.55292797088623,1993-10-19
10.496190071105957,1993-10-20
10.609659194946289,1993-10-21
10.382715225219727,1993-10-22
10.439449310302734,1993-10-25
10.382715225219727,1993-10-26
10.496190071105957,1993-10-27
10.666399002075195,1993-10-28
10.496190071105957,1993-10-29
10.666399002075195,1993-11-01
10.55292797088623,1993-11-02
10.382715225219727,1993-11-03
10.382715225219727,1993-11-04
10.439449310302734,1993-11-05
10.496190071105957,1993-11-08
10.836602210998535,1993-11-09
10.779867172241211,1993-11-10
10.496190071105957,1993-11-11
10.32597827911377,1993-11-12
10.32597827911377,1993-11-15
10.382715225219727,1993-11-16
10.439449310302734,1993-11-17
10.382715225219727,1993-11-18
10.55292797088623,1993-11-19
10.382715225219727,1993-11-22
10.779867172241211,1993-11-23
10.896552085876465,1993-11-24
10.783045768737793,1993-11-26
10.783045768737793,1993-11-29
10.783045768737793,1993-11-30
10.839797973632812,1993-12-01
10.839797973632812,1993-12-02
10.839797973632812,1993-12-03
10.839797973632812,1993-12-06
10.839797973632812,1993-12-07
10.896552085876465,1993-12-08
10.896552085876465,1993-12-09
10.783045768737793,1993-12-10
10.839797973632812,1993-12-13
10.839797973632812,1993-12-14
10.896552085876465,1993-12-15
10.896552085876465,1993-12-16
10.839797973632812,1993-12-17
10.953302383422852,1993-12-20
10.783045768737793,1993-12-21
10.783045768737793,1993-12-22
10.783045768737793,1993-12-23
10.783045768737793,1993-12-27
10.726288795471191,1993-12-28
10.783045768737793,1993-12-29
10.839797973632812,1993-12-30
10.896552085876465,1993-12-31
10.896552085876465,1994-01-03
11.237071990966797,1994-01-04
10.953302383422852,1994-01-05
11.237071990966797,1994-01-06
11.123564720153809,1994-01-07
11.123564720153809,1994-01-10
11.010055541992188,1994-01-11
11.010055541992188,1994-01-12
11.010055541992188,1994-01-13
11.010055541992188,1994-01-14
10.839797973632812,1994-01-17
10.783045768737793,1994-01-18
10.726288795471191,1994-01-19
10.783045768737793,1994-01-20
10.499284744262695,1994-01-21
10.499284744262695,1994-01-24
10.556039810180664,1994-01-25
10.499284744262695,1994-01-26
10.556039810180664,1994-01-27
10.612787246704102,1994-01-28
10.38577651977539,1994-01-31
10.329022407531738,1994-02-01
10.2155179977417,1994-02-02
9.931755065917969,1994-02-03
9.931755065917969,1994-02-04
9.875,1994-02-07
9.875,1994-02-08
9.875,1994-02-09
9.875,1994-02-10
9.875,1994-02-11
9.931755065917969,1994-02-14
10.2155179977417,1994-02-15
10.045265197753906,1994-02-16
9.98849868774414,1994-02-17
9.98849868774414,1994-02-18
9.931755065917969,1994-02-22
9.937658309936523,1994-02-23
9.76729965209961,1994-02-24
9.653724670410156,1994-02-25
9.76729965209961,1994-02-28
10.108020782470703,1994-03-01
9.76729965209961,1994-03-02
9.426581382751465,1994-03-03
9.369794845581055,1994-03-04
9.426581382751465,1994-03-07
9.313013076782227,1994-03-08
9.313013076782227,1994-03-09
9.313013076782227,1994-03-10
9.313013076782227,1994-03-11
9.256221771240234,1994-03-14
9.085860252380371,1994-03-15
9.199437141418457,1994-03-16
9.199437141418457,1994-03-17
9.142640113830566,1994-03-18
8.9722900390625,1994-03-21
8.517992973327637,1994-03-22
9.142640113830566,1994-03-23
9.029072761535645,1994-03-24
9.256221771240234,1994-03-25
9.142640113830566,1994-03-28
9.142640113830566,1994-03-29
8.915504455566406,1994-03-30
8.9722900390625,1994-03-31
8.85871410369873,1994-04-04
8.85871410369873,1994-04-05
8.74514102935791,1994-04-06
8.74514102935791,1994-04-07
8.74514102935791,1994-04-08
8.631567001342773,1994-04-11
8.915504455566406,1994-04-12
8.915504455566406,1994-04-13
8.85871410369873,1994-04-14
8.9722900390625,1994-04-15
8.9722900390625,1994-04-18
9.199437141418457,1994-04-19
9.227826118469238,1994-04-20
9.369794845581055,1994-04-21
9.369794845581055,1994-04-22
9.369794845581055,1994-04-25
9.085860252380371,1994-04-26
8.85871410369873,1994-04-28
8.85871410369873,1994-04-29
9.085860252380371,1994-05-02
8.915504455566406,1994-05-03
8.9722900390625,1994-05-04
8.9722900390625,1994-05-05
8.915504455566406,1994-05-06
8.83031940460205,1994-05-09
9.142640113830566,1994-05-10
9.142640113830566,1994-05-11
9.142640113830566,1994-05-12
9.313013076782227,1994-05-13
9.426581382751465,1994-05-16
9.653724670410156,1994-05-17
10.108020782470703,1994-05-18
10.022843360900879,1994-05-19
9.824084281921387,1994-05-20
9.880874633789062,1994-05-23
9.76729965209961,1994-05-24
9.773208618164062,1994-05-25
9.83003044128418,1994-05-26
9.83003044128418,1994-05-27
9.801619529724121,1994-05-31
9.716391563415527,1994-06-01
9.83003044128418,1994-06-02
9.88685417175293,1994-06-03
10.341419219970703,1994-06-06
10.341419219970703,1994-06-07
10.455059051513672,1994-06-08
10.455059051513672,1994-06-09
10.341419219970703,1994-06-10
10.455059051513672,1994-06-13
10.341419219970703,1994-06-14
10.341419219970703,1994-06-15
10.341419219970703,1994-06-16
10.114137649536133,1994-06-17
9.94367504119873,1994-06-20
9.94367504119873,1994-06-21
10.284595489501953,1994-06-22
10.284595489501953,1994-06-23
10.398240089416504,1994-06-24
10.511887550354004,1994-06-27
10.54028606414795,1994-06-28
10.568703651428223,1994-06-29
10.625523567199707,1994-06-30
10.6539306640625,1994-07-01
10.682343482971191,1994-07-05
10.682343482971191,1994-07-06
10.852805137634277,1994-07-07
10.824394226074219,1994-07-08
10.73915958404541,1994-07-11
10.852805137634277,1994-07-12
10.909627914428711,1994-07-13
10.909627914428711,1994-07-14
10.79598617553711,1994-07-15
10.79598617553711,1994-07-18
10.79598617553711,1994-07-19
11.136911392211914,1994-07-20
10.909627914428711,1994-07-21
10.79598617553711,1994-07-22
10.79598617553711,1994-07-25
10.79598617553711,1994-07-26
10.852805137634277,1994-07-27
10.852805137634277,1994-07-28
10.966446876525879,1994-07-29
10.511887550354004,1994-08-01
10.511887550354004,1994-08-02
10.73915958404541,1994-08-03
10.881217002868652,1994-08-04
10.909627914428711,1994-08-05
10.909627914428711,1994-08-08
10.852805137634277,1994-08-09
10.852805137634277,1994-08-10
10.881217002868652,1994-08-11
10.966446876525879,1994-08-12
10.966446876525879,1994-08-15
10.852805137634277,1994-08-16
10.73915958404541,1994-08-17
10.79598617553711,1994-08-18
10.79598617553711,1994-08-19
10.73915958404541,1994-08-22
11.023273468017578,1994-08-23
10.852805137634277,1994-08-24
10.852805137634277,1994-08-25
10.86190414428711,1994-08-26
10.86190414428711,1994-08-29
10.918773651123047,1994-08-30
11.032512664794922,1994-08-31
11.032512664794922,1994-09-01
11.032512664794922,1994-09-02
11.146248817443848,1994-09-06
11.089380264282227,1994-09-07
11.117815971374512,1994-09-08
11.089380264282227,1994-09-09
10.975641250610352,1994-09-12
11.032512664794922,1994-09-13
11.203119277954102,1994-09-14
11.259989738464355,1994-09-15
11.316854476928711,1994-09-16
11.203119277954102,1994-09-19
11.146248817443848,1994-09-20
11.089380264282227,1994-09-21
11.089380264282227,1994-09-22
10.975641250610352,1994-09-23
10.918773651123047,1994-09-26
10.918773651123047,1994-09-27
10.975641250610352,1994-09-28
10.86190414428711,1994-09-29
10.918773651123047,1994-09-30
10.86190414428711,1994-10-03
10.805037498474121,1994-10-04
10.805037498474121,1994-10-05
10.86190414428711,1994-10-06
10.748165130615234,1994-10-07
10.805037498474121,1994-10-10
10.691303253173828,1994-10-11
10.748165130615234,1994-10-12
10.833470344543457,1994-10-13
10.86190414428711,1994-10-14
10.975641250610352,1994-10-17
10.748165130615234,1994-10-18
10.86190414428711,1994-10-19
10.975641250610352,1994-10-20
10.662861824035645,1994-10-21
10.748165130615234,1994-10-24
10.748165130615234,1994-10-25
10.805037498474121,1994-10-26
10.918773651123047,1994-10-27
10.918773651123047,1994-10-28
10.577567100524902,1994-10-31
10.463827133178711,1994-11-01
10.520695686340332,1994-11-02
10.463827133178711,1994-11-03
10.179482460021973,1994-11-04
10.236351013183594,1994-11-07
10.577567100524902,1994-11-08
10.520695686340332,1994-11-09
10.63443374633789,1994-11-10
10.520695686340332,1994-11-11
10.520695686340332,1994-11-14
10.406959533691406,1994-11-15
10.293218612670898,1994-11-16
10.463827133178711,1994-11-17
10.463827133178711,1994-11-18
10.463827133178711,1994-11-21
10.350090026855469,1994-11-22
10.293218612670898,1994-11-23
10.416163444519043,1994-11-25
10.473089218139648,1994-11-28
10.330787658691406,1994-11-29
10.359244346618652,1994-11-30
10.131573677062988,1994-12-01
10.416163444519043,1994-12-02
10.359244346618652,1994-12-05
10.18848991394043,1994-12-06
10.302329063415527,1994-12-07
10.18848991394043,1994-12-08
10.302329063415527,1994-12-09
9.846975326538086,1994-12-12
9.846975326538086,1994-12-13
10.017729759216309,1994-12-14
10.017729759216309,1994-12-15
9.846975326538086,1994-12-16
9.505460739135742,1994-12-19
9.619297981262207,1994-12-20
9.676217079162598,1994-12-21
9.619297981262207,1994-12-22
9.590836524963379,1994-12-23
9.505460739135742,1994-12-27
9.505460739135742,1994-12-28
9.619297981262207,1994-12-29
9.676217079162598,1994-12-30
9.448542594909668,1995-01-03
9.562381744384766,1995-01-04
9.790055274963379,1995-01-05
9.846975326538086,1995-01-06
9.733136177062988,1995-01-09
9.590836524963379,1995-01-10
9.562381744384766,1995-01-11
9.619297981262207,1995-01-12
9.790055274963379,1995-01-13
9.903894424438477,1995-01-16
10.245409965515137,1995-01-17
10.07465648651123,1995-01-18
10.18848991394043,1995-01-19
10.046192169189453,1995-01-20
10.245409965515137,1995-01-23
10.359244346618652,1995-01-24
10.302329063415527,1995-01-25
10.245409965515137,1995-01-26
10.359244346618652,1995-01-27
10.473089218139648,1995-01-30
10.985353469848633,1995-01-31
10.814596176147461,1995-02-01
10.700762748718262,1995-02-02
10.92844009399414,1995-02-03
11.156109809875488,1995-02-06
11.184568405151367,1995-02-07
11.099189758300781,1995-02-08
10.871517181396484,1995-02-09
11.042271614074707,1995-02-10
10.92844009399414,1995-02-13
10.814596176147461,1995-02-14
10.985353469848633,1995-02-15
10.985353469848633,1995-02-16
11.042271614074707,1995-02-17
11.355325698852539,1995-02-21
11.383788108825684,1995-02-22
11.335935592651367,1995-02-23
11.108078956604004,1995-02-24
11.108078956604004,1995-02-27
11.222005844116211,1995-02-28
11.108078956604004,1995-03-01
10.937185287475586,1995-03-02
11.392903327941895,1995-03-03
11.335935592651367,1995-03-06
11.051114082336426,1995-03-07
11.16504192352295,1995-03-08
11.16504192352295,1995-03-09
11.222005844116211,1995-03-10
11.16504192352295,1995-03-13
11.222005844116211,1995-03-14
11.108078956604004,1995-03-15
11.278972625732422,1995-03-16
11.16504192352295,1995-03-17
11.16504192352295,1995-03-20
11.335935592651367,1995-03-21
11.335935592651367,1995-03-22
11.335935592651367,1995-03-23
11.278972625732422,1995-03-24
11.278972625732422,1995-03-27
11.250484466552734,1995-03-28
11.051114082336426,1995-03-29
10.994148254394531,1995-03-30
10.994148254394531,1995-03-31
10.652361869812012,1995-04-03
10.481473922729492,1995-04-04
10.481473922729492,1995-04-05
10.766289710998535,1995-04-06
10.88022232055664,1995-04-07
10.937185287475586,1995-04-10
10.766289710998535,1995-04-11
10.88022232055664,1995-04-12
10.82325553894043,1995-04-13
10.766289710998535,1995-04-17
10.709328651428223,1995-04-18
10.595399856567383,1995-04-19
10.709328651428223,1995-04-20
10.709328651428223,1995-04-21
10.766289710998535,1995-04-24
10.82325553894043,1995-04-25
10.766289710998535,1995-04-26
10.709328651428223,1995-04-27
10.82325553894043,1995-04-28
10.481473922729492,1995-05-01
10.538435935974121,1995-05-02
10.994148254394531,1995-05-03
11.108078956604004,1995-05-04
11.051114082336426,1995-05-05
11.335935592651367,1995-05-08
11.335935592651367,1995-05-09
11.193525314331055,1995-05-10
11.051114082336426,1995-05-11
11.051114082336426,1995-05-12
10.994148254394531,1995-05-15
10.88022232055664,1995-05-16
10.994148254394531,1995-05-17
10.709328651428223,1995-05-18
10.652361869812012,1995-05-19
10.88022232055664,1995-05-22
10.652361869812012,1995-05-23
10.595399856567383,1995-05-24
10.54750919342041,1995-05-25
10.490498542785645,1995-05-26
10.604524612426758,1995-05-30
10.205423355102539,1995-05-31
9.92035961151123,1995-06-01
9.92035961151123,1995-06-02
9.94886302947998,1995-06-05
