MDB,Date
335.19000244140625,2020-12-15
336.989990234375,2020-12-16
372.8500061035156,2020-12-17
376.8699951171875,2020-12-18
383.2900085449219,2020-12-21
396.0,2020-12-22
376.2200012207031,2020-12-23
378.4800109863281,2020-12-24
363.0799865722656,2020-12-28
363.8599853515625,2020-12-29
365.1099853515625,2020-12-30
359.0400085449219,2020-12-31
350.4100036621094,2021-01-04
355.55999755859375,2021-01-05
335.29998779296875,2021-01-06
351.6700134277344,2021-01-07
359.8599853515625,2021-01-08
361.4599914550781,2021-01-11
370.79998779296875,2021-01-12
375.80999755859375,2021-01-13
364.4599914550781,2021-01-14
361.260009765625,2021-01-15
368.0,2021-01-19
368.80999755859375,2021-01-20
379.1400146484375,2021-01-21
384.1199951171875,2021-01-22
368.9800109863281,2021-01-25
355.95001220703125,2021-01-26
343.55999755859375,2021-01-27
371.0,2021-01-28
369.6099853515625,2021-01-29
374.8699951171875,2021-02-01
394.6499938964844,2021-02-02
395.8299865722656,2021-02-03
396.3599853515625,2021-02-04
412.6600036621094,2021-02-05
410.7799987792969,2021-02-08
405.4599914550781,2021-02-09
417.3399963378906,2021-02-10
418.1600036621094,2021-02-11
422.8500061035156,2021-02-12
408.2099914550781,2021-02-16
410.79998779296875,2021-02-17
402.5,2021-02-18
418.29998779296875,2021-02-19
392.55999755859375,2021-02-22
380.69000244140625,2021-02-23
398.1400146484375,2021-02-24
380.0,2021-02-25
385.92999267578125,2021-02-26
395.0400085449219,2021-03-01
379.92999267578125,2021-03-02
352.04998779296875,2021-03-03
328.2900085449219,2021-03-04
308.1700134277344,2021-03-05
287.04998779296875,2021-03-08
311.9200134277344,2021-03-09
294.45001220703125,2021-03-10
327.260009765625,2021-03-11
320.05999755859375,2021-03-12
323.29998779296875,2021-03-15
318.8299865722656,2021-03-16
316.19000244140625,2021-03-17
301.3399963378906,2021-03-18
302.67999267578125,2021-03-19
309.7699890136719,2021-03-22
305.0,2021-03-23
283.5799865722656,2021-03-24
272.510009765625,2021-03-25
265.7699890136719,2021-03-26
258.5,2021-03-29
259.69000244140625,2021-03-30
267.42999267578125,2021-03-31
290.3299865722656,2021-04-01
289.6000061035156,2021-04-05
296.5,2021-04-06
284.7900085449219,2021-04-07
296.75,2021-04-08
297.9599914550781,2021-04-09
304.2099914550781,2021-04-12
315.79998779296875,2021-04-13
309.0,2021-04-14
319.5899963378906,2021-04-15
315.8500061035156,2021-04-16
300.9200134277344,2021-04-19
297.6300048828125,2021-04-20
300.0299987792969,2021-04-21
306.69000244140625,2021-04-22
306.17999267578125,2021-04-23
321.2300109863281,2021-04-26
318.010009765625,2021-04-27
316.3999938964844,2021-04-28
300.4200134277344,2021-04-29
297.4599914550781,2021-04-30
287.5299987792969,2021-05-03
280.3599853515625,2021-05-04
271.989990234375,2021-05-05
256.6199951171875,2021-05-06
260.32000732421875,2021-05-07
254.38999938964844,2021-05-10
