TPR,Date
12.51539134979248,2004-01-08
12.396872520446777,2004-01-09
12.173382759094238,2004-01-12
11.88894271850586,2004-01-13
12.258038520812988,2004-01-14
12.210633277893066,2004-01-15
12.36639404296875,2004-01-16
12.173382759094238,2004-01-20
12.088726997375488,2004-01-21
12.207244873046875,2004-01-22
12.102272033691406,2004-01-23
11.943126678466797,2004-01-26
11.800901412963867,2004-01-27
11.563865661621094,2004-01-28
11.618047714233398,2004-01-29
11.997298240661621,2004-01-30
12.09211540222168,2004-02-02
12.278351783752441,2004-02-03
12.410415649414062,2004-02-04
12.681310653686523,2004-02-05
12.82353401184082,2004-02-06
12.884482383728027,2004-02-09
12.95220947265625,2004-02-10
13.084272384643555,2004-02-11
13.189241409301758,2004-02-12
12.98607063293457,2004-02-13
13.324692726135254,2004-02-17
13.47029972076416,2004-02-18
13.544795036315918,2004-02-19
13.328078269958496,2004-02-20
12.874326705932617,2004-02-23
13.1350679397583,2004-02-24
13.138448715209961,2004-02-25
13.20617389678955,2004-02-26
13.419501304626465,2004-02-27
14.13060474395752,2004-03-01
14.262670516967773,2004-03-02
14.381186485290527,2004-03-03
14.665627479553223,2004-03-04
14.64531135559082,2004-03-05
14.78752613067627,2004-03-08
14.245738983154297,2004-03-09
13.896960258483887,2004-03-10
13.707335472106934,2004-03-11
13.758123397827148,2004-03-12
13.578656196594238,2004-03-15
13.595587730407715,2004-03-16
13.92404556274414,2004-03-17
13.7716646194458,2004-03-18
13.649765014648438,2004-03-19
13.35178279876709,2004-03-22
13.500770568847656,2004-03-23
13.69378662109375,2004-03-24
14.076427459716797,2004-03-25
14.069652557373047,2004-03-26
14.25589370727539,2004-03-29
14.25589370727539,2004-03-30
13.88003158569336,2004-03-31
13.65315055847168,2004-04-01
13.951131820678711,2004-04-02
14.320237159729004,2004-04-05
14.404891014099121,2004-04-06
14.238964080810547,2004-04-07
13.9409818649292,2004-04-08
14.100129127502441,2004-04-12
13.79875659942627,2004-04-13
13.588817596435547,2004-04-14
13.680240631103516,2004-04-15
13.494001388549805,2004-04-16
13.375480651855469,2004-04-19
14.012088775634766,2004-04-20
14.330385208129883,2004-04-21
15.061808586120605,2004-04-22
14.899270057678223,2004-04-23
14.926363945007324,2004-04-26
15.237897872924805,2004-04-27
14.858638763427734,2004-04-28
14.584356307983398,2004-04-29
14.425202369689941,2004-04-30
14.814618110656738,2004-05-03
14.726577758789062,2004-05-04
14.851866722106934,2004-05-05
14.164467811584473,2004-05-06
13.984999656677246,2004-05-07
13.87663745880127,2004-05-10
14.245738983154297,2004-05-11
14.100129127502441,2004-05-12
13.92404556274414,2004-05-13
13.964679718017578,2004-05-14
13.416115760803223,2004-05-17
13.751350402832031,2004-05-18
13.805527687072754,2004-05-19
13.405963897705078,2004-05-20
13.578656196594238,2004-05-21
14.154309272766113,2004-05-24
14.408278465270996,2004-05-25
14.404891014099121,2004-05-26
14.59112548828125,2004-05-27
14.767213821411133,2004-05-28
14.865407943725586,2004-06-01
14.875566482543945,2004-06-02
14.767213821411133,2004-06-03
14.696098327636719,2004-06-04
15.031332015991211,2004-06-07
15.231117248535156,2004-06-08
15.231117248535156,2004-06-09
15.474926948547363,2004-06-10
14.939905166625977,2004-06-14
14.594514846801758,2004-06-15
14.696098327636719,2004-06-16
14.56065559387207,2004-06-17
14.499706268310547,2004-06-18
14.509858131408691,2004-06-21
14.865407943725586,2004-06-22
15.190486907958984,2004-06-23
15.373340606689453,2004-06-24
15.349630355834961,2004-06-25
15.325935363769531,2004-06-28
15.132913589477539,2004-06-29
15.302234649658203,2004-06-30
15.640852928161621,2004-07-01
15.606988906860352,2004-07-02
15.271758079528809,2004-07-06
15.600213050842285,2004-07-07
15.298840522766113,2004-07-08
15.53249454498291,2004-07-09
15.56635570526123,2004-07-12
15.549426078796387,2004-07-13
15.312386512756348,2004-07-14
15.024568557739258,2004-07-15
14.408278465270996,2004-07-16
14.28975772857666,2004-07-19
14.818002700805664,2004-07-20
14.509858131408691,2004-07-21
14.161078453063965,2004-07-22
13.812304496765137,2004-07-23
13.69378662109375,2004-07-26
14.2728271484375,2004-07-27
14.340545654296875,2004-07-28
14.652082443237305,2004-07-29
14.48953914642334,2004-07-30
14.574197769165039,2004-08-02
13.582047462463379,2004-08-03
12.90818977355957,2004-08-04
12.9454345703125,2004-08-05
12.698246955871582,2004-08-06
12.230951309204102,2004-08-09
12.671157836914062,2004-08-10
12.979301452636719,2004-08-11
12.57634162902832,2004-08-12
12.620362281799316,2004-08-13
13.04024887084961,2004-08-16
13.321307182312012,2004-08-17
13.405963897705078,2004-08-18
13.571883201599121,2004-08-19
13.900341987609863,2004-08-20
13.65315055847168,2004-08-23
13.680240631103516,2004-08-24
13.67007827758789,2004-08-25
13.87663745880127,2004-08-26
14.245738983154297,2004-08-27
14.150921821594238,2004-08-30
14.2728271484375,2004-08-31
14.279597282409668,2004-09-01
14.68255615234375,2004-09-02
14.74012279510498,2004-09-03
14.733346939086914,2004-09-07
14.9297513961792,2004-09-08
14.767213821411133,2004-09-09
15.190486907958984,2004-09-10
15.099061012268066,2004-09-13
15.004240989685059,2004-09-14
14.875566482543945,2004-09-15
14.773984909057617,2004-09-16
14.729957580566406,2004-09-17
14.65546703338623,2004-09-20
14.71641731262207,2004-09-21
14.37102222442627,2004-09-22
14.44891357421875,2004-09-23
14.59112548828125,2004-09-24
14.33716869354248,2004-09-27
14.435368537902832,2004-09-28
14.71981143951416,2004-09-29
14.364255905151367,2004-09-30
14.594514846801758,2004-10-01
14.574197769165039,2004-10-04
14.340545654296875,2004-10-05
14.594514846801758,2004-10-06
14.286373138427734,2004-10-07
14.127215385437012,2004-10-08
14.181395530700684,2004-10-11
13.707335472106934,2004-10-12
13.510931968688965,2004-10-13
13.578656196594238,2004-10-14
13.595587730407715,2004-10-15
13.680240631103516,2004-10-18
13.612515449523926,2004-10-19
13.433049201965332,2004-10-20
13.775057792663574,2004-10-21
14.137383460998535,2004-10-22
14.127215385437012,2004-10-25
15.088900566101074,2004-10-26
15.50878620147705,2004-10-27
15.569738388061523,2004-10-28
15.789841651916504,2004-10-29
15.610374450683594,2004-11-01
15.630692481994629,2004-11-02
15.847413063049316,2004-11-03
16.047195434570312,2004-11-04
16.27068328857422,2004-11-05
15.982856750488281,2004-11-08
15.942220687866211,2004-11-09
15.99301528930664,2004-11-10
16.057353973388672,2004-11-11
16.372270584106445,2004-11-12
16.67363929748535,2004-11-15
16.643169403076172,2004-11-16
16.61608123779297,2004-11-17
16.964855194091797,2004-11-18
16.473857879638672,2004-11-19
16.666868209838867,2004-11-22
16.84294891357422,2004-11-23
16.863264083862305,2004-11-24
16.84294891357422,2004-11-26
16.7582950592041,2004-11-29
16.876815795898438,2004-11-30
17.279762268066406,2004-12-01
17.828344345092773,2004-12-02
17.763994216918945,2004-12-03
17.852035522460938,2004-12-06
17.750446319580078,2004-12-07
17.88928985595703,2004-12-08
17.902828216552734,2004-12-09
18.156795501708984,2004-12-10
18.91530990600586,2004-12-13
18.94917106628418,2004-12-14
18.705360412597656,2004-12-15
18.705360412597656,2004-12-16
18.586843490600586,2004-12-17
18.624086380004883,2004-12-20
18.471702575683594,2004-12-21
18.67150115966797,2004-12-22
18.72906494140625,2004-12-23
18.867895126342773,2004-12-27
19.28101921081543,2004-12-28
19.3216495513916,2004-12-29
19.23360824584961,2004-12-30
19.098163604736328,2004-12-31
18.65795135498047,2005-01-03
18.234676361083984,2005-01-04
18.25160789489746,2005-01-05
18.62748146057129,2005-01-06
18.742612838745117,2005-01-07
18.996572494506836,2005-01-10
18.85773468017578,2005-01-11
18.590227127075195,2005-01-12
18.630863189697266,2005-01-13
18.884824752807617,2005-01-14
19.17266273498535,2005-01-18
18.793405532836914,2005-01-19
18.556367874145508,2005-01-20
18.197425842285156,2005-01-21
17.88589859008789,2005-01-24
18.502180099487305,2005-01-25
18.224517822265625,2005-01-26
18.30240249633789,2005-01-27
18.597000122070312,2005-01-28
18.996572494506836,2005-01-31
19.030433654785156,2005-02-01
19.067684173583984,2005-02-02
19.07445526123047,2005-02-03
18.8272647857666,2005-02-04
19.030433654785156,2005-02-07
18.705360412597656,2005-02-08
18.163570404052734,2005-02-09
18.285472869873047,2005-02-10
18.38706398010254,2005-02-11
18.11615753173828,2005-02-14
18.153413772583008,2005-02-15
18.42091941833496,2005-02-16
18.593618392944336,2005-02-17
18.793405532836914,2005-02-18
18.33965301513672,2005-02-22
18.641019821166992,2005-02-23
18.864513397216797,2005-02-24
19.182809829711914,2005-02-25
18.803558349609375,2005-02-28
18.993194580078125,2005-03-01
19.385982513427734,2005-03-02
20.10386085510254,2005-03-03
20.14788246154785,2005-03-04
20.120790481567383,2005-03-07
19.650104522705078,2005-03-08
19.4774169921875,2005-03-09
19.792333602905273,2005-03-10
20.0225830078125,2005-03-11
19.93793296813965,2005-03-14
19.79571533203125,2005-03-15
19.389366149902344,2005-03-16
19.389366149902344,2005-03-17
19.176044464111328,2005-03-18
18.894987106323242,2005-03-21
19.05752182006836,2005-03-22
18.854354858398438,2005-03-23
19.08799934387207,2005-03-24
19.318265914916992,2005-03-28
18.983028411865234,2005-03-29
19.247148513793945,2005-03-30
19.176044464111328,2005-03-31
18.820491790771484,2005-04-01
19.060916900634766,2005-04-04
19.48418617248535,2005-04-05
19.4367733001709,2005-04-06
19.19974136352539,2005-04-07
18.86112403869629,2005-04-08
18.678272247314453,2005-04-11
18.834033966064453,2005-04-12
18.67150115966797,2005-04-13
17.89944076538086,2005-04-14
17.079986572265625,2005-04-15
17.10030746459961,2005-04-18
17.648868560791016,2005-04-19
17.256067276000977,2005-04-20
17.69626808166504,2005-04-21
17.445693969726562,2005-04-22
17.824949264526367,2005-04-25
18.800172805786133,2005-04-26
