UBER,Date
30.040000915527344,2022-11-16
28.8799991607666,2022-11-17
28.959999084472656,2022-11-18
28.25,2022-11-21
28.079999923706055,2022-11-22
28.790000915527344,2022-11-23
28.5,2022-11-25
27.760000228881836,2022-11-28
27.760000228881836,2022-11-29
29.139999389648438,2022-11-30
28.34000015258789,2022-12-01
28.75,2022-12-02
27.700000762939453,2022-12-05
26.920000076293945,2022-12-06
26.399999618530273,2022-12-07
26.450000762939453,2022-12-08
26.549999237060547,2022-12-09
27.030000686645508,2022-12-12
26.979999542236328,2022-12-13
27.469999313354492,2022-12-14
26.239999771118164,2022-12-15
25.969999313354492,2022-12-16
24.950000762939453,2022-12-19
