TXT,Date
30.095748901367188,1998-04-13
30.142562866210938,1998-04-14
30.212779998779297,1998-04-15
30.002155303955078,1998-04-16
30.095748901367188,1998-04-17
29.791526794433594,1998-04-20
29.580913543701172,1998-04-21
30.11917495727539,1998-04-22
29.814905166625977,1998-04-23
29.112863540649414,1998-04-24
28.270374298095703,1998-04-27
27.63848876953125,1998-04-28
28.340566635131836,1998-04-29
29.300077438354492,1998-04-30
29.44049835205078,1998-05-01
29.417089462280273,1998-05-04
28.785200119018555,1998-05-05
29.20645523071289,1998-05-06
29.20645523071289,1998-05-07
29.534101486206055,1998-05-08
29.791526794433594,1998-05-11
29.955354690551758,1998-05-12
29.861726760864258,1998-05-13
29.627708435058594,1998-05-14
29.276674270629883,1998-05-15
28.83201789855957,1998-05-18
28.761816024780273,1998-05-19
28.925643920898438,1998-05-20
28.62140655517578,1998-05-21
28.12993812561035,1998-05-22
27.334257125854492,1998-05-26
27.170440673828125,1998-05-27
27.7554988861084,1998-05-28
27.778907775878906,1998-05-29
27.61508560180664,1998-06-01
27.217233657836914,1998-06-02
26.678977966308594,1998-06-03
26.304550170898438,1998-06-04
26.796003341674805,1998-06-05
27.217233657836914,1998-06-08
27.193828582763672,1998-06-09
27.34795570373535,1998-06-10
27.20700454711914,1998-06-11
27.41844940185547,1998-06-12
27.277475357055664,1998-06-15
27.113008499145508,1998-06-16
27.34795570373535,1998-06-17
27.582914352416992,1998-06-18
27.394954681396484,1998-06-19
27.230487823486328,1998-06-22
26.97203826904297,1998-06-23
27.253976821899414,1998-06-24
27.725215911865234,1998-06-25
27.204774856567383,1998-06-26
27.441349029541016,1998-06-29
27.133825302124023,1998-06-30
27.725215911865234,1998-07-01
27.65424919128418,1998-07-02
27.559627532958984,1998-07-06
27.677913665771484,1998-07-07
27.65424919128418,1998-07-08
27.701566696166992,1998-07-09
27.701566696166992,1998-07-10
27.630590438842773,1998-07-13
27.86715316772461,1998-07-14
27.819862365722656,1998-07-15
28.340295791625977,1998-07-16
28.4112491607666,1998-07-17
27.961776733398438,1998-07-20
27.819862365722656,1998-07-21
28.695133209228516,1998-07-22
28.009090423583984,1998-07-23
27.559627532958984,1998-07-24
28.10373306274414,1998-07-27
28.340295791625977,1998-07-28
28.387582778930664,1998-07-29
28.95536231994629,1998-07-30
27.961776733398438,1998-07-31
28.009090423583984,1998-08-03
26.660676956176758,1998-08-04
27.275754928588867,1998-08-05
27.2520809173584,1998-08-06
26.968212127685547,1998-08-07
26.897258758544922,1998-08-10
25.359588623046875,1998-08-11
26.613380432128906,1998-08-12
25.998313903808594,1998-08-13
25.335935592651367,1998-08-14
25.80904769897461,1998-08-17
25.998313903808594,1998-08-18
25.880023956298828,1998-08-19
26.30584144592285,1998-08-20
26.40045738220215,1998-08-21
26.731660842895508,1998-08-24
27.133825302124023,1998-08-25
26.968212127685547,1998-08-26
25.477869033813477,1998-08-27
25.099365234375,1998-08-28
23.750951766967773,1998-08-31
24.69721031188965,1998-09-01
24.43698501586914,1998-09-02
23.65633773803711,1998-09-03
23.41977310180664,1998-09-04
