NWSA,Date
22.409807205200195,2021-10-29
23.016536712646484,2021-11-01
23.016536712646484,2021-11-02
22.840391159057617,2021-11-03
22.967605590820312,2021-11-04
23.84834098815918,2021-11-05
23.535188674926758,2021-11-08
23.2220401763916,2021-11-09
22.996965408325195,2021-11-10
23.094825744628906,2021-11-11
23.30032730102539,2021-11-12
22.957820892333984,2021-11-15
23.124181747436523,2021-11-16
22.89910316467285,2021-11-17
22.722959518432617,2021-11-18
21.65629005432129,2021-11-19
21.95965576171875,2021-11-22
21.67586326599121,2021-11-23
21.509502410888672,2021-11-24
20.990846633911133,2021-11-26
21.35292625427246,2021-11-29
21.157207489013672,2021-11-30
20.638551712036133,2021-12-01
21.23549461364746,2021-12-02
21.294212341308594,2021-12-03
21.42142677307129,2021-12-06
21.519287109375,2021-12-07
21.6954345703125,2021-12-08
21.303997039794922,2021-12-09
21.392070770263672,2021-12-10
20.990846633911133,2021-12-13
20.560266494750977,2021-12-14
20.795129776000977,2021-12-15
20.902774810791016,2021-12-16
20.824485778808594,2021-12-17
20.433046340942383,2021-12-20
21.23549461364746,2021-12-21
21.323570251464844,2021-12-22
21.852008819580078,2021-12-23
22.096656799316406,2021-12-27
22.174943923950195,2021-12-28
22.086872100830078,2021-12-29
22.018369674682617,2021-12-30
21.832435607910156,2021-12-31
22.2825927734375,2022-01-03
22.106443405151367,2022-01-04
21.36271095275879,2022-01-05
22.0477294921875,2022-01-06
22.018369674682617,2022-01-07
21.754148483276367,2022-01-10
21.969440460205078,2022-01-11
22.12601661682129,2022-01-12
22.468524932861328,2022-01-13
22.233661651611328,2022-01-14
21.71500587463379,2022-01-18
21.558433532714844,2022-01-19
21.284425735473633,2022-01-20
20.981061935424805,2022-01-21
21.529071807861328,2022-01-24
21.215923309326172,2022-01-25
20.902774810791016,2022-01-26
20.628767013549805,2022-01-27
21.294212341308594,2022-01-28
21.763935089111328,2022-01-31
21.78350830078125,2022-02-01
21.89115333557129,2022-02-02
21.969440460205078,2022-02-03
22.018369674682617,2022-02-04
21.969440460205078,2022-02-07
22.360877990722656,2022-02-08
22.957820892333984,2022-02-09
22.693599700927734,2022-02-10
22.1651611328125,2022-02-11
21.80307960510254,2022-02-14
22.644670486450195,2022-02-15
23.173110961914062,2022-02-16
22.27280616760254,2022-02-17
21.67586326599121,2022-02-18
21.41164207458496,2022-02-22
20.912559509277344,2022-02-23
21.108278274536133,2022-02-24
21.80307960510254,2022-02-25
21.842222213745117,2022-02-28
21.08870506286621,2022-03-01
22.0477294921875,2022-03-02
21.303997039794922,2022-03-03
20.765769958496094,2022-03-04
19.84589195251465,2022-03-07
19.894821166992188,2022-03-08
20.677696228027344,2022-03-09
20.530906677246094,2022-03-10
20.511333465576172,2022-03-11
20.658124923706055,2022-03-14
20.74661636352539,2022-03-15
21.26774024963379,2022-03-16
22.044509887695312,2022-03-17
21.76919937133789,2022-03-18
21.631542205810547,2022-03-21
21.867523193359375,2022-03-22
21.55288314819336,2022-03-23
22.172330856323242,2022-03-24
22.201828002929688,2022-03-25
22.13300132751465,2022-03-28
22.57546615600586,2022-03-29
22.388648986816406,2022-03-30
21.77903175354004,2022-03-31
21.562715530395508,2022-04-01
21.739704132080078,2022-04-04
21.631542205810547,2022-04-05
21.307069778442383,2022-04-06
20.943267822265625,2022-04-07
20.982595443725586,2022-04-08
20.74661636352539,2022-04-11
20.608959197998047,2022-04-12
21.26774024963379,2022-04-13
20.815444946289062,2022-04-14
20.82527732849121,2022-04-18
21.366065979003906,2022-04-19
21.50372314453125,2022-04-20
20.992427825927734,2022-04-21
20.510635375976562,2022-04-22
20.53030014038086,2022-04-25
19.714200973510742,2022-04-26
19.920684814453125,2022-04-27
20.078004837036133,2022-04-28
19.52738380432129,2022-04-29
19.8813533782959,2022-05-02
19.87152099609375,2022-05-03
20.500802993774414,2022-05-04
19.399560928344727,2022-05-05
16.823442459106445,2022-05-06
17.2069091796875,2022-05-09
17.275737762451172,2022-05-10
16.61695671081543,2022-05-11
17.088918685913086,2022-05-12
17.541215896606445,2022-05-13
17.33473014831543,2022-05-16
17.954179763793945,2022-05-17
17.187244415283203,2022-05-18
17.2069091796875,2022-05-19
17.315067291259766,2022-05-20
17.128250122070312,2022-05-23
16.272817611694336,2022-05-24
16.56779670715332,2022-05-25
16.941431045532227,2022-05-26
17.383895874023438,2022-05-27
17.108583450317383,2022-05-31
16.92176628112793,2022-06-01
17.41339111328125,2022-06-02
16.91193389892578,2022-06-03
17.088918685913086,2022-06-06
17.275737762451172,2022-06-07
16.92176628112793,2022-06-08
16.57762908935547,2022-06-09
16.2924861907959,2022-06-10
15.40755844116211,2022-06-13
15.289568901062012,2022-06-14
15.279736518859863,2022-06-15
15.16174602508545,2022-06-16
15.240406036376953,2022-06-17
14.965094566345215,2022-06-21
14.8471040725708,2022-06-22
14.984760284423828,2022-06-23
15.515715599060059,2022-06-24
15.476386070251465,2022-06-27
15.230572700500488,2022-06-28
15.063420295715332,2022-06-29
15.319066047668457,2022-06-30
15.486218452453613,2022-07-01
15.3682279586792,2022-07-05
15.319066047668457,2022-07-06
15.574710845947266,2022-07-07
15.486218452453613,2022-07-08
15.14207935333252,2022-07-11
15.387892723083496,2022-07-12
15.230572700500488,2022-07-13
14.984760284423828,2022-07-14
15.466553688049316,2022-07-15
15.446887969970703,2022-07-18
16.03683853149414,2022-07-19
16.34164810180664,2022-07-20
16.548131942749023,2022-07-21
16.597291946411133,2022-07-22
16.61695671081543,2022-07-25
16.42030906677246,2022-07-26
16.764446258544922,2022-07-27
16.813610076904297,2022-07-28
16.852937698364258,2022-07-29
16.84310531616211,2022-08-01
16.71528434753418,2022-08-02
17.21674156188965,2022-08-03
17.088918685913086,2022-08-04
16.725114822387695,2022-08-05
17.07908821105957,2022-08-08
17.964014053344727,2022-08-09
18.14099884033203,2022-08-10
18.357315063476562,2022-08-11
18.514633178710938,2022-08-12
18.180328369140625,2022-08-15
18.278656005859375,2022-08-16
18.023008346557617,2022-08-17
17.973848342895508,2022-08-18
17.600208282470703,2022-08-19
17.157747268676758,2022-08-22
17.020092010498047,2022-08-23
17.187244415283203,2022-08-24
17.43305778503418,2022-08-25
17.059423446655273,2022-08-26
17.00042724609375,2022-08-29
16.813610076904297,2022-08-30
16.63662338256836,2022-08-31
16.63662338256836,2022-09-01
16.675952911376953,2022-09-02
16.174497604370117,2022-09-06
16.538297653198242,2022-09-07
16.518632888793945,2022-09-08
17.177410125732422,2022-09-09
17.315067291259766,2022-09-12
16.642637252807617,2022-09-13
16.672304153442383,2022-09-14
