K,Date
40.38069152832031,2013-11-21
40.85814666748047,2013-11-22
40.63577651977539,2013-11-25
40.37416458129883,2013-11-26
40.136756896972656,2013-11-27
39.9785270690918,2013-11-29
39.94556427001953,2013-12-02
40.30157470703125,2013-12-03
40.14994430541992,2013-12-04
39.9389762878418,2013-12-05
40.6378059387207,2013-12-06
40.83559036254883,2013-12-09
40.275203704833984,2013-12-10
40.242225646972656,2013-12-11
39.9785270690918,2013-12-12
39.88623046875,2013-12-13
39.8400764465332,2013-12-16
39.78074264526367,2013-12-17
39.906002044677734,2013-12-18
39.952152252197266,2013-12-19
39.89940643310547,2013-12-20
39.78074264526367,2013-12-23
39.72140121459961,2013-12-24
40.03127670288086,2013-12-26
40.20268249511719,2013-12-27
40.38728713989258,2013-12-30
40.262020111083984,2013-12-31
40.09060287475586,2014-01-02
39.9389762878418,2014-01-03
39.72140121459961,2014-01-06
40.084022521972656,2014-01-07
39.67525863647461,2014-01-08
39.74119567871094,2014-01-09
40.07082748413086,2014-01-10
39.8400764465332,2014-01-13
40.14335250854492,2014-01-14
40.281795501708984,2014-01-15
40.40706253051758,2014-01-16
39.866451263427734,2014-01-17
40.05764389038086,2014-01-21
40.22246170043945,2014-01-22
39.88623046875,2014-01-23
39.444515228271484,2014-01-24
39.46428680419922,2014-01-27
39.576358795166016,2014-01-28
38.48196792602539,2014-01-29
38.32373809814453,2014-01-30
38.224853515625,2014-01-31
37.51282501220703,2014-02-03
37.75016784667969,2014-02-04
37.82268524169922,2014-02-05
38.06661605834961,2014-02-06
38.47538375854492,2014-02-07
39.11487579345703,2014-02-10
39.47089385986328,2014-02-11
39.16761779785156,2014-02-12
39.21377182006836,2014-02-13
39.681846618652344,2014-02-14
39.63571548461914,2014-02-18
39.37858581542969,2014-02-19
39.714820861816406,2014-02-20
39.523624420166016,2014-02-21
40.024681091308594,2014-02-24
40.09720230102539,2014-02-25
39.77415084838867,2014-02-26
39.662071228027344,2014-02-27
40.01150131225586,2014-02-28
39.99830627441406,2014-03-03
40.71604537963867,2014-03-04
40.729339599609375,2014-03-05
40.829044342041016,2014-03-06
40.942039489746094,2014-03-07
40.99519729614258,2014-03-10
41.00851058959961,2014-03-11
41.2544059753418,2014-03-12
41.1945915222168,2014-03-13
40.476776123046875,2014-03-14
40.44355010986328,2014-03-17
41.108192443847656,2014-03-18
41.0284423828125,2014-03-19
41.12813186645508,2014-03-20
40.92874526977539,2014-03-21
40.80910110473633,2014-03-24
40.96196746826172,2014-03-25
41.001853942871094,2014-03-26
41.048370361328125,2014-03-27
41.29430389404297,2014-03-28
41.67978286743164,2014-03-31
41.619972229003906,2014-04-01
41.63991165161133,2014-04-02
44.12566375732422,2014-04-03
42.38431167602539,2014-04-04
43.24169921875,2014-04-07
42.776458740234375,2014-04-08
43.93292999267578,2014-04-09
43.60724639892578,2014-04-10
43.65377426147461,2014-04-11
43.56072235107422,2014-04-14
43.34140396118164,2014-04-15
43.85316467285156,2014-04-16
44.092445373535156,2014-04-17
43.85316467285156,2014-04-21
44.05256271362305,2014-04-22
44.225372314453125,2014-04-23
44.218719482421875,2014-04-24
44.33836364746094,2014-04-25
44.723854064941406,2014-04-28
44.54439163208008,2014-04-29
44.418113708496094,2014-04-30
43.44773483276367,2014-05-01
43.60060119628906,2014-05-02
43.23504638671875,2014-05-05
43.42780303955078,2014-05-06
43.912986755371094,2014-05-07
43.88639831542969,2014-05-08
44.67068862915039,2014-05-09
45.47489547729492,2014-05-12
45.26885986328125,2014-05-13
44.916595458984375,2014-05-14
44.6839714050293,2014-05-15
44.890018463134766,2014-05-16
44.929901123046875,2014-05-19
45.05616760253906,2014-05-20
45.05616760253906,2014-05-21
44.96311950683594,2014-05-22
44.9033088684082,2014-05-23
45.182456970214844,2014-05-27
45.20905303955078,2014-05-28
46.012332916259766,2014-05-29
46.17970275878906,2014-05-30
46.27342224121094,2014-06-02
46.246646881103516,2014-06-03
46.45417785644531,2014-06-04
46.085975646972656,2014-06-05
46.13283157348633,2014-06-06
45.603965759277344,2014-06-09
45.56378936767578,2014-06-10
45.26252365112305,2014-06-11
45.00813674926758,2014-06-12
44.9947509765625,2014-06-13
45.14873123168945,2014-06-16
44.65332794189453,2014-06-17
44.747047424316406,2014-06-18
44.807289123535156,2014-06-19
45.014835357666016,2014-06-20
44.47256088256836,2014-06-23
44.09767150878906,2014-06-24
43.448280334472656,2014-06-25
43.39473342895508,2014-06-26
43.48844909667969,2014-06-27
43.98385238647461,2014-06-30
44.09096908569336,2014-07-01
44.218170166015625,2014-07-02
44.45915985107422,2014-07-03
44.09096908569336,2014-07-07
44.2248649597168,2014-07-08
44.25164031982422,2014-07-09
44.1043586730957,2014-07-10
44.151222229003906,2014-07-11
44.318580627441406,2014-07-14
43.890132904052734,2014-07-15
44.198081970214844,2014-07-16
44.12445068359375,2014-07-17
44.29851150512695,2014-07-18
44.25164031982422,2014-07-21
44.36545181274414,2014-07-22
43.80979537963867,2014-07-23
43.97046661376953,2014-07-24
43.7629280090332,2014-07-25
43.80979537963867,2014-07-28
43.44158172607422,2014-07-29
42.665008544921875,2014-07-30
40.05408477783203,2014-07-31
41.13193130493164,2014-08-01
41.547000885009766,2014-08-04
41.10515213012695,2014-08-05
42.02901840209961,2014-08-06
41.76123046875,2014-08-07
42.33696746826172,2014-08-08
42.71856689453125,2014-08-11
42.47755432128906,2014-08-12
42.832374572753906,2014-08-13
42.84576416015625,2014-08-14
43.0332145690918,2014-08-15
43.046600341796875,2014-08-18
43.16040802001953,2014-08-19
43.39473342895508,2014-08-20
43.43489074707031,2014-08-21
43.046600341796875,2014-08-22
43.4148063659668,2014-08-25
43.34785842895508,2014-08-26
43.70267105102539,2014-08-27
43.69717025756836,2014-08-28
43.84565353393555,2014-08-29
43.72416687011719,2014-09-02
43.72416687011719,2014-09-03
43.81865692138672,2014-09-04
44.00086212158203,2014-09-05
43.487979888916016,2014-09-08
43.40699768066406,2014-09-09
43.487979888916016,2014-09-10
43.656681060791016,2014-09-11
43.1168098449707,2014-09-12
43.008827209472656,2014-09-15
43.103309631347656,2014-09-16
42.381202697753906,2014-09-17
42.44194030761719,2014-09-18
42.28672409057617,2014-09-19
42.03702163696289,2014-09-22
41.58486557006836,2014-09-23
42.077518463134766,2014-09-24
41.62535095214844,2014-09-25
41.67259979248047,2014-09-26
41.71308135986328,2014-09-29
41.571380615234375,2014-09-30
40.93024444580078,2014-10-01
40.97749710083008,2014-10-02
41.294677734375,2014-10-03
41.13271713256836,2014-10-06
40.613075256347656,2014-10-07
41.24744415283203,2014-10-08
40.94375228881836,2014-10-09
40.69404602050781,2014-10-10
40.28913497924805,2014-10-13
40.61981201171875,2014-10-14
40.43085479736328,2014-10-15
40.322879791259766,2014-10-16
41.112464904785156,2014-10-17
41.67934036254883,2014-10-20
41.63886642456055,2014-10-21
41.86831283569336,2014-10-22
41.66585159301758,2014-10-23
41.80081558227539,2014-10-24
41.9088020324707,2014-10-27
42.34746170043945,2014-10-28
42.158504486083984,2014-10-29
43.2180290222168,2014-10-30
43.164039611816406,2014-10-31
43.25852966308594,2014-11-03
42.98857116699219,2014-11-04
43.083065032958984,2014-11-05
43.5487060546875,2014-11-06
