MS,Date
41.901676177978516,2019-04-30
41.31113815307617,2019-05-01
41.519569396972656,2019-05-02
41.736671447753906,2019-05-03
41.43272399902344,2019-05-06
40.56429672241211,2019-05-07
40.40797424316406,2019-05-08
40.338504791259766,2019-05-09
40.24298095703125,2019-05-10
38.3671760559082,2019-05-13
38.21953582763672,2019-05-14
38.12401580810547,2019-05-15
38.454017639160156,2019-05-16
38.10664749145508,2019-05-17
38.09795379638672,2019-05-20
38.54954147338867,2019-05-21
37.7679557800293,2019-05-22
37.09058380126953,2019-05-23
37.30769729614258,2019-05-24
36.621620178222656,2019-05-28
36.638999938964844,2019-05-29
36.32637023925781,2019-05-30
35.336360931396484,2019-05-31
35.371089935302734,2019-06-03
36.89084243774414,2019-06-04
36.84741973876953,2019-06-05
37.177425384521484,2019-06-06
37.08190155029297,2019-06-07
37.594276428222656,2019-06-10
37.924278259277344,2019-06-11
37.012420654296875,2019-06-12
37.29900360107422,2019-06-13
37.18611145019531,2019-06-14
36.91689682006836,2019-06-17
37.63768768310547,2019-06-18
37.46400833129883,2019-06-19
37.74190139770508,2019-06-20
37.84611511230469,2019-06-21
37.403221130371094,2019-06-24
37.04716491699219,2019-06-25
37.333736419677734,2019-06-26
37.7679557800293,2019-06-27
38.04585647583008,2019-06-28
38.16743850708008,2019-07-01
38.0632209777832,2019-07-02
38.20216751098633,2019-07-03
38.39323043823242,2019-07-05
37.7679557800293,2019-07-08
38.019798278808594,2019-07-09
37.61164474487305,2019-07-10
38.3671760559082,2019-07-11
38.966392517089844,2019-07-12
38.58428192138672,2019-07-15
38.58428192138672,2019-07-16
38.01112365722656,2019-07-17
38.58428192138672,2019-07-18
38.54954147338867,2019-07-19
38.64506530761719,2019-07-22
39.1661262512207,2019-07-23
39.51349639892578,2019-07-24
38.966392517089844,2019-07-25
39.72193145751953,2019-07-26
39.279022216796875,2019-07-29
39.09522247314453,2019-07-30
38.99895477294922,2019-07-31
37.5723876953125,2019-08-01
36.86346435546875,2019-08-02
35.4368896484375,2019-08-05
36.075782775878906,2019-08-06
35.49815368652344,2019-08-07
36.11954116821289,2019-08-08
36.32084274291992,2019-08-09
35.3231086730957,2019-08-12
35.611934661865234,2019-08-13
34.421653747558594,2019-08-14
34.22035217285156,2019-08-15
34.95552444458008,2019-08-16
35.33185577392578,2019-08-19
34.92052459716797,2019-08-20
34.95552444458008,2019-08-21
35.244354248046875,2019-08-22
34.421653747558594,2019-08-23
35.1480712890625,2019-08-26
34.82426071166992,2019-08-27
35.34062576293945,2019-08-28
36.13705062866211,2019-08-29
36.31209182739258,2019-08-30
35.87449645996094,2019-09-03
36.34709548950195,2019-09-04
37.16978073120117,2019-09-05
36.915985107421875,2019-09-06
37.72991180419922,2019-09-09
38.14125442504883,2019-09-10
38.456329345703125,2019-09-11
38.78891372680664,2019-09-12
39.52408218383789,2019-09-13
39.165245056152344,2019-09-16
38.69264221191406,2019-09-17
38.82392120361328,2019-09-18
38.52635955810547,2019-09-19
38.22003173828125,2019-09-20
38.123756408691406,2019-09-23
37.23105239868164,2019-09-24
37.66865158081055,2019-09-25
37.30106735229492,2019-09-26
37.49361801147461,2019-09-27
37.34483337402344,2019-09-30
36.21582794189453,2019-10-01
35.2093391418457,2019-10-02
35.22684097290039,2019-10-03
35.69070816040039,2019-10-04
35.60318374633789,2019-10-07
34.850502014160156,2019-10-08
35.39313507080078,2019-10-09
35.927001953125,2019-10-10
36.697181701660156,2019-10-11
36.97724533081055,2019-10-14
37.2223014831543,2019-10-15
37.44985580444336,2019-10-16
38.01873016357422,2019-10-17
38.211273193359375,2019-10-18
39.366539001464844,2019-10-21
39.71662139892578,2019-10-22
40.180484771728516,2019-10-23
40.04920196533203,2019-10-24
40.58306884765625,2019-10-25
40.99441146850586,2019-10-28
40.98567581176758,2019-10-29
40.79166793823242,2019-10-30
40.60649108886719,2019-10-31
41.735191345214844,2019-11-01
43.0578727722168,2019-11-04
42.98733139038086,2019-11-05
42.819786071777344,2019-11-06
42.90796661376953,2019-11-07
43.340049743652344,2019-11-08
43.28713607788086,2019-11-11
43.21659851074219,2019-11-12
42.669883728027344,2019-11-13
42.86388397216797,2019-11-14
43.19895935058594,2019-11-15
43.234230041503906,2019-11-18
43.49877166748047,2019-11-19
43.295963287353516,2019-11-20
43.06669235229492,2019-11-21
43.42823028564453,2019-11-22
44.05429458618164,2019-11-25
43.56930923461914,2019-11-26
43.89558029174805,2019-11-27
