D,Date
13.531249046325684,2003-10-22
13.427203178405762,2003-10-23
13.393987655639648,2003-10-24
13.405064582824707,2003-10-27
13.45598316192627,2003-10-28
13.608742713928223,2003-10-29
13.5556058883667,2003-10-30
13.637520790100098,2003-10-31
13.653017044067383,2003-11-03
13.54232120513916,2003-11-04
13.599883079528809,2003-11-05
13.537899017333984,2003-11-06
13.50910758972168,2003-11-07
13.54232120513916,2003-11-10
13.535686492919922,2003-11-11
13.495832443237305,2003-11-12
13.593244552612305,2003-11-13
13.495832443237305,2003-11-14
13.387351989746094,2003-11-17
13.141615867614746,2003-11-18
13.28773021697998,2003-11-19
13.265588760375977,2003-11-20
13.316507339477539,2003-11-21
13.436062812805176,2003-11-24
13.44491195678711,2003-11-25
13.481834411621094,2003-11-26
13.486310958862305,2003-11-28
13.622807502746582,2003-12-01
13.727972030639648,2003-12-02
13.49973201751709,2003-12-03
13.593718528747559,2003-12-04
13.604905128479004,2003-12-05
13.768250465393066,2003-12-08
13.640707969665527,2003-12-09
13.627277374267578,2003-12-10
13.63623046875,2003-12-11
13.609383583068848,2003-12-12
13.649652481079102,2003-12-15
13.564624786376953,2003-12-16
13.687704086303711,2003-12-17
13.89803695678711,2003-12-18
14.003209114074707,2003-12-19
14.112847328186035,2003-12-22
14.2650146484375,2003-12-23
14.287388801574707,2003-12-24
14.316474914550781,2003-12-26
14.36123275756836,2003-12-29
14.394789695739746,2003-12-30
14.282909393310547,2003-12-31
14.32319164276123,2004-01-02
14.179975509643555,2004-01-05
14.086002349853516,2004-01-06
14.056904792785645,2004-01-07
13.873419761657715,2004-01-08
13.821954727172852,2004-01-09
13.839862823486328,2004-01-12
13.906991004943848,2004-01-13
14.04796314239502,2004-01-14
13.821954727172852,2004-01-15
13.739169120788574,2004-01-16
13.873419761657715,2004-01-20
14.041242599487305,2004-01-21
14.119563102722168,2004-01-22
13.962928771972656,2004-01-23
14.059147834777832,2004-01-26
14.148658752441406,2004-01-27
14.32542610168457,2004-01-28
14.4171724319458,2004-01-29
14.3567533493042,2004-01-30
14.282909393310547,2004-02-02
14.2650146484375,2004-02-03
14.144181251525879,2004-02-04
14.041242599487305,2004-02-05
14.164322853088379,2004-02-06
14.141940116882324,2004-02-09
14.253820419311523,2004-02-10
14.29186725616455,2004-02-11
14.141940116882324,2004-02-12
14.101655960083008,2004-02-13
