EW,Date
21.066667556762695,2015-05-08
21.178333282470703,2015-05-11
21.7450008392334,2015-05-12
21.386667251586914,2015-05-13
21.760000228881836,2015-05-14
21.90166664123535,2015-05-15
21.953332901000977,2015-05-18
21.84666633605957,2015-05-19
22.059999465942383,2015-05-20
21.969999313354492,2015-05-21
21.81333351135254,2015-05-22
21.426666259765625,2015-05-26
21.741666793823242,2015-05-27
21.774999618530273,2015-05-28
21.786666870117188,2015-05-29
22.031667709350586,2015-06-01
21.875,2015-06-02
22.02833366394043,2015-06-03
21.933332443237305,2015-06-04
22.149999618530273,2015-06-05
22.15166664123535,2015-06-08
22.21666717529297,2015-06-09
22.450000762939453,2015-06-10
22.52833366394043,2015-06-11
22.26333236694336,2015-06-12
22.266666412353516,2015-06-15
22.985000610351562,2015-06-16
23.600000381469727,2015-06-17
24.183332443237305,2015-06-18
24.36166763305664,2015-06-19
24.053333282470703,2015-06-22
24.104999542236328,2015-06-23
23.809999465942383,2015-06-24
24.101667404174805,2015-06-25
24.34666633605957,2015-06-26
23.725000381469727,2015-06-29
23.738332748413086,2015-06-30
23.933332443237305,2015-07-01
23.741666793823242,2015-07-02
24.18666648864746,2015-07-06
24.579999923706055,2015-07-07
23.836666107177734,2015-07-08
24.178333282470703,2015-07-09
24.52666664123535,2015-07-10
25.351667404174805,2015-07-13
25.383333206176758,2015-07-14
25.434999465942383,2015-07-15
25.7450008392334,2015-07-16
25.71666717529297,2015-07-17
25.668333053588867,2015-07-20
26.010000228881836,2015-07-21
26.1200008392334,2015-07-22
26.041667938232422,2015-07-23
25.850000381469727,2015-07-24
25.453332901000977,2015-07-27
25.96666717529297,2015-07-28
25.626667022705078,2015-07-29
25.516666412353516,2015-07-30
25.360000610351562,2015-07-31
25.18166732788086,2015-08-03
24.895000457763672,2015-08-04
25.020000457763672,2015-08-05
24.046667098999023,2015-08-06
23.98666763305664,2015-08-07
24.083332061767578,2015-08-10
23.968332290649414,2015-08-11
24.020000457763672,2015-08-12
24.066667556762695,2015-08-13
23.883333206176758,2015-08-14
24.128332138061523,2015-08-17
24.211666107177734,2015-08-18
24.31166648864746,2015-08-19
23.816667556762695,2015-08-20
23.31166648864746,2015-08-21
22.321666717529297,2015-08-24
22.625,2015-08-25
23.358333587646484,2015-08-26
24.264999389648438,2015-08-27
24.116666793823242,2015-08-28
23.479999542236328,2015-08-31
22.578332901000977,2015-09-01
23.171667098999023,2015-09-02
22.924999237060547,2015-09-03
22.68166732788086,2015-09-04
23.280000686645508,2015-09-08
22.920000076293945,2015-09-09
23.03499984741211,2015-09-10
23.18833351135254,2015-09-11
23.166667938232422,2015-09-14
23.416667938232422,2015-09-15
23.43000030517578,2015-09-16
23.601667404174805,2015-09-17
23.791667938232422,2015-09-18
23.59666633605957,2015-09-21
23.68833351135254,2015-09-22
23.600000381469727,2015-09-23
23.38833236694336,2015-09-24
22.893333435058594,2015-09-25
22.316667556762695,2015-09-28
22.96500015258789,2015-09-29
23.69499969482422,2015-09-30
24.833332061767578,2015-10-01
25.758333206176758,2015-10-02
24.895000457763672,2015-10-05
24.051666259765625,2015-10-06
24.213333129882812,2015-10-07
24.378332138061523,2015-10-08
24.703332901000977,2015-10-09
24.921667098999023,2015-10-12
24.09666633605957,2015-10-13
24.06833267211914,2015-10-14
24.524999618530273,2015-10-15
25.213333129882812,2015-10-16
25.233333587646484,2015-10-19
25.200000762939453,2015-10-20
24.81833267211914,2015-10-21
24.76333236694336,2015-10-22
24.979999542236328,2015-10-23
24.48666763305664,2015-10-26
25.163333892822266,2015-10-27
25.674999237060547,2015-10-28
25.833332061767578,2015-10-29
26.191667556762695,2015-10-30
26.253332138061523,2015-11-02
26.323333740234375,2015-11-03
26.073333740234375,2015-11-04
26.441667556762695,2015-11-05
