YUM,Date
5.6885857582092285,1999-11-15
5.389186382293701,1999-11-16
5.334035873413086,1999-11-17
5.436459064483643,1999-11-18
5.357672691345215,1999-11-19
5.271003246307373,1999-11-22
5.184334754943848,1999-11-23
5.058272361755371,1999-11-24
5.0661516189575195,1999-11-26
5.105547904968262,1999-11-29
5.231609344482422,1999-11-30
5.129184246063232,1999-12-01
5.074031829833984,1999-12-02
5.042513847351074,1999-12-03
5.050394535064697,1999-12-06
5.074031829833984,1999-12-07
5.105547904968262,1999-12-08
5.121305465698242,1999-12-09
5.058272361755371,1999-12-10
4.92432975769043,1999-12-13
5.0188775062561035,1999-12-14
4.979482173919678,1999-12-15
4.900694847106934,1999-12-16
4.97160530090332,1999-12-17
4.900694847106934,1999-12-20
4.750992774963379,1999-12-21
4.8691792488098145,1999-12-22
4.782508373260498,1999-12-23
4.8691792488098145,1999-12-27
4.821903705596924,1999-12-28
4.806146621704102,1999-12-29
4.845540523529053,1999-12-30
4.8691792488098145,1999-12-31
4.703721046447754,2000-01-03
4.60917329788208,2000-01-04
4.632809638977051,2000-01-05
4.593417167663574,2000-01-06
4.490988731384277,2000-01-07
4.672204971313477,2000-01-10
4.640689849853516,2000-01-11
4.593417167663574,2000-01-12
4.664327144622803,2000-01-13
4.53826379776001,2000-01-14
4.404319763183594,2000-01-18
4.238864421844482,2000-01-19
4.010375022888184,2000-01-20
4.018255233764648,2000-01-21
3.9315853118896484,2000-01-24
3.829160451889038,2000-01-25
3.7897632122039795,2000-01-26
3.797642946243286,2000-01-27
3.6400647163391113,2000-01-28
3.608548402786255,2000-01-31
3.8764336109161377,2000-02-01
3.647944211959839,2000-02-02
3.742490291595459,2000-02-03
3.734612226486206,2000-02-04
3.7109758853912354,2000-02-07
3.7661285400390625,2000-02-08
3.7818875312805176,2000-02-09
3.4667282104492188,2000-02-10
3.521880626678467,2000-02-11
3.5376381874084473,2000-02-14
3.5770316123962402,2000-02-15
3.521880626678467,2000-02-16
3.7030951976776123,2000-02-17
3.529761552810669,2000-02-18
3.403697967529297,2000-02-22
3.3800599575042725,2000-02-23
3.2776336669921875,2000-02-24
3.261876106262207,2000-02-25
3.2382397651672363,2000-02-28
3.356423854827881,2000-02-29
3.553398370742798,2000-03-01
3.490365982055664,2000-03-02
3.2933919429779053,2000-03-03
3.490365982055664,2000-03-06
3.3327879905700684,2000-03-07
3.3327879905700684,2000-03-08
3.521880626678467,2000-03-09
3.4982423782348633,2000-03-10
3.4667282104492188,2000-03-13
3.3406665325164795,2000-03-14
3.592789888381958,2000-03-15
4.144317626953125,2000-03-16
3.9394638538360596,2000-03-17
3.797642946243286,2000-03-20
3.8685550689697266,2000-03-21
3.679460048675537,2000-03-22
3.679460048675537,2000-03-23
3.758248805999756,2000-03-24
3.742490291595459,2000-03-27
3.718853712081909,2000-03-28
3.6558241844177246,2000-03-29
3.947343349456787,2000-03-30
3.9158272743225098,2000-03-31
3.821279525756836,2000-04-03
3.9315853118896484,2000-04-04
4.065526485443115,2000-04-05
3.97885799407959,2000-04-06
3.986739158630371,2000-04-07
3.97885799407959,2000-04-10
4.097042560577393,2000-04-11
4.144317626953125,2000-04-12
4.002494812011719,2000-04-13
3.844918727874756,2000-04-14
3.821279525756836,2000-04-17
3.8134026527404785,2000-04-18
3.734612226486206,2000-04-19
4.041891098022461,2000-04-20
4.167952537536621,2000-04-24
4.191591262817383,2000-04-25
4.341289043426514,2000-04-26
4.483110427856445,2000-04-27
4.270379066467285,2000-04-28
4.246741771697998,2000-05-01
4.262500286102295,2000-05-02
4.183711051940918,2000-05-03
3.9158272743225098,2000-05-04
4.0734052658081055,2000-05-05
3.9552226066589355,2000-05-08
3.97885799407959,2000-05-09
3.986739158630371,2000-05-10
4.081286430358887,2000-05-11
3.9394638538360596,2000-05-12
3.8921892642974854,2000-05-15
4.081286430358887,2000-05-16
4.057647228240967,2000-05-17
4.081286430358887,2000-05-18
3.8921892642974854,2000-05-19
3.8921892642974854,2000-05-22
3.9946160316467285,2000-05-23
4.128557205200195,2000-05-24
3.9394638538360596,2000-05-25
3.8685550689697266,2000-05-26
3.7661285400390625,2000-05-30
3.695216417312622,2000-05-31
3.7661285400390625,2000-06-01
3.829160451889038,2000-06-02
3.7661285400390625,2000-06-05
3.734612226486206,2000-06-06
3.687337636947632,2000-06-07
3.758248805999756,2000-06-08
3.7030951976776123,2000-06-09
3.616427183151245,2000-06-12
3.553398370742798,2000-06-13
3.5455188751220703,2000-06-14
3.592789888381958,2000-06-15
3.5455188751220703,2000-06-16
3.553398370742798,2000-06-19
3.403697967529297,2000-06-20
3.443091630935669,2000-06-21
3.419456720352173,2000-06-22
3.4115757942199707,2000-06-23
3.4588499069213867,2000-06-26
3.4509708881378174,2000-06-27
3.443091630935669,2000-06-28
3.387939453125,2000-06-29
3.561276912689209,2000-06-30
3.608548402786255,2000-07-03
3.6637020111083984,2000-07-05
3.750368356704712,2000-07-06
4.034010887145996,2000-07-07
3.963102102279663,2000-07-10
3.9552226066589355,2000-07-11
3.829160451889038,2000-07-12
3.6400647163391113,2000-07-13
3.679460048675537,2000-07-14
3.6282448768615723,2000-07-17
3.4667282104492188,2000-07-18
3.5376381874084473,2000-07-19
3.506122589111328,2000-07-20
3.3958184719085693,2000-07-21
3.3406665325164795,2000-07-24
3.2855124473571777,2000-07-25
3.198845148086548,2000-07-26
3.0255088806152344,2000-07-27
2.9939935207366943,2000-07-28
3.0570242404937744,2000-07-31
3.2539963722229004,2000-08-01
3.4588499069213867,2000-08-02
3.4588499069213867,2000-08-03
3.4982423782348633,2000-08-04
3.490365982055664,2000-08-07
3.592789888381958,2000-08-08
3.529761552810669,2000-08-09
3.6558241844177246,2000-08-10
3.7818875312805176,2000-08-11
3.758248805999756,2000-08-14
3.7661285400390625,2000-08-15
