J,Date
57.41167449951172,2013-11-01
57.99586486816406,2013-11-04
58.02415084838867,2013-11-05
58.41988754272461,2013-11-06
57.66608810424805,2013-11-07
58.410465240478516,2013-11-08
58.46699905395508,2013-11-11
58.51411437988281,2013-11-12
59.635398864746094,2013-11-13
59.78616714477539,2013-11-14
60.07826614379883,2013-11-15
60.0688362121582,2013-11-18
56.563636779785156,2013-11-19
56.67670822143555,2013-11-20
56.60133743286133,2013-11-21
56.620182037353516,2013-11-22
55.885231018066406,2013-11-25
56.657867431640625,2013-11-26
56.384613037109375,2013-11-27
56.31865310668945,2013-11-29
56.03598403930664,2013-12-02
55.20679473876953,2013-12-03
54.7074089050293,2013-12-04
54.21743392944336,2013-12-05
55.1031494140625,2013-12-06
55.00891876220703,2013-12-09
55.20679473876953,2013-12-10
54.31165313720703,2013-12-11
53.228050231933594,2013-12-12
53.48246383666992,2013-12-13
54.019554138183594,2013-12-16
54.858150482177734,2013-12-17
56.73324966430664,2013-12-18
57.072452545166016,2013-12-19
57.66608810424805,2013-12-20
57.59069061279297,2013-12-23
57.920494079589844,2013-12-24
58.259700775146484,2013-12-26
58.16548538208008,2013-12-27
58.11836624145508,2013-12-30
59.35272216796875,2013-12-31
59.24907302856445,2014-01-02
58.69314193725586,2014-01-03
58.768516540527344,2014-01-06
59.28675842285156,2014-01-07
59.44694900512695,2014-01-08
59.59769821166992,2014-01-09
60.04999542236328,2014-01-10
60.624759674072266,2014-01-13
60.81321334838867,2014-01-14
61.5199089050293,2014-01-15
61.67066192626953,2014-01-16
61.934513092041016,2014-01-17
62.245445251464844,2014-01-21
62.952152252197266,2014-01-22
60.8697509765625,2014-01-23
59.362152099609375,2014-01-24
58.67430877685547,2014-01-27
59.08888626098633,2014-01-28
58.21259307861328,2014-01-29
58.16548538208008,2014-01-30
57.204368591308594,2014-01-31
55.112579345703125,2014-02-03
55.86637496948242,2014-02-04
55.26333236694336,2014-02-05
55.59312057495117,2014-02-06
56.384613037109375,2014-02-07
55.932334899902344,2014-02-10
56.46941375732422,2014-02-11
57.29859924316406,2014-02-12
56.77094650268555,2014-02-13
56.978240966796875,2014-02-14
57.439945220947266,2014-02-18
56.7897834777832,2014-02-19
57.515316009521484,2014-02-20
56.629608154296875,2014-02-21
56.563636779785156,2014-02-24
56.53537368774414,2014-02-25
56.8369026184082,2014-02-26
57.06304168701172,2014-02-27
57.14784622192383,2014-02-28
56.91228103637695,2014-03-03
58.042991638183594,2014-03-04
58.24086380004883,2014-03-05
59.4281120300293,2014-03-06
59.44694900512695,2014-03-07
59.22080993652344,2014-03-10
59.230228424072266,2014-03-11
59.18312454223633,2014-03-12
58.35393142700195,2014-03-13
58.975826263427734,2014-03-14
59.616554260253906,2014-03-17
60.29498291015625,2014-03-18
60.097103118896484,2014-03-19
60.436317443847656,2014-03-20
61.07705307006836,2014-03-21
60.01230239868164,2014-03-24
60.14421081542969,2014-03-25
59.51289367675781,2014-03-26
59.21138000488281,2014-03-27
59.47521209716797,2014-03-28
59.83327865600586,2014-03-31
60.106529235839844,2014-04-01
60.6624641418457,2014-04-02
60.615352630615234,2014-04-03
60.200748443603516,2014-04-04
59.25849914550781,2014-04-07
59.20196533203125,2014-04-08
59.68250274658203,2014-04-09
59.14543533325195,2014-04-10
57.901641845703125,2014-04-11
58.31623840332031,2014-04-14
58.51411437988281,2014-04-15
59.362152099609375,2014-04-16
60.04999542236328,2014-04-17
60.01230239868164,2014-04-21
60.888607025146484,2014-04-22
60.200748443603516,2014-04-23
59.70135498046875,2014-04-24
58.51411437988281,2014-04-25
58.60834503173828,2014-04-28
