GE,Date
3.866783380508423,1982-11-04
3.9039628505706787,1982-11-05
3.8136675357818604,1982-11-08
3.8827145099639893,1982-11-09
3.8242881298065186,1982-11-10
3.866783380508423,1982-11-11
3.8508477210998535,1982-11-12
3.755241632461548,1982-11-15
3.7286829948425293,1982-11-16
3.7817957401275635,1982-11-17
3.8508477210998535,1982-11-18
3.8455374240875244,1982-11-19
3.723371744155884,1982-11-22
3.733994245529175,1982-11-23
3.7605526447296143,1982-11-24
3.7605526447296143,1982-11-26
3.7764856815338135,1982-11-29
3.9684739112854004,1982-11-30
3.936296224594116,1982-12-01
3.9309353828430176,1982-12-02
3.9309353828430176,1982-12-03
4.0971832275390625,1982-12-06
4.177623748779297,1982-12-07
4.161535739898682,1982-12-08
4.08645486831665,1982-12-09
4.022100448608398,1982-12-10
4.0328288078308105,1982-12-13
4.006015777587891,1982-12-14
3.9202089309692383,1982-12-15
3.9470221996307373,1982-12-16
3.973839044570923,1982-12-17
3.9845635890960693,1982-12-20
4.118634223937988,1982-12-21
4.182986736297607,1982-12-22
4.199073791503906,1982-12-23
4.258066177368164,1982-12-27
4.161535739898682,1982-12-28
4.193711757659912,1982-12-29
4.10254430770874,1982-12-30
4.070369720458984,1982-12-31
3.936296224594116,1983-01-03
4.016739368438721,1983-01-04
3.9899280071258545,1983-01-05
4.091817378997803,1983-01-06
4.145445346832275,1983-01-07
4.252704620361328,1983-01-10
4.199073791503906,1983-01-11
4.182986736297607,1983-01-12
4.150808334350586,1983-01-13
4.129358291625977,1983-01-14
4.140084266662598,1983-01-17
4.140084266662598,1983-01-18
4.10254430770874,1983-01-19
4.0757317543029785,1983-01-20
4.027465343475342,1983-01-21
3.9470221996307373,1983-01-24
4.011377334594727,1983-01-25
3.979201555252075,1983-01-26
4.08645486831665,1983-01-27
4.2741546630859375,1983-01-28
4.440401554107666,1983-01-31
4.32778263092041,1983-02-01
4.300967216491699,1983-02-02
4.290242671966553,1983-02-03
4.311692714691162,1983-02-04
4.418951988220215,1983-02-07
4.365321636199951,1983-02-08
4.397497653961182,1983-02-09
4.445761680603027,1983-02-10
4.4082255363464355,1983-02-11
4.451125144958496,1983-02-14
4.376047134399414,1983-02-15
4.365321636199951,1983-02-16
4.365321636199951,1983-02-17
4.451125144958496,1983-02-18
4.456489562988281,1983-02-22
4.590559959411621,1983-02-23
4.665639877319336,1983-02-24
4.660274982452393,1983-02-25
4.654913425445557,1983-02-28
4.76216983795166,1983-03-01
4.669216632843018,1983-03-02
4.625984191894531,1983-03-03
4.6962361335754395,1983-03-04
4.669216632843018,1983-03-07
4.507089138031006,1983-03-08
4.5665364265441895,1983-03-09
4.4530510902404785,1983-03-10
4.431432247161865,1983-03-11
4.463860034942627,1983-03-14
4.469263553619385,1983-03-15
4.415218353271484,1983-03-16
4.426026344299316,1983-03-17
4.404409885406494,1983-03-18
4.4530510902404785,1983-03-21
4.4530510902404785,1983-03-22
4.577345371246338,1983-03-23
4.561135768890381,1983-03-24
4.539516448974609,1983-03-25
4.501687049865723,1983-03-28
4.528706073760986,1983-03-29
4.604369163513184,1983-03-30
4.539516448974609,1983-03-31
4.501687049865723,1983-04-04
4.507089138031006,1983-04-05
4.463860034942627,1983-04-06
4.480069637298584,1983-04-07
4.561135768890381,1983-04-08
4.680025100708008,1983-04-11
4.647599220275879,1983-04-12
4.669216632843018,1983-04-13
4.701642990112305,1983-04-14
4.701642990112305,1983-04-15
4.798919200897217,1983-04-18
4.798919200897217,1983-04-19
4.8421525955200195,1983-04-20
4.793513298034668,1983-04-21
4.717857360839844,1983-04-22
4.669216632843018,1983-04-25
4.788111209869385,1983-04-26
4.717857360839844,1983-04-27
4.7773003578186035,1983-04-28
4.836749076843262,1983-04-29
4.71245002746582,1983-05-02
4.755685329437256,1983-05-03
4.7773003578186035,1983-05-04
4.782705783843994,1983-05-05
4.820537567138672,1983-05-06
4.788111209869385,1983-05-09
4.798919200897217,1983-05-10
4.723257541656494,1983-05-11
4.701642990112305,1983-05-12
4.750277996063232,1983-05-13
4.734065532684326,1983-05-16
4.669216632843018,1983-05-17
4.593558311462402,1983-05-18
4.555731773376465,1983-05-19
4.539516448974609,1983-05-20
4.571943759918213,1983-05-23
4.582751274108887,1983-05-24
4.58815336227417,1983-05-25
4.571943759918213,1983-05-26
4.501687049865723,1983-05-27
4.469263553619385,1983-05-31
4.539516448974609,1983-06-01
4.669216632843018,1983-06-02
4.734065532684326,1983-06-03
4.755685329437256,1983-06-06
4.788111209869385,1983-06-07
4.809728622436523,1983-06-08
4.774842262268066,1983-06-09
4.720334053039551,1983-06-10
4.742137432098389,1983-06-13
4.807543754577637,1983-06-14
4.971069812774658,1983-06-15
5.014677047729492,1983-06-16
4.9492645263671875,1983-06-17
4.927462577819824,1983-06-20
5.014677047729492,1983-06-21
4.971069812774658,1983-06-22
4.916562080383301,1983-06-23
4.840250015258789,1983-06-24
4.676726818084717,1983-06-27
4.578612804412842,1983-06-28
4.687629699707031,1983-06-29
4.796648025512695,1983-06-30
4.753040313720703,1983-07-01
4.676726818084717,1983-07-05
4.66582727432251,1983-07-06
4.622220039367676,1983-07-07
4.644025802612305,1983-07-08
4.676726818084717,1983-07-11
4.578612804412842,1983-07-12
4.589517593383789,1983-07-13
4.52410888671875,1983-07-14
4.41509485244751,1983-07-15
4.371486186981201,1983-07-18
4.425995826721191,1983-07-19
4.644025802612305,1983-07-20
4.687629699707031,1983-07-21
