MDLZ,Date
48.93634796142578,2019-08-26
48.9004020690918,2019-08-27
49.313751220703125,2019-08-28
49.673179626464844,2019-08-29
49.6192626953125,2019-08-30
49.99666976928711,2019-09-03
50.49986267089844,2019-09-04
50.445960998535156,2019-09-05
50.886253356933594,2019-09-06
50.751461029052734,2019-09-09
48.81952667236328,2019-09-10
48.98127746582031,2019-09-11
49.25084686279297,2019-09-12
48.59489440917969,2019-09-13
48.56793212890625,2019-09-16
49.15201187133789,2019-09-17
49.16997146606445,2019-09-18
49.457523345947266,2019-09-19
49.10707473754883,2019-09-20
49.071136474609375,2019-09-23
49.46651077270508,2019-09-24
49.5922966003418,2019-09-25
50.04159164428711,2019-09-26
50.028045654296875,2019-09-27
49.96480941772461,2019-09-30
49.350650787353516,2019-10-01
48.754547119140625,2019-10-02
49.24226760864258,2019-10-03
50.5609245300293,2019-10-04
49.7390251159668,2019-10-07
49.27838897705078,2019-10-08
49.630645751953125,2019-10-09
50.046112060546875,2019-10-10
49.513221740722656,2019-10-11
48.971309661865234,2019-10-14
48.80872344970703,2019-10-15
49.01646423339844,2019-10-16
49.34161376953125,2019-10-17
49.20614242553711,2019-10-18
48.38422775268555,2019-10-21
47.607479095458984,2019-10-22
47.553279876708984,2019-10-23
47.905540466308594,2019-10-24
47.66167068481445,2019-10-25
47.33652114868164,2019-10-28
47.71587371826172,2019-10-29
46.99330139160156,2019-10-30
47.372650146484375,2019-10-31
46.99330139160156,2019-11-01
46.73138427734375,2019-11-04
46.695247650146484,2019-11-05
47.164913177490234,2019-11-06
46.73138427734375,2019-11-07
46.722347259521484,2019-11-08
46.78556823730469,2019-11-11
47.02943420410156,2019-11-12
47.59844207763672,2019-11-13
47.77907943725586,2019-11-14
47.70682144165039,2019-11-15
47.94165802001953,2019-11-18
47.607479095458984,2019-11-19
47.33652114868164,2019-11-20
47.02943420410156,2019-11-21
46.78556823730469,2019-11-22
47.0023307800293,2019-11-25
47.52618408203125,2019-11-26
47.62554168701172,2019-11-27
47.45393371582031,2019-11-29
47.72489547729492,2019-12-02
47.986820220947266,2019-12-03
48.1765022277832,2019-12-04
48.60099792480469,2019-12-05
48.628089904785156,2019-12-06
48.926151275634766,2019-12-09
48.82679748535156,2019-12-10
48.709381103515625,2019-12-11
47.85134506225586,2019-12-12
48.08617401123047,2019-12-13
48.51066970825195,2019-12-16
48.85388946533203,2019-12-17
49.25129318237305,2019-12-18
49.811279296875,2019-12-19
50.037071228027344,2019-12-20
49.43193054199219,2019-12-23
49.666770935058594,2019-12-24
49.54030990600586,2019-12-26
49.92869186401367,2019-12-27
49.933231353759766,2019-12-30
50.00587463378906,2019-12-31
49.324947357177734,2020-01-02
49.24324035644531,2020-01-03
49.16154098510742,2020-01-06
48.95272445678711,2020-01-07
49.07074737548828,2020-01-08
49.19784927368164,2020-01-09
49.252323150634766,2020-01-10
49.56099319458008,2020-01-13
49.19784927368164,2020-01-14
49.69717788696289,2020-01-15
50.10573196411133,2020-01-16
50.0785026550293,2020-01-17
50.42348861694336,2020-01-21
50.35993576049805,2020-01-22
50.33269500732422,2020-01-23
50.01494216918945,2020-01-24
49.65178680419922,2020-01-27
49.79704284667969,2020-01-28
49.53376388549805,2020-01-29
53.3831672668457,2020-01-30
52.09397888183594,2020-01-31
52.24831771850586,2020-02-03
52.13936996459961,2020-02-04
52.584228515625,2020-02-05
53.038169860839844,2020-02-06
53.25605773925781,2020-02-07
53.537506103515625,2020-02-10
53.44671630859375,2020-02-11
53.51934814453125,2020-02-12
53.59197235107422,2020-02-13
54.182098388671875,2020-02-14
54.1639404296875,2020-02-18
53.83710479736328,2020-02-19
53.60104751586914,2020-02-20
53.3377685546875,2020-02-21
52.42082595825195,2020-02-24
51.76714324951172,2020-02-25
51.62187957763672,2020-02-26
49.4429817199707,2020-02-27
47.9359016418457,2020-02-28
50.47795486450195,2020-03-02
49.742576599121094,2020-03-03
52.66593933105469,2020-03-04
51.62187957763672,2020-03-05
50.532432556152344,2020-03-06
48.97088623046875,2020-03-09
49.85152053833008,2020-03-10
47.51827621459961,2020-03-11
43.13323974609375,2020-03-12
46.229087829589844,2020-03-13
40.945247650146484,2020-03-16
44.322547912597656,2020-03-17
42.26167297363281,2020-03-18
41.28116226196289,2020-03-19
39.329227447509766,2020-03-20
38.06727981567383,2020-03-23
42.36153793334961,2020-03-24
41.862205505371094,2020-03-25
44.39518356323242,2020-03-26
43.47822570800781,2020-03-27
46.697654724121094,2020-03-30
45.738677978515625,2020-03-31
44.46004867553711,2020-04-01
46.01266860961914,2020-04-02
46.38712692260742,2020-04-03
47.519630432128906,2020-04-06
47.309566497802734,2020-04-07
47.300445556640625,2020-04-08
47.80276107788086,2020-04-09
47.510498046875,2020-04-13
49.78464889526367,2020-04-14
49.05400466918945,2020-04-15
48.79827117919922,2020-04-16
48.84393310546875,2020-04-17
48.85307312011719,2020-04-20
46.6519889831543,2020-04-21
47.69316864013672,2020-04-22
46.88032150268555,2020-04-23
46.95338439941406,2020-04-24
47.01730728149414,2020-04-27
46.73418045043945,2020-04-28
46.62458038330078,2020-04-29
46.98078536987305,2020-04-30
46.304935455322266,2020-05-01
45.72041320800781,2020-05-04
45.95787048339844,2020-05-05
45.79347229003906,2020-05-06
45.811744689941406,2020-05-07
46.48759460449219,2020-05-08
46.38712692260742,2020-05-11
46.03093719482422,2020-05-12
45.26375198364258,2020-05-13
45.22721481323242,2020-05-14
45.62907791137695,2020-05-15
46.55152130126953,2020-05-18
45.56514358520508,2020-05-19
45.437278747558594,2020-05-20
45.008018493652344,2020-05-21
45.39162063598633,2020-05-22
45.29115295410156,2020-05-26
45.98526382446289,2020-05-27
46.95338439941406,2020-05-28
47.60184097290039,2020-05-29
47.72056579589844,2020-06-01
47.69316864013672,2020-06-02
47.57443618774414,2020-06-03
46.84378433227539,2020-06-04
47.976287841796875,2020-06-05
48.96266174316406,2020-06-08
48.35988235473633,2020-06-09
48.506011962890625,2020-06-10
46.14966583251953,2020-06-11
46.33232498168945,2020-06-12
46.779850006103516,2020-06-15
48.0219612121582,2020-06-16
48.140689849853516,2020-06-17
48.487754821777344,2020-06-18
48.003692626953125,2020-06-19
47.8118896484375,2020-06-22
47.41916275024414,2020-06-23
46.2501335144043,2020-06-24
46.42366027832031,2020-06-25
45.738677978515625,2020-06-26
46.45973205566406,2020-06-29
46.964927673339844,2020-06-30
46.91899871826172,2020-07-01
47.29560089111328,2020-07-02
47.415016174316406,2020-07-06
47.304786682128906,2020-07-07
47.06596374511719,2020-07-08
46.165802001953125,2020-07-09
47.24967575073242,2020-07-10
47.442569732666016,2020-07-13
48.54480743408203,2020-07-14
48.28762435913086,2020-07-15
48.71933364868164,2020-07-16
49.66543197631836,2020-07-17
49.068382263183594,2020-07-20
49.637882232666016,2020-07-21
50.10633087158203,2020-07-22
50.409446716308594,2020-07-23
50.4002571105957,2020-07-24
51.052425384521484,2020-07-27
51.171836853027344,2020-07-28
52.16386032104492,2020-07-29
51.22694396972656,2020-07-30
50.969757080078125,2020-07-31
50.969757080078125,2020-08-03
51.052425384521484,2020-08-04
50.657447814941406,2020-08-05
50.969757080078125,2020-08-06
51.0707893371582,2020-08-07
50.969757080078125,2020-08-10
50.70338439941406,2020-08-11
51.46576690673828,2020-08-12
51.4473991394043,2020-08-13
51.54843521118164,2020-08-14
51.91585922241211,2020-08-17
52.60475158691406,2020-08-18
52.136295318603516,2020-08-19
52.577205657958984,2020-08-20
52.78846740722656,2020-08-21
53.256919860839844,2020-08-24
53.174259185791016,2020-08-25
53.605960845947266,2020-08-26
53.39470672607422,2020-08-27
53.56003189086914,2020-08-28
53.661067962646484,2020-08-31
53.45899963378906,2020-09-01
54.2030143737793,2020-09-02
53.119140625,2020-09-03
53.165069580078125,2020-09-04
51.796443939208984,2020-09-08
52.8160285949707,2020-09-09
52.448604583740234,2020-09-10
52.86194610595703,2020-09-11
53.28447723388672,2020-09-14
53.35795593261719,2020-09-15
53.247737884521484,2020-09-16
52.549652099609375,2020-09-17
51.91585922241211,2020-09-18
51.30043411254883,2020-09-21
51.26368713378906,2020-09-22
50.35433578491211,2020-09-23
51.07997512817383,2020-09-24
51.58518600463867,2020-09-25
52.365928649902344,2020-09-28
52.16735076904297,2020-09-29
53.06328201293945,2020-09-30
53.488162994384766,2020-10-01
52.518333435058594,2020-10-02
52.72154235839844,2020-10-05
51.807125091552734,2020-10-06
51.89949417114258,2020-10-07
52.185829162597656,2020-10-08
52.92473602294922,2020-10-09
54.171653747558594,2020-10-12
54.40256881713867,2020-10-13
54.116241455078125,2020-10-14
53.885337829589844,2020-10-15
53.543582916259766,2020-10-16
52.80467224121094,2020-10-19
52.629173278808594,2020-10-20
52.48139190673828,2020-10-21
52.48139190673828,2020-10-22
