SYF,Date
30.319082260131836,2019-06-27
30.655075073242188,2019-06-28
31.008756637573242,2019-07-01
31.114864349365234,2019-07-02
31.415483474731445,2019-07-03
31.48622703552246,2019-07-05
31.565811157226562,2019-07-08
31.61884880065918,2019-07-09
31.406641006469727,2019-07-10
31.51274299621582,2019-07-11
31.79568862915039,2019-07-12
31.689592361450195,2019-07-15
31.857587814331055,2019-07-16
31.42432975769043,2019-07-17
31.9106388092041,2019-07-18
30.991077423095703,2019-07-19
31.247488021850586,2019-07-22
31.90180206298828,2019-07-23
32.35273361206055,2019-07-24
32.28199768066406,2019-07-25
32.361572265625,2019-07-26
32.140525817871094,2019-07-29
31.99905014038086,2019-07-30
31.724956512451172,2019-07-31
31.406641006469727,2019-08-01
31.193117141723633,2019-08-02
30.01870346069336,2019-08-05
30.49024772644043,2019-08-06
30.614810943603516,2019-08-07
31.14862060546875,2019-08-08
31.371055603027344,2019-08-09
30.161056518554688,2019-08-12
30.855026245117188,2019-08-13
29.21796226501465,2019-08-14
29.146787643432617,2019-08-15
29.742900848388672,2019-08-16
29.769580841064453,2019-08-19
29.306934356689453,2019-08-20
29.395902633666992,2019-08-21
29.253555297851562,2019-08-22
28.070240020751953,2019-08-23
28.319360733032227,2019-08-26
27.927894592285156,2019-08-27
28.44392204284668,2019-08-28
28.701936721801758,2019-08-29
28.515100479125977,2019-08-30
28.239290237426758,2019-09-03
28.737525939941406,2019-09-04
29.609437942504883,2019-09-05
29.253555297851562,2019-09-06
29.99201011657715,2019-09-09
30.07209014892578,2019-09-10
30.18775749206543,2019-09-11
30.1165714263916,2019-09-12
30.410175323486328,2019-09-13
30.15215301513672,2019-09-16
30.214435577392578,2019-09-17
30.32120704650879,2019-09-18
30.285608291625977,2019-09-19
30.125465393066406,2019-09-20
30.356794357299805,2019-09-23
29.9564151763916,2019-09-24
30.1165714263916,2019-09-25
29.947519302368164,2019-09-26
29.911935806274414,2019-09-27
30.330095291137695,2019-09-30
29.4937801361084,2019-10-01
28.62186050415039,2019-10-02
28.69304084777832,2019-10-03
29.040023803710938,2019-10-04
28.84428596496582,2019-10-07
27.93678855895996,2019-10-08
28.604068756103516,2019-10-09
28.906564712524414,2019-10-10
29.395902633666992,2019-10-11
29.467082977294922,2019-10-14
29.974212646484375,2019-10-15
29.796274185180664,2019-10-16
30.23223114013672,2019-10-17
30.508041381835938,2019-10-18
31.193117141723633,2019-10-21
31.113037109375,2019-10-22
31.219804763793945,2019-10-23
31.14862060546875,2019-10-24
31.397748947143555,2019-10-25
31.74473762512207,2019-10-28
31.842599868774414,2019-10-29
31.664653778076172,2019-10-30
31.468917846679688,2019-10-31
31.997140884399414,2019-11-01
32.408966064453125,2019-11-04
32.4805793762207,2019-11-05
32.96403121948242,2019-11-06
33.0893669128418,2019-11-07
33.07146072387695,2019-11-08
33.026695251464844,2019-11-11
33.026695251464844,2019-11-12
32.73125076293945,2019-11-13
32.883460998535156,2019-11-14
33.16994094848633,2019-11-15
33.223663330078125,2019-11-18
33.05355453491211,2019-11-19
32.73125076293945,2019-11-20
32.91926574707031,2019-11-21
33.0356559753418,2019-11-22
33.420631408691406,2019-11-25
33.474334716796875,2019-11-26
33.46539306640625,2019-11-27
33.492244720458984,2019-11-29
33.25051498413086,2019-12-02
32.96403121948242,2019-12-03
33.55491638183594,2019-12-04
33.563873291015625,2019-12-05
33.80558395385742,2019-12-06
33.62653732299805,2019-12-09
33.50119400024414,2019-12-10
33.25051498413086,2019-12-11
33.742919921875,2019-12-12
33.742919921875,2019-12-13
33.28633117675781,2019-12-16
33.04460525512695,2019-12-17
32.93718338012695,2019-12-18
32.62382507324219,2019-12-19
32.89241409301758,2019-12-20
32.52536392211914,2019-12-23
32.516395568847656,2019-12-24
32.46268081665039,2019-12-26
32.48954391479492,2019-12-27
32.274681091308594,2019-12-30
32.238868713378906,2019-12-31
32.41791534423828,2020-01-02
31.952369689941406,2020-01-03
31.943424224853516,2020-01-06
31.495784759521484,2020-01-07
31.737504959106445,2020-01-08
31.719606399536133,2020-01-09
31.755420684814453,2020-01-10
31.701688766479492,2020-01-13
31.6927490234375,2020-01-14
31.51368522644043,2020-01-15
31.764366149902344,2020-01-16
32.01504135131836,2020-01-17
31.97923469543457,2020-01-21
