ETR,Date
16.35364532470703,2001-07-19
15.77212905883789,2001-07-20
15.019087791442871,2001-07-23
14.86011028289795,2001-07-24
15.019087791442871,2001-07-25
15.56295108795166,2001-07-26
15.688461303710938,2001-07-27
15.600608825683594,2001-07-30
15.688461303710938,2001-07-31
15.897638320922852,2001-08-01
16.232337951660156,2001-08-02
16.269977569580078,2001-08-03
15.688461303710938,2001-08-06
15.797228813171387,2001-08-07
15.579692840576172,2001-08-08
15.897638320922852,2001-08-09
15.92505931854248,2001-08-10
15.781628608703613,2001-08-13
15.819597244262695,2001-08-14
15.773189544677734,2001-08-15
16.237224578857422,2001-08-16
16.431291580200195,2001-08-17
16.452375411987305,2001-08-20
16.346920013427734,2001-08-21
16.33004379272461,2001-08-22
16.325824737548828,2001-08-23
16.3173885345459,2001-08-24
16.574718475341797,2001-08-27
16.751893997192383,2001-08-28
16.87001609802246,2001-08-29
16.515663146972656,2001-08-30
16.24988555908203,2001-08-31
16.574718475341797,2001-09-04
16.557844161987305,2001-09-05
16.768762588500977,2001-09-06
16.494571685791016,2001-09-07
16.24988555908203,2001-09-10
16.19925880432129,2001-09-17
16.19504165649414,2001-09-18
15.469450950622559,2001-09-19
15.418835639953613,2001-09-20
15.351336479187012,2001-09-21
14.840889930725098,2001-09-24
14.58777904510498,2001-09-25
14.199666023254395,2001-09-26
14.423251152038574,2001-09-27
15.001193046569824,2001-09-28
15.14462947845459,2001-10-01
15.798501968383789,2001-10-02
15.967230796813965,2001-10-03
15.946146965026855,2001-10-04
16.152868270874023,2001-10-05
16.233007431030273,2001-10-08
15.756314277648926,2001-10-09
15.503207206726074,2001-10-10
15.439925193786621,2001-10-11
15.482114791870117,2001-10-12
15.271178245544434,2001-10-15
15.705697059631348,2001-10-16
15.92505931854248,2001-10-17
15.671951293945312,2001-10-18
15.629767417907715,2001-10-19
15.482114791870117,2001-10-22
15.802719116210938,2001-10-23
15.756314277648926,2001-10-24
16.030521392822266,2001-10-25
16.093807220458984,2001-10-26
16.030521392822266,2001-10-29
16.410198211669922,2001-10-30
16.38909912109375,2001-10-31
16.114892959594727,2001-11-01
15.439925193786621,2001-11-02
15.8828763961792,2001-11-05
16.060054779052734,2001-11-06
15.84068489074707,2001-11-07
16.42801284790039,2001-11-08
16.564205169677734,2001-11-09
16.321611404418945,2001-11-12
16.398208618164062,2001-11-13
16.08753776550293,2001-11-14
16.040706634521484,2001-11-15
16.253520965576172,2001-11-16
15.913040161132812,2001-11-19
15.98964786529541,2001-11-20
15.73002815246582,2001-11-21
15.725776672363281,2001-11-23
15.704499244689941,2001-11-26
15.747052192687988,2001-11-27
15.555541038513184,2001-11-28
15.610869407653809,2001-11-29
15.704499244689941,2001-11-30
15.874734878540039,2001-12-03
16.257770538330078,2001-12-04
16.296077728271484,2001-12-05
16.283309936523438,2001-12-06
16.470569610595703,2001-12-07
16.376941680908203,2001-12-10
15.99815845489502,2001-12-11
15.874734878540039,2001-12-12
16.193937301635742,2001-12-13
16.130094528198242,2001-12-14
15.747052192687988,2001-12-17
16.044973373413086,2001-12-18
16.35565757751465,2001-12-19
16.227983474731445,2001-12-20
16.08753776550293,2001-12-21
16.210954666137695,2001-12-24
16.393964767456055,2001-12-26
16.57697105407715,2001-12-27
16.555692672729492,2001-12-28
16.645063400268555,2001-12-31
16.93873405456543,2002-01-02
16.768489837646484,2002-01-03
16.730188369750977,2002-01-04
