TSCO,Date
8.532328605651855,2004-04-19
8.633333206176758,2004-04-20
8.72170639038086,2004-04-21
8.995245933532715,2004-04-22
8.932121276855469,2004-04-23
8.72170639038086,2004-04-26
8.772205352783203,2004-04-27
8.612292289733887,2004-04-28
8.33033275604248,2004-04-29
8.195672035217285,2004-04-30
7.999982833862305,2004-05-03
8.24406623840332,2004-05-04
8.279829978942871,2004-05-05
8.1030855178833,2004-05-06
7.595983028411865,2004-05-07
7.274051189422607,2004-05-10
7.6654229164123535,2004-05-11
7.570733547210693,2004-05-12
7.61702823638916,2004-05-13
7.53286075592041,2004-05-14
7.387674331665039,2004-05-17
7.482359886169434,2004-05-18
7.4970903396606445,2004-05-19
7.427654266357422,2004-05-20
7.614921569824219,2004-05-21
7.715922832489014,2004-05-24
8.096773147583008,2004-05-25
7.964211463928223,2004-05-26
8.065211296081543,2004-05-27
8.107292175292969,2004-05-28
8.214608192443848,2004-06-01
8.149377822875977,2004-06-02
7.890568733215332,2004-06-03
7.850586891174316,2004-06-04
8.033647537231445,2004-06-07
8.216710090637207,2004-06-08
8.092567443847656,2004-06-09
7.99577522277832,2004-06-10
7.936859130859375,2004-06-14
8.052583694458008,2004-06-15
8.071526527404785,2004-06-16
8.016815185546875,2004-06-17
8.126232147216797,2004-06-18
8.140959739685059,2004-06-21
8.300870895385742,2004-06-22
8.366103172302246,2004-06-23
8.414499282836914,2004-06-24
8.751161575317383,2004-06-25
8.744850158691406,2004-06-28
8.704872131347656,2004-06-29
8.799554824829102,2004-06-30
8.57231330871582,2004-07-01
8.536540031433105,2004-07-02
8.502874374389648,2004-07-06
8.473417282104492,2004-07-07
8.469207763671875,2004-07-08
8.519710540771484,2004-07-09
8.342957496643066,2004-07-12
8.18304443359375,2004-07-13
8.025235176086426,2004-07-14
7.972625732421875,2004-07-15
7.924233436584473,2004-07-16
7.715922832489014,2004-07-19
7.814816951751709,2004-07-20
7.534968852996826,2004-07-21
7.570733547210693,2004-07-22
7.421341419219971,2004-07-23
7.227759838104248,2004-07-26
7.625443458557129,2004-07-27
7.556004524230957,2004-07-28
7.667525768280029,2004-07-29
7.640174865722656,2004-07-30
7.53286075592041,2004-08-02
7.351902961730957,2004-08-03
7.400298118591309,2004-08-04
7.187777996063232,2004-08-05
6.9226603507995605,2004-08-06
6.821658134460449,2004-08-09
7.177255630493164,2004-08-10
7.126760959625244,2004-08-11
6.92686653137207,2004-08-12
6.92055082321167,2004-08-13
7.021551609039307,2004-08-16
7.198299884796143,2004-08-17
7.282468318939209,2004-08-18
7.227759838104248,2004-08-19
7.236177444458008,2004-08-20
7.147800445556641,2004-08-23
7.253005504608154,2004-08-24
7.311925888061523,2004-08-25
7.309820175170898,2004-08-26
7.364529609680176,2004-08-27
7.238278865814209,2004-08-30
7.326653957366943,2004-08-31
7.690670013427734,2004-09-01
8.06310749053955,2004-09-02
7.983149528503418,2004-09-03
7.968419551849365,2004-09-07
7.886358261108398,2004-09-08
8.069417953491211,2004-09-09
8.069417953491211,2004-09-10
8.204085350036621,2004-09-13
8.111504554748535,2004-09-14
8.050485610961914,2004-09-15
8.27562141418457,2004-09-16
8.206191062927246,2004-09-17
8.006295204162598,2004-09-20
7.98736047744751,2004-09-21
7.7180280685424805,2004-09-22
7.713818073272705,2004-09-23
7.62755012512207,2004-09-24
7.598088264465332,2004-09-27
7.26353120803833,2004-09-28
6.670158386230469,2004-09-29
6.615450382232666,2004-09-30
6.876365661621094,2004-10-01
6.756429195404053,2004-10-04
6.870053768157959,2004-10-05
6.950011730194092,2004-10-06
6.804823875427246,2004-10-07
6.569159984588623,2004-10-08
6.598616600036621,2004-10-11
6.838489532470703,2004-10-12
7.004717826843262,2004-10-13
6.996301174163818,2004-10-14
7.10571813583374,2004-10-15
7.204612731933594,2004-10-18
7.225654602050781,2004-10-19
7.229862213134766,2004-10-20
7.269842624664307,2004-10-21
7.225654602050781,2004-10-22
7.307718276977539,2004-10-25
7.50761079788208,2004-10-26
7.673834800720215,2004-10-27
7.728546619415283,2004-10-28
7.633858680725098,2004-10-29
7.598088264465332,2004-11-01
7.648587703704834,2004-11-02
7.621235370635986,2004-11-03
7.53286075592041,2004-11-04
7.50761079788208,2004-11-05
7.375050067901611,2004-11-08
7.412924289703369,2004-11-09
7.400298118591309,2004-11-10
7.640174865722656,2004-11-11
7.652799606323242,2004-11-12
7.720129489898682,2004-11-15
7.566527366638184,2004-11-16
7.629651069641113,2004-11-17
7.400298118591309,2004-11-18
7.109924793243408,2004-11-19
7.048907279968262,2004-11-22
6.8279709815979,2004-11-23
6.859533309936523,2004-11-24
6.8279709815979,2004-11-26
6.903721332550049,2004-11-29
6.6743669509887695,2004-11-30
7.00682258605957,2004-12-01
7.166738033294678,2004-12-02
7.1015095710754395,2004-12-03
7.080469608306885,2004-12-06
7.036281585693359,2004-12-07
7.128865718841553,2004-12-08
7.063633918762207,2004-12-09
7.265634536743164,2004-12-10
7.26353120803833,2004-12-13
7.396093368530273,2004-12-14
7.389779090881348,2004-12-15
7.417131423950195,2004-12-16
7.452901840209961,2004-12-17
7.417131423950195,2004-12-20
7.524445056915283,2004-12-21
7.646485805511475,2004-12-22
7.560216426849365,2004-12-23
7.478151798248291,2004-12-27
7.638070583343506,2004-12-28
7.694880962371826,2004-12-29
7.755899906158447,2004-12-30
7.8295464515686035,2004-12-31
7.793776512145996,2005-01-03
7.623338222503662,2005-01-04
7.4970903396606445,2005-01-05
7.648587703704834,2005-01-06
7.461320400238037,2005-01-07
7.585464954376221,2005-01-10
7.577046871185303,2005-01-11
7.684358596801758,2005-01-12
7.484464168548584,2005-01-13
7.488674163818359,2005-01-14
7.635961532592773,2005-01-18
7.621235370635986,2005-01-19
7.541277885437012,2005-01-20
7.246696472167969,2005-01-21
7.133070945739746,2005-01-24
7.259321212768555,2005-01-25
7.469734191894531,2005-01-26
7.560216426849365,2005-01-27
7.402403831481934,2005-01-28
7.53286075592041,2005-01-31
7.814816951751709,2005-02-01
7.8295464515686035,2005-02-02
8.113604545593262,2005-02-03
9.327703475952148,2005-02-04
9.548640251159668,2005-02-07
9.521284103393555,2005-02-08
8.938438415527344,2005-02-09
9.098347663879395,2005-02-10
9.081512451171875,2005-02-11
9.092033386230469,2005-02-14
9.026808738708496,2005-02-15
9.007864952087402,2005-02-16
8.833226203918457,2005-02-17
8.959477424621582,2005-02-18
8.772205352783203,2005-02-22
8.826916694641113,2005-02-23
9.024703979492188,2005-02-24
8.942641258239746,2005-02-25
8.961579322814941,2005-02-28
9.09414291381836,2005-03-01
9.098347663879395,2005-03-02
8.988936424255371,2005-03-03
9.226704597473145,2005-03-04
9.110974311828613,2005-03-07
8.942641258239746,2005-03-08
8.906869888305664,2005-03-09
8.951061248779297,2005-03-10
8.991037368774414,2005-03-11
8.986825942993164,2005-03-14
8.982621192932129,2005-03-15
8.896352767944336,2005-03-16
8.959477424621582,2005-03-17
8.95316219329834,2005-03-18
8.906869888305664,2005-03-21
9.079410552978516,2005-03-22
9.049952507019043,2005-03-23
9.150954246520996,2005-03-24
9.241429328918457,2005-03-28
9.087828636169434,2005-03-29
9.283514022827148,2005-03-30
9.184618949890137,2005-03-31
8.908977508544922,2005-04-01
9.035221099853516,2005-04-04
9.106766700744629,2005-04-05
9.113076210021973,2005-04-06
9.077308654785156,2005-04-07
9.216179847717285,2005-04-08
9.211974143981934,2005-04-11
9.392931938171387,2005-04-12
9.148848533630371,2005-04-13
8.85637092590332,2005-04-14
8.599664688110352,2005-04-15
8.513392448425293,2005-04-18
8.810080528259277,2005-04-19
8.732224464416504,2005-04-20
8.746956825256348,2005-04-21
8.666997909545898,2005-04-22
8.852164268493652,2005-04-25
8.706977844238281,2005-04-26
8.763790130615234,2005-04-27
8.52181339263916,2005-04-28
8.462895393371582,2005-04-29
8.66489315032959,2005-05-02
8.5470609664917,2005-05-03
8.656476974487305,2005-05-04
8.858475685119629,2005-05-05
8.793246269226074,2005-05-06
8.883723258972168,2005-05-09
8.75326919555664,2005-05-10
8.69855785369873,2005-05-11
8.624917030334473,2005-05-12
8.481834411621094,2005-05-13
8.601765632629395,2005-05-16
