ASML,Date
5.102786540985107,2003-02-25
4.7821197509765625,2003-02-26
4.949423313140869,2003-02-27
5.040046691894531,2003-02-28
4.991250038146973,2003-03-03
4.7821197509765625,2003-03-04
4.747264385223389,2003-03-05
4.6148152351379395,2003-03-06
4.531161785125732,2003-03-07
4.356886386871338,2003-03-10
4.370828151702881,2003-03-11
4.4753947257995605,2003-03-12
4.677553176879883,2003-03-13
4.754234790802002,2003-03-14
5.1585540771484375,2003-03-17
5.479221343994141,2003-03-18
5.737148284912109,2003-03-19
5.569843292236328,2003-03-20
5.82080078125,2003-03-21
5.144611835479736,2003-03-24
5.151582717895508,2003-03-25
5.047017574310303,2003-03-26
4.949423313140869,2003-03-27
4.740293025970459,2003-03-28
4.579959392547607,2003-03-31
4.670581817626953,2003-04-01
5.130670070648193,2003-04-02
4.96336555480957,2003-04-03
4.900626182556152,2003-04-04
5.130670070648193,2003-04-07
5.019134044647217,2003-04-08
4.942452907562256,2003-04-09
4.914567470550537,2003-04-10
4.872742176055908,2003-04-11
4.872742176055908,2003-04-14
4.9773077964782715,2003-04-15
5.067931652069092,2003-04-16
5.291003704071045,2003-04-17
5.297974109649658,2003-04-21
5.514077186584473,2003-04-22
5.75806188583374,2003-04-23
5.695322036743164,2003-04-24
5.423452377319336,2003-04-25
5.785945415496826,2003-04-28
6.280888080596924,2003-04-29
6.141468524932861,2003-04-30
6.134494781494141,2003-05-01
6.364539623260498,2003-05-02
6.55275821685791,2003-05-05
6.761890411376953,2003-05-06
6.476077556610107,2003-05-07
6.253004550933838,2003-05-08
6.4481916427612305,2003-05-09
6.664292812347412,2003-05-12
6.378483772277832,2003-05-13
6.343627452850342,2003-05-14
6.378483772277832,2003-05-15
6.33665657043457,2003-05-16
5.806859016418457,2003-05-19
5.75806188583374,2003-05-20
5.834742546081543,2003-05-21
5.967192649841309,2003-05-22
5.76503324508667,2003-05-23
6.120553970336914,2003-05-27
6.343627452850342,2003-05-28
6.406367778778076,2003-05-29
7.005873203277588,2003-05-30
7.1034674644470215,2003-06-02
7.089526176452637,2003-06-03
7.124381065368652,2003-06-04
7.256832122802734,2003-06-05
7.521728992462158,2003-06-06
7.201062202453613,2003-06-09
7.452018737792969,2003-06-10
