CCEP,Date
49.10224533081055,2019-05-24
48.586307525634766,2019-05-28
47.89545822143555,2019-05-29
48.568809509277344,2019-05-30
48.446388244628906,2019-05-31
49.36458969116211,2019-06-03
49.425804138183594,2019-06-04
49.61819076538086,2019-06-05
50.1516227722168,2019-06-06
50.378990173339844,2019-06-07
50.475189208984375,2019-06-10
50.92991256713867,2019-06-11
50.60635757446289,2019-06-12
50.1516227722168,2019-06-13
49.61819076538086,2019-06-14
50.23907470703125,2019-06-17
49.478275299072266,2019-06-18
50.431461334228516,2019-06-19
50.20409393310547,2019-06-20
50.14288330078125,2019-06-21
50.0117073059082,2019-06-24
49.75811004638672,2019-06-25
48.53383255004883,2019-06-26
48.53383255004883,2019-06-27
49.40831756591797,2019-06-28
49.521995544433594,2019-07-01
49.950496673583984,2019-07-02
50.62384796142578,2019-07-03
50.632591247558594,2019-07-05
50.5888671875,2019-07-08
50.11664962768555,2019-07-09
49.88053894042969,2019-07-10
49.81057357788086,2019-07-11
49.9854736328125,2019-07-12
50.35275650024414,2019-07-15
49.88053894042969,2019-07-16
49.27714538574219,2019-07-17
49.53948974609375,2019-07-18
49.5045051574707,2019-07-19
49.9854736328125,2019-07-22
50.33526611328125,2019-07-23
49.4520378112793,2019-07-24
49.329612731933594,2019-07-25
50.13414001464844,2019-07-26
50.10790252685547,2019-07-29
49.27714538574219,2019-07-30
48.3414421081543,2019-07-31
48.568809509277344,2019-08-01
48.49884796142578,2019-08-02
47.51068878173828,2019-08-05
47.93918228149414,2019-08-06
48.47262191772461,2019-08-07
48.831153869628906,2019-08-08
48.59504318237305,2019-08-09
48.2452507019043,2019-08-12
47.53691864013672,2019-08-13
46.93352508544922,2019-08-14
47.3532829284668,2019-08-15
48.18403625488281,2019-08-16
48.192787170410156,2019-08-19
47.458213806152344,2019-08-20
48.1490592956543,2019-08-21
47.93918228149414,2019-08-22
47.38825607299805,2019-08-23
47.904205322265625,2019-08-26
48.525089263916016,2019-08-27
48.726219177246094,2019-08-28
49.00605010986328,2019-08-29
49.26839828491211,2019-08-30
48.734962463378906,2019-09-03
49.19844055175781,2019-09-04
48.726219177246094,2019-09-05
48.67374801635742,2019-09-06
48.12282180786133,2019-09-09
47.965415954589844,2019-09-10
