OKTA,Date
252.35000610351562,2020-12-11
251.5399932861328,2020-12-14
255.14999389648438,2020-12-15
259.92999267578125,2020-12-16
271.3699951171875,2020-12-17
271.80999755859375,2020-12-18
275.5400085449219,2020-12-21
285.6000061035156,2020-12-22
272.5199890136719,2020-12-23
275.6000061035156,2020-12-24
262.75,2020-12-28
261.75,2020-12-29
260.5199890136719,2020-12-30
254.25999450683594,2020-12-31
250.6699981689453,2021-01-04
249.5500030517578,2021-01-05
239.72000122070312,2021-01-06
250.8300018310547,2021-01-07
253.1199951171875,2021-01-08
252.1999969482422,2021-01-11
256.1400146484375,2021-01-12
256.6000061035156,2021-01-13
259.1099853515625,2021-01-14
252.99000549316406,2021-01-15
260.8399963378906,2021-01-19
264.0899963378906,2021-01-20
262.239990234375,2021-01-21
264.0,2021-01-22
263.4599914550781,2021-01-25
257.4800109863281,2021-01-26
251.3300018310547,2021-01-27
258.4800109863281,2021-01-28
259.010009765625,2021-01-29
266.3699951171875,2021-02-01
276.3299865722656,2021-02-02
276.25,2021-02-03
283.6199951171875,2021-02-04
282.94000244140625,2021-02-05
281.1499938964844,2021-02-08
279.8900146484375,2021-02-09
286.5,2021-02-10
286.6400146484375,2021-02-11
291.7799987792969,2021-02-12
285.07000732421875,2021-02-16
284.0899963378906,2021-02-17
284.6400146484375,2021-02-18
288.3599853515625,2021-02-19
274.4700012207031,2021-02-22
270.5799865722656,2021-02-23
269.8999938964844,2021-02-24
256.2799987792969,2021-02-25
261.45001220703125,2021-02-26
269.80999755859375,2021-03-01
259.05999755859375,2021-03-02
241.22000122070312,2021-03-03
226.22000122070312,2021-03-04
215.9600067138672,2021-03-05
208.50999450683594,2021-03-08
219.97999572753906,2021-03-09
225.2100067138672,2021-03-10
239.2100067138672,2021-03-11
227.0,2021-03-12
228.72000122070312,2021-03-15
227.0,2021-03-16
224.88999938964844,2021-03-17
209.0399932861328,2021-03-18
213.52999877929688,2021-03-19
222.5,2021-03-22
225.6199951171875,2021-03-23
218.58999633789062,2021-03-24
217.61000061035156,2021-03-25
212.4499969482422,2021-03-26
215.82000732421875,2021-03-29
213.5500030517578,2021-03-30
220.42999267578125,2021-03-31
229.6999969482422,2021-04-01
226.8300018310547,2021-04-05
228.5500030517578,2021-04-06
222.55999755859375,2021-04-07
238.47999572753906,2021-04-08
244.25999450683594,2021-04-09
248.9600067138672,2021-04-12
265.32000732421875,2021-04-13
259.9100036621094,2021-04-14
274.25,2021-04-15
269.9800109863281,2021-04-16
266.010009765625,2021-04-19
265.79998779296875,2021-04-20
274.5400085449219,2021-04-21
274.9599914550781,2021-04-22
279.29998779296875,2021-04-23
285.3500061035156,2021-04-26
283.0,2021-04-27
281.8399963378906,2021-04-28
273.6199951171875,2021-04-29
269.70001220703125,2021-04-30
255.9199981689453,2021-05-03
244.07000732421875,2021-05-04
242.05999755859375,2021-05-05
234.38999938964844,2021-05-06
237.27000427246094,2021-05-07
230.75,2021-05-10
237.89999389648438,2021-05-11
225.60000610351562,2021-05-12
221.9600067138672,2021-05-13
229.25,2021-05-14
224.94000244140625,2021-05-17
227.35000610351562,2021-05-18
228.4199981689453,2021-05-19
234.02999877929688,2021-05-20
238.30999755859375,2021-05-21
242.55999755859375,2021-05-24
244.14999389648438,2021-05-25
246.52999877929688,2021-05-26
222.39999389648438,2021-05-27
222.44000244140625,2021-05-28
218.63999938964844,2021-06-01
215.75,2021-06-02
210.72000122070312,2021-06-03
213.36000061035156,2021-06-04
216.44000244140625,2021-06-07
217.3000030517578,2021-06-08
217.16000366210938,2021-06-09
222.1199951171875,2021-06-10
226.3800048828125,2021-06-11
227.7899932861328,2021-06-14
224.36000061035156,2021-06-15
223.22000122070312,2021-06-16
232.16000366210938,2021-06-17
239.25999450683594,2021-06-18
233.17999267578125,2021-06-21
241.36000061035156,2021-06-22
242.49000549316406,2021-06-23
244.97999572753906,2021-06-24
246.1300048828125,2021-06-25
247.41000366210938,2021-06-28
248.0399932861328,2021-06-29
244.67999267578125,2021-06-30
240.74000549316406,2021-07-01
242.55999755859375,2021-07-02
249.5399932861328,2021-07-06
250.27000427246094,2021-07-07
251.25999450683594,2021-07-08
251.83999633789062,2021-07-09
245.5500030517578,2021-07-12
249.08999633789062,2021-07-13
242.10000610351562,2021-07-14
237.5800018310547,2021-07-15
235.6699981689453,2021-07-16
241.35000610351562,2021-07-19
246.33999633789062,2021-07-20
247.25,2021-07-21
249.7100067138672,2021-07-22
257.9100036621094,2021-07-23
253.0,2021-07-26
248.3000030517578,2021-07-27
250.5,2021-07-28
248.17999267578125,2021-07-29
247.7899932861328,2021-07-30
245.5800018310547,2021-08-02
242.57000732421875,2021-08-03
247.3800048828125,2021-08-04
252.2899932861328,2021-08-05
240.1199951171875,2021-08-06
241.35000610351562,2021-08-09
232.6999969482422,2021-08-10
234.49000549316406,2021-08-11
236.13999938964844,2021-08-12
235.83999633789062,2021-08-13
231.82000732421875,2021-08-16
230.6300048828125,2021-08-17
228.92999267578125,2021-08-18
230.91000366210938,2021-08-19
230.97000122070312,2021-08-20
235.67999267578125,2021-08-23
247.5500030517578,2021-08-24
260.7300109863281,2021-08-25
262.1700134277344,2021-08-26
262.3800048828125,2021-08-27
264.9800109863281,2021-08-30
263.6000061035156,2021-08-31
264.760009765625,2021-09-01
271.75,2021-09-02
270.3999938964844,2021-09-03
264.94000244140625,2021-09-07
263.4599914550781,2021-09-08
266.4599914550781,2021-09-09
253.97999572753906,2021-09-10
249.52999877929688,2021-09-13
253.2899932861328,2021-09-14
253.5800018310547,2021-09-15
255.77999877929688,2021-09-16
258.1499938964844,2021-09-17
252.64999389648438,2021-09-20
251.75999450683594,2021-09-21
257.45001220703125,2021-09-22
255.3800048828125,2021-09-23
253.42999267578125,2021-09-24
241.4600067138672,2021-09-27
235.75,2021-09-28
233.3300018310547,2021-09-29
237.33999633789062,2021-09-30
238.0800018310547,2021-10-01
224.9600067138672,2021-10-04
227.8300018310547,2021-10-05
231.9199981689453,2021-10-06
233.9600067138672,2021-10-07
228.5500030517578,2021-10-08
225.86000061035156,2021-10-11
235.1699981689453,2021-10-12
247.1999969482422,2021-10-13
255.52999877929688,2021-10-14
255.02000427246094,2021-10-15
259.9200134277344,2021-10-18
257.7099914550781,2021-10-19
256.2799987792969,2021-10-20
259.7699890136719,2021-10-21
260.3800048828125,2021-10-22
261.04998779296875,2021-10-25
255.7100067138672,2021-10-26
250.00999450683594,2021-10-27
244.6300048828125,2021-10-28
247.17999267578125,2021-10-29
250.1999969482422,2021-11-01
253.6999969482422,2021-11-02
254.25,2021-11-03
255.6999969482422,2021-11-04
254.88999938964844,2021-11-05
257.95001220703125,2021-11-08
268.2799987792969,2021-11-09
258.0400085449219,2021-11-10
255.52999877929688,2021-11-11
261.5,2021-11-12
260.0,2021-11-15
267.95001220703125,2021-11-16
266.4200134277344,2021-11-17
264.3900146484375,2021-11-18
240.67999267578125,2021-11-19
226.25,2021-11-22
215.63999938964844,2021-11-23
219.5800018310547,2021-11-24
222.69000244140625,2021-11-26
223.61000061035156,2021-11-29
215.22999572753906,2021-11-30
198.0800018310547,2021-12-01
221.17999267578125,2021-12-02
214.58999633789062,2021-12-03
217.8800048828125,2021-12-06
230.44000244140625,2021-12-07
240.07000732421875,2021-12-08
228.16000366210938,2021-12-09
223.66000366210938,2021-12-10
221.91000366210938,2021-12-13
217.36000061035156,2021-12-14
222.5500030517578,2021-12-15
211.8000030517578,2021-12-16
217.91000366210938,2021-12-17
218.91000366210938,2021-12-20
228.3800048828125,2021-12-21
228.33999633789062,2021-12-22
228.30999755859375,2021-12-23
229.41000366210938,2021-12-27
224.47000122070312,2021-12-28
224.17999267578125,2021-12-29
225.0500030517578,2021-12-30
224.1699981689453,2021-12-31
222.66000366210938,2022-01-03
215.00999450683594,2022-01-04
198.58999633789062,2022-01-05
202.22000122070312,2022-01-06
196.6699981689453,2022-01-07
201.24000549316406,2022-01-10
207.97999572753906,2022-01-11
213.92999267578125,2022-01-12
202.0,2022-01-13
204.41000366210938,2022-01-14
197.1999969482422,2022-01-18
197.4199981689453,2022-01-19
200.32000732421875,2022-01-20
188.25999450683594,2022-01-21
190.89999389648438,2022-01-24
177.66000366210938,2022-01-25
178.0399932861328,2022-01-26
