ADCT,Date
2.5399999618530273,2023-03-13
2.4600000381469727,2023-03-14
2.4200000762939453,2023-03-15
2.299999952316284,2023-03-16
2.240000009536743,2023-03-17
2.0999999046325684,2023-03-20
2.069999933242798,2023-03-21
1.9900000095367432,2023-03-22
1.9800000190734863,2023-03-23
1.9199999570846558,2023-03-24
1.9800000190734863,2023-03-27
1.940000057220459,2023-03-28
2.1600000858306885,2023-03-29
1.9700000286102295,2023-03-30
1.9500000476837158,2023-03-31
2.049999952316284,2023-04-03
2.059999942779541,2023-04-04
2.049999952316284,2023-04-05
2.0399999618530273,2023-04-06
2.009999990463257,2023-04-10
2.049999952316284,2023-04-11
2.0199999809265137,2023-04-12
2.359999895095825,2023-04-13
2.180000066757202,2023-04-14
2.4000000953674316,2023-04-17
2.309999942779541,2023-04-18
2.3299999237060547,2023-04-19
2.2300000190734863,2023-04-20
2.299999952316284,2023-04-21
1.9600000381469727,2023-04-24
1.9600000381469727,2023-04-25
1.9600000381469727,2023-04-26
1.940000057220459,2023-04-27
1.940000057220459,2023-04-28
1.9600000381469727,2023-05-01
1.899999976158142,2023-05-02
1.909999966621399,2023-05-03
1.940000057220459,2023-05-04
1.9600000381469727,2023-05-05
2.119999885559082,2023-05-08
2.1700000762939453,2023-05-09
2.4000000953674316,2023-05-10
2.4100000858306885,2023-05-11
2.3399999141693115,2023-05-12
2.6500000953674316,2023-05-15
2.440000057220459,2023-05-16
2.6500000953674316,2023-05-17
2.5899999141693115,2023-05-18
2.549999952316284,2023-05-19
2.6600000858306885,2023-05-22
2.549999952316284,2023-05-23
2.390000104904175,2023-05-24
2.309999942779541,2023-05-25
2.2799999713897705,2023-05-26
2.2799999713897705,2023-05-30
2.3499999046325684,2023-05-31
2.380000114440918,2023-06-01
2.490000009536743,2023-06-02
2.5999999046325684,2023-06-05
2.549999952316284,2023-06-06
2.549999952316284,2023-06-07
2.5,2023-06-08
2.5199999809265137,2023-06-09
2.5299999713897705,2023-06-12
2.430000066757202,2023-06-13
2.2899999618530273,2023-06-14
2.309999942779541,2023-06-15
2.2899999618530273,2023-06-16
2.2799999713897705,2023-06-20
2.180000066757202,2023-06-21
2.140000104904175,2023-06-22
2.049999952316284,2023-06-23
2.0,2023-06-26
2.009999990463257,2023-06-27
2.0299999713897705,2023-06-28
2.1600000858306885,2023-06-29
2.1500000953674316,2023-06-30
2.1500000953674316,2023-07-03
2.140000104904175,2023-07-05
2.109999895095825,2023-07-06
2.25,2023-07-07
2.369999885559082,2023-07-10
1.850000023841858,2023-07-11
1.5099999904632568,2023-07-12
1.5499999523162842,2023-07-13
1.5099999904632568,2023-07-14
1.5700000524520874,2023-07-17
1.5,2023-07-18
1.5,2023-07-19
1.5,2023-07-20
1.4199999570846558,2023-07-21
1.309999942779541,2023-07-24
1.2899999618530273,2023-07-25
1.2599999904632568,2023-07-26
1.2400000095367432,2023-07-27
1.2799999713897705,2023-07-28
1.4800000190734863,2023-07-31
1.5099999904632568,2023-08-01
1.4900000095367432,2023-08-02
1.4900000095367432,2023-08-03
1.4700000286102295,2023-08-04
1.4299999475479126,2023-08-07
1.600000023841858,2023-08-08
1.5,2023-08-09
1.6100000143051147,2023-08-10
1.659999966621399,2023-08-11
1.5800000429153442,2023-08-14
1.600000023841858,2023-08-15
1.4500000476837158,2023-08-16
1.3899999856948853,2023-08-17
1.3700000047683716,2023-08-18
1.3700000047683716,2023-08-21
1.3300000429153442,2023-08-22
1.350000023841858,2023-08-23
1.3799999952316284,2023-08-24
1.2899999618530273,2023-08-25
1.25,2023-08-28
1.1699999570846558,2023-08-29
1.2000000476837158,2023-08-30
1.2000000476837158,2023-08-31
1.2200000286102295,2023-09-01
1.1299999952316284,2023-09-05
1.0800000429153442,2023-09-06
1.090000033378601,2023-09-07
1.0700000524520874,2023-09-08
1.0399999618530273,2023-09-11
0.9549999833106995,2023-09-12
0.925000011920929,2023-09-13
0.8730000257492065,2023-09-14
0.8199999928474426,2023-09-15
0.7760000228881836,2023-09-18
0.800000011920929,2023-09-19
0.7680000066757202,2023-09-20
0.7289999723434448,2023-09-21
0.7200000286102295,2023-09-22
0.8090000152587891,2023-09-25
0.9100000262260437,2023-09-26
0.8799999952316284,2023-09-27
0.8299999833106995,2023-09-28
0.8970000147819519,2023-09-29
0.8240000009536743,2023-10-02
0.8199999928474426,2023-10-03
0.8199999928474426,2023-10-04
0.8600000143051147,2023-10-05
0.8399999737739563,2023-10-06
0.8299999833106995,2023-10-09
0.8489999771118164,2023-10-10
0.8100000023841858,2023-10-11
0.8379999995231628,2023-10-12
