AGNC,Date
6.773737907409668,2011-10-31
6.724494934082031,2011-11-01
6.803287029266357,2011-11-02
6.820523738861084,2011-11-03
6.867302417755127,2011-11-04
6.926401615142822,2011-11-07
7.012578964233398,2011-11-08
6.857456684112549,2011-11-09
6.872230529785156,2011-11-10
6.921475410461426,2011-11-11
6.89192533493042,2011-11-14
6.909163475036621,2011-11-15
6.923939228057861,2011-11-16
6.882084369659424,2011-11-17
6.909163475036621,2011-11-18
6.864841461181641,2011-11-21
6.92886209487915,2011-11-22
6.840221881866455,2011-11-23
6.835298538208008,2011-11-25
6.933786392211914,2011-11-28
6.938712120056152,2011-11-29
7.0642876625061035,2011-11-30
7.024892807006836,2011-12-01
6.987957000732422,2011-12-02
7.0692138671875,2011-12-05
7.098760604858398,2011-12-06
7.1110734939575195,2011-12-07
7.0642876625061035,2011-12-08
7.115996360778809,2011-12-09
7.07659912109375,2011-12-12
7.135693550109863,2011-12-13
7.130766868591309,2011-12-14
7.10614538192749,2011-12-15
7.160313606262207,2011-12-16
7.130766868591309,2011-12-19
7.257546424865723,2011-12-20
7.337757587432861,2011-12-21
7.311886310577393,2011-12-22
7.247201442718506,2011-12-23
7.3403472900390625,2011-12-27
7.298945426940918,2011-12-28
7.317056655883789,2011-12-29
7.265312671661377,2011-12-30
7.288599491119385,2012-01-03
7.329994201660156,2012-01-04
7.298945426940918,2012-01-05
7.3403472900390625,2012-01-06
7.304121017456055,2012-01-09
7.291183948516846,2012-01-10
7.286010265350342,2012-01-11
7.304121017456055,2012-01-12
7.3351731300354,2012-01-13
7.332583427429199,2012-01-17
7.35845947265625,2012-01-18
7.415380477905273,2012-01-19
7.503350257873535,2012-01-20
7.518876075744629,2012-01-23
7.552508354187012,2012-01-24
7.588728427886963,2012-01-25
7.552508354187012,2012-01-26
7.5266337394714355,2012-01-27
7.524044036865234,2012-01-30
7.588728427886963,2012-01-31
7.601668834686279,2012-02-01
7.601668834686279,2012-02-02
7.6844635009765625,2012-02-03
7.627542972564697,2012-02-06
7.6948113441467285,2012-02-07
7.681870937347412,2012-02-08
7.72844934463501,2012-02-09
7.81382942199707,2012-02-10
7.870759010314941,2012-02-13
7.914741516113281,2012-02-14
7.945789813995361,2012-02-15
7.777612209320068,2012-02-16
7.857816219329834,2012-02-17
7.943201065063477,2012-02-21
7.909564971923828,2012-02-22
7.940615653991699,2012-02-23
7.9328508377075195,2012-02-24
7.919912815093994,2012-02-27
7.966485977172852,2012-02-28
7.945789813995361,2012-02-29
7.987183570861816,2012-03-01
8.064806938171387,2012-03-02
8.161847114562988,2012-03-05
8.045937538146973,2012-03-06
8.159146308898926,2012-03-07
7.911160469055176,2012-03-08
7.951593399047852,2012-03-09
8.03515625,2012-03-12
8.048633575439453,2012-03-13
7.92733907699585,2012-03-14
7.938117027282715,2012-03-15
7.90847110748291,2012-03-16
7.876123905181885,2012-03-19
7.919253826141357,2012-03-20
7.970463275909424,2012-03-21
7.900382995605469,2012-03-22
7.894992828369141,2012-03-23
7.946206092834473,2012-03-26
7.903079986572266,2012-03-27
7.878819942474365,2012-03-28
7.900382995605469,2012-03-29
7.962377071380615,2012-03-30
8.062112808227539,2012-04-02
8.102543830871582,2012-04-03
8.09175968170166,2012-04-04
8.105237007141113,2012-04-05
8.107935905456543,2012-04-09
8.008200645446777,2012-04-10
8.056720733642578,2012-04-11
8.099845886230469,2012-04-12
8.11601734161377,2012-04-13
8.110623359680176,2012-04-16
8.17262077331543,2012-04-17
8.226533889770508,2012-04-18
8.275052070617676,2012-04-19
8.253484725952148,2012-04-20
8.280444145202637,2012-04-23
8.288534164428711,2012-04-24
8.293916702270508,2012-04-25
8.328957557678223,2012-04-26
8.358612060546875,2012-04-27
8.420604705810547,2012-04-30
8.390955924987793,2012-05-01
8.393648147583008,2012-05-02
8.531118392944336,2012-05-03
8.533822059631348,2012-05-04
8.520340919494629,2012-05-07
8.496077537536621,2012-05-08
8.555377960205078,2012-05-09
8.636246681213379,2012-05-10
8.714415550231934,2012-05-11
8.668585777282715,2012-05-14
8.647024154663086,2012-05-15
8.566163063049316,2012-05-16
8.3505277633667,2012-05-17
8.364001274108887,2012-05-18
8.606595993041992,2012-05-21
8.638936996459961,2012-05-22
8.698238372802734,2012-05-23
8.660504341125488,2012-05-24
8.684764862060547,2012-05-25
8.771015167236328,2012-05-29
8.757536888122559,2012-05-30
8.806058883666992,2012-05-31
8.706327438354492,2012-06-01
8.684764862060547,2012-06-04
8.77640438079834,2012-06-05
8.878838539123535,2012-06-06
8.789883613586426,2012-06-07
8.82223129272461,2012-06-08
8.86805534362793,2012-06-11
