EVRG,Date
50.374393463134766,2020-03-26
49.8200798034668,2020-03-27
51.197227478027344,2020-03-30
47.680721282958984,2020-03-31
44.82247543334961,2020-04-01
46.320884704589844,2020-04-02
44.86578369140625,2020-04-03
50.13188171386719,2020-04-06
49.43897247314453,2020-04-07
52.71296691894531,2020-04-08
54.653099060058594,2020-04-09
52.6176872253418,2020-04-13
54.16806411743164,2020-04-14
52.04604721069336,2020-04-15
51.93344497680664,2020-04-16
52.816890716552734,2020-04-17
51.20589065551758,2020-04-20
50.443687438964844,2020-04-21
51.57832717895508,2020-04-22
50.053924560546875,2020-04-23
50.67753601074219,2020-04-24
51.3271484375,2020-04-27
52.04604721069336,2020-04-28
51.61297607421875,2020-04-29
50.608253479003906,2020-04-30
48.43425369262695,2020-05-01
49.04920959472656,2020-05-04
49.6208610534668,2020-05-05
47.57678985595703,2020-05-06
48.39095687866211,2020-05-07
49.80274963378906,2020-05-08
48.29567337036133,2020-05-11
48.59016036987305,2020-05-12
48.95393371582031,2020-05-13
49.0925178527832,2020-05-14
48.97126007080078,2020-05-15
51.03266143798828,2020-05-18
50.442970275878906,2020-05-19
51.63983154296875,2020-05-20
51.23796463012695,2020-05-21
52.41734313964844,2020-05-22
52.32125473022461,2020-05-26
53.22982406616211,2020-05-27
54.43541717529297,2020-05-28
53.893775939941406,2020-05-29
55.00327682495117,2020-06-01
55.07316589355469,2020-06-02
55.396400451660156,2020-06-03
54.522789001464844,2020-06-04
55.09064483642578,2020-06-05
56.87282943725586,2020-06-08
55.53618621826172,2020-06-09
55.41387939453125,2020-06-10
53.24729919433594,2020-06-11
52.48725128173828,2020-06-12
51.84949493408203,2020-06-15
52.391143798828125,2020-06-16
52.31251525878906,2020-06-17
52.906578063964844,2020-06-18
51.84949493408203,2020-06-19
52.34745788574219,2020-06-22
52.102848052978516,2020-06-23
51.578678131103516,2020-06-24
51.52626037597656,2020-06-25
50.76620101928711,2020-06-26
51.700984954833984,2020-06-29
51.797088623046875,2020-06-30
53.29970932006836,2020-07-01
53.69284439086914,2020-07-02
53.69284439086914,2020-07-06
53.15119934082031,2020-07-07
53.62295913696289,2020-07-08
53.17740249633789,2020-07-09
54.14712905883789,2020-07-10
53.815147399902344,2020-07-13
54.48784255981445,2020-07-14
53.491905212402344,2020-07-15
53.64916229248047,2020-07-16
55.23042297363281,2020-07-17
54.74119567871094,2020-07-20
55.029483795166016,2020-07-21
55.99919891357422,2020-07-22
56.235084533691406,2020-07-23
55.964263916015625,2020-07-24
55.89437484741211,2020-07-27
56.55833053588867,2020-07-28
56.200138092041016,2020-07-29
56.32245635986328,2020-07-30
56.6369514465332,2020-07-31
54.7586669921875,2020-08-03
48.3986930847168,2020-08-04
46.765010833740234,2020-08-05
47.830841064453125,2020-08-06
48.189022064208984,2020-08-07
47.22803497314453,2020-08-10
46.64270782470703,2020-08-11
46.33694076538086,2020-08-12
46.004966735839844,2020-08-13
46.79996109008789,2020-08-14
46.49419403076172,2020-08-17
45.90013122558594,2020-08-18
45.43702697753906,2020-08-19
44.793094635009766,2020-08-20
44.46670913696289,2020-08-21
44.7578125,2020-08-24
45.172401428222656,2020-08-25
44.56374740600586,2020-08-26
46.680789947509766,2020-08-27
46.73371505737305,2020-08-28
46.94541931152344,2020-08-31
46.451446533203125,2020-09-01
46.98952102661133,2020-09-02
46.25738525390625,2020-09-03
45.754581451416016,2020-09-04
45.966285705566406,2020-09-08
46.48672103881836,2020-09-09
45.922183990478516,2020-09-10
45.81633377075195,2020-09-11
46.56611251831055,2020-09-14
46.19562530517578,2020-09-15
46.424983978271484,2020-09-16
46.04568099975586,2020-09-17
44.93423080444336,2020-09-18
44.11387634277344,2020-09-21
44.5196418762207,2020-09-22
43.328800201416016,2020-09-23
43.38173294067383,2020-09-24
44.360862731933594,2020-09-25
44.404964447021484,2020-09-28
44.23736572265625,2020-09-29
44.8283805847168,2020-09-30
44.8283805847168,2020-10-01
45.85161590576172,2020-10-02
46.336769104003906,2020-10-05
46.230918884277344,2020-10-06
46.266204833984375,2020-10-07
47.06891632080078,2020-10-08
46.68960952758789,2020-10-09
47.13947677612305,2020-10-12
46.680789947509766,2020-10-13
47.14830780029297,2020-10-14
48.00394058227539,2020-10-15
48.444984436035156,2020-10-16
48.162715911865234,2020-10-19
48.9742546081543,2020-10-20
49.30062484741211,2020-10-21
49.909278869628906,2020-10-22
49.724037170410156,2020-10-23
49.12420654296875,2020-10-26
49.74168014526367,2020-10-27
48.84193801879883,2020-10-28
48.806663513183594,2020-10-29
48.691986083984375,2020-10-30
49.67110824584961,2020-11-02
50.262123107910156,2020-11-03
49.19477844238281,2020-11-04
48.68315887451172,2020-11-05
48.55084991455078,2020-11-06
51.153045654296875,2020-11-09
51.68229675292969,2020-11-10
50.54439163208008,2020-11-11
49.15066909790039,2020-11-12
