LYB,Date
83.54707336425781,2018-08-22
83.00839233398438,2018-08-23
83.8018798828125,2018-08-24
84.40605926513672,2018-08-27
83.69268035888672,2018-08-28
83.69996643066406,2018-08-29
82.73178100585938,2018-08-30
82.09848022460938,2018-08-31
81.53294372558594,2018-09-04
82.01765441894531,2018-09-05
82.43631744384766,2018-09-06
79.78490447998047,2018-09-07
78.49958038330078,2018-09-10
78.24987030029297,2018-09-11
77.91935729980469,2018-09-12
77.08943176269531,2018-09-13
77.34649658203125,2018-09-14
75.98771667480469,2018-09-17
74.98884582519531,2018-09-18
75.4368667602539,2018-09-19
76.7442398071289,2018-09-20
77.27301788330078,2018-09-21
76.64141082763672,2018-09-24
76.97190856933594,2018-09-25
76.59732055664062,2018-09-26
75.48827362060547,2018-09-27
75.28997802734375,2018-09-28
76.4137191772461,2018-10-01
77.65495300292969,2018-10-02
77.6916732788086,2018-10-03
76.32557678222656,2018-10-04
76.01710510253906,2018-10-05
76.54590606689453,2018-10-08
73.23348236083984,2018-10-09
71.69844055175781,2018-10-10
71.26512145996094,2018-10-11
71.61032104492188,2018-10-12
71.1989974975586,2018-10-15
71.70577239990234,2018-10-16
70.67019653320312,2018-10-17
69.61990356445312,2018-10-18
68.73854064941406,2018-10-19
67.52668762207031,2018-10-22
66.1018295288086,2018-10-23
63.58259582519531,2018-10-24
65.51425170898438,2018-10-25
65.53629302978516,2018-10-26
64.96340942382812,2018-10-29
65.23514556884766,2018-10-30
65.56565856933594,2018-10-31
67.96000671386719,2018-11-01
68.378662109375,2018-11-02
68.66512298583984,2018-11-05
69.83291625976562,2018-11-06
71.13290405273438,2018-11-07
70.89790344238281,2018-11-08
70.55267333984375,2018-11-09
69.95042419433594,2018-11-12
67.62216186523438,2018-11-13
67.48261260986328,2018-11-14
68.62838745117188,2018-11-15
70.08997344970703,2018-11-16
68.14364624023438,2018-11-19
67.13008117675781,2018-11-20
67.849853515625,2018-11-21
66.71876525878906,2018-11-23
67.64421844482422,2018-11-26
66.96847534179688,2018-11-27
67.58544158935547,2018-11-28
68.31990814208984,2018-11-29
68.53289794921875,2018-11-30
69.27472686767578,2018-12-03
66.52047729492188,2018-12-04
64.80182647705078,2018-12-06
62.677181243896484,2018-12-07
62.72174072265625,2018-12-10
63.011478424072266,2018-12-11
63.472084045410156,2018-12-12
62.164581298828125,2018-12-13
61.16911315917969,2018-12-14
61.05767822265625,2018-12-17
61.25825881958008,2018-12-18
59.921077728271484,2018-12-19
59.111328125,2018-12-20
58.695308685302734,2018-12-21
58.33129119873047,2018-12-24
60.48567581176758,2018-12-26
61.97884750366211,2018-12-27
61.198829650878906,2018-12-28
61.77827072143555,2018-12-31
62.32058334350586,2019-01-02
61.109676361083984,2019-01-03
64.4080810546875,2019-01-04
64.58639526367188,2019-01-07
65.8270034790039,2019-01-08
65.45557403564453,2019-01-09
64.92810821533203,2019-01-10
63.8880729675293,2019-01-11
63.67264175415039,2019-01-14
62.83317565917969,2019-01-15
62.981746673583984,2019-01-16
63.776634216308594,2019-01-17
65.26983642578125,2019-01-18
63.73948669433594,2019-01-22
62.72174072265625,2019-01-23
62.37257385253906,2019-01-24
64.04408264160156,2019-01-25
63.992069244384766,2019-01-28
64.69781494140625,2019-01-29
65.53728485107422,2019-01-30
64.60867309570312,2019-01-31
66.0350112915039,2019-02-01
65.14356231689453,2019-02-04
65.05438995361328,2019-02-05
64.77953338623047,2019-02-06
62.84062194824219,2019-02-07
62.83317565917969,2019-02-08
62.335426330566406,2019-02-11
63.48691940307617,2019-02-12
63.92522430419922,2019-02-13
64.12578582763672,2019-02-14
65.10640716552734,2019-02-15
64.98753356933594,2019-02-19
66.23560333251953,2019-02-20
65.74530029296875,2019-02-21
66.22071838378906,2019-02-22
65.81214904785156,2019-02-25
64.52696228027344,2019-02-26
64.40065002441406,2019-02-27
63.531490325927734,2019-02-28
63.92987823486328,2019-03-01
63.967464447021484,2019-03-04
63.23081970214844,2019-03-05
67.09443664550781,2019-03-06
65.47831726074219,2019-03-07
65.50086975097656,2019-03-08
66.67347717285156,2019-03-11
67.10945129394531,2019-03-12
66.80877685546875,2019-03-13
65.72637176513672,2019-03-14
65.39563751220703,2019-03-15
65.59858703613281,2019-03-18
65.36557006835938,2019-03-19
64.89202880859375,2019-03-20
66.3803482055664,2019-03-21
63.94491195678711,2019-03-22
62.74222946166992,2019-03-25
63.373626708984375,2019-03-26
62.75725555419922,2019-03-27
63.0353889465332,2019-03-28
63.20075607299805,2019-03-29
65.52342224121094,2019-04-01
67.16958618164062,2019-04-02
68.0866470336914,2019-04-03
69.30433654785156,2019-04-04
68.44743347167969,2019-04-05
68.650390625,2019-04-08
67.83857727050781,2019-04-09
67.31993103027344,2019-04-10
68.03401184082031,2019-04-11
69.37199401855469,2019-04-12
69.31938171386719,2019-04-15
69.28179931640625,2019-04-16
68.97359466552734,2019-04-17
68.99615478515625,2019-04-18
69.1465072631836,2019-04-22
69.16153717041016,2019-04-23
68.09414672851562,2019-04-24
66.64341735839844,2019-04-25
66.15483093261719,2019-04-26
66.96664428710938,2019-04-29
66.3201904296875,2019-04-30
64.99725341796875,2019-05-01
64.61390686035156,2019-05-02
65.41067504882812,2019-05-03
64.05014038085938,2019-05-06
62.57686233520508,2019-05-07
62.38142776489258,2019-05-08
61.62224197387695,2019-05-09
62.13338088989258,2019-05-10
60.05876159667969,2019-05-13
60.52478790283203,2019-05-14
60.69017028808594,2019-05-15
61.48693084716797,2019-05-16
60.246665954589844,2019-05-17
60.028690338134766,2019-05-20
61.32157516479492,2019-05-21
60.62251663208008,2019-05-22
59.11916732788086,2019-05-23
58.57796096801758,2019-05-24
57.871395111083984,2019-05-28
58.465206146240234,2019-05-29
58.187095642089844,2019-05-30
55.811790466308594,2019-05-31
58.397544860839844,2019-06-03
61.67487716674805,2019-06-04
60.870574951171875,2019-06-05
60.40452194213867,2019-06-06
60.33597946166992,2019-06-07
63.709964752197266,2019-06-10
64.36499786376953,2019-06-11
65.03520202636719,2019-06-12
65.79683685302734,2019-06-13
65.88062286376953,2019-06-14
65.2789306640625,2019-06-17
65.91870880126953,2019-06-18
65.65973663330078,2019-06-19
65.94915008544922,2019-06-20
65.85014343261719,2019-06-21
66.23095703125,2019-06-24
65.93392181396484,2019-06-25
65.70543670654297,2019-06-26
65.98723602294922,2019-06-27
65.59882354736328,2019-06-28
66.47467803955078,2019-07-01
66.32237243652344,2019-07-02
66.5279769897461,2019-07-03
66.58131408691406,2019-07-05
66.54324340820312,2019-07-08
64.47161865234375,2019-07-09
64.03748321533203,2019-07-10
64.67723846435547,2019-07-11
65.53789520263672,2019-07-12
65.40840148925781,2019-07-15
66.87071990966797,2019-07-16
65.29417419433594,2019-07-17
65.28654479980469,2019-07-18
65.4388656616211,2019-07-19
64.14409637451172,2019-07-22
65.61405181884766,2019-07-23
65.77398681640625,2019-07-24
65.12659454345703,2019-07-25
64.99712371826172,2019-07-26
63.877540588378906,2019-07-29
64.27359008789062,2019-07-30
63.74044418334961,2019-07-31
62.06486892700195,2019-08-01
57.990169525146484,2019-08-02
58.11963653564453,2019-08-05
57.731239318847656,2019-08-06
57.83784484863281,2019-08-07
58.74416732788086,2019-08-08
57.441795349121094,2019-08-09
55.545345306396484,2019-08-12
57.58650588989258,2019-08-13
55.3777961730957,2019-08-14
55.29401779174805,2019-08-15
56.550697326660156,2019-08-16
57.03052520751953,2019-08-19
55.370174407958984,2019-08-20
55.69767761230469,2019-08-21
54.94367599487305,2019-08-22
52.575008392333984,2019-08-23
52.9710693359375,2019-08-26
53.12337875366211,2019-08-27
54.85227584838867,2019-08-28
57.373260498046875,2019-08-29
58.93458557128906,2019-08-30
57.76871109008789,2019-09-03
58.54081344604492,2019-09-04
59.915157318115234,2019-09-05
60.262603759765625,2019-09-06
62.895484924316406,2019-09-09
65.69047546386719,2019-09-10
66.1769027709961,2019-09-11
64.68675994873047,2019-09-12
66.60929107666016,2019-09-13
69.23442077636719,2019-09-16
68.71712493896484,2019-09-17
68.230712890625,2019-09-18
68.40056610107422,2019-09-19
68.16893005371094,2019-09-20
68.1148910522461,2019-09-23
66.62472534179688,2019-09-24
67.05711364746094,2019-09-25
67.5589599609375,2019-09-26
68.48548126220703,2019-09-27
69.08000946044922,2019-09-30
66.69422149658203,2019-10-01
65.1731948852539,2019-10-02
65.8217544555664,2019-10-03
65.76770782470703,2019-10-04
64.98014831542969,2019-10-07
63.026729583740234,2019-10-08
63.50544357299805,2019-10-09
64.79483032226562,2019-10-10
67.99906158447266,2019-10-11
67.45861053466797,2019-10-14
67.32733917236328,2019-10-15
66.74823760986328,2019-10-16
66.7173843383789,2019-10-17
66.48574829101562,2019-10-18
67.93730926513672,2019-10-21
67.92186737060547,2019-10-22
68.1071548461914,2019-10-23
68.22298431396484,2019-10-24
70.13008117675781,2019-10-25
70.52384185791016,2019-10-28
70.75548553466797,2019-10-29
70.7863540649414,2019-10-30
69.25759887695312,2019-10-31
72.26880645751953,2019-11-01
74.67776489257812,2019-11-04
75.17963409423828,2019-11-05
74.94026184082031,2019-11-06
75.27228546142578,2019-11-07
75.19506072998047,2019-11-08
75.04064178466797,2019-11-11
74.56967163085938,2019-11-12
73.55047607421875,2019-11-13
74.0291748046875,2019-11-14
74.12183380126953,2019-11-15
73.28797912597656,2019-11-18
71.85186004638672,2019-11-19
71.21102905273438,2019-11-20
72.06805419921875,2019-11-21
72.06805419921875,2019-11-22
73.15670013427734,2019-11-25
72.31513214111328,2019-11-26
73.00230407714844,2019-11-27
72.25276184082031,2019-11-29
72.33863067626953,2019-12-02
71.64375305175781,2019-12-03
71.42513275146484,2019-12-04
71.65935516357422,2019-12-05
72.5338363647461,2019-12-06
71.84675598144531,2019-12-09
70.7224349975586,2019-12-10
71.19090270996094,2019-12-11
73.36925506591797,2019-12-12
72.31522369384766,2019-12-13
73.11941528320312,2019-12-16
74.07195281982422,2019-12-17
74.30618286132812,2019-12-18
74.43110656738281,2019-12-19
73.34583282470703,2019-12-20
73.79087829589844,2019-12-23
73.85333251953125,2019-12-24
73.83772277832031,2019-12-26
73.26774597167969,2019-12-27
73.46294403076172,2019-12-30
73.7674560546875,2019-12-31
73.28337860107422,2020-01-02
71.47978973388672,2020-01-03
71.29239654541016,2020-01-06
70.98789978027344,2020-01-07
70.69121551513672,2020-01-08
70.71463012695312,2020-01-09
69.82454681396484,2020-01-10
71.20650482177734,2020-01-13
71.7764892578125,2020-01-14
71.19872283935547,2020-01-15
71.44854736328125,2020-01-16
71.83113861083984,2020-01-17
69.79331970214844,2020-01-21
67.64619445800781,2020-01-22
67.3338851928711,2020-01-23
66.32669067382812,2020-01-24
64.10929107666016,2020-01-27
64.74952697753906,2020-01-28
65.46782684326172,2020-01-29
65.15552520751953,2020-01-30
60.791019439697266,2020-01-31
61.5405387878418,2020-02-03
63.80479431152344,2020-02-04
