FANG,Date
67.22579956054688,2016-04-19
68.16512298583984,2016-04-20
67.42996978759766,2016-04-21
68.35301208496094,2016-04-22
69.00646209716797,2016-04-25
70.66468048095703,2016-04-26
72.23299407958984,2016-04-27
70.9668960571289,2016-04-28
70.7218246459961,2016-04-29
71.56318664550781,2016-05-02
69.34957122802734,2016-05-03
68.7532730102539,2016-05-04
71.620361328125,2016-05-05
69.80696868896484,2016-05-06
70.02753448486328,2016-05-09
71.39981079101562,2016-05-10
70.6483154296875,2016-05-11
71.17929077148438,2016-05-12
69.83147430419922,2016-05-13
70.7218246459961,2016-05-16
71.0158920288086,2016-05-17
71.00774383544922,2016-05-18
71.00774383544922,2016-05-19
71.08124542236328,2016-05-20
70.9342269897461,2016-05-23
71.85724639892578,2016-05-24
73.30306243896484,2016-05-25
75.07559204101562,2016-05-26
75.85159301757812,2016-05-27
74.29141998291016,2016-05-31
74.76519012451172,2016-06-01
75.49217224121094,2016-06-02
73.60527038574219,2016-06-03
74.22608947753906,2016-06-06
77.26469421386719,2016-06-07
76.07212829589844,2016-06-08
75.29613494873047,2016-06-09
72.9762954711914,2016-06-10
72.50254821777344,2016-06-13
73.40109252929688,2016-06-14
72.80477905273438,2016-06-15
71.26911926269531,2016-06-16
71.48149871826172,2016-06-17
72.70675659179688,2016-06-20
74.26692199707031,2016-06-21
74.16072845458984,2016-06-22
74.66715240478516,2016-06-23
71.29363250732422,2016-06-24
68.42652130126953,2016-06-27
72.38002014160156,2016-06-28
74.16072845458984,2016-06-29
74.50379180908203,2016-06-30
73.95651245117188,2016-07-01
73.13150787353516,2016-07-05
73.9238510131836,2016-07-06
72.36368560791016,2016-07-07
72.82928466796875,2016-07-08
73.27037811279297,2016-07-11
75.11642456054688,2016-07-12
74.36495208740234,2016-07-13
75.33697509765625,2016-07-14
74.27507019042969,2016-07-15
73.98102569580078,2016-07-18
73.04167175292969,2016-07-19
73.09065246582031,2016-07-20
72.02877807617188,2016-07-21
