LIFE,Date
55.29999923706055,2017-11-10
51.099998474121094,2017-11-13
51.79999923706055,2017-11-14
53.900001525878906,2017-11-15
53.900001525878906,2017-11-16
53.900001525878906,2017-11-17
52.5,2017-11-20
53.900001525878906,2017-11-21
55.29999923706055,2017-11-22
56.0,2017-11-24
60.900001525878906,2017-11-27
59.5,2017-11-28
57.400001525878906,2017-11-29
54.599998474121094,2017-11-30
56.0,2017-12-01
54.599998474121094,2017-12-04
53.20000076293945,2017-12-05
52.5,2017-12-06
54.599998474121094,2017-12-07
56.0,2017-12-08
54.599998474121094,2017-12-11
50.400001525878906,2017-12-12
49.70000076293945,2017-12-13
49.70000076293945,2017-12-14
50.400001525878906,2017-12-15
52.5,2017-12-18
49.70000076293945,2017-12-19
53.20000076293945,2017-12-20
53.900001525878906,2017-12-21
53.900001525878906,2017-12-22
53.20000076293945,2017-12-26
51.79999923706055,2017-12-27
52.5,2017-12-28
49.0,2017-12-29
53.20000076293945,2018-01-02
53.20000076293945,2018-01-03
52.5,2018-01-04
53.900001525878906,2018-01-05
54.599998474121094,2018-01-08
53.900001525878906,2018-01-09
55.29999923706055,2018-01-10
55.29999923706055,2018-01-11
54.599998474121094,2018-01-12
56.0,2018-01-16
58.099998474121094,2018-01-17
57.400001525878906,2018-01-18
55.29999923706055,2018-01-19
57.04999923706055,2018-01-22
56.0,2018-01-23
53.900001525878906,2018-01-24
53.900001525878906,2018-01-25
52.5,2018-01-26
53.20000076293945,2018-01-29
51.099998474121094,2018-01-30
49.70000076293945,2018-01-31
46.900001525878906,2018-02-01
46.900001525878906,2018-02-02
45.5,2018-02-05
46.20000076293945,2018-02-06
48.29999923706055,2018-02-07
49.0,2018-02-08
46.900001525878906,2018-02-09
47.599998474121094,2018-02-12
49.0,2018-02-13
45.5,2018-02-14
43.400001525878906,2018-02-15
44.099998474121094,2018-02-16
43.400001525878906,2018-02-20
44.099998474121094,2018-02-21
42.0,2018-02-22
41.29999923706055,2018-02-23
41.29999923706055,2018-02-26
39.900001525878906,2018-02-27
41.29999923706055,2018-02-28
41.29999923706055,2018-03-01
42.0,2018-03-02
42.0,2018-03-05
42.0,2018-03-06
42.0,2018-03-07
42.0,2018-03-08
42.0,2018-03-09
42.0,2018-03-12
41.29999923706055,2018-03-13
42.0,2018-03-14
41.29999923706055,2018-03-15
42.0,2018-03-16
42.0,2018-03-19
40.599998474121094,2018-03-20
42.0,2018-03-21
41.29999923706055,2018-03-22
41.29999923706055,2018-03-23
41.29999923706055,2018-03-26
40.25,2018-03-27
37.79999923706055,2018-03-28
37.099998474121094,2018-03-29
38.5,2018-04-02
37.099998474121094,2018-04-03
37.79999923706055,2018-04-04
37.79999923706055,2018-04-05
38.5,2018-04-06
37.099998474121094,2018-04-09
37.79999923706055,2018-04-10
37.099998474121094,2018-04-11
37.79999923706055,2018-04-12
38.5,2018-04-13
37.099998474121094,2018-04-16
35.70000076293945,2018-04-17
35.70000076293945,2018-04-18
34.29999923706055,2018-04-19
33.599998474121094,2018-04-20
32.900001525878906,2018-04-23
33.599998474121094,2018-04-24
32.900001525878906,2018-04-25
32.900001525878906,2018-04-26
32.20000076293945,2018-04-27
31.5,2018-04-30
32.900001525878906,2018-05-01
32.900001525878906,2018-05-02
32.54999923706055,2018-05-03
34.29999923706055,2018-05-04
33.599998474121094,2018-05-07
32.900001525878906,2018-05-08
32.900001525878906,2018-05-09
31.5,2018-05-10
32.20000076293945,2018-05-11
21.700000762939453,2018-05-14
18.899999618530273,2018-05-15
11.899999618530273,2018-05-16
13.649999618530273,2018-05-17
13.300000190734863,2018-05-18
12.291999816894531,2018-05-21
12.739999771118164,2018-05-22
12.8100004196167,2018-05-23
12.600000381469727,2018-05-24
12.880000114440918,2018-05-25
12.137999534606934,2018-05-29
12.180000305175781,2018-05-30
12.642000198364258,2018-05-31
12.319999694824219,2018-06-01
11.899999618530273,2018-06-04
11.899999618530273,2018-06-05
11.829999923706055,2018-06-06
12.600000381469727,2018-06-07
14.420000076293945,2018-06-08
13.845999717712402,2018-06-11
13.552000045776367,2018-06-12
13.4399995803833,2018-06-13
13.468000411987305,2018-06-14
14.140000343322754,2018-06-15
14.503999710083008,2018-06-18
14.699999809265137,2018-06-19
17.920000076293945,2018-06-20
16.3799991607666,2018-06-21
16.100000381469727,2018-06-22
15.399999618530273,2018-06-25
14.140000343322754,2018-06-26
13.63599967956543,2018-06-27
12.739999771118164,2018-06-28
12.739999771118164,2018-06-29
12.319999694824219,2018-07-02
12.180000305175781,2018-07-03
12.894000053405762,2018-07-05
13.145999908447266,2018-07-06
12.92199993133545,2018-07-09
12.697999954223633,2018-07-10
12.600000381469727,2018-07-11
13.579999923706055,2018-07-12
13.15999984741211,2018-07-13
12.767999649047852,2018-07-16
12.515999794006348,2018-07-17
12.501999855041504,2018-07-18
12.319999694824219,2018-07-19
12.319999694824219,2018-07-20
12.586000442504883,2018-07-23
12.319999694824219,2018-07-24
12.053999900817871,2018-07-25
11.956000328063965,2018-07-26
11.619999885559082,2018-07-27
11.40999984741211,2018-07-30
10.86400032043457,2018-07-31
10.920000076293945,2018-08-01
10.807999610900879,2018-08-02
10.640000343322754,2018-08-03
10.5,2018-08-06
10.010000228881836,2018-08-07
9.78600025177002,2018-08-08
9.800000190734863,2018-08-09
9.618000030517578,2018-08-10
9.057999610900879,2018-08-13
9.239999771118164,2018-08-14
8.833999633789062,2018-08-15
8.539999961853027,2018-08-16
9.11400032043457,2018-08-17
9.281999588012695,2018-08-20
9.715999603271484,2018-08-21
8.960000038146973,2018-08-22
8.680000305175781,2018-08-23
8.932000160217285,2018-08-24
8.960000038146973,2018-08-27
9.435999870300293,2018-08-28
10.079999923706055,2018-08-29
10.555999755859375,2018-08-30
10.107999801635742,2018-08-31
11.031999588012695,2018-09-04
11.479999542236328,2018-09-05
10.5,2018-09-06
10.779999732971191,2018-09-07
10.5,2018-09-10
10.289999961853027,2018-09-11
10.13599967956543,2018-09-12
10.079999923706055,2018-09-13
10.289999961853027,2018-09-14
10.5,2018-09-17
10.569999694824219,2018-09-18
11.522000312805176,2018-09-19
11.53600025177002,2018-09-20
10.920000076293945,2018-09-21
10.989999771118164,2018-09-24
11.633999824523926,2018-09-25
11.368000030517578,2018-09-26
11.550000190734863,2018-09-27
11.381999969482422,2018-09-28
10.850000381469727,2018-10-01
10.359999656677246,2018-10-02
11.088000297546387,2018-10-03
10.5,2018-10-04
11.199999809265137,2018-10-05
10.920000076293945,2018-10-08
9.9399995803833,2018-10-09
9.520000457763672,2018-10-10
8.567999839782715,2018-10-11
10.220000267028809,2018-10-12
9.9399995803833,2018-10-15
9.82800006866455,2018-10-16
10.038000106811523,2018-10-17
9.35200023651123,2018-10-18
9.800000190734863,2018-10-19
9.449999809265137,2018-10-22
9.11400032043457,2018-10-23
9.001999855041504,2018-10-24
8.680000305175781,2018-10-25
8.539999961853027,2018-10-26
9.015999794006348,2018-10-29
8.75,2018-10-30
8.51200008392334,2018-10-31
8.946000099182129,2018-11-01
9.253999710083008,2018-11-02
8.819999694824219,2018-11-05
8.539999961853027,2018-11-06
8.946000099182129,2018-11-07
9.505999565124512,2018-11-08
8.833999633789062,2018-11-09
8.539999961853027,2018-11-12
7.728000164031982,2018-11-13
7.28000020980835,2018-11-14
7.28000020980835,2018-11-15
7.742000102996826,2018-11-16
7.797999858856201,2018-11-19
7.489999771118164,2018-11-20
7.420000076293945,2018-11-21
7.28000020980835,2018-11-23
7.699999809265137,2018-11-26
8.105999946594238,2018-11-27
8.470000267028809,2018-11-28
8.75,2018-11-29
8.62399959564209,2018-11-30
8.722000122070312,2018-12-03
8.260000228881836,2018-12-04
8.008000373840332,2018-12-06
8.03600025177002,2018-12-07
8.064000129699707,2018-12-10
7.644000053405762,2018-12-11
7.504000186920166,2018-12-12
7.041999816894531,2018-12-13
6.3420000076293945,2018-12-14
5.921999931335449,2018-12-17
6.019999980926514,2018-12-18
5.375999927520752,2018-12-19
6.019999980926514,2018-12-20
5.599999904632568,2018-12-21
5.754000186920166,2018-12-24
5.9079999923706055,2018-12-26
6.860000133514404,2018-12-27
7.139999866485596,2018-12-28
6.943999767303467,2018-12-31
7.420000076293945,2019-01-02
7.5320000648498535,2019-01-03
7.392000198364258,2019-01-04
7.742000102996826,2019-01-07
7.671999931335449,2019-01-08
7.714000225067139,2019-01-09
7.5320000648498535,2019-01-10
7.51800012588501,2019-01-11
7.377999782562256,2019-01-14
7.980000019073486,2019-01-15
8.092000007629395,2019-01-16
7.881999969482422,2019-01-17
8.022000312805176,2019-01-18
7.6020002365112305,2019-01-22
7.47599983215332,2019-01-23
7.461999893188477,2019-01-24
7.840000152587891,2019-01-25
7.420000076293945,2019-01-28
7.168000221252441,2019-01-29
7.0,2019-01-30
7.013999938964844,2019-01-31
7.139999866485596,2019-02-01
7.23799991607666,2019-02-04
7.139999866485596,2019-02-05
7.23799991607666,2019-02-06
7.349999904632568,2019-02-07
7.056000232696533,2019-02-08
6.874000072479248,2019-02-11
7.0,2019-02-12
6.860000133514404,2019-02-13
7.139999866485596,2019-02-14
7.0,2019-02-15
7.0,2019-02-19
6.860000133514404,2019-02-20
7.070000171661377,2019-02-21
7.139999866485596,2019-02-22
6.71999979019165,2019-02-25
