RSG,Date
7.873946666717529,2001-11-16
7.852444648742676,2001-11-19
7.826642990112305,2001-11-20
7.646029472351074,2001-11-21
7.697633266448975,2001-11-23
7.663230895996094,2001-11-26
7.525619983673096,2001-11-27
7.439611911773682,2001-11-28
7.306302547454834,2001-11-29
7.418108940124512,2001-11-30
7.439611911773682,2001-12-03
7.314899921417236,2001-12-04
7.332103252410889,2001-12-05
7.9642534255981445,2001-12-06
8.033059120178223,2001-12-07
7.891147136688232,2001-12-10
7.753539562225342,2001-12-11
7.658929347991943,2001-12-12
8.19217586517334,2001-12-13
8.321185111999512,2001-12-14
8.4974946975708,2001-12-17
8.536202430725098,2001-12-18
8.321185111999512,2001-12-19
8.385690689086914,2001-12-20
8.751220703125,2001-12-21
8.751220703125,2001-12-24
8.639412879943848,2001-12-26
8.66520881652832,2001-12-27
8.708213806152344,2001-12-28
8.587803840637207,2001-12-31
8.596405029296875,2002-01-02
8.480297088623047,2002-01-03
8.364189147949219,2002-01-04
8.471699714660645,2002-01-07
8.398591995239258,2002-01-08
8.308280944824219,2002-01-09
8.170670509338379,2002-01-10
8.29967975616455,2002-01-11
8.351285934448242,2002-01-14
8.385690689086914,2002-01-15
8.402892112731934,2002-01-16
8.381388664245605,2002-01-17
8.31688404083252,2002-01-18
8.338384628295898,2002-01-22
8.334084510803223,2002-01-23
8.312580108642578,2002-01-24
8.364189147949219,2002-01-25
8.170670509338379,2002-01-28
8.170670509338379,2002-01-29
7.8825459480285645,2002-01-30
7.482616424560547,2002-01-31
7.302000045776367,2002-02-01
7.203090667724609,2002-02-04
7.263297080993652,2002-02-05
7.258996963500977,2002-02-06
7.289096832275391,2002-02-07
7.302000045776367,2002-02-08
7.310600280761719,2002-02-11
7.258996963500977,2002-02-12
7.23749303817749,2002-02-13
7.439611911773682,2002-02-14
7.525619983673096,2002-02-15
7.465410232543945,2002-02-19
7.504117488861084,2002-02-20
7.482616424560547,2002-02-21
7.564321994781494,2002-02-22
7.469712734222412,2002-02-25
7.478312969207764,2002-02-26
7.792238712310791,2002-02-27
7.719134330749512,2002-02-28
7.800840854644775,2002-03-01
7.994356632232666,2002-03-04
7.934152603149414,2002-03-05
7.998658180236816,2002-03-06
7.9771552085876465,2002-03-07
7.78363561630249,2002-03-08
7.775038719177246,2002-03-11
7.57722282409668,2002-03-12
7.482616424560547,2002-03-13
7.534220218658447,2002-03-14
7.469712734222412,2002-03-15
7.456813812255859,2002-03-18
7.998658180236816,2002-03-19
7.998658180236816,2002-03-20
7.912652015686035,2002-03-21
8.037361145019531,2002-03-22
8.084662437438965,2002-03-25
8.321185111999512,2002-03-26
8.071760177612305,2002-03-27
8.033059120178223,2002-03-28
8.213676452636719,2002-04-01
8.170670509338379,2002-04-02
8.200776100158691,2002-04-03
8.1018648147583,2002-04-04
8.127667427062988,2002-04-05
8.308280944824219,2002-04-08
8.093265533447266,2002-04-09
8.2910795211792,2002-04-10
8.248075485229492,2002-04-11
8.25667953491211,2002-04-12
8.31688404083252,2002-04-15
8.338384628295898,2002-04-16
8.22227668762207,2002-04-17
8.162068367004395,2002-04-18
8.213676452636719,2002-04-19
8.213676452636719,2002-04-22
8.243775367736816,2002-04-23
8.183574676513672,2002-04-24
8.162068367004395,2002-04-25
8.170670509338379,2002-04-26
8.084662437438965,2002-04-29
8.514697074890137,2002-04-30
8.342686653137207,2002-05-01
8.385690689086914,2002-05-02
8.385690689086914,2002-05-03
8.329784393310547,2002-05-06
8.351285934448242,2002-05-07
8.510396957397461,2002-05-08
8.463096618652344,2002-05-09
8.66091537475586,2002-05-10
8.738316535949707,2002-05-13
8.880228996276855,2002-05-14
