BKR,Date
21.329566955566406,2009-11-30
21.497100830078125,2009-12-01
21.193437576293945,2009-12-02
20.601818084716797,2009-12-03
20.465702056884766,2009-12-04
20.37669563293457,2009-12-07
19.915973663330078,2009-12-08
20.062564849853516,2009-12-09
20.397632598876953,2009-12-10
20.575641632080078,2009-12-11
20.863597869873047,2009-12-14
21.350502014160156,2009-12-15
21.43427085876465,2009-12-16
21.507564544677734,2009-12-17
21.20914077758789,2009-12-18
21.39238166809082,2009-12-21
21.251035690307617,2009-12-22
21.376670837402344,2009-12-23
21.476152420043945,2009-12-24
21.52327537536621,2009-12-28
21.319087982177734,2009-12-29
21.39762306213379,2009-12-30
21.193437576293945,2009-12-31
21.591341018676758,2010-01-04
22.858339309692383,2010-01-05
23.999685287475586,2010-01-06
24.17244529724121,2010-01-07
24.65935707092285,2010-01-08
24.3975887298584,2010-01-11
23.931615829467773,2010-01-12
24.371414184570312,2010-01-13
24.884492874145508,2010-01-14
24.75359535217285,2010-01-15
25.15673828125,2010-01-19
24.6803035736084,2010-01-20
24.41329574584961,2010-01-21
23.177711486816406,2010-01-22
23.345237731933594,2010-01-25
24.549413681030273,2010-01-26
24.921133041381836,2010-01-27
24.40643310546875,2010-01-28
23.781429290771484,2010-01-29
24.858123779296875,2010-02-01
24.821338653564453,2010-02-02
24.852853775024414,2010-02-03
23.749923706054688,2010-02-04
23.492572784423828,2010-02-05
23.398027420043945,2010-02-08
23.923240661621094,2010-02-09
23.770931243896484,2010-02-10
24.5167236328125,2010-02-11
24.422191619873047,2010-02-12
25.178491592407227,2010-02-16
25.236265182495117,2010-02-17
25.5513858795166,2010-02-18
25.66167640686035,2010-02-19
25.278276443481445,2010-02-22
24.716304779052734,2010-02-23
25.16272735595703,2010-02-24
25.15222930908203,2010-02-25
25.16798210144043,2010-02-26
25.372819900512695,2010-03-01
25.856008529663086,2010-03-02
26.260417938232422,2010-03-03
26.218400955200195,2010-03-04
26.727853775024414,2010-03-05
26.438993453979492,2010-03-08
26.22890853881836,2010-03-09
26.249908447265625,2010-03-10
26.249908447265625,2010-03-11
26.281429290771484,2010-03-12
26.192136764526367,2010-03-15
26.80663299560547,2010-03-16
27.237308502197266,2010-03-17
25.929536819458008,2010-03-18
24.963153839111328,2010-03-19
24.94214630126953,2010-03-22
24.747812271118164,2010-03-23
24.448450088500977,2010-03-24
23.56610107421875,2010-03-25
23.56610107421875,2010-03-26
23.975770950317383,2010-03-29
24.133325576782227,2010-03-30
24.600759506225586,2010-03-31
25.383319854736328,2010-04-01
26.09235382080078,2010-04-05
26.218400955200195,2010-04-06
25.735204696655273,2010-04-07
25.598661422729492,2010-04-08
25.65117073059082,2010-04-09
25.64592170715332,2010-04-12
25.320293426513672,2010-04-13
25.87701416015625,2010-04-14
25.7772216796875,2010-04-15
24.95265007019043,2010-04-16
25.015670776367188,2010-04-19
26.412734985351562,2010-04-20
26.727853775024414,2010-04-21
27.20578956604004,2010-04-22
28.45578956604004,2010-04-23
28.29822540283203,2010-04-26
26.754117965698242,2010-04-27
26.911680221557617,2010-04-28
27.006210327148438,2010-04-29
26.134366989135742,2010-04-30
26.63857078552246,2010-05-03
25.178491592407227,2010-05-04
24.852853775024414,2010-05-05
24.14683723449707,2010-05-06
23.31437873840332,2010-05-07
24.842313766479492,2010-05-10
24.605234146118164,2010-05-11
24.984580993652344,2010-05-12
24.642107009887695,2010-05-13
23.904483795166016,2010-05-14
23.883405685424805,2010-05-17
23.44610023498535,2010-05-18
23.040395736694336,2010-05-19
21.44922637939453,2010-05-20
22.039325714111328,2010-05-21
21.280624389648438,2010-05-24
21.407068252563477,2010-05-25
21.412343978881836,2010-05-26
21.649438858032227,2010-05-27
20.09514617919922,2010-05-28
18.899133682250977,2010-06-01
20.880205154418945,2010-06-02
20.748476028442383,2010-06-03
20.269014358520508,2010-06-04
20.058263778686523,2010-06-07
20.116222381591797,2010-06-08
20.20578956604004,2010-06-09
22.35018539428711,2010-06-10
22.45029640197754,2010-06-11
22.097278594970703,2010-06-14
22.966636657714844,2010-06-15
23.1721134185791,2010-06-16
23.108890533447266,2010-06-17
23.535659790039062,2010-06-18
23.23008155822754,2010-06-21
22.207927703857422,2010-06-22
22.40286636352539,2010-06-23
21.8707275390625,2010-06-24
22.524065017700195,2010-06-25
22.12889862060547,2010-06-28
21.51772117614746,2010-06-29
21.902339935302734,2010-06-30
21.98664093017578,2010-07-01
22.28696632385254,2010-07-02
23.14577293395996,2010-07-06
23.783288955688477,2010-07-07
24.336515426635742,2010-07-08
24.373401641845703,2010-07-09
24.241676330566406,2010-07-12
24.599956512451172,2010-07-13
24.736942291259766,2010-07-14
24.84759521484375,2010-07-15
24.236406326293945,2010-07-16
25.132097244262695,2010-07-19
25.9066219329834,2010-07-20
25.427152633666992,2010-07-21
26.033063888549805,2010-07-22
25.85393714904785,2010-07-23
26.180601119995117,2010-07-26
25.759084701538086,2010-07-27
25.753820419311523,2010-07-28
25.568851470947266,2010-07-29
25.510719299316406,2010-07-30
26.54657554626465,2010-08-02
23.074331283569336,2010-08-03
22.635665893554688,2010-08-04
22.4506893157959,2010-08-05
22.054319381713867,2010-08-06
22.10716438293457,2010-08-09
21.694936752319336,2010-08-10
21.240428924560547,2010-08-11
21.108304977416992,2010-08-12
21.029035568237305,2010-08-13
21.10301971435547,2010-08-16
21.668516159057617,2010-08-17
21.50467300415039,2010-08-18
21.007888793945312,2010-08-19
20.616798400878906,2010-08-20
20.616798400878906,2010-08-23
20.50052833557129,2010-08-24
20.579801559448242,2010-08-25
19.866329193115234,2010-08-26
20.46353530883789,2010-08-27
20.157005310058594,2010-08-30
19.861040115356445,2010-08-31
20.875757217407227,2010-09-01
20.986745834350586,2010-09-02
20.8704776763916,2010-09-03
20.53752899169922,2010-09-07
20.833478927612305,2010-09-08
20.62736701965332,2010-09-09
20.817628860473633,2010-09-10
21.3725528717041,2010-09-13
21.208717346191406,2010-09-14
21.134733200073242,2010-09-15
21.071311950683594,2010-09-16
21.07659339904785,2010-09-17
21.45182991027832,2010-09-20
21.277423858642578,2010-09-21
21.134733200073242,2010-09-22
20.807058334350586,2010-09-23
21.700223922729492,2010-09-24
21.472959518432617,2010-09-27
21.605093002319336,2010-09-28
22.25514793395996,2010-09-29
22.514108657836914,2010-09-30
23.005619049072266,2010-10-01
22.630393981933594,2010-10-04
23.185300827026367,2010-10-05
23.423141479492188,2010-10-06
23.12716293334961,2010-10-07
23.549970626831055,2010-10-08
23.507694244384766,2010-10-11
23.63981819152832,2010-10-12
23.9199161529541,2010-10-13
23.70323371887207,2010-10-14
24.110191345214844,2010-10-15
23.845932006835938,2010-10-18
23.3649959564209,2010-10-19
23.88292121887207,2010-10-20
23.835363388061523,2010-10-21
24.612262725830078,2010-10-22
24.6175479888916,2010-10-25
24.7972354888916,2010-10-26
24.564701080322266,2010-10-27
24.38442611694336,2010-10-28
24.612401962280273,2010-10-29
25.646320343017578,2010-11-01
26.128826141357422,2010-11-02
26.139427185058594,2010-11-03
26.902929306030273,2010-11-04
26.4787654876709,2010-11-05
26.68024253845215,2010-11-08
26.250761032104492,2010-11-09
26.65903091430664,2010-11-10
26.547679901123047,2010-11-11
25.72585678100586,2010-11-12
25.402427673339844,2010-11-15
25.126720428466797,2010-11-16
25.3812313079834,2010-11-17
26.452251434326172,2010-11-18
26.595401763916016,2010-11-19
26.49466896057129,2010-11-22
26.187129974365234,2010-11-23
26.881715774536133,2010-11-24
26.409833908081055,2010-11-26
26.92412757873535,2010-11-29
27.65582847595215,2010-11-30
28.535980224609375,2010-12-01
28.891220092773438,2010-12-02
29.19344139099121,2010-12-03
29.379013061523438,2010-12-06
28.19664764404297,2010-12-07
28.329195022583008,2010-12-08
28.60490608215332,2010-12-09
28.58899688720703,2010-12-10
29.188138961791992,2010-12-13
29.251766204833984,2010-12-14
29.05028533935547,2010-12-15
29.405527114868164,2010-12-16
29.824398040771484,2010-12-17
29.644128799438477,2010-12-20
30.073591232299805,2010-12-21
30.09480094909668,2010-12-22
30.07889175415039,2010-12-23
29.797893524169922,2010-12-27
29.67063331604004,2010-12-28
30.14252281188965,2010-12-29
30.12661361694336,2010-12-30
30.31218910217285,2010-12-31
30.37581443786621,2011-01-03
29.644128799438477,2011-01-04
29.686534881591797,2011-01-05
29.071491241455078,2011-01-06
30.00996208190918,2011-01-07
29.702451705932617,2011-01-10
30.625019073486328,2011-01-11
31.155214309692383,2011-01-12
30.99616241455078,2011-01-13
31.590007781982422,2011-01-14
31.44154167175293,2011-01-18
31.144617080688477,2011-01-19
31.022666931152344,2011-01-20
31.26657485961914,2011-01-21
31.01736068725586,2011-01-24
33.04277801513672,2011-01-25
34.98865509033203,2011-01-26
35.34919357299805,2011-01-27
35.67791748046875,2011-01-28
36.32478713989258,2011-01-31
36.34599685668945,2011-02-01
36.277069091796875,2011-02-02
36.415218353271484,2011-02-03
36.03263854980469,2011-02-04
36.38332748413086,2011-02-07
35.99543380737305,2011-02-08
35.42686080932617,2011-02-09
35.69255828857422,2011-02-10
35.67129135131836,2011-02-11
36.027305603027344,2011-02-14
35.60220718383789,2011-02-15
37.010372161865234,2011-02-16
37.82868194580078,2011-02-17
37.63737869262695,2011-02-18
36.60120391845703,2011-02-22
37.477970123291016,2011-02-23
36.63307571411133,2011-02-24
37.99340057373047,2011-02-25
37.7542839050293,2011-02-28
36.77655792236328,2011-03-01
36.56400680541992,2011-03-02
37.307926177978516,2011-03-03
37.05287551879883,2011-03-04
36.90939712524414,2011-03-07
36.643707275390625,2011-03-08
36.30894088745117,2011-03-09
35.46937561035156,2011-03-10
36.65966033935547,2011-03-11
37.010372161865234,2011-03-14
37.419517517089844,2011-03-15
35.830711364746094,2011-03-16
36.94126892089844,2011-03-17
36.3992805480957,2011-03-18
37.520484924316406,2011-03-21
37.520484924316406,2011-03-22
37.84994888305664,2011-03-23
37.897769927978516,2011-03-24
37.77021408081055,2011-03-25
39.194313049316406,2011-03-28
39.4068717956543,2011-03-29
39.26871109008789,2011-03-30
39.018978118896484,2011-03-31
38.47697067260742,2011-04-01
38.58854675292969,2011-04-04
