CMA,Date
20.468223571777344,2002-10-02
19.22477149963379,2002-10-03
18.938222885131836,2002-10-04
18.186017990112305,2002-10-07
19.168489456176758,2002-10-08
18.180906295776367,2002-10-09
19.838821411132812,2002-10-10
20.350528717041016,2002-10-11
20.949222564697266,2002-10-14
21.599088668823242,2002-10-15
20.360761642456055,2002-10-16
21.138559341430664,2002-10-17
21.414878845214844,2002-10-18
21.542808532714844,2002-10-21
21.53769302368164,2002-10-22
21.74236297607422,2002-10-23
21.425113677978516,2002-10-24
21.849828720092773,2002-10-25
21.9572811126709,2002-10-28
21.757715225219727,2002-10-29
22.003337860107422,2002-10-30
22.34105682373047,2002-10-31
22.924423217773438,2002-11-01
22.944875717163086,2002-11-04
22.596921920776367,2002-11-05
22.300132751464844,2002-11-06
21.660505294799805,2002-11-07
21.604219436645508,2002-11-08
21.80888557434082,2002-11-11
22.39223289489746,2002-11-12
22.555984497070312,2002-11-13
23.17514991760254,2002-11-14
23.180265426635742,2002-11-15
22.842540740966797,2002-11-18
23.026748657226562,2002-11-19
23.57427406311035,2002-11-20
24.25484275817871,2002-11-21
24.32137107849121,2002-11-22
24.674449920654297,2002-11-25
24.20879364013672,2002-11-26
24.551624298095703,2002-11-27
24.219018936157227,2002-11-29
24.16786003112793,2002-12-02
23.436115264892578,2002-12-03
23.180265426635742,2002-12-04
23.07791519165039,2002-12-05
23.05233383178711,2002-12-06
22.387115478515625,2002-12-09
22.520158767700195,2002-12-10
22.540864944458008,2002-12-11
22.27184295654297,2002-12-12
21.9200496673584,2002-12-13
22.53568458557129,2002-12-16
22.396007537841797,2002-12-17
22.1373291015625,2002-12-18
22.44255256652832,2002-12-19
22.758155822753906,2002-12-20
22.81505584716797,2002-12-23
22.633974075317383,2002-12-24
22.76848602294922,2002-12-26
22.22526741027832,2002-12-27
22.34943389892578,2002-12-30
22.370132446289062,2002-12-31
23.234102249145508,2003-01-02
23.146162033081055,2003-01-03
24.0515193939209,2003-01-06
23.860107421875,2003-01-07
23.65833282470703,2003-01-08
24.144628524780273,2003-01-09
23.880788803100586,2003-01-10
23.777315139770508,2003-01-13
24.12393569946289,2003-01-14
23.487607955932617,2003-01-15
22.61328887939453,2003-01-16
22.308048248291016,2003-01-17
22.106285095214844,2003-01-21
21.557889938354492,2003-01-22
21.790700912475586,2003-01-23
21.107807159423828,2003-01-24
20.993982315063477,2003-01-27
20.952594757080078,2003-01-28
21.164709091186523,2003-01-29
20.616323471069336,2003-01-30
20.952594757080078,2003-01-31
20.92673683166504,2003-02-03
20.80255889892578,2003-02-04
20.78187370300293,2003-02-05
20.77670669555664,2003-02-06
20.69392204284668,2003-02-07
21.08193016052246,2003-02-10
20.880168914794922,2003-02-11
20.647357940673828,2003-02-12
20.688745498657227,2003-02-13
21.087106704711914,2003-02-14
21.33543586730957,2003-02-18
21.273361206054688,2003-02-19
21.071584701538086,2003-02-20
21.28887176513672,2003-02-21
20.874988555908203,2003-02-24
20.869821548461914,2003-02-25
20.662879943847656,2003-02-26
20.85947036743164,2003-02-27
21.200925827026367,2003-02-28
21.169891357421875,2003-03-03
20.823251724243164,2003-03-04
20.952594757080078,2003-03-05
20.750831604003906,2003-03-06
20.730138778686523,2003-03-07
20.016191482543945,2003-03-10
19.850650787353516,2003-03-11
19.74580955505371,2003-03-12
20.076038360595703,2003-03-13
19.71436882019043,2003-03-14
20.306678771972656,2003-03-17
19.965967178344727,2003-03-18
19.892578125,2003-03-19
20.32240867614746,2003-03-20
20.967145919799805,2003-03-21
20.364334106445312,2003-03-24
20.469181060791016,2003-03-25
20.338130950927734,2003-03-26
20.138952255249023,2003-03-27
20.049835205078125,2003-03-28
19.855892181396484,2003-03-31
20.20184898376465,2003-04-01
20.54256248474121,2003-04-02
20.364334106445312,2003-04-03
20.526832580566406,2003-04-04
20.364334106445312,2003-04-07
20.332889556884766,2003-04-08
19.845407485961914,2003-04-09
20.338130950927734,2003-04-10
20.652637481689453,2003-04-11
21.19253158569336,2003-04-14
21.748167037963867,2003-04-15
20.998594284057617,2003-04-16
21.13488006591797,2003-04-17
21.155851364135742,2003-04-21
21.999784469604492,2003-04-22
22.12033462524414,2003-04-23
21.900178909301758,2003-04-24
21.79010772705078,2003-04-25
22.225177764892578,2003-04-28
22.59209632873535,2003-04-29
22.8070125579834,2003-04-30
22.985227584838867,2003-05-01
23.163455963134766,2003-05-02
23.027172088623047,2003-05-05
23.168699264526367,2003-05-06
23.132003784179688,2003-05-07
22.812255859375,2003-05-08
22.94854164123535,2003-05-09
23.477968215942383,2003-05-12
23.818675994873047,2003-05-13
23.74529266357422,2003-05-14
23.56183433532715,2003-05-15
23.519895553588867,2003-05-16
22.932809829711914,2003-05-19
22.869911193847656,2003-05-20
22.95901870727539,2003-05-21
23.210630416870117,2003-05-22
23.46747398376465,2003-05-23
23.834409713745117,2003-05-27
24.038827896118164,2003-05-28
23.7767391204834,2003-05-29
24.253747940063477,2003-05-30
24.694063186645508,2003-06-02
25.370241165161133,2003-06-03
26.334739685058594,2003-06-04
27.037139892578125,2003-06-05
27.152462005615234,2003-06-06
26.172243118286133,2003-06-09
26.308528900146484,2003-06-10
26.213228225708008,2003-06-11
25.964391708374023,2003-06-12
25.408466339111328,2003-06-13
25.853208541870117,2003-06-16
25.450803756713867,2003-06-17
25.2655086517334,2003-06-18
25.069616317749023,2003-06-19
24.905471801757812,2003-06-20
24.476625442504883,2003-06-23
24.709575653076172,2003-06-24
25.000783920288086,2003-06-25
25.043132781982422,2003-06-26
24.884300231933594,2003-06-27
24.61957359313965,2003-06-30
24.995498657226562,2003-07-01
25.201969146728516,2003-07-02
24.969011306762695,2003-07-03
25.2655086517334,2003-07-07
25.450803756713867,2003-07-08
25.413759231567383,2003-07-09
25.233736038208008,2003-07-10
25.21786117553711,2003-07-11
25.99614906311035,2003-07-14
25.530227661132812,2003-07-15
24.566627502441406,2003-07-16
24.180124282836914,2003-07-17
24.18541717529297,2003-07-18
24.07952308654785,2003-07-21
24.381319046020508,2003-07-22
24.72545623779297,2003-07-23
24.7413387298584,2003-07-24
25.424333572387695,2003-07-25
25.334327697753906,2003-07-28
25.43492889404297,2003-07-29
25.40316390991211,2003-07-30
25.66788673400879,2003-07-31
25.3925724029541,2003-08-01
25.477283477783203,2003-08-04
24.884300231933594,2003-08-05
24.804868698120117,2003-08-06
24.810176849365234,2003-08-07
24.884300231933594,2003-08-08
24.810176849365234,2003-08-11
24.984893798828125,2003-08-12
24.751937866210938,2003-08-13
24.76251983642578,2003-08-14
24.86311912536621,2003-08-15
25.043132781982422,2003-08-18
25.281387329101562,2003-08-19
25.49317741394043,2003-08-20
25.59376335144043,2003-08-21
25.31316375732422,2003-08-22
25.397865295410156,2003-08-25
25.419048309326172,2003-08-26
25.588476181030273,2003-08-27
25.858489990234375,2003-08-28
26.12322425842285,2003-08-29
26.18146514892578,2003-09-02
25.884973526000977,2003-09-03
25.832014083862305,2003-09-04
25.78965950012207,2003-09-05
25.879680633544922,2003-09-08
25.720836639404297,2003-09-09
25.12784194946289,2003-09-10
25.2027587890625,2003-09-11
25.063642501831055,2003-09-12
25.29372787475586,2003-09-15
25.325822830200195,2003-09-16
25.309778213500977,2003-09-17
25.871618270874023,2003-09-18
26.155227661132812,2003-09-19
25.791353225708008,2003-09-22
25.807403564453125,2003-09-23
25.41144561767578,2003-09-24
25.256258010864258,2003-09-25
25.31513023376465,2003-09-26
25.175994873046875,2003-09-29
24.935216903686523,2003-09-30
25.149255752563477,2003-10-01
25.015483856201172,2003-10-02
25.38469696044922,2003-10-03
25.769960403442383,2003-10-06
25.81276512145996,2003-10-07
25.577320098876953,2003-10-08
25.807403564453125,2003-10-09
25.432849884033203,2003-10-10
25.7164306640625,2003-10-13
25.753904342651367,2003-10-14
25.127851486206055,2003-10-15
25.320476531982422,2003-10-16
25.35258674621582,2003-10-17
25.35793113708496,2003-10-20
25.218809127807617,2003-10-21
25.320476531982422,2003-10-22
25.229516983032227,2003-10-23
25.10643768310547,2003-10-24
26.84547996520996,2003-10-27
27.027406692504883,2003-10-28
27.225400924682617,2003-10-29
27.327062606811523,2003-10-30
27.54645538330078,2003-10-31
27.899621963500977,2003-11-03
27.77118682861328,2003-11-04
27.723033905029297,2003-11-05
27.723033905029297,2003-11-06
28.23137664794922,2003-11-07
27.995927810668945,2003-11-10
27.91031265258789,2003-11-11
28.17251205444336,2003-11-12
28.493574142456055,2003-11-13
27.990575790405273,2003-11-14
27.77118682861328,2003-11-17
27.332427978515625,2003-11-18
27.343114852905273,2003-11-19
27.123735427856445,2003-11-20
27.198650360107422,2003-11-21
27.476898193359375,2003-11-24
27.81934356689453,2003-11-25
27.96382713317871,2003-11-26
28.044086456298828,2003-11-28
28.69156265258789,2003-12-01
28.894882202148438,2003-12-02
28.71296501159668,2003-12-03
28.77716064453125,2003-12-04
28.605945587158203,2003-12-05
29.055408477783203,2003-12-08
28.93769645690918,2003-12-09
28.761110305786133,2003-12-10
28.97176742553711,2003-12-11
28.966346740722656,2003-12-12
28.51266098022461,2003-12-15
28.58827018737793,2003-12-16
28.663883209228516,2003-12-17
28.92315101623535,2003-12-18
29.144590377807617,2003-12-19
29.00416374206543,2003-12-22
29.44165802001953,2003-12-23
29.436262130737305,2003-12-24
29.463260650634766,2003-12-26
30.089801788330078,2003-12-29
30.41386604309082,2003-12-30
30.278833389282227,2003-12-31
30.024988174438477,2004-01-02
29.80893325805664,2004-01-05
29.792728424072266,2004-01-06
29.576684951782227,2004-01-07
29.700918197631836,2004-01-08
29.376832962036133,2004-01-09
29.765735626220703,2004-01-12
29.22020721435547,2004-01-13
28.82592010498047,2004-01-14
30.408456802368164,2004-01-15
30.575899124145508,2004-01-16
30.55968475341797,2004-01-20
31.121410369873047,2004-01-21
31.28886604309082,2004-01-22
31.16461753845215,2004-01-23
31.46168327331543,2004-01-26
31.299646377563477,2004-01-27
30.905363082885742,2004-01-28
30.840543746948242,2004-01-29
30.845947265625,2004-01-30
31.029590606689453,2004-02-02
30.96477508544922,2004-02-03
30.678518295288086,2004-02-04
30.354450225830078,2004-02-05
30.732528686523438,2004-02-06
30.56511116027832,2004-02-09
30.624500274658203,2004-02-10
31.315868377685547,2004-02-11
31.132205963134766,2004-02-12
31.099807739257812,2004-02-13
31.099807739257812,2004-02-17
30.899961471557617,2004-02-18
30.99178695678711,2004-02-19
30.678518295288086,2004-02-20
30.678518295288086,2004-02-23
30.527271270751953,2004-02-24
30.640716552734375,2004-02-25
30.467876434326172,2004-02-26
31.07819366455078,2004-02-27
30.980985641479492,2004-03-01
30.86215591430664,2004-03-02
31.04578971862793,2004-03-03
31.04039192199707,2004-03-04
31.315868377685547,2004-03-05
31.224048614501953,2004-03-08
31.018783569335938,2004-03-09
30.08439064025879,2004-03-10
29.146636962890625,2004-03-11
29.784534454345703,2004-03-12
29.424692153930664,2004-03-15
29.691843032836914,2004-03-16
29.691843032836914,2004-03-17
29.63187599182129,2004-03-18
29.2011775970459,2004-03-19
29.026689529418945,2004-03-22
28.93946647644043,2004-03-23
28.688678741455078,2004-03-24
28.944908142089844,2004-03-25
28.93946647644043,2004-03-26
29.6046085357666,2004-03-29
29.61005401611328,2004-03-30
29.615522384643555,2004-03-31
29.79543113708496,2004-04-01
29.342927932739258,2004-04-02
29.43015480041504,2004-04-05
29.386516571044922,2004-04-06
29.239316940307617,2004-04-07
28.983074188232422,2004-04-08
28.69957160949707,2004-04-12
28.192529678344727,2004-04-13
27.947200775146484,2004-04-14
27.816341400146484,2004-04-15
28.623231887817383,2004-04-16
28.410612106323242,2004-04-19
28.088937759399414,2004-04-20
28.088937759399414,2004-04-21
28.661407470703125,2004-04-22
28.666852951049805,2004-04-23
28.585084915161133,2004-04-26
28.65595245361328,2004-04-27
28.056238174438477,2004-04-28
28.24160385131836,2004-04-29
28.14891815185547,2004-04-30
28.377899169921875,2004-05-03
28.617801666259766,2004-05-04
29.179344177246094,2004-05-05
28.923118591308594,2004-05-06
28.24706268310547,2004-05-07
27.854503631591797,2004-05-10
28.034425735473633,2004-05-11
27.958099365234375,2004-05-12
28.688678741455078,2004-05-13
28.710481643676758,2004-05-14
28.732284545898438,2004-05-17
29.37017059326172,2004-05-18
29.304758071899414,2004-05-19
29.691843032836914,2004-05-20
29.828149795532227,2004-05-21
29.84994888305664,2004-05-24
30.33519172668457,2004-05-25
30.853139877319336,2004-05-26
30.7386474609375,2004-05-27
30.864030838012695,2004-05-28
30.52056884765625,2004-06-01
30.48238182067871,2004-06-02
30.302471160888672,2004-06-03
30.367910385131836,2004-06-04
30.82042694091797,2004-06-07
30.918560028076172,2004-06-08
30.56962013244629,2004-06-09
30.787702560424805,2004-06-10
30.341983795166016,2004-06-14
30.363994598388672,2004-06-15
30.160402297973633,2004-06-16
29.984302520751953,2004-06-17
29.86325454711914,2004-06-18
30.066852569580078,2004-06-21
30.105375289916992,2004-06-22
30.314476013183594,2004-06-23
30.26496124267578,2004-06-24
30.083364486694336,2004-06-25
29.989803314208984,2004-06-28
29.764204025268555,2004-06-29
30.198909759521484,2004-06-30
29.81924057006836,2004-07-01
29.940284729003906,2004-07-02
29.632125854492188,2004-07-06
29.81924057006836,2004-07-07
29.406518936157227,2004-07-08
29.25794792175293,2004-07-09
29.857738494873047,2004-07-12
