FWONK,Date
29.754179000854492,2017-01-13
28.23992156982422,2017-01-17
28.633235931396484,2017-01-18
27.374631881713867,2017-01-19
27.98426628112793,2017-01-20
28.407079696655273,2017-01-23
28.928220748901367,2017-01-24
29.626352310180664,2017-01-25
30.20648956298828,2017-01-26
30.068830490112305,2017-01-27
28.908554077148438,2017-01-30
28.259586334228516,2017-01-31
28.859390258789062,2017-02-01
29.11012840270996,2017-02-02
29.90167236328125,2017-02-03
29.606685638427734,2017-02-06
29.596853256225586,2017-02-07
29.950836181640625,2017-02-08
30.65880012512207,2017-02-09
31.622419357299805,2017-02-10
30.904621124267578,2017-02-13
30.717796325683594,2017-02-14
30.698131561279297,2017-02-15
31.376598358154297,2017-02-16
31.425762176513672,2017-02-17
32.96951675415039,2017-02-21
33.51032257080078,2017-02-22
32.9105224609375,2017-02-23
32.625370025634766,2017-02-24
32.291053771972656,2017-02-27
30.186824798583984,2017-02-28
31.33726692199707,2017-03-01
31.69124984741211,2017-03-02
32.281219482421875,2017-03-03
33.42182922363281,2017-03-06
33.45132827758789,2017-03-07
33.23500442504883,2017-03-08
33.41199493408203,2017-03-09
34.267452239990234,2017-03-10
34.316619873046875,2017-03-13
33.55949020385742,2017-03-14
33.942970275878906,2017-03-15
33.726646423339844,2017-03-16
33.726646423339844,2017-03-17
33.2841682434082,2017-03-20
32.73352813720703,2017-03-21
32.54670715332031,2017-03-22
33.048179626464844,2017-03-23
33.146507263183594,2017-03-24
32.9301872253418,2017-03-27
32.949851989746094,2017-03-28
33.24483871459961,2017-03-29
33.35300064086914,2017-03-30
33.57915496826172,2017-03-31
33.588985443115234,2017-04-03
33.88397216796875,2017-04-04
33.92330551147461,2017-04-05
34.01179885864258,2017-04-06
33.461158752441406,2017-04-07
33.067848205566406,2017-04-10
33.00885009765625,2017-04-11
32.84169006347656,2017-04-12
32.320552825927734,2017-04-13
32.96951675415039,2017-04-17
33.21533966064453,2017-04-18
33.834808349609375,2017-04-19
34.267452239990234,2017-04-20
34.06096267700195,2017-04-21
33.91347122192383,2017-04-24
34.139625549316406,2017-04-25
34.05113220214844,2017-04-26
34.09046173095703,2017-04-27
34.43461227416992,2017-04-28
34.06096267700195,2017-05-01
33.65781784057617,2017-05-02
32.79252624511719,2017-05-03
32.79252624511719,2017-05-04
33.18584060668945,2017-05-05
33.824974060058594,2017-05-08
33.63814926147461,2017-05-09
33.942970275878906,2017-05-10
33.17600631713867,2017-05-11
32.59587097167969,2017-05-12
32.39921188354492,2017-05-15
32.753196716308594,2017-05-16
30.55063819885254,2017-05-17
30.77679443359375,2017-05-18
30.33431625366211,2017-05-19
30.432645797729492,2017-05-22
30.45231056213379,2017-05-23
31.140609741210938,2017-05-24
31.071779251098633,2017-05-25
31.061946868896484,2017-05-26
31.31760025024414,2017-05-30
32.74336242675781,2017-05-31
34.611602783203125,2017-06-01
36.33235168457031,2017-06-02
36.165191650390625,2017-06-05
35.3392333984375,2017-06-06
36.155357360839844,2017-06-07
36.1946907043457,2017-06-08
35.99803161621094,2017-06-09
35.65388488769531,2017-06-12
36.0373649597168,2017-06-13
35.56538772583008,2017-06-14
35.00491714477539,2017-06-15
34.02163314819336,2017-06-16
34.20845413208008,2017-06-19
34.06096267700195,2017-06-20
34.93608856201172,2017-06-21
34.44444274902344,2017-06-22
34.65093231201172,2017-06-23
35.830875396728516,2017-06-26
35.87020492553711,2017-06-27
36.302852630615234,2017-06-28
35.8407096862793,2017-06-29
36.00786590576172,2017-06-30
35.732547760009766,2017-07-03
35.683380126953125,2017-07-05
33.431663513183594,2017-07-06
34.12979507446289,2017-07-07
34.02163314819336,2017-07-10
33.7659797668457,2017-07-11
33.490657806396484,2017-07-12
33.07767868041992,2017-07-13
33.30875015258789,2017-07-14
33.34316635131836,2017-07-17
32.959686279296875,2017-07-18
33.058013916015625,2017-07-19
33.22517013549805,2017-07-20
33.65781784057617,2017-07-21
33.75614547729492,2017-07-24
33.77581024169922,2017-07-25
33.55949020385742,2017-07-26
33.70698165893555,2017-07-27
34.35594940185547,2017-07-28
34.58210372924805,2017-07-31
34.65093231201172,2017-08-01
34.82792663574219,2017-08-02
34.621437072753906,2017-08-03
34.59193801879883,2017-08-04
34.35594940185547,2017-08-07
33.91347122192383,2017-08-08
32.96951675415039,2017-08-09
33.44149398803711,2017-08-10
34.031463623046875,2017-08-11
33.303836822509766,2017-08-14
33.697147369384766,2017-08-15
34.00196838378906,2017-08-16
33.6086540222168,2017-08-17
33.628318786621094,2017-08-18
34.56243896484375,2017-08-21
36.29301834106445,2017-08-22
37.512290954589844,2017-08-23
37.90560531616211,2017-08-24
37.03048324584961,2017-08-25
37.19763946533203,2017-08-28
37.20747375488281,2017-08-29
38.23992156982422,2017-08-30
38.64306640625,2017-08-31
38.2694206237793,2017-09-01
37.620452880859375,2017-09-05
38.387413024902344,2017-09-06
38.14159393310547,2017-09-07
38.27925109863281,2017-09-08
38.4660758972168,2017-09-11
38.65290069580078,2017-09-12
38.32841873168945,2017-09-13
37.718780517578125,2017-09-14
38.14159393310547,2017-09-15
38.13175964355469,2017-09-18
37.65978240966797,2017-09-19
37.63028335571289,2017-09-20
36.82399368286133,2017-09-21
36.932151794433594,2017-09-22
36.3913459777832,2017-09-25
35.732547760009766,2017-09-26
36.696163177490234,2017-09-27
37.3942985534668,2017-09-28
37.45329284667969,2017-09-29
37.276302337646484,2017-10-02
38.4267463684082,2017-10-03
39.21337127685547,2017-10-04
40.049163818359375,2017-10-05
39.77384567260742,2017-10-06
39.48869323730469,2017-10-09
38.91838836669922,2017-10-10
38.57423782348633,2017-10-11
38.97738265991211,2017-10-12
38.839725494384766,2017-10-13
39.370697021484375,2017-10-16
39.44935989379883,2017-10-17
39.40019607543945,2017-10-18
39.311702728271484,2017-10-19
39.744346618652344,2017-10-20
38.534908294677734,2017-10-23
38.34808349609375,2017-10-24
38.34808349609375,2017-10-25
37.00098419189453,2017-10-26
37.84660720825195,2017-10-27
38.03343200683594,2017-10-30
