NI,Date
2.4253885746002197,1996-07-22
2.4096899032592773,1996-07-23
2.4018404483795166,1996-07-24
2.4096899032592773,1996-07-25
2.4018404483795166,1996-07-26
2.3729519844055176,1996-07-29
2.380887985229492,1996-07-30
2.3729519844055176,1996-07-31
2.404697895050049,1996-08-01
2.420570135116577,1996-08-02
2.396761655807495,1996-08-05
2.380887985229492,1996-08-06
2.3570799827575684,1996-08-07
2.3491427898406982,1996-08-08
2.3570799827575684,1996-08-09
2.365015983581543,1996-08-12
2.3570799827575684,1996-08-13
2.3729519844055176,1996-08-14
2.396761655807495,1996-08-15
2.420570135116577,1996-08-16
2.3888261318206787,1996-08-19
2.396761655807495,1996-08-20
2.404697895050049,1996-08-21
2.412635326385498,1996-08-22
2.404697895050049,1996-08-23
2.396761655807495,1996-08-26
2.396761655807495,1996-08-27
2.412635326385498,1996-08-28
2.380887985229492,1996-08-29
2.3491427898406982,1996-08-30
2.325333833694458,1996-09-03
2.325333833694458,1996-09-04
2.3173980712890625,1996-09-05
2.3332712650299072,1996-09-06
2.3332712650299072,1996-09-09
2.325333833694458,1996-09-10
2.3173980712890625,1996-09-11
2.325333833694458,1996-09-12
2.3412067890167236,1996-09-13
2.325333833694458,1996-09-16
2.309462070465088,1996-09-17
2.325333833694458,1996-09-18
2.3173980712890625,1996-09-19
2.3173980712890625,1996-09-20
2.309462070465088,1996-09-23
2.3015246391296387,1996-09-24
2.309462070465088,1996-09-25
2.3015246391296387,1996-09-26
2.3015246391296387,1996-09-27
2.2697808742523193,1996-09-30
2.285654067993164,1996-10-01
2.2935898303985596,1996-10-02
2.3015246391296387,1996-10-03
2.3491427898406982,1996-10-04
2.3491427898406982,1996-10-07
2.3491427898406982,1996-10-08
2.325333833694458,1996-10-09
2.3173980712890625,1996-10-10
2.325333833694458,1996-10-11
2.3173980712890625,1996-10-14
2.309462070465088,1996-10-15
2.325333833694458,1996-10-16
2.309462070465088,1996-10-17
2.3332712650299072,1996-10-18
