BR,Date
52.006256103515625,2015-10-28
51.87602233886719,2015-10-29
51.72842025756836,2015-10-30
51.78050994873047,2015-11-02
51.48532485961914,2015-11-03
51.16408920288086,2015-11-04
49.77493667602539,2015-11-05
49.63601303100586,2015-11-06
49.436317443847656,2015-11-09
49.50577926635742,2015-11-10
49.436317443847656,2015-11-11
48.94144058227539,2015-11-12
47.51756286621094,2015-11-13
47.890892028808594,2015-11-16
47.69988250732422,2015-11-17
47.86484909057617,2015-11-18
48.11663818359375,2015-11-19
48.489959716796875,2015-11-20
47.665164947509766,2015-11-23
47.82143783569336,2015-11-24
47.665164947509766,2015-11-25
47.83879852294922,2015-11-27
47.734619140625,2015-11-30
47.93430709838867,2015-12-01
47.448116302490234,2015-12-02
46.918495178222656,2015-12-03
47.70856475830078,2015-12-04
47.448116302490234,2015-12-07
47.013999938964844,2015-12-08
45.642208099365234,2015-12-09
46.15739822387695,2015-12-10
45.991485595703125,2015-12-11
46.43682098388672,2015-12-14
46.85596466064453,2015-12-15
47.53705596923828,2015-12-16
47.039329528808594,2015-12-17
46.75990295410156,2015-12-18
47.030609130859375,2015-12-21
47.31002426147461,2015-12-22
47.702964782714844,2015-12-23
47.6767692565918,2015-12-24
47.80774688720703,2015-12-28
47.886329650878906,2015-12-29
47.6243782043457,2015-12-30
46.91707992553711,2015-12-31
45.74699020385742,2016-01-04
46.21852111816406,2016-01-05
45.860511779785156,2016-01-06
44.384803771972656,2016-01-07
44.079185485839844,2016-01-08
44.245086669921875,2016-01-11
44.769012451171875,2016-01-12
43.34568786621094,2016-01-13
44.29747772216797,2016-01-14
44.018062591552734,2016-01-15
44.36733627319336,2016-01-19
43.86961364746094,2016-01-20
43.78229522705078,2016-01-21
45.27546691894531,2016-01-22
44.99604415893555,2016-01-25
45.48503875732422,2016-01-26
45.58982849121094,2016-01-27
45.72954177856445,2016-01-28
46.768646240234375,2016-01-29
47.030609130859375,2016-02-01
45.87797546386719,2016-02-02
46.26218032836914,2016-02-03
46.043888092041016,2016-02-04
44.96112060546875,2016-02-05
45.36277389526367,2016-02-08
45.59855651855469,2016-02-09
46.74244689941406,2016-02-10
46.62892532348633,2016-02-11
47.458465576171875,2016-02-12
48.09589767456055,2016-02-16
48.40152359008789,2016-02-17
48.4801139831543,2016-02-18
48.68095397949219,2016-02-19
49.02149963378906,2016-02-22
49.35331344604492,2016-02-23
48.654754638671875,2016-02-24
49.44062805175781,2016-02-25
49.3969841003418,2016-02-26
49.01277160644531,2016-02-29
50.252716064453125,2016-03-01
50.139198303222656,2016-03-02
50.21778106689453,2016-03-03
50.20905303955078,2016-03-04
50.02568054199219,2016-03-07
49.35331344604492,2016-03-08
49.5104866027832,2016-03-09
48.98377990722656,2016-03-10
49.33492660522461,2016-03-11
49.34370803833008,2016-03-14
49.29103469848633,2016-03-15
49.66851043701172,2016-03-16
50.370784759521484,2016-03-17
50.897491455078125,2016-03-18
50.642913818359375,2016-03-21
50.563899993896484,2016-03-22
50.3093376159668,2016-03-23
50.01087188720703,2016-03-24
50.70437240600586,2016-03-28
51.81045150756836,2016-03-29
51.95090866088867,2016-03-30
52.06501007080078,2016-03-31
52.161590576171875,2016-04-01
51.775333404541016,2016-04-04
51.4241943359375,2016-04-05
52.161590576171875,2016-04-06
51.459312438964844,2016-04-07
51.71389389038086,2016-04-08
51.84556579589844,2016-04-11
51.371524810791016,2016-04-12
52.433719635009766,2016-04-13
52.416160583496094,2016-04-14
52.31081771850586,2016-04-15
52.98675537109375,2016-04-18
53.59246826171875,2016-04-19
53.048213958740234,2016-04-20
