AIG,Date
956.2418823242188,2002-02-13
957.358642578125,2002-02-14
921.13330078125,2002-02-15
902.5244750976562,2002-02-19
914.558349609375,2002-02-20
881.3104248046875,2002-02-21
872.5025024414062,2002-02-22
887.0171508789062,2002-02-25
899.4231567382812,2002-02-26
915.2122192382812,2002-02-27
918.1912231445312,2002-02-28
915.2122192382812,2002-03-01
936.9354858398438,2002-03-04
938.9214477539062,2002-03-05
945.2520751953125,2002-03-06
927.8734130859375,2002-03-07
926.7564086914062,2002-03-08
911.2401733398438,2002-03-11
917.5709228515625,2002-03-12
917.5709228515625,2002-03-13
927.9976806640625,2002-03-14
935.942138671875,2002-03-15
921.6672973632812,2002-03-18
917.943115234375,2002-03-19
906.2745971679688,2002-03-20
898.7030029296875,2002-03-21
896.7169799804688,2002-03-22
877.4764404296875,2002-03-25
888.6484375,2002-03-26
897.3380126953125,2002-03-27
895.4757080078125,2002-03-28
880.08349609375,2002-04-01
896.7169799804688,2002-04-02
890.6345825195312,2002-04-03
908.0128784179688,2002-04-04
921.0466918945312,2002-04-05
923.4048461914062,2002-04-08
934.2042236328125,2002-04-09
929.6116943359375,2002-04-10
903.6682739257812,2002-04-11
915.4607543945312,2002-04-12
896.84130859375,2002-04-15
901.309814453125,2002-04-16
905.9027709960938,2002-04-17
893.7379760742188,2002-04-18
878.7178955078125,2002-04-19
865.3119506835938,2002-04-22
845.5752563476562,2002-04-23
848.306396484375,2002-04-24
848.306396484375,2002-04-25
852.898681640625,2002-04-26
847.4373779296875,2002-04-29
857.9884033203125,2002-04-30
876.4838256835938,2002-05-01
887.6556396484375,2002-05-02
876.608154296875,2002-05-03
863.3256225585938,2002-05-06
839.7413330078125,2002-05-07
868.2914428710938,2002-05-08
857.6158447265625,2002-05-09
847.8096923828125,2002-05-10
848.5546264648438,2002-05-13
844.95458984375,2002-05-14
818.0182495117188,2002-05-15
852.898681640625,2002-05-16
864.195068359375,2002-05-17
843.4652099609375,2002-05-20
830.8037719726562,2002-05-21
844.2098999023438,2002-05-22
847.8096923828125,2002-05-23
841.6031494140625,2002-05-24
832.2933349609375,2002-05-28
832.6658935546875,2002-05-29
832.9141845703125,2002-05-30
831.3003540039062,2002-05-31
801.2608032226562,2002-06-03
800.64013671875,2002-06-04
808.2545776367188,2002-06-05
794.9635009765625,2002-06-06
807.3846435546875,2002-06-07
802.4163818359375,2002-06-10
782.54248046875,2002-06-11
797.447998046875,2002-06-12
780.5546875,2002-06-13
800.6771240234375,2002-06-14
854.5855712890625,2002-06-17
855.3309936523438,2002-06-18
849.3690185546875,2002-06-19
844.7730712890625,2002-06-20
832.2276000976562,2002-06-21
842.9097900390625,2002-06-24
835.4570922851562,2002-06-25
822.7871704101562,2002-06-26
830.9856567382812,2002-06-27
847.5057983398438,2002-06-28
833.7179565429688,2002-07-01
812.6019897460938,2002-07-02
813.34716796875,2002-07-03
841.4191284179688,2002-07-05
840.9224243164062,2002-07-08
814.2167358398438,2002-07-09
