CNC,Date
5.840000152587891,2006-11-03
6.0,2006-11-06
6.019999980926514,2006-11-07
6.007500171661377,2006-11-08
5.932499885559082,2006-11-09
6.027500152587891,2006-11-10
5.994999885559082,2006-11-13
6.022500038146973,2006-11-14
6.367499828338623,2006-11-15
6.409999847412109,2006-11-16
6.412499904632568,2006-11-17
6.46999979019165,2006-11-20
6.425000190734863,2006-11-21
6.442500114440918,2006-11-22
6.422500133514404,2006-11-24
6.397500038146973,2006-11-27
6.417500019073486,2006-11-28
6.449999809265137,2006-11-29
6.514999866485596,2006-11-30
6.5,2006-12-01
6.735000133514404,2006-12-04
6.074999809265137,2006-12-05
6.099999904632568,2006-12-06
6.112500190734863,2006-12-07
6.287499904632568,2006-12-08
6.302499771118164,2006-12-11
6.21750020980835,2006-12-12
6.262499809265137,2006-12-13
6.269999980926514,2006-12-14
6.0625,2006-12-15
6.152500152587891,2006-12-18
6.242499828338623,2006-12-19
6.25,2006-12-20
6.192500114440918,2006-12-21
6.137499809265137,2006-12-22
6.222499847412109,2006-12-26
6.199999809265137,2006-12-27
6.25,2006-12-28
6.142499923706055,2006-12-29
6.15749979019165,2007-01-03
6.204999923706055,2007-01-04
6.199999809265137,2007-01-05
6.242499828338623,2007-01-08
6.25,2007-01-09
6.139999866485596,2007-01-10
6.34499979019165,2007-01-11
6.477499961853027,2007-01-12
6.652500152587891,2007-01-16
6.507500171661377,2007-01-17
6.349999904632568,2007-01-18
6.394999980926514,2007-01-19
6.252500057220459,2007-01-22
6.252500057220459,2007-01-23
6.414999961853027,2007-01-24
6.242499828338623,2007-01-25
6.247499942779541,2007-01-26
6.21750020980835,2007-01-29
6.244999885559082,2007-01-30
6.230000019073486,2007-01-31
6.460000038146973,2007-02-01
6.434999942779541,2007-02-02
6.397500038146973,2007-02-05
6.224999904632568,2007-02-06
6.125,2007-02-07
5.875,2007-02-08
5.869999885559082,2007-02-09
5.925000190734863,2007-02-12
5.949999809265137,2007-02-13
5.945000171661377,2007-02-14
6.007500171661377,2007-02-15
6.022500038146973,2007-02-16
6.175000190734863,2007-02-20
6.159999847412109,2007-02-21
6.195000171661377,2007-02-22
6.082499980926514,2007-02-23
6.042500019073486,2007-02-26
5.952499866485596,2007-02-27
6.022500038146973,2007-02-28
6.150000095367432,2007-03-01
5.962500095367432,2007-03-02
5.927499771118164,2007-03-05
5.994999885559082,2007-03-06
5.889999866485596,2007-03-07
5.699999809265137,2007-03-08
5.695000171661377,2007-03-09
5.849999904632568,2007-03-12
5.710000038146973,2007-03-13
5.497499942779541,2007-03-14
5.494999885559082,2007-03-15
5.477499961853027,2007-03-16
5.492499828338623,2007-03-19
5.440000057220459,2007-03-20
5.590000152587891,2007-03-21
5.610000133514404,2007-03-22
5.537499904632568,2007-03-23
5.472499847412109,2007-03-26
5.324999809265137,2007-03-27
5.247499942779541,2007-03-28
5.230000019073486,2007-03-29
5.247499942779541,2007-03-30
5.34499979019165,2007-04-02
5.534999847412109,2007-04-03
5.662499904632568,2007-04-04
5.597499847412109,2007-04-05
5.71750020980835,2007-04-09
5.644999980926514,2007-04-10
5.579999923706055,2007-04-11
5.599999904632568,2007-04-12
5.647500038146973,2007-04-13
5.875,2007-04-16
5.822500228881836,2007-04-17
5.945000171661377,2007-04-18
5.860000133514404,2007-04-19
5.954999923706055,2007-04-20
5.994999885559082,2007-04-23
5.552499771118164,2007-04-24
5.542500019073486,2007-04-25
5.362500190734863,2007-04-26
5.25,2007-04-27
5.202499866485596,2007-04-30
5.284999847412109,2007-05-01
5.40749979019165,2007-05-02
5.364999771118164,2007-05-03
5.320000171661377,2007-05-04
5.465000152587891,2007-05-07
5.537499904632568,2007-05-08
5.542500019073486,2007-05-09
5.412499904632568,2007-05-10
5.547500133514404,2007-05-11
5.512499809265137,2007-05-14
5.414999961853027,2007-05-15
5.422500133514404,2007-05-16
5.347499847412109,2007-05-17
5.34250020980835,2007-05-18
5.557499885559082,2007-05-21
5.59250020980835,2007-05-22
5.502500057220459,2007-05-23
5.454999923706055,2007-05-24
5.434999942779541,2007-05-25
5.552499771118164,2007-05-29
5.472499847412109,2007-05-30
5.747499942779541,2007-05-31
5.837500095367432,2007-06-01
5.704999923706055,2007-06-04
5.630000114440918,2007-06-05
5.5,2007-06-06
5.414999961853027,2007-06-07
5.445000171661377,2007-06-08
5.409999847412109,2007-06-11
5.242499828338623,2007-06-12
5.199999809265137,2007-06-13
5.082499980926514,2007-06-14
5.082499980926514,2007-06-15
5.005000114440918,2007-06-18
4.869999885559082,2007-06-19
4.882500171661377,2007-06-20
5.099999904632568,2007-06-21
5.190000057220459,2007-06-22
5.079999923706055,2007-06-25
5.347499847412109,2007-06-26
5.349999904632568,2007-06-27
5.46750020980835,2007-06-28
5.355000019073486,2007-06-29
5.545000076293945,2007-07-02
5.425000190734863,2007-07-03
5.457499980926514,2007-07-05
5.492499828338623,2007-07-06
