EQR,Date
27.330854415893555,2010-11-18
27.713993072509766,2010-11-19
27.763973236083984,2010-11-22
27.558515548706055,2010-11-23
27.93610954284668,2010-11-24
27.76951789855957,2010-11-26
27.763973236083984,2010-11-29
27.75286293029785,2010-11-30
28.13601303100586,2010-12-01
28.685739517211914,2010-12-02
28.874534606933594,2010-12-03
28.791234970092773,2010-12-06
28.9078426361084,2010-12-07
28.4747314453125,2010-12-08
28.430309295654297,2010-12-09
28.63020133972168,2010-12-10
28.4414119720459,2010-12-13
28.036052703857422,2010-12-14
27.741762161254883,2010-12-15
27.74063491821289,2010-12-16
27.925575256347656,2010-12-17
28.40753173828125,2010-12-20
28.626096725463867,2010-12-21
28.850263595581055,2010-12-22
28.771793365478516,2010-12-23
29.21453285217285,2010-12-27
29.124874114990234,2010-12-28
29.28177833557129,2010-12-29
29.30420684814453,2010-12-30
29.113651275634766,2010-12-31
29.433088302612305,2011-01-03
28.6933536529541,2011-01-04
28.676532745361328,2011-01-05
28.329071044921875,2011-01-06
28.233810424804688,2011-01-07
28.166555404663086,2011-01-10
27.987218856811523,2011-01-11
28.05447006225586,2011-01-12
28.149734497070312,2011-01-13
28.530832290649414,2011-01-14
28.923124313354492,2011-01-18
28.52522087097168,2011-01-19
28.682132720947266,2011-01-20
28.850263595581055,2011-01-21
28.995967864990234,2011-01-24
29.47793197631836,2011-01-25
29.674074172973633,2011-01-26
30.15602684020996,2011-01-27
29.640451431274414,2011-01-28
30.368986129760742,2011-01-31
30.5987606048584,2011-02-01
30.710844039916992,2011-02-02
30.492284774780273,2011-02-03
29.746919631958008,2011-02-04
30.099979400634766,2011-02-07
29.9879150390625,2011-02-08
30.150419235229492,2011-02-09
30.352188110351562,2011-02-10
30.570741653442383,2011-02-11
30.59316062927246,2011-02-14
30.368986129760742,2011-02-15
30.038345336914062,2011-02-16
30.07196617126465,2011-02-17
30.279329299926758,2011-02-18
30.234481811523438,2011-02-22
29.88142204284668,2011-02-23
29.449905395507812,2011-02-24
29.903844833374023,2011-02-25
30.88457489013672,2011-02-28
30.021530151367188,2011-03-01
29.780553817749023,2011-03-02
30.38020133972168,2011-03-03
29.88142204284668,2011-03-04
29.489139556884766,2011-03-07
30.195255279541016,2011-03-08
30.2961368560791,2011-03-09
29.943069458007812,2011-03-10
30.570741653442383,2011-03-11
30.363386154174805,2011-03-14
30.570741653442383,2011-03-15
30.245695114135742,2011-03-16
30.622421264648438,2011-03-17
30.842357635498047,2011-03-18
30.96642303466797,2011-03-21
30.757762908935547,2011-03-22
30.458879470825195,2011-03-23
30.55474090576172,2011-03-24
30.707008361816406,2011-03-25
30.808521270751953,2011-03-28
30.853639602661133,2011-03-29
31.34990692138672,2011-03-30
31.812349319458008,2011-03-31
31.958972930908203,2011-04-01
31.755956649780273,2011-04-04
31.767229080200195,2011-04-05
31.750335693359375,2011-04-06
31.473976135253906,2011-04-07
31.33864402770996,2011-04-08
31.32734489440918,2011-04-11
31.400663375854492,2011-04-12
31.490894317626953,2011-04-13
31.7052059173584,2011-04-14
32.032283782958984,2011-04-15
31.57549476623535,2011-04-18
31.750335693359375,2011-04-19
32.370643615722656,2011-04-20
32.51728820800781,2011-04-21
32.883853912353516,2011-04-25
33.34628677368164,2011-04-26
33.41960906982422,2011-04-27
33.515480041503906,2011-04-28
33.6902961730957,2011-04-29
33.7748908996582,2011-05-02
33.571868896484375,2011-05-03
33.41960906982422,2011-05-04
33.40831756591797,2011-05-05
33.05867004394531,2011-05-06
33.31245422363281,2011-05-09
33.83692169189453,2011-05-10
33.45344161987305,2011-05-11
33.515480041503906,2011-05-12
33.36321258544922,2011-05-13
33.49291229248047,2011-05-16
33.526756286621094,2011-05-17
33.70722198486328,2011-05-18
34.034305572509766,2011-05-19
33.791812896728516,2011-05-20
33.30680465698242,2011-05-23
33.40268325805664,2011-05-24
33.673370361328125,2011-05-25
34.11326599121094,2011-05-26
34.17529296875,2011-05-27
34.86894989013672,2011-05-31
33.70157241821289,2011-06-01
33.430870056152344,2011-06-02
33.94970703125,2011-06-03
33.72977066040039,2011-06-06
34.27116775512695,2011-06-07
34.38958740234375,2011-06-08
34.141456604003906,2011-06-09
33.39140701293945,2011-06-10
33.42523956298828,2011-06-13
33.594425201416016,2011-06-14
33.31809997558594,2011-06-15
33.40202713012695,2011-06-16
33.50981140136719,2011-06-17
33.82743453979492,2011-06-20
33.980567932128906,2011-06-21
33.799068450927734,2011-06-22
33.158138275146484,2011-06-23
33.10143280029297,2011-06-24
33.29994201660156,2011-06-27
33.725337982177734,2011-06-28
34.0316162109375,2011-06-29
34.0316162109375,2011-06-30
34.797325134277344,2011-07-01
34.95048141479492,2011-07-05
35.26811218261719,2011-07-06
35.631099700927734,2011-07-07
35.63677978515625,2011-07-08
35.18301010131836,2011-07-11
35.347503662109375,2011-07-12
34.893760681152344,2011-07-13
34.6044807434082,2011-07-14
35.02421188354492,2011-07-15
34.88241195678711,2011-07-18
35.25675964355469,2011-07-19
35.52901077270508,2011-07-20
35.772911071777344,2011-07-21
36.11888885498047,2011-07-22
35.76723098754883,2011-07-25
36.0224723815918,2011-07-26
35.44393539428711,2011-07-27
35.00718688964844,2011-07-28
35.063926696777344,2011-07-29
34.831356048583984,2011-08-01
34.03729248046875,2011-08-02
33.878482818603516,2011-08-03
32.4434700012207,2011-08-04
31.570009231567383,2011-08-05
29.46571159362793,2011-08-08
32.48318862915039,2011-08-09
31.768526077270508,2011-08-10
33.345314025878906,2011-08-11
33.49279022216797,2011-08-12
34.47402572631836,2011-08-15
34.644187927246094,2011-08-16
34.34925079345703,2011-08-17
32.63630676269531,2011-08-18
32.040767669677734,2011-08-19
32.06912612915039,2011-08-22
32.84617614746094,2011-08-23
33.4814453125,2011-08-24
32.857521057128906,2011-08-25
33.26591491699219,2011-08-26
34.12236785888672,2011-08-29
34.30955123901367,2011-08-30
34.70090866088867,2011-08-31
34.33222961425781,2011-09-01
33.86712646484375,2011-09-02
33.70832824707031,2011-09-06
34.82001876831055,2011-09-07
34.97882843017578,2011-09-08
33.923851013183594,2011-09-09
34.06565475463867,2011-09-12
33.923851013183594,2011-09-13
33.345314025878906,2011-09-14
33.26591491699219,2011-09-15
32.97382354736328,2011-09-16
32.357696533203125,2011-09-19
31.758697509765625,2011-09-20
29.853302001953125,2011-09-21
29.282806396484375,2011-09-22
30.30968475341797,2011-09-23
30.429475784301758,2011-09-26
30.475107192993164,2011-09-27
30.075773239135742,2011-09-28
30.57210350036621,2011-09-29
29.590869903564453,2011-09-30
28.33010482788086,2011-10-03
29.790536880493164,2011-10-04
29.49387550354004,2011-10-05
30.503644943237305,2011-10-06
29.65932846069336,2011-10-07
31.159687042236328,2011-10-10
30.184160232543945,2011-10-11
30.777475357055664,2011-10-12
30.583505630493164,2011-10-13
31.559024810791016,2011-10-14
30.435176849365234,2011-10-17
31.49057388305664,2011-10-18
31.11975860595703,2011-10-19
31.14828872680664,2011-10-20
32.34629440307617,2011-10-21
32.602996826171875,2011-10-24
32.16373825073242,2011-10-25
32.52313995361328,2011-10-26
34.2060546875,2011-10-27
33.515785217285156,2011-10-28
33.47584915161133,2011-10-31
32.015411376953125,2011-11-01
33.196319580078125,2011-11-02
33.624168395996094,2011-11-03
33.356048583984375,2011-11-04
33.58994674682617,2011-11-07
33.863773345947266,2011-11-08
32.39192199707031,2011-11-09
32.68288803100586,2011-11-10
33.67552185058594,2011-11-11
32.95100021362305,2011-11-14
33.515785217285156,2011-11-15
32.31776809692383,2011-11-16
31.01136589050293,2011-11-17
31.2053279876709,2011-11-18
30.811691284179688,2011-11-21
30.69760513305664,2011-11-22
29.984495162963867,2011-11-23
30.024429321289062,2011-11-25
30.286853790283203,2011-11-28
30.178457260131836,2011-11-29
31.48485565185547,2011-11-30
30.880146026611328,2011-12-01
30.948619842529297,2011-12-02
30.64055061340332,2011-12-05
30.554983139038086,2011-12-06
31.039892196655273,2011-12-07
30.543582916259766,2011-12-08
31.0341854095459,2011-12-09
30.629140853881836,2011-12-12
30.64055061340332,2011-12-13
31.216733932495117,2011-12-14
31.913108825683594,2011-12-15
32.19557189941406,2011-12-16
31.959224700927734,2011-12-19
32.910400390625,2011-12-20
32.59333419799805,2011-12-21
33.17557144165039,2011-12-22
33.12944793701172,2011-12-23
33.23322677612305,2011-12-27
32.69133758544922,2011-12-28
32.93345642089844,2011-12-29
32.87580871582031,2011-12-30
32.6279182434082,2012-01-03
32.36851501464844,2012-01-04
32.483802795410156,2012-01-05
32.10334396362305,2012-01-06
31.705581665039062,2012-01-09
31.815107345581055,2012-01-10
31.734407424926758,2012-01-11
31.16946792602539,2012-01-12
31.705581665039062,2012-01-13
32.03993606567383,2012-01-17
32.21864700317383,2012-01-18
31.999576568603516,2012-01-19
32.14945602416992,2012-01-20
32.54722213745117,2012-01-23
32.6279182434082,2012-01-24
33.509925842285156,2012-01-25
34.155548095703125,2012-01-26
34.37459945678711,2012-01-27
34.184383392333984,2012-01-30
34.3284912109375,2012-01-31
34.59944152832031,2012-02-01
34.41496276855469,2012-02-02
34.732025146484375,2012-02-03
34.455322265625,2012-02-06
34.36883544921875,2012-02-07
34.2996711730957,2012-02-08
33.81544876098633,2012-02-09
33.77508544921875,2012-02-10
33.959556579589844,2012-02-13
33.30238342285156,2012-02-14
33.2735710144043,2012-02-15
33.56180953979492,2012-02-16
33.728973388671875,2012-02-17
33.16980743408203,2012-02-21
32.8066291809082,2012-02-22
33.20438766479492,2012-02-23
33.469566345214844,2012-02-24
33.26780319213867,2012-02-27
32.87580871582031,2012-02-28
32.79510498046875,2012-02-29
33.0948600769043,2012-03-01
33.238983154296875,2012-03-02
33.79815673828125,2012-03-05
33.59639358520508,2012-03-06
33.6309928894043,2012-03-07
33.56180953979492,2012-03-08
34.190155029296875,2012-03-09
34.31120300292969,2012-03-12
35.06060791015625,2012-03-13
34.841556549072266,2012-03-14
34.3284912109375,2012-03-15
34.57061004638672,2012-03-16
35.181671142578125,2012-03-19
35.043304443359375,2012-03-20
34.9899787902832,2012-03-21
34.49143981933594,2012-03-22
34.868247985839844,2012-03-23
35.331993103027344,2012-03-26
35.24504852294922,2012-03-27
35.2392463684082,2012-03-28
35.546485900878906,2012-03-29
36.300071716308594,2012-03-30
36.27109909057617,2012-04-02
36.13196563720703,2012-04-03
35.772560119628906,2012-04-04
35.58705520629883,2012-04-05
35.129119873046875,2012-04-09
34.363914489746094,2012-04-10
34.67695999145508,2012-04-11
35.082733154296875,2012-04-12
35.2740364074707,2012-04-13
35.946475982666016,2012-04-16
