MRVL,Date
11.821263313293457,2011-12-02
11.812691688537598,2011-12-05
12.087007522583008,2011-12-06
12.498480796813965,2011-12-07
12.129873275756836,2011-12-08
12.249883651733398,2011-12-09
12.09558391571045,2011-12-12
11.804121971130371,2011-12-13
11.564095497131348,2011-12-14
11.418367385864258,2011-12-15
11.589814186096191,2011-12-16
11.332645416259766,2011-12-19
11.915563583374023,2011-12-20
11.821263313293457,2011-12-21
12.267030715942383,2011-12-22
12.121299743652344,2011-12-23
11.92413330078125,2011-12-27
11.769829750061035,2011-12-28
11.786979675292969,2011-12-29
11.872701644897461,2011-12-30
11.992714881896973,2012-01-03
12.16416072845459,2012-01-04
13.055683135986328,2012-01-05
13.475728034973145,2012-01-06
13.587167739868164,2012-01-09
13.390005111694336,2012-01-10
13.089974403381348,2012-01-11
13.055683135986328,2012-01-12
12.669926643371582,2012-01-13
12.395615577697754,2012-01-17
12.96138858795166,2012-01-18
13.252851486206055,2012-01-19
13.312854766845703,2012-01-20
13.690037727355957,2012-01-23
13.501445770263672,2012-01-24
13.732894897460938,2012-01-25
13.510018348693848,2012-01-26
13.535735130310059,2012-01-27
13.492873191833496,2012-01-30
13.321425437927246,2012-01-31
13.66431999206543,2012-02-01
14.152944564819336,2012-02-02
14.26438045501709,2012-02-03
14.007213592529297,2012-02-06
13.95578384399414,2012-02-07
14.084365844726562,2012-02-08
14.084365844726562,2012-02-09
13.758617401123047,2012-02-10
13.66431999206543,2012-02-13
13.715755462646484,2012-02-14
13.835763931274414,2012-02-15
14.341536521911621,2012-02-16
14.032937049865723,2012-02-17
13.715755462646484,2012-02-21
13.715755462646484,2012-02-22
13.767187118530273,2012-02-23
13.252851486206055,2012-02-24
13.141406059265137,2012-02-27
13.081403732299805,2012-02-28
12.8585205078125,2012-02-29
12.944245338439941,2012-03-01
12.918526649475098,2012-03-02
12.678500175476074,2012-03-05
12.532768249511719,2012-03-06
12.695645332336426,2012-03-07
12.824233055114746,2012-03-08
12.747077941894531,2012-03-09
12.892809867858887,2012-03-12
13.269993782043457,2012-03-13
13.175698280334473,2012-03-14
13.398574829101562,2012-03-15
13.1842679977417,2012-03-16
13.235700607299805,2012-03-19
13.510018348693848,2012-03-20
13.492873191833496,2012-03-21
13.527161598205566,2012-03-22
13.578597068786621,2012-03-23
13.6043119430542,2012-03-26
13.501445770263672,2012-03-27
13.390005111694336,2012-03-28
13.492873191833496,2012-03-29
13.48430347442627,2012-03-30
13.612887382507324,2012-04-02
13.41572093963623,2012-04-03
13.107117652893066,2012-04-04
12.978532791137695,2012-04-05
12.807088851928711,2012-04-09
12.644208908081055,2012-04-10
12.918526649475098,2012-04-11
13.124265670776367,2012-04-12
12.96138858795166,2012-04-13
13.072829246520996,2012-04-16
13.20998764038086,2012-04-17
13.372861862182617,2012-04-18
13.235700607299805,2012-04-19
13.029966354370117,2012-04-20
12.952813148498535,2012-04-23
12.618494987487793,2012-04-24
12.824233055114746,2012-04-25
13.158554077148438,2012-04-26
12.764225959777832,2012-04-27
12.867094039916992,2012-04-30
12.849946022033691,2012-05-01
12.704217910766602,2012-05-02
12.241311073303223,2012-05-03
12.018433570861816,2012-05-04
11.975569725036621,2012-05-07
11.915563583374023,2012-05-08
11.70982551574707,2012-05-09
11.624103546142578,2012-05-10
11.838409423828125,2012-05-11
11.598382949829102,2012-05-14
11.469799041748047,2012-05-15
11.624103546142578,2012-05-16
11.401220321655273,2012-05-17
10.938314437866211,2012-05-18
11.358360290527344,2012-05-21
11.13547420501709,2012-05-22
11.229774475097656,2012-05-23
11.024038314819336,2012-05-24
11.20405387878418,2012-05-25
11.186914443969727,2012-05-29
10.95545768737793,2012-05-30
10.74114990234375,2012-05-31
10.261098861694336,2012-06-01
10.303960800170898,2012-06-04
10.543987274169922,2012-06-05
10.861164093017578,2012-06-06
10.483980178833008,2012-06-07
10.526839256286621,2012-06-08
10.209667205810547,2012-06-11
10.329680442810059,2012-06-12
10.089652061462402,2012-06-13
9.943924903869629,2012-06-14
9.87534236907959,2012-06-15
10.28681755065918,2012-06-18
10.424664497375488,2012-06-19
10.347126960754395,2012-06-20
9.82158088684082,2012-06-21
9.847429275512695,2012-06-22
9.52004623413086,2012-06-25
9.502813339233398,2012-06-26
9.761271476745605,2012-06-27
9.502813339233398,2012-06-28
9.718194007873535,2012-06-29
9.623427391052246,2012-07-02
9.580352783203125,2012-07-03
9.511428833007812,2012-07-05
9.304658889770508,2012-07-06
9.339120864868164,2012-07-09
9.17542839050293,2012-07-10
9.06342601776123,2012-07-11
8.99450397491455,2012-07-12
9.072040557861328,2012-07-13
8.94281005859375,2012-07-16
9.054811477661133,2012-07-17
9.364965438842773,2012-07-18
9.59758472442627,2012-07-19
9.356350898742676,2012-07-20
9.218501091003418,2012-07-23
9.17542839050293,2012-07-24
9.382196426391602,2012-07-25
9.82158088684082,2012-07-26
10.011124610900879,2012-07-27
9.761271476745605,2012-07-30
9.700968742370605,2012-07-31
9.59758472442627,2012-08-01
9.571733474731445,2012-08-02
9.7785062789917,2012-08-03
9.580352783203125,2012-08-06
10.06281566619873,2012-08-07
10.166200637817383,2012-08-08
10.286813735961914,2012-08-09
10.433279037475586,2012-08-10
10.329893112182617,2012-08-13
10.148969650268555,2012-08-14
10.286813735961914,2012-08-15
