MCK,Date
124.89929962158203,2019-02-11
128.31790161132812,2019-02-12
128.48072814941406,2019-02-13
128.69139099121094,2019-02-14
129.81179809570312,2019-02-15
130.52041625976562,2019-02-19
128.35623168945312,2019-02-20
126.3548355102539,2019-02-21
125.91434478759766,2019-02-22
124.659912109375,2019-02-25
121.75839233398438,2019-02-26
122.01692962646484,2019-02-27
122.14181518554688,2019-02-28
119.61560821533203,2019-03-01
115.36042022705078,2019-03-04
112.53646087646484,2019-03-05
109.0304946899414,2019-03-06
107.8490219116211,2019-03-07
107.44559478759766,2019-03-08
109.00167846679688,2019-03-11
111.04761505126953,2019-03-12
112.83422088623047,2019-03-13
113.07435607910156,2019-03-14
114.55359649658203,2019-03-15
116.58031463623047,2019-03-18
117.68492889404297,2019-03-19
115.88871002197266,2019-03-20
117.4063949584961,2019-03-21
113.86199951171875,2019-03-22
111.08602142333984,2019-03-25
111.27813720703125,2019-03-26
111.1436767578125,2019-03-27
110.74026489257812,2019-03-28
112.44039916992188,2019-03-29
114.15013885498047,2019-04-01
110.2599868774414,2019-04-02
110.53852844238281,2019-04-03
110.4712905883789,2019-04-04
112.09461975097656,2019-04-05
112.20986938476562,2019-04-08
111.23014068603516,2019-04-09
110.72102355957031,2019-04-10
109.68365478515625,2019-04-11
111.47024536132812,2019-04-12
112.58446502685547,2019-04-15
112.0081558227539,2019-04-16
108.05075073242188,2019-04-17
109.5971908569336,2019-04-18
108.03152465820312,2019-04-22
110.65379333496094,2019-04-23
110.77867889404297,2019-04-24
110.66340637207031,2019-04-25
112.93986511230469,2019-04-26
113.69871520996094,2019-04-29
114.5439682006836,2019-04-30
114.3134536743164,2019-05-01
117.79058074951172,2019-05-02
118.6070327758789,2019-05-03
119.9902114868164,2019-05-06
120.72021484375,2019-05-07
126.5026626586914,2019-05-08
129.28819274902344,2019-05-09
125.69580841064453,2019-05-10
121.4598159790039,2019-05-13
120.6529769897461,2019-05-14
121.32537078857422,2019-05-15
120.62416076660156,2019-05-16
120.06706237792969,2019-05-17
121.41181945800781,2019-05-20
123.26563262939453,2019-05-21
124.51434326171875,2019-05-22
123.99563598632812,2019-05-23
124.79289245605469,2019-05-24
124.96578979492188,2019-05-28
120.441650390625,2019-05-29
118.96243286132812,2019-05-30
117.69053649902344,2019-05-31
120.02236938476562,2019-06-03
122.9130859375,2019-06-04
122.73001098632812,2019-06-05
123.4815902709961,2019-06-06
125.53401947021484,2019-06-07
127.91400146484375,2019-06-10
127.76953125,2019-06-11
129.13772583007812,2019-06-12
129.9278564453125,2019-06-13
128.28018188476562,2019-06-14
128.95468139648438,2019-06-17
128.60780334472656,2019-06-18
130.0146026611328,2019-06-19
129.55209350585938,2019-06-20
128.2126922607422,2019-06-21
126.35302734375,2019-06-24
126.99866485595703,2019-06-25
125.44725036621094,2019-06-26
129.0413818359375,2019-06-27
129.4942626953125,2019-06-28
129.3497314453125,2019-07-01
130.91073608398438,2019-07-02
135.61294555664062,2019-07-03
134.92880249023438,2019-07-05
135.36241149902344,2019-07-08
134.1676025390625,2019-07-09
135.8731231689453,2019-07-10
138.58074951171875,2019-07-11
139.3323211669922,2019-07-12
137.5208282470703,2019-07-15
137.75210571289062,2019-07-16
133.5797882080078,2019-07-17
134.591552734375,2019-07-18
133.8399200439453,2019-07-19
133.705078125,2019-07-22
133.07876586914062,2019-07-23
135.2563934326172,2019-07-24
133.08837890625,2019-07-25
133.88816833496094,2019-07-26
136.13327026367188,2019-07-29
137.32809448242188,2019-07-30
133.88816833496094,2019-07-31
142.84934997558594,2019-08-01
142.7337188720703,2019-08-02
139.39010620117188,2019-08-05
133.93630981445312,2019-08-06
134.13868713378906,2019-08-07
135.38169860839844,2019-08-08
135.08299255371094,2019-08-09
137.51116943359375,2019-08-12
140.98004150390625,2019-08-13
136.692138671875,2019-08-14
136.12364196777344,2019-08-15
139.99716186523438,2019-08-16
140.64279174804688,2019-08-19
139.50575256347656,2019-08-20
141.1534423828125,2019-08-21
142.37722778320312,2019-08-22
139.57321166992188,2019-08-23
141.7219696044922,2019-08-26
133.69544982910156,2019-08-27
133.0691375732422,2019-08-28
132.93423461914062,2019-08-29
133.6300811767578,2019-08-30
134.48052978515625,2019-09-03
135.82386779785156,2019-09-04
136.62603759765625,2019-09-05
138.78121948242188,2019-09-06
138.96481323242188,2019-09-09
138.04669189453125,2019-09-10
143.54576110839844,2019-09-11
141.1973114013672,2019-09-12
138.71353149414062,2019-09-13
139.3224334716797,2019-09-16
138.9261932373047,2019-09-17
138.89715576171875,2019-09-18
140.81069946289062,2019-09-19
141.8931427001953,2019-09-20
