COST,Date
6.660639762878418,1990-01-24
6.702796936035156,1990-01-25
6.74495267868042,1990-01-26
6.6184868812561035,1990-01-29
6.576328754425049,1990-01-30
6.639560222625732,1990-01-31
6.576328754425049,1990-02-01
6.702796936035156,1990-02-02
6.576328754425049,1990-02-05
6.639560222625732,1990-02-06
6.492018222808838,1990-02-07
6.4498610496521,1990-02-08
6.492018222808838,1990-02-09
6.4498610496521,1990-02-12
6.23907995223999,1990-02-13
6.323391437530518,1990-02-14
6.4498610496521,1990-02-15
6.4498610496521,1990-02-16
6.407708168029785,1990-02-20
6.534172534942627,1990-02-21
6.4498610496521,1990-02-22
6.365549087524414,1990-02-23
6.4498610496521,1990-02-26
6.534172534942627,1990-02-27
6.4498610496521,1990-02-28
6.513096809387207,1990-03-01
6.6184868812561035,1990-03-02
6.492018222808838,1990-03-05
6.723873615264893,1990-03-06
6.660639762878418,1990-03-07
6.829263687133789,1990-03-08
6.9557318687438965,1990-03-09
6.997886657714844,1990-03-12
6.871419429779053,1990-03-13
6.913572788238525,1990-03-14
6.9557318687438965,1990-03-15
6.913572788238525,1990-03-16
6.913572788238525,1990-03-19
6.913572788238525,1990-03-20
6.829263687133789,1990-03-21
6.787106990814209,1990-03-22
6.74495267868042,1990-03-23
6.74495267868042,1990-03-26
6.829263687133789,1990-03-27
6.6184868812561035,1990-03-28
6.660639762878418,1990-03-29
6.534172534942627,1990-03-30
6.4498610496521,1990-04-02
6.365549087524414,1990-04-03
6.344472408294678,1990-04-04
6.302316188812256,1990-04-05
6.281238079071045,1990-04-06
6.07045841217041,1990-04-09
5.859678268432617,1990-04-10
5.92291259765625,1990-04-11
6.154769420623779,1990-04-12
6.407708168029785,1990-04-16
6.407708168029785,1990-04-17
6.323391437530518,1990-04-18
6.196927070617676,1990-04-19
6.07045841217041,1990-04-20
5.859678268432617,1990-04-23
5.817521572113037,1990-04-24
5.986142158508301,1990-04-25
5.94398832321167,1990-04-26
5.73321008682251,1990-04-27
5.775367736816406,1990-04-30
5.669976711273193,1990-05-01
5.775367736816406,1990-05-02
5.775367736816406,1990-05-03
5.648898601531982,1990-05-04
5.564586639404297,1990-05-07
5.606741428375244,1990-05-08
5.606741428375244,1990-05-09
5.606741428375244,1990-05-10
5.648898601531982,1990-05-11
5.6910552978515625,1990-05-14
5.775367736816406,1990-05-15
6.0072245597839355,1990-05-16
6.323391437530518,1990-05-17
6.323391437530518,1990-05-18
6.576328754425049,1990-05-21
6.492018222808838,1990-05-22
6.281238079071045,1990-05-23
6.112613201141357,1990-05-24
6.0072245597839355,1990-05-25
6.196927070617676,1990-05-29
6.4498610496521,1990-05-30
6.470941066741943,1990-05-31
6.4498610496521,1990-06-01
6.6184868812561035,1990-06-04
6.196927070617676,1990-06-05
6.323391437530518,1990-06-06
6.281238079071045,1990-06-07
6.23907995223999,1990-06-08
6.281238079071045,1990-06-11
6.260159015655518,1990-06-12
6.196927070617676,1990-06-13
6.196927070617676,1990-06-14
6.196927070617676,1990-06-15
6.175846576690674,1990-06-18
6.23907995223999,1990-06-19
6.218000888824463,1990-06-20
6.323391437530518,1990-06-21
6.196927070617676,1990-06-22
6.534172534942627,1990-06-25
6.787106990814209,1990-06-26
6.997886657714844,1990-06-27
6.997886657714844,1990-06-28
6.997886657714844,1990-06-29
6.913572788238525,1990-07-02
7.124358654022217,1990-07-03
7.1665143966674805,1990-07-05
7.25082540512085,1990-07-06
7.187592029571533,1990-07-09
7.082197666168213,1990-07-10
7.040045261383057,1990-07-11
7.1665143966674805,1990-07-12
7.271903038024902,1990-07-13
7.335134983062744,1990-07-16
7.1665143966674805,1990-07-17
6.9557318687438965,1990-07-18
6.997886657714844,1990-07-19
6.850343704223633,1990-07-20
6.702796936035156,1990-07-23
6.660639762878418,1990-07-24
6.787106990814209,1990-07-25
6.534172534942627,1990-07-26
6.6184868812561035,1990-07-27
6.576328754425049,1990-07-30
6.74495267868042,1990-07-31
6.702796936035156,1990-08-01
6.407708168029785,1990-08-02
6.23907995223999,1990-08-03
6.028300762176514,1990-08-06
5.775367736816406,1990-08-07
5.965066432952881,1990-08-08
6.323391437530518,1990-08-09
6.07045841217041,1990-08-10
5.965066432952881,1990-08-13
5.986142158508301,1990-08-14
5.648898601531982,1990-08-15
5.648898601531982,1990-08-16
5.501352310180664,1990-08-17
5.480273723602295,1990-08-20
5.2273383140563965,1990-08-21
5.353806018829346,1990-08-22
5.311650276184082,1990-08-23
5.501352310180664,1990-08-24
5.754286289215088,1990-08-27
5.606741428375244,1990-08-28
5.627817153930664,1990-08-29
5.564586639404297,1990-08-30
5.606741428375244,1990-08-31
5.480273723602295,1990-09-04
5.6910552978515625,1990-09-05
5.4591965675354,1990-09-06
5.395963191986084,1990-09-07
5.353806018829346,1990-09-10
5.311650276184082,1990-09-11
5.353806018829346,1990-09-12
5.269493579864502,1990-09-13
5.311650276184082,1990-09-14
5.395963191986084,1990-09-17
5.353806018829346,1990-09-18
5.311650276184082,1990-09-19
5.16410493850708,1990-09-20
5.269493579864502,1990-09-21
5.079793453216553,1990-09-24
4.974402904510498,1990-09-25
4.932246685028076,1990-09-26
4.805777072906494,1990-09-27
4.932246685028076,1990-09-28
5.2273383140563965,1990-10-01
5.1430277824401855,1990-10-02
5.100870609283447,1990-10-03
5.1430277824401855,1990-10-04
5.100870609283447,1990-10-05
4.974402904510498,1990-10-08
4.847934722900391,1990-10-09
4.679311275482178,1990-10-10
4.594998359680176,1990-10-11
4.637155055999756,1990-10-12
4.890089988708496,1990-10-15
4.721466541290283,1990-10-16
4.932246685028076,1990-10-17
5.16410493850708,1990-10-18
5.395963191986084,1990-10-19
5.480273723602295,1990-10-22
5.438119411468506,1990-10-23
5.438119411468506,1990-10-24
5.480273723602295,1990-10-25
5.269493579864502,1990-10-26
5.206258773803711,1990-10-29
5.353806018829346,1990-10-30
5.269493579864502,1990-10-31
5.311650276184082,1990-11-01
5.480273723602295,1990-11-02
5.648898601531982,1990-11-05
5.73321008682251,1990-11-06
5.606741428375244,1990-11-07
5.775367736816406,1990-11-08
6.028300762176514,1990-11-09
6.112613201141357,1990-11-12
6.07045841217041,1990-11-13
5.986142158508301,1990-11-14
5.986142158508301,1990-11-15
5.94398832321167,1990-11-16
6.154769420623779,1990-11-19
6.154769420623779,1990-11-20
6.365549087524414,1990-11-21
6.407708168029785,1990-11-23
6.4498610496521,1990-11-26
6.492018222808838,1990-11-27
6.323391437530518,1990-11-28
6.323391437530518,1990-11-29
6.4498610496521,1990-11-30
6.492018222808838,1990-12-03
6.534172534942627,1990-12-04
6.576328754425049,1990-12-05
6.407708168029785,1990-12-06
6.534172534942627,1990-12-07
6.4498610496521,1990-12-10
6.365549087524414,1990-12-11
6.492018222808838,1990-12-12
6.6184868812561035,1990-12-13
6.4498610496521,1990-12-14
6.218000888824463,1990-12-17
6.281238079071045,1990-12-18
6.534172534942627,1990-12-19
6.576328754425049,1990-12-20
6.660639762878418,1990-12-21
6.660639762878418,1990-12-24
6.702796936035156,1990-12-26
6.766032695770264,1990-12-27
6.660639762878418,1990-12-28
6.6184868812561035,1990-12-31
6.534172534942627,1991-01-02
6.4498610496521,1991-01-03
6.534172534942627,1991-01-04
6.365549087524414,1991-01-07
6.4498610496521,1991-01-08
6.492018222808838,1991-01-09
6.534172534942627,1991-01-10
6.850343704223633,1991-01-11
6.702796936035156,1991-01-14
6.660639762878418,1991-01-15
6.871419429779053,1991-01-16
7.208669662475586,1991-01-17
7.377292156219482,1991-01-18
7.335134983062744,1991-01-21
7.187592029571533,1991-01-22
7.4194488525390625,1991-01-23
7.398370265960693,1991-01-24
7.377292156219482,1991-01-25
7.082197666168213,1991-01-28
7.208669662475586,1991-01-29
7.377292156219482,1991-01-30
7.503759860992432,1991-01-31
7.377292156219482,1991-02-01
7.54591178894043,1991-02-04
7.71453857421875,1991-02-05
7.71453857421875,1991-02-06
7.482683181762695,1991-02-07
7.356211185455322,1991-02-08
7.588072776794434,1991-02-11
7.672384262084961,1991-02-12
7.71453857421875,1991-02-13
7.356211185455322,1991-02-14
7.588072776794434,1991-02-15
7.630227088928223,1991-02-19
7.4194488525390625,1991-02-20
7.2929792404174805,1991-02-21
7.082197666168213,1991-02-22
6.913572788238525,1991-02-25
6.766032695770264,1991-02-26
6.74495267868042,1991-02-27
6.976812362670898,1991-02-28
7.1665143966674805,1991-03-01
7.4194488525390625,1991-03-04
7.4194488525390625,1991-03-05
7.4194488525390625,1991-03-06
7.377292156219482,1991-03-07
7.2929792404174805,1991-03-08
7.124358654022217,1991-03-11
6.997886657714844,1991-03-12
7.25082540512085,1991-03-13
7.103279113769531,1991-03-14
7.187592029571533,1991-03-15
7.2929792404174805,1991-03-18
7.1665143966674805,1991-03-19
7.4194488525390625,1991-03-20
7.524837493896484,1991-03-21
7.588072776794434,1991-03-22
7.672384262084961,1991-03-25
7.7566962242126465,1991-03-26
7.588072776794434,1991-03-27
7.883166790008545,1991-03-28
7.798851013183594,1991-04-01
8.051787376403809,1991-04-02
8.17824935913086,1991-04-03
8.76843547821045,1991-04-04
8.93706226348877,1991-04-05
8.76843547821045,1991-04-08
8.599814414978027,1991-04-09
8.852751731872559,1991-04-10
8.93706226348877,1991-04-11
8.979214668273926,1991-04-12
9.063528060913086,1991-04-15
9.485091209411621,1991-04-16
9.822341918945312,1991-04-17
9.485091209411621,1991-04-18
9.358622550964355,1991-04-19
9.105682373046875,1991-04-22
9.147842407226562,1991-04-23
9.189996719360352,1991-04-24
8.93706226348877,1991-04-25
8.810592651367188,1991-04-26
8.5155029296875,1991-04-29
8.599814414978027,1991-04-30
8.810592651367188,1991-05-01
8.76843547821045,1991-05-02
8.852751731872559,1991-05-03
8.93706226348877,1991-05-06
8.979214668273926,1991-05-07
8.93706226348877,1991-05-08
9.16892147064209,1991-05-09
8.979214668273926,1991-05-10
8.852751731872559,1991-05-13
8.76843547821045,1991-05-14
8.431194305419922,1991-05-15
8.452268600463867,1991-05-16
8.473345756530762,1991-05-17
8.5155029296875,1991-05-20
8.76843547821045,1991-05-21
9.295391082763672,1991-05-22
9.211074829101562,1991-05-23
9.295391082763672,1991-05-24
9.611554145812988,1991-05-28
9.695869445800781,1991-05-29
9.527243614196777,1991-05-30
9.358622550964355,1991-05-31
9.232151985168457,1991-06-03
9.295391082763672,1991-06-04
9.16892147064209,1991-06-05
9.316465377807617,1991-06-06
9.021374702453613,1991-06-07
8.894905090332031,1991-06-10
9.021374702453613,1991-06-11
8.894905090332031,1991-06-12
8.831668853759766,1991-06-13
9.063528060913086,1991-06-14
9.16892147064209,1991-06-17
9.147842407226562,1991-06-18
9.232151985168457,1991-06-19
9.316465377807617,1991-06-20
9.400777816772461,1991-06-21
9.021374702453613,1991-06-24
8.76843547821045,1991-06-25
8.852751731872559,1991-06-26
9.16892147064209,1991-06-27
9.105682373046875,1991-06-28
9.105682373046875,1991-07-01
9.105682373046875,1991-07-02
9.063528060913086,1991-07-03
9.08460521697998,1991-07-05
9.400777816772461,1991-07-08
9.147842407226562,1991-07-09
9.189996719360352,1991-07-10
9.274310111999512,1991-07-11
9.232151985168457,1991-07-12
9.189996719360352,1991-07-15
9.147842407226562,1991-07-16
9.000295639038086,1991-07-17
9.021374702453613,1991-07-18
8.93706226348877,1991-07-19
8.894905090332031,1991-07-22
8.557658195495605,1991-07-23
8.5155029296875,1991-07-24
8.684127807617188,1991-07-25
8.810592651367188,1991-07-26
8.894905090332031,1991-07-29
9.147842407226562,1991-07-30
9.189996719360352,1991-07-31
9.063528060913086,1991-08-01
8.831668853759766,1991-08-02
8.810592651367188,1991-08-05
9.021374702453613,1991-08-06
8.852751731872559,1991-08-07
