PCG,Date
2.303342342376709,1982-10-04
2.2925777435302734,1982-10-05
2.3248679637908936,1982-10-06
2.3679237365722656,1982-10-07
2.4002132415771484,1982-10-08
2.4325006008148193,1982-10-11
2.4325006008148193,1982-10-12
2.4109747409820557,1982-10-13
2.389448404312134,1982-10-14
2.3786861896514893,1982-10-15
2.4002132415771484,1982-10-18
2.3571581840515137,1982-10-19
2.4002132415771484,1982-10-20
2.3679237365722656,1982-10-21
2.4109747409820557,1982-10-22
2.389448404312134,1982-10-25
2.3463966846466064,1982-10-26
2.3356330394744873,1982-10-27
2.281815528869629,1982-10-28
2.3248679637908936,1982-10-29
2.271052837371826,1982-11-01
2.3248679637908936,1982-11-02
2.3356330394744873,1982-11-03
2.3786861896514893,1982-11-04
2.3786861896514893,1982-11-05
2.389448404312134,1982-11-08
2.421738386154175,1982-11-09
2.4109747409820557,1982-11-10
2.421738386154175,1982-11-11
2.3679237365722656,1982-11-12
2.3356330394744873,1982-11-15
2.3141067028045654,1982-11-16
2.3356330394744873,1982-11-17
2.3356330394744873,1982-11-18
2.3248679637908936,1982-11-19
2.3356330394744873,1982-11-22
2.3463966846466064,1982-11-23
2.3571581840515137,1982-11-24
2.3571581840515137,1982-11-26
2.3356330394744873,1982-11-29
2.3356330394744873,1982-11-30
2.3786861896514893,1982-12-01
2.389448404312134,1982-12-02
2.4109747409820557,1982-12-03
2.421738386154175,1982-12-06
2.4325006008148193,1982-12-07
2.4109747409820557,1982-12-08
2.388855457305908,1982-12-09
2.42203426361084,1982-12-10
2.42203426361084,1982-12-13
2.444154739379883,1982-12-14
2.444154739379883,1982-12-15
2.4330952167510986,1982-12-16
2.4330952167510986,1982-12-17
2.444154739379883,1982-12-20
2.444154739379883,1982-12-21
2.4662742614746094,1982-12-22
2.455212116241455,1982-12-23
2.4662742614746094,1982-12-27
2.4773311614990234,1982-12-28
2.488391637802124,1982-12-29
2.488391637802124,1982-12-30
2.488391637802124,1982-12-31
2.499451160430908,1983-01-03
2.5105111598968506,1983-01-04
2.5326309204101562,1983-01-05
2.5658061504364014,1983-01-06
2.5658061504364014,1983-01-07
2.598987102508545,1983-01-10
2.63216495513916,1983-01-11
2.63216495513916,1983-01-12
2.6432251930236816,1983-01-13
2.6432251930236816,1983-01-14
2.6432251930236816,1983-01-17
2.6432251930236816,1983-01-18
2.6542844772338867,1983-01-19
2.6764044761657715,1983-01-20
2.6764044761657715,1983-01-21
2.66534423828125,1983-01-24
2.6542844772338867,1983-01-25
2.6542844772338867,1983-01-26
2.6542844772338867,1983-01-27
2.63216495513916,1983-01-28
2.66534423828125,1983-01-31
2.66534423828125,1983-02-01
2.6764044761657715,1983-02-02
2.687464475631714,1983-02-03
2.6764044761657715,1983-02-04
2.6985223293304443,1983-02-07
2.6985223293304443,1983-02-08
2.63216495513916,1983-02-09
