GM,Date
49.91743087768555,2021-01-29
50.73493957519531,2021-02-01
51.92673873901367,2021-02-02
53.4337158203125,2021-02-03
53.31552505493164,2021-02-04
53.591312408447266,2021-02-05
56.02415084838867,2021-02-08
55.21648025512695,2021-02-09
54.05423355102539,2021-02-10
52.69499969482422,2021-02-11
52.793495178222656,2021-02-12
52.655601501464844,2021-02-16
52.094181060791016,2021-02-17
51.37516784667969,2021-02-18
51.77899169921875,2021-02-19
51.1978759765625,2021-02-22
50.340965270996094,2021-02-23
52.104026794433594,2021-02-24
49.8386344909668,2021-02-25
50.557655334472656,2021-02-26
51.74944305419922,2021-03-01
53.29582595825195,2021-03-02
51.87749099731445,2021-03-03
51.05012893676758,2021-03-04
52.94123840332031,2021-03-05
54.15273666381836,2021-03-08
53.827701568603516,2021-03-09
55.97489547729492,2021-03-10
55.482418060302734,2021-03-11
58.36832809448242,2021-03-12
57.06819534301758,2021-03-15
56.260528564453125,2021-03-16
59.146446228027344,2021-03-17
58.37818145751953,2021-03-18
58.91990661621094,2021-03-19
57.22578048706055,2021-03-22
55.31497573852539,2021-03-23
54.97024154663086,2021-03-24
55.748355865478516,2021-03-25
55.669559478759766,2021-03-26
55.098289489746094,2021-03-29
57.62961196899414,2021-03-30
56.59541702270508,2021-03-31
56.9302978515625,2021-04-01
60.12155532836914,2021-04-05
61.00800323486328,2021-04-06
59.91470718383789,2021-04-07
59.18584442138672,2021-04-08
59.25478744506836,2021-04-09
58.7623176574707,2021-04-12
57.60991668701172,2021-04-13
57.600067138671875,2021-04-14
57.72811508178711,2021-04-15
57.82660675048828,2021-04-16
57.009098052978516,2021-04-19
54.93083953857422,2021-04-20
56.624961853027344,2021-04-21
55.80745315551758,2021-04-22
56.66436004638672,2021-04-23
57.33413314819336,2021-04-26
58.082698822021484,2021-04-27
57.669010162353516,2021-04-28
55.718807220458984,2021-04-29
56.35902786254883,2021-04-30
56.290077209472656,2021-05-03
54.5073127746582,2021-05-04
56.7136116027832,2021-05-05
57.836456298828125,2021-05-06
58.10239791870117,2021-05-07
56.546173095703125,2021-05-10
54.891441345214844,2021-05-11
52.951087951660156,2021-05-12
53.77845001220703,2021-05-13
55.15738296508789,2021-05-14
55.19678497314453,2021-05-17
55.049041748046875,2021-05-18
