HII,Date
101.30196380615234,2015-06-12
100.07567596435547,2015-06-15
100.21289825439453,2015-06-16
100.83033752441406,2015-06-17
101.17335510253906,2015-06-18
100.71026611328125,2015-06-19
101.2076187133789,2015-06-22
102.3052978515625,2015-06-23
99.70692443847656,2015-06-24
99.63832092285156,2015-06-25
98.48062133789062,2015-06-26
96.43111419677734,2015-06-29
96.55116271972656,2015-06-30
97.5802230834961,2015-07-01
96.9627914428711,2015-07-02
97.12572479248047,2015-07-06
98.03470611572266,2015-07-07
95.98516845703125,2015-07-08
96.55116271972656,2015-07-09
97.90608978271484,2015-07-10
99.65547180175781,2015-07-13
100.42728424072266,2015-07-14
99.25243377685547,2015-07-15
100.8388900756836,2015-07-16
100.00707244873047,2015-07-17
99.62115478515625,2015-07-20
99.0123291015625,2015-07-21
98.3605728149414,2015-07-22
98.48062133789062,2015-07-23
96.07951354980469,2015-07-24
96.25961303710938,2015-07-27
98.49778747558594,2015-07-28
100.74456024169922,2015-07-29
99.99850463867188,2015-07-30
100.68455505371094,2015-07-31
99.24385070800781,2015-08-03
99.43250274658203,2015-08-04
100.43585205078125,2015-08-05
104.84365844726562,2015-08-06
99.31246185302734,2015-08-07
103.37722778320312,2015-08-10
102.03089904785156,2015-08-11
100.92465209960938,2015-08-12
100.48731231689453,2015-08-13
102.21952819824219,2015-08-14
103.0170669555664,2015-08-17
103.36009216308594,2015-08-18
101.45632934570312,2015-08-19
96.71408081054688,2015-08-20
94.39016723632812,2015-08-21
92.06620025634766,2015-08-24
89.93089294433594,2015-08-25
94.16616821289062,2015-08-26
97.38570404052734,2015-08-27
97.76448059082031,2015-08-28
96.91222381591797,2015-08-31
92.582275390625,2015-09-01
98.35844421386719,2015-09-02
98.12602233886719,2015-09-03
96.93804931640625,2015-09-04
99.85626220703125,2015-09-08
98.81466674804688,2015-09-09
99.19344329833984,2015-09-10
99.46028137207031,2015-09-11
99.02986907958984,2015-09-14
100.11454010009766,2015-09-15
100.20059967041016,2015-09-16
99.23648071289062,2015-09-17
96.06863403320312,2015-09-18
95.40580749511719,2015-09-21
93.83908081054688,2015-09-22
92.31539154052734,2015-09-23
92.17766571044922,2015-09-24
91.00694274902344,2015-09-25
89.50909423828125,2015-09-28
90.68843841552734,2015-09-29
92.23792266845703,2015-09-30
91.03275299072266,2015-10-01
92.05714416503906,2015-10-02
93.22789001464844,2015-10-05
93.22789001464844,2015-10-06
94.88065338134766,2015-10-07
95.95673370361328,2015-10-08
97.71281433105469,2015-10-09
96.31824493408203,2015-10-12
94.27810668945312,2015-10-13
93.49475860595703,2015-10-14
93.22789001464844,2015-10-15
91.4545669555664,2015-10-16
90.0686264038086,2015-10-19
90.5765151977539,2015-10-20
90.59373474121094,2015-10-21
91.82473754882812,2015-10-22
93.59803009033203,2015-10-23
92.65974426269531,2015-10-26
94.80320739746094,2015-10-27
97.02413940429688,2015-10-28
97.97966003417969,2015-10-29
103.2479248046875,2015-10-30
104.22930145263672,2015-11-02
104.7027359008789,2015-11-03
103.61811065673828,2015-11-04
112.0197982788086,2015-11-05
111.04707336425781,2015-11-06
109.82469177246094,2015-11-09
110.32396697998047,2015-11-10
112.40717315673828,2015-11-11
110.17761993408203,2015-11-12
109.7471923828125,2015-11-13
113.15611267089844,2015-11-16
113.41434478759766,2015-11-17
113.13887786865234,2015-11-18
115.42007446289062,2015-11-19
115.79883575439453,2015-11-20
115.067138671875,2015-11-23
115.65470886230469,2015-11-24
114.3154296875,2015-11-25
114.72150421142578,2015-11-27
113.12300109863281,2015-11-30
115.56828308105469,2015-12-01
113.37358093261719,2015-12-02
112.41448974609375,2015-12-03
114.98934936523438,2015-12-04
114.5141372680664,2015-12-07
112.8292007446289,2015-12-08
111.17021179199219,2015-12-09
111.01467895507812,2015-12-10
109.37295532226562,2015-12-11
109.22608184814453,2015-12-14
109.7013168334961,2015-12-15
111.09246063232422,2015-12-16
109.72720336914062,2015-12-17
108.3965835571289,2015-12-18
109.95188903808594,2015-12-21
110.38391876220703,2015-12-22
110.96286010742188,2015-12-23
111.85281372070312,2015-12-24
110.85051727294922,2015-12-28
111.87875366210938,2015-12-29
110.28887176513672,2015-12-30
109.60626220703125,2015-12-31
107.33379364013672,2016-01-04
109.75314331054688,2016-01-05
110.1419677734375,2016-01-06
107.91271209716797,2016-01-07
109.92597961425781,2016-01-08
109.27793884277344,2016-01-11
111.48126983642578,2016-01-12
106.20185852050781,2016-01-13
107.97315979003906,2016-01-14
106.84126281738281,2016-01-15
105.24273681640625,2016-01-19
105.39827728271484,2016-01-20
104.90576171875,2016-01-21
106.15867614746094,2016-01-22
105.29459381103516,2016-01-25
107.81765747070312,2016-01-26
105.55378723144531,2016-01-27
105.80438232421875,2016-01-28
110.4962387084961,2016-01-29
109.49393463134766,2016-02-01
107.64484405517578,2016-02-02
108.55209350585938,2016-02-03
108.82861328125,2016-02-04
108.3360824584961,2016-02-05
108.1546401977539,2016-02-08
108.40520477294922,2016-02-09
111.84418487548828,2016-02-10
110.97146606445312,2016-02-11
113.45137023925781,2016-02-12
116.07808685302734,2016-02-16
116.52738952636719,2016-02-17
114.93753051757812,2016-02-18
114.92884826660156,2016-02-19
116.24225616455078,2016-02-22
114.81656646728516,2016-02-23
114.79926300048828,2016-02-24
115.7756576538086,2016-02-25
115.39546966552734,2016-02-26
113.24396514892578,2016-02-29
114.75606536865234,2016-03-01
114.02752685546875,2016-03-02
115.82286834716797,2016-03-03
116.05705261230469,2016-03-04
114.73004150390625,2016-03-07
112.82193756103516,2016-03-08
114.20964813232422,2016-03-09
114.4351577758789,2016-03-10
116.27388000488281,2016-03-11
115.01624298095703,2016-03-14
116.50810241699219,2016-03-15
117.44474792480469,2016-03-16
119.32687377929688,2016-03-17
120.14218139648438,2016-03-18
119.55237579345703,2016-03-21
119.33556365966797,2016-03-22
120.02943420410156,2016-03-23
119.11006164550781,2016-03-24
118.86719512939453,2016-03-28
119.8472671508789,2016-03-29
120.09011840820312,2016-03-30
118.77178955078125,2016-03-31
119.22283935546875,2016-04-01
119.60443878173828,2016-04-04
119.12740325927734,2016-04-05
122.02428436279297,2016-04-06
120.50643920898438,2016-04-07
120.92273712158203,2016-04-08
120.63655853271484,2016-04-11
122.56199645996094,2016-04-12
124.14922332763672,2016-04-13
124.56554412841797,2016-04-14
124.00182342529297,2016-04-15
124.85179138183594,2016-04-18
125.30274200439453,2016-04-19
124.94715881347656,2016-04-20
124.67828369140625,2016-04-21
125.06864166259766,2016-04-22
124.03649139404297,2016-04-25
125.22469329833984,2016-04-26
126.99406433105469,2016-04-27
125.90123748779297,2016-04-28
125.56297302246094,2016-04-29
126.60376739501953,2016-05-02
126.58644104003906,2016-05-03
125.87523651123047,2016-05-04
131.07916259765625,2016-05-05
134.60919189453125,2016-05-06
133.8806610107422,2016-05-09
135.4505157470703,2016-05-10
133.28219604492188,2016-05-11
133.23878479003906,2016-05-12
132.04193115234375,2016-05-13
133.8025665283203,2016-05-16
133.4989776611328,2016-05-17
133.85462951660156,2016-05-18
133.6031036376953,2016-05-19
134.01942443847656,2016-05-20
133.6724853515625,2016-05-23
131.45211791992188,2016-05-24
132.11349487304688,2016-05-25
134.20193481445312,2016-05-26
134.59353637695312,2016-05-27
133.49708557128906,2016-05-31
136.29042053222656,2016-06-01
136.3948211669922,2016-06-02
137.13455200195312,2016-06-03
137.85678100585938,2016-06-06
137.59571838378906,2016-06-07
141.6508331298828,2016-06-08
142.49493408203125,2016-06-09
141.9814910888672,2016-06-10
138.79653930664062,2016-06-13
138.61387634277344,2016-06-14
139.02284240722656,2016-06-15
138.57907104492188,2016-06-16
139.01417541503906,2016-06-17
139.77987670898438,2016-06-20
140.36294555664062,2016-06-21
140.9720458984375,2016-06-22
141.84228515625,2016-06-23
139.85826110839844,2016-06-24
138.44854736328125,2016-06-27
139.9713134765625,2016-06-28
143.1040496826172,2016-06-29
146.2193603515625,2016-06-30
146.48043823242188,2016-07-01
148.19476318359375,2016-07-05
150.02215576171875,2016-07-06
149.09103393554688,2016-07-07
150.1265869140625,2016-07-08
151.2926483154297,2016-07-11
150.6660919189453,2016-07-12
150.67478942871094,2016-07-13
149.64794921875,2016-07-14
149.33470153808594,2016-07-15
148.2208251953125,2016-07-18
147.42897033691406,2016-07-19
147.64646911621094,2016-07-20
146.90684509277344,2016-07-21
147.1765899658203,2016-07-22
146.63706970214844,2016-07-25
148.6472625732422,2016-07-26
149.25636291503906,2016-07-27
150.16139221191406,2016-07-28
150.1787872314453,2016-07-29
150.31800842285156,2016-08-01
150.19619750976562,2016-08-02
151.4927978515625,2016-08-03
