BDX,Date
17.23678207397461,1997-06-26
17.380590438842773,1997-06-27
16.640993118286133,1997-06-30
17.48332405090332,1997-07-01
17.64766502380371,1997-07-02
18.099645614624023,1997-07-03
17.853113174438477,1997-07-07
18.161279678344727,1997-07-08
17.81202507019043,1997-07-09
17.75040054321289,1997-07-10
18.14073944091797,1997-07-11
17.935287475585938,1997-07-14
18.161279678344727,1997-07-15
18.099645614624023,1997-07-16
17.873655319213867,1997-07-17
17.44222068786621,1997-07-18
17.216238021850586,1997-07-21
17.873655319213867,1997-07-22
17.976381301879883,1997-07-23
17.709300994873047,1997-07-24
17.75040054321289,1997-07-25
17.75040054321289,1997-07-28
17.64766502380371,1997-07-29
17.58603858947754,1997-07-30
17.62712860107422,1997-07-31
17.25732421875,1997-08-01
16.88752555847168,1997-08-04
16.866975784301758,1997-08-05
17.113513946533203,1997-08-06
16.517724990844727,1997-08-07
15.942490577697754,1997-08-08
15.839755058288574,1997-08-11
15.983566284179688,1997-08-12
16.230112075805664,1997-08-13
16.147926330566406,1997-08-14
15.778122901916504,1997-08-15
15.860299110412598,1997-08-18
16.209552764892578,1997-08-19
16.415016174316406,1997-08-20
16.230112075805664,1997-08-21
15.963018417358398,1997-08-22
16.086288452148438,1997-08-25
15.880849838256836,1997-08-26
16.065753936767578,1997-08-27
15.963018417358398,1997-08-28
15.757575988769531,1997-08-29
15.963018417358398,1997-09-02
16.291725158691406,1997-09-03
16.436559677124023,1997-09-04
16.211339950561523,1997-09-05
16.541345596313477,1997-09-08
16.479459762573242,1997-09-09
16.00507926940918,1997-09-10
15.633828163146973,1997-09-11
15.81945514678955,1997-09-12
15.860710144042969,1997-09-15
16.273202896118164,1997-09-16
16.12883186340332,1997-09-17
16.23196029663086,1997-09-18
16.17007827758789,1997-09-19
16.520706176757812,1997-09-22
16.190717697143555,1997-09-23
15.840076446533203,1997-09-24
15.881331443786621,1997-09-25
15.778210639953613,1997-09-26
15.67507553100586,1997-09-29
15.798835754394531,1997-09-30
15.92258358001709,1997-10-01
16.149457931518555,1997-10-02
16.293834686279297,1997-10-03
16.355703353881836,1997-10-06
16.500083923339844,1997-10-07
16.56195831298828,1997-10-08
16.45883560180664,1997-10-09
16.00507926940918,1997-10-10
