BAC,Date
0.42751696705818176,1976-11-05
0.4168289303779602,1976-11-08
0.4168289303779602,1976-11-09
0.4168289303779602,1976-11-10
0.4168289303779602,1976-11-11
0.42217299342155457,1976-11-12
0.42217299342155457,1976-11-15
0.42751696705818176,1976-11-16
0.42751696705818176,1976-11-17
0.42751696705818176,1976-11-18
0.43286117911338806,1976-11-19
0.43820464611053467,1976-11-22
0.43820464611053467,1976-11-23
0.43820464611053467,1976-11-24
0.43820464611053467,1976-11-26
0.43820464611053467,1976-11-29
0.43286117911338806,1976-11-30
0.43820464611053467,1976-12-01
0.43820464611053467,1976-12-02
0.43820464611053467,1976-12-03
0.44354891777038574,1976-12-06
0.44354891777038574,1976-12-07
0.45423686504364014,1976-12-08
0.4702688157558441,1976-12-09
0.48095637559890747,1976-12-10
0.48095637559890747,1976-12-13
0.48095637559890747,1976-12-14
0.48095637559890747,1976-12-15
0.4702688157558441,1976-12-16
0.4702688157558441,1976-12-17
0.46492448449134827,1976-12-20
0.4702688157558441,1976-12-21
0.47561272978782654,1976-12-22
0.47561272978782654,1976-12-23
0.48095637559890747,1976-12-27
0.48630043864250183,1976-12-28
0.48630043864250183,1976-12-29
0.5023324489593506,1976-12-30
0.5183643698692322,1976-12-31
0.5237080454826355,1977-01-03
0.5237080454826355,1977-01-04
0.5290521383285522,1977-01-05
0.534396231174469,1977-01-06
0.5450838208198547,1977-01-07
0.5450838208198547,1977-01-10
0.5397403240203857,1977-01-11
0.5397403240203857,1977-01-12
0.5397403240203857,1977-01-13
0.5450838208198547,1977-01-14
0.5450838208198547,1977-01-17
0.5397403240203857,1977-01-18
0.5397403240203857,1977-01-19
0.5397403240203857,1977-01-20
0.5397403240203857,1977-01-21
0.534396231174469,1977-01-24
0.534396231174469,1977-01-25
0.5237080454826355,1977-01-26
0.5183643698692322,1977-01-27
0.48630043864250183,1977-01-28
0.48630043864250183,1977-01-31
