ATO,Date
86.47322082519531,2018-12-04
87.35073852539062,2018-12-06
87.5634536743164,2018-12-07
87.2620849609375,2018-12-10
87.30641174316406,2018-12-11
87.38618469238281,2018-12-12
88.1927719116211,2018-12-13
87.27982330322266,2018-12-14
84.70050811767578,2018-12-17
83.77869415283203,2018-12-18
84.14210510253906,2018-12-19
84.29278564453125,2018-12-20
83.72551727294922,2018-12-21
79.17847442626953,2018-12-24
79.87871551513672,2018-12-26
80.83596801757812,2018-12-27
81.24371337890625,2018-12-28
82.1832504272461,2018-12-31
79.63941192626953,2019-01-02
80.24212646484375,2019-01-03
81.2702865600586,2019-01-04
80.67642211914062,2019-01-07
81.73120880126953,2019-01-08
80.39278411865234,2019-01-09
81.91732788085938,2019-01-10
81.45643615722656,2019-01-11
80.96004486083984,2019-01-14
82.08573913574219,2019-01-15
83.6368637084961,2019-01-16
84.1952896118164,2019-01-17
84.58528137207031,2019-01-18
84.38141632080078,2019-01-22
85.23230743408203,2019-01-23
85.6843490600586,2019-01-24
84.05347442626953,2019-01-25
83.61030578613281,2019-01-28
84.0091552734375,2019-01-29
84.63845825195312,2019-01-30
86.53526306152344,2019-01-31
86.1718521118164,2019-02-01
85.48049926757812,2019-02-04
85.6045913696289,2019-02-05
84.97527313232422,2019-02-06
86.00344848632812,2019-02-07
86.83663940429688,2019-02-08
85.84391784667969,2019-02-11
84.95755004882812,2019-02-12
85.61344909667969,2019-02-13
85.0550537109375,2019-02-14
86.02117919921875,2019-02-15
86.24279022216797,2019-02-19
86.86322784423828,2019-02-20
87.86479949951172,2019-02-21
88.64450073242188,2019-02-22
87.593017578125,2019-02-25
87.57518768310547,2019-02-26
88.09203338623047,2019-02-27
88.08311462402344,2019-02-28
88.12767791748047,2019-03-01
88.99203491210938,2019-03-04
88.54647827148438,2019-03-05
88.65342712402344,2019-03-06
88.62667846679688,2019-03-07
89.25045776367188,2019-03-08
89.60686492919922,2019-03-11
90.35538482666016,2019-03-12
90.720703125,2019-03-13
90.4444808959961,2019-03-14
90.45337677001953,2019-03-15
90.89002990722656,2019-03-18
90.42667388916016,2019-03-19
90.36430358886719,2019-03-20
91.46922302246094,2019-03-21
91.61178588867188,2019-03-22
91.71871185302734,2019-03-25
92.42269134521484,2019-03-26
91.72763061523438,2019-03-27
91.31774139404297,2019-03-28
91.71871185302734,2019-03-29
90.95240783691406,2019-04-01
89.25936126708984,2019-04-02
90.45337677001953,2019-04-03
89.67815399169922,2019-04-04
90.47122192382812,2019-04-05
89.92765808105469,2019-04-08
89.62467956542969,2019-04-09
89.49102020263672,2019-04-10
89.72271728515625,2019-04-11
90.16825866699219,2019-04-12
90.09696197509766,2019-04-15
89.25936126708984,2019-04-16
88.60885620117188,2019-04-17
88.37718963623047,2019-04-18
88.27915954589844,2019-04-22
88.72470092773438,2019-04-23
89.18806457519531,2019-04-24
89.98110961914062,2019-04-25
89.98110961914062,2019-04-26
89.53559112548828,2019-04-29
91.1929702758789,2019-04-30
90.881103515625,2019-05-01
90.96131896972656,2019-05-02
91.72763061523438,2019-05-03
91.8345718383789,2019-05-06
91.094970703125,2019-05-07
89.76727294921875,2019-05-08
89.73160552978516,2019-05-09
90.81873321533203,2019-05-10
91.33556365966797,2019-05-13
90.39102172851562,2019-05-14
89.76727294921875,2019-05-15
90.578125,2019-05-16
91.47813415527344,2019-05-17
91.64743041992188,2019-05-20
90.94347381591797,2019-05-21
91.68307495117188,2019-05-22
92.10187530517578,2019-05-23
92.07948303222656,2019-05-24
90.91516876220703,2019-05-28
90.2255630493164,2019-05-29
90.135986328125,2019-05-30
91.17489624023438,2019-05-31
92.13324737548828,2019-06-03
90.95100402832031,2019-06-04
93.00198364257812,2019-06-05
93.34233856201172,2019-06-06
93.33335876464844,2019-06-07
92.35713958740234,2019-06-10
91.9093246459961,2019-06-11
93.44084930419922,2019-06-12
93.62894439697266,2019-06-13
94.03195190429688,2019-06-14
93.81700134277344,2019-06-17
93.75433349609375,2019-06-18
94.64994049072266,2019-06-19
94.84697723388672,2019-06-20
96.24417877197266,2019-06-21
95.85009002685547,2019-06-24
96.66510772705078,2019-06-25
93.21694946289062,2019-06-26
93.88866424560547,2019-06-27
94.54248046875,2019-06-28
94.28272247314453,2019-07-01
95.4201889038086,2019-07-02
96.1187973022461,2019-07-03
95.93069458007812,2019-07-05
95.66199493408203,2019-07-08
95.81427001953125,2019-07-09
95.66199493408203,2019-07-10
95.83216857910156,2019-07-11
95.34855651855469,2019-07-12
96.06503295898438,2019-07-15
95.92173767089844,2019-07-16
96.65615844726562,2019-07-17
97.09501647949219,2019-07-18
96.0739974975586,2019-07-19
96.22624969482422,2019-07-22
96.39642333984375,2019-07-23
96.4053955078125,2019-07-24
95.93069458007812,2019-07-25
96.84423828125,2019-07-26
97.50699615478516,2019-07-29
97.50699615478516,2019-07-30
97.65925598144531,2019-07-31
98.55487823486328,2019-08-01
98.18768310546875,2019-08-02
95.7784423828125,2019-08-05
97.04125213623047,2019-08-06
96.66510772705078,2019-08-07
98.00855255126953,2019-08-08
97.2293472290039,2019-08-09
97.5517807006836,2019-08-12
97.70404815673828,2019-08-13
96.99650573730469,2019-08-14
97.95481872558594,2019-08-15
98.91313934326172,2019-08-16
99.30720520019531,2019-08-19
98.70714569091797,2019-08-20
99.48633575439453,2019-08-21
99.59381103515625,2019-08-22
97.75357818603516,2019-08-23
98.31149291992188,2019-08-26
97.22262573242188,2019-08-27
97.43860626220703,2019-08-28
98.96841430664062,2019-08-29
99.19337463378906,2019-08-30
100.57917022705078,2019-09-03
99.85028839111328,2019-09-04
98.69844055175781,2019-09-05
98.16751098632812,2019-09-06
96.9526596069336,2019-09-09
97.90655517578125,2019-09-10
98.59944915771484,2019-09-11
98.48246002197266,2019-09-12
98.74341583251953,2019-09-13
99.08538818359375,2019-09-16
99.85028839111328,2019-09-17
100.606201171875,2019-09-18
101.03812408447266,2019-09-19
101.66802215576172,2019-09-20
101.31707763671875,2019-09-23
