PLD,Date
28.256710052490234,2013-08-07
28.011972427368164,2013-08-08
28.41245460510254,2013-08-09
27.945213317871094,2013-08-12
27.544727325439453,2013-08-13
27.418651580810547,2013-08-14
26.817922592163086,2013-08-15
26.01694107055664,2013-08-16
25.79444694519043,2013-08-19
26.18752670288086,2013-08-20
26.27651023864746,2013-08-21
26.269092559814453,2013-08-22
26.758590698242188,2013-08-23
26.6176700592041,2013-08-26
26.565763473510742,2013-08-27
26.44709587097168,2013-08-28
26.35809898376465,2013-08-29
26.13560676574707,2013-08-30
26.180099487304688,2013-09-03
26.395185470581055,2013-09-04
26.461929321289062,2013-09-05
27.107158660888672,2013-09-06
27.87847328186035,2013-09-09
27.655977249145508,2013-09-10
27.759807586669922,2013-09-11
27.692554473876953,2013-09-12
27.625308990478516,2013-09-13
27.886837005615234,2013-09-16
28.058704376220703,2013-09-17
29.261751174926758,2013-09-18
29.05999755859375,2013-09-19
28.46221351623535,2013-09-20
28.507049560546875,2013-09-23
28.28287124633789,2013-09-24
28.38748550415039,2013-09-25
28.768571853637695,2013-09-26
28.61913299560547,2013-09-27
28.110998153686523,2013-09-30
28.596712112426758,2013-10-01
28.95538902282715,2013-10-02
28.559350967407227,2013-10-03
28.469680786132812,2013-10-04
28.20068359375,2013-10-07
28.028812408447266,2013-10-08
27.954092025756836,2013-10-09
28.8283634185791,2013-10-10
29.2169189453125,2013-10-11
29.119781494140625,2013-10-14
29.1496639251709,2013-10-15
29.874483108520508,2013-10-16
29.919322967529297,2013-10-17
29.754924774169922,2013-10-18
29.81470489501953,2013-10-21
30.397563934326172,2013-10-22
29.986572265625,2013-10-23
30.203269958496094,2013-10-24
30.576881408691406,2013-10-25
30.330307006835938,2013-10-28
30.21820640563965,2013-10-29
29.919322967529297,2013-10-30
29.852062225341797,2013-10-31
30.31535530090332,2013-11-01
30.5469970703125,2013-11-04
29.822185516357422,2013-11-05
29.80722999572754,2013-11-06
29.321531295776367,2013-11-07
29.104839324951172,2013-11-08
29.157135009765625,2013-11-11
28.820880889892578,2013-11-12
28.97779655456543,2013-11-13
29.134721755981445,2013-11-14
29.276697158813477,2013-11-15
29.08240509033203,2013-11-18
28.85824966430664,2013-11-19
28.46221351623535,2013-11-20
28.783523559570312,2013-11-21
28.72374725341797,2013-11-22
28.663957595825195,2013-11-25
28.439796447753906,2013-11-26
28.761096954345703,2013-11-27
28.34265899658203,2013-11-29
28.0960636138916,2013-12-02
27.983983993530273,2013-12-03
27.864423751831055,2013-12-04
27.812122344970703,2013-12-05
28.275388717651367,2013-12-06
28.34265899658203,2013-12-09
28.22309684753418,2013-12-10
27.266630172729492,2013-12-11
27.326414108276367,2013-12-12
