MA,Date
30.136943817138672,2011-08-04
30.505020141601562,2011-08-05
27.274587631225586,2011-08-08
30.156564712524414,2011-08-09
28.372264862060547,2011-08-10
30.58442497253418,2011-08-11
30.647953033447266,2011-08-12
31.295347213745117,2011-08-15
31.295347213745117,2011-08-16
30.475120544433594,2011-08-17
28.484365463256836,2011-08-18
28.040626525878906,2011-08-19
28.586198806762695,2011-08-22
30.117334365844727,2011-08-23
30.379838943481445,2011-08-24
30.161235809326172,2011-08-25
30.391983032226562,2011-08-26
30.582563400268555,2011-08-29
30.803022384643555,2011-08-30
30.80113983154297,2011-08-31
30.833845138549805,2011-09-01
29.957578659057617,2011-09-02
30.17430877685547,2011-09-06
31.678354263305664,2011-09-07
31.56719398498535,2011-09-08
30.082761764526367,2011-09-09
30.08463478088379,2011-09-12
30.721744537353516,2011-09-13
31.50366973876953,2011-09-14
32.50419235229492,2011-09-15
32.411712646484375,2011-09-16
32.507904052734375,2011-09-19
33.049747467041016,2011-09-20
31.853052139282227,2011-09-21
30.91792869567871,2011-09-22
31.484981536865234,2011-09-23
31.239276885986328,2011-09-26
31.58586883544922,2011-09-27
30.811429977416992,2011-09-28
30.675979614257812,2011-09-29
29.62873649597168,2011-09-30
29.042072296142578,2011-10-03
28.74126434326172,2011-10-04
29.285234451293945,2011-10-05
29.559085845947266,2011-10-06
29.110458374023438,2011-10-07
30.451669692993164,2011-10-10
30.797494888305664,2011-10-11
30.655427932739258,2011-10-12
31.403133392333984,2011-10-13
31.92560386657715,2011-10-14
31.321826934814453,2011-10-17
31.767648696899414,2011-10-18
30.26099395751953,2011-10-19
30.439516067504883,2011-10-20
31.16107177734375,2011-10-21
31.84242057800293,2011-10-24
30.61056137084961,2011-10-25
30.75542640686035,2011-10-26
32.63313293457031,2011-10-27
33.140647888183594,2011-10-28
32.45461654663086,2011-10-31
31.245174407958984,2011-11-01
33.42851638793945,2011-11-02
34.26315689086914,2011-11-03
33.655616760253906,2011-11-04
34.1995964050293,2011-11-07
34.40148162841797,2011-11-08
33.407958984375,2011-11-09
33.65751647949219,2011-11-10
34.59587860107422,2011-11-11
34.32670974731445,2011-11-14
34.7061653137207,2011-11-15
33.74068069458008,2011-11-16
33.5901985168457,2011-11-17
33.68647384643555,2011-11-18
32.88080978393555,2011-11-21
33.137855529785156,2011-11-22
32.43684768676758,2011-11-23
32.35741424560547,2011-11-25
33.577125549316406,2011-11-28
33.43037796020508,2011-11-29
35.007110595703125,2011-11-30
35.606239318847656,2011-12-01
35.36510467529297,2011-12-02
34.84730911254883,2011-12-05
34.70336151123047,2011-12-06
34.988433837890625,2011-12-07
34.51738357543945,2011-12-08
35.27537155151367,2011-12-09
34.70149612426758,2011-12-12
34.48279571533203,2011-12-13
33.751888275146484,2011-12-14
33.57338333129883,2011-12-15
33.84910583496094,2011-12-16
33.52944564819336,2011-12-19
34.94731903076172,2011-12-20
34.97254943847656,2011-12-21
34.698699951171875,2011-12-22
35.34359359741211,2011-12-23
35.02581787109375,2011-12-27
34.935157775878906,2011-12-28
35.35480880737305,2011-12-29
34.845436096191406,2011-12-30
34.42952346801758,2012-01-03
33.29673767089844,2012-01-04
32.951698303222656,2012-01-05
32.06435012817383,2012-01-06
32.335506439208984,2012-01-09
32.61695098876953,2012-01-10
31.92877197265625,2012-01-11
32.099857330322266,2012-01-12
31.705303192138672,2012-01-13
32.34952163696289,2012-01-17
32.94888687133789,2012-01-18
32.99750900268555,2012-01-19
31.853031158447266,2012-01-20
31.703413009643555,2012-01-23
32.04190444946289,2012-01-24
32.61133575439453,2012-01-25
32.52345275878906,2012-01-26
32.61320877075195,2012-01-27
32.910545349121094,2012-01-30
33.24716567993164,2012-01-31
33.4388427734375,2012-02-01
35.67826843261719,2012-02-02
36.496421813964844,2012-02-03
36.58899688720703,2012-02-06
36.73862075805664,2012-02-07
36.92560577392578,2012-02-08
37.0649299621582,2012-02-09
37.04061508178711,2012-02-10
37.088314056396484,2012-02-13
36.9854736328125,2012-02-14
36.743282318115234,2012-02-15
36.76105499267578,2012-02-16
37.027530670166016,2012-02-17
37.35947036743164,2012-02-21
38.040184020996094,2012-02-22
37.9719123840332,2012-02-23
38.861141204833984,2012-02-24
39.402530670166016,2012-02-27
39.642826080322266,2012-02-28
39.27162551879883,2012-02-29
39.311832427978516,2012-03-01
38.596519470214844,2012-03-02
39.04909133911133,2012-03-05
38.181365966796875,2012-03-06
38.4992790222168,2012-03-07
39.015419006347656,2012-03-08
39.22676086425781,2012-03-09
39.258544921875,2012-03-12
39.57270431518555,2012-03-13
39.40438461303711,2012-03-14
39.229549407958984,2012-03-15
39.28751754760742,2012-03-16
39.74756622314453,2012-03-19
39.17625045776367,2012-03-20
39.07899856567383,2012-03-21
38.97615051269531,2012-03-22
39.64657974243164,2012-03-23
40.737762451171875,2012-03-26
40.26836395263672,2012-03-27
39.97477722167969,2012-03-28
40.04022979736328,2012-03-29
39.32212448120117,2012-03-30
40.39834976196289,2012-04-02
40.956546783447266,2012-04-03
40.32217788696289,2012-04-04
41.1558723449707,2012-04-05
41.103458404541016,2012-04-09
39.741119384765625,2012-04-10
40.23797607421875,2012-04-11
40.60661697387695,2012-04-12
41.21294021606445,2012-04-13
40.48310089111328,2012-04-16
41.02299118041992,2012-04-17
40.86112976074219,2012-04-18
40.87234878540039,2012-04-19
41.2110595703125,2012-04-20
40.258548736572266,2012-04-23
40.262298583984375,2012-04-24
41.64336395263672,2012-04-25
42.47797393798828,2012-04-26
42.81482696533203,2012-04-27
42.3179817199707,2012-04-30
42.657630920410156,2012-05-01
42.241249084472656,2012-05-02
41.397274017333984,2012-05-03
41.14089584350586,2012-05-04
40.806854248046875,2012-05-07
40.38766860961914,2012-05-08
39.5633430480957,2012-05-09
39.57737731933594,2012-05-10
39.52309799194336,2012-05-11
38.7783088684082,2012-05-14
38.78109359741211,2012-05-15
38.303916931152344,2012-05-16
37.2943115234375,2012-05-17
36.91817092895508,2012-05-18
38.41712951660156,2012-05-21
38.68473815917969,2012-05-22
39.02625274658203,2012-05-23
39.28264617919922,2012-05-24
38.73339080810547,2012-05-25
38.92893981933594,2012-05-29
38.51070785522461,2012-05-30
38.03631591796875,2012-05-31
36.658042907714844,2012-06-01
37.451515197753906,2012-06-04
38.194435119628906,2012-06-05
39.296669006347656,2012-06-06
38.89712142944336,2012-06-07
38.975730895996094,2012-06-08
38.72216033935547,2012-06-11
39.088008880615234,2012-06-12
38.33945846557617,2012-06-13
39.209651947021484,2012-06-14
39.924495697021484,2012-06-15
39.82439041137695,2012-06-18
40.00684356689453,2012-06-19
40.12286376953125,2012-06-20
39.408016204833984,2012-06-21
40.70954513549805,2012-06-22
40.09574508666992,2012-06-25
40.44193649291992,2012-06-26
40.41387939453125,2012-06-27
39.42018508911133,2012-06-28
40.24452209472656,2012-06-29
41.16054916381836,2012-07-02
41.33551025390625,2012-07-03
41.57707214355469,2012-07-05
41.350494384765625,2012-07-06
40.38047790527344,2012-07-09
39.34865951538086,2012-07-10
39.31494903564453,2012-07-11
39.72317123413086,2012-07-12
40.22410202026367,2012-07-13
40.90667724609375,2012-07-16
40.79337692260742,2012-07-17
40.90012741088867,2012-07-18
40.06867218017578,2012-07-19
39.62017822265625,2012-07-20
38.94884490966797,2012-07-23
38.37862777709961,2012-07-24
38.60708999633789,2012-07-25
39.6782341003418,2012-07-26
40.893558502197266,2012-07-27
41.30556869506836,2012-07-30
40.8767204284668,2012-07-31
39.99939727783203,2012-08-01
39.646392822265625,2012-08-02
39.711952209472656,2012-08-03
39.31120300292969,2012-08-06
38.98816680908203,2012-08-07
39.74190139770508,2012-08-08
39.88141632080078,2012-08-09
39.88984680175781,2012-08-10
39.852378845214844,2012-08-13
40.081787109375,2012-08-14
39.98908996582031,2012-08-15
40.12299728393555,2012-08-16
39.962867736816406,2012-08-17
39.99939727783203,2012-08-20
39.63516616821289,2012-08-21
39.43760681152344,2012-08-22
39.168880462646484,2012-08-23
39.55463790893555,2012-08-24
39.645477294921875,2012-08-27
39.755950927734375,2012-08-28
39.870182037353516,2012-08-29
39.41420364379883,2012-08-30
39.59678649902344,2012-08-31
39.7353401184082,2012-09-04
39.52185821533203,2012-09-05
40.50499725341797,2012-09-06
40.842071533203125,2012-09-07
40.96287155151367,2012-09-10
41.46658706665039,2012-09-11
41.79804992675781,2012-09-12
42.6266975402832,2012-09-13
42.525577545166016,2012-09-14
42.46189880371094,2012-09-17
42.413204193115234,2012-09-18
42.31114196777344,2012-09-19
42.525577545166016,2012-09-20
43.02556228637695,2012-09-21
42.62949752807617,2012-09-24
42.27650833129883,2012-09-25
41.744686126708984,2012-09-26
42.337371826171875,2012-09-27
42.27277374267578,2012-09-28
