SBAC,Date
7.513789653778076,2001-11-12
8.488859176635742,2001-11-13
9.722038269042969,2001-11-14
9.37789535522461,2001-11-15
10.190455436706543,2001-11-16
11.089051246643066,2001-11-19
10.639754295349121,2001-11-20
10.324288368225098,2001-11-21
10.706670761108398,2001-11-23
11.184648513793945,2001-11-26
12.417825698852539,2001-11-27
11.863372802734375,2001-11-28
11.232441902160645,2001-11-29
11.308919906616211,2001-11-30
10.6588716506958,2001-12-03
10.735347747802734,2001-12-04
11.758219718933105,2001-12-05
11.949408531188965,2001-12-06
11.997203826904297,2001-12-07
11.012575149536133,2001-12-10
10.773587226867676,2001-12-11
10.591955184936523,2001-12-12
10.26693058013916,2001-12-13
10.171337127685547,2001-12-14
10.02794361114502,2001-12-17
11.50967025756836,2001-12-18
11.729540824890137,2001-12-19
12.226634979248047,2001-12-20
12.618575096130371,2001-12-21
11.997203826904297,2001-12-24
11.882493019104004,2001-12-26
12.293550491333008,2001-12-27
12.522980690002441,2001-12-28
12.446503639221191,2001-12-31
13.096550941467285,2002-01-02
12.609014511108398,2002-01-03
12.370026588439941,2002-01-04
12.685494422912598,2002-01-07
12.561219215393066,2002-01-08
12.370026588439941,2002-01-09
12.006765365600586,2002-01-10
11.232441902160645,2002-01-11
10.639754295349121,2002-01-14
10.505919456481934,2002-01-15
9.549967765808105,2002-01-16
8.909479141235352,2002-01-17
8.651372909545898,2002-01-18
7.6189422607421875,2002-01-22
7.284360408782959,2002-01-23
8.278550148010254,2002-01-24
7.8101348876953125,2002-01-25
7.628503799438477,2002-01-28
7.016692638397217,2002-01-29
6.844621658325195,2002-01-30
6.643869876861572,2002-01-31
6.223251819610596,2002-02-01
5.735715866088867,2002-02-04
5.076108455657959,2002-02-05
4.703286170959473,2002-02-06
4.990071773529053,2002-02-07
4.588572978973389,2002-02-08
4.6363701820373535,2002-02-11
4.990071773529053,2002-02-12
4.837121963500977,2002-02-13
4.579013347625732,2002-02-14
4.215751647949219,2002-02-15
3.661298990249634,2002-02-19
3.4127509593963623,2002-02-20
3.345834255218506,2002-02-21
2.925215482711792,2002-02-22
1.8927865028381348,2002-02-25
2.007500171661377,2002-02-26
2.131774663925171,2002-02-27
2.2942864894866943,2002-02-28
2.4854767322540283,2002-03-01
2.5332748889923096,2002-03-04
2.504595994949341,2002-03-05
3.212000846862793,2002-03-06
4.6746087074279785,2002-03-07
5.13346529006958,2002-03-08
5.085668563842773,2002-03-11
4.6746087074279785,2002-03-12
4.397381782531738,2002-03-13
4.292227268218994,2002-03-14
3.948085069656372,2002-03-15
3.9672038555145264,2002-03-18
3.8716084957122803,2002-03-19
3.670858860015869,2002-03-20
3.345834255218506,2002-03-21
3.5561444759368896,2002-03-22
3.441429853439331,2002-03-25
3.3171558380126953,2002-03-26
3.221560478210449,2002-03-27
3.1450841426849365,2002-03-28
3.1068460941314697,2002-04-01
2.8678579330444336,2002-04-02
2.6384294033050537,2002-04-03
2.4472386837005615,2002-04-04
2.839179039001465,2002-04-05
2.5906317234039307,2002-04-08
2.695786952972412,2002-04-09
2.4376797676086426,2002-04-10
2.3038458824157715,2002-04-11
2.3898813724517822,2002-04-12
2.332524061203003,2002-04-15
2.839179039001465,2002-04-16
3.0494892597198486,2002-04-17
3.020810127258301,2002-04-18
3.0112507343292236,2002-04-19
2.6384294033050537,2002-04-22
2.8678579330444336,2002-04-23
3.030369997024536,2002-04-24
3.1068460941314697,2002-04-25
2.9634530544281006,2002-04-26
2.7244648933410645,2002-04-29
2.753143787384033,2002-04-30
2.743584156036377,2002-05-01
2.6766676902770996,2002-05-02
2.3134055137634277,2002-05-03
2.4854767322540283,2002-05-06
2.246488571166992,2002-05-07
2.36120343208313,2002-05-08
2.170013427734375,2002-05-09
1.9501434564590454,2002-05-10
2.045738697052002,2002-05-13
1.959702968597412,2002-05-14
1.9501434564590454,2002-05-15
1.959702968597412,2002-05-16
1.9501434564590454,2002-05-17
1.9119055271148682,2002-05-20
1.959702968597412,2002-05-21
1.959702968597412,2002-05-22
1.9979416131973267,2002-05-23
1.902345895767212,2002-05-24
1.7207149267196655,2002-05-28
1.6060004234313965,2002-05-29
1.4339289665222168,2002-05-30
1.4052503108978271,2002-05-31
1.2809765338897705,2002-06-03
1.3287742137908936,2002-06-04
1.3096550703048706,2002-06-05
1.1949406862258911,2002-06-06
1.2427383661270142,2002-06-07
1.0993454456329346,2002-06-10
1.1662620306015015,2002-06-11
1.1471432447433472,2002-06-12
1.1471432447433472,2002-06-13
1.1280239820480347,2002-06-14
1.4912863969802856,2002-06-17
1.6251195669174194,2002-06-18
1.7207149267196655,2002-06-19
1.8163102865219116,2002-06-20
1.7971911430358887,2002-06-21
1.7589528560638428,2002-06-24
1.6633576154708862,2002-06-25
1.4339289665222168,2002-06-26
1.4052503108978271,2002-06-27
1.347893476486206,2002-06-28
1.4052503108978271,2002-07-01
1.2236193418502808,2002-07-02
1.2809765338897705,2002-07-03
1.3861314058303833,2002-07-05
1.261857509613037,2002-07-08
1.2331788539886475,2002-07-09
1.1471432447433472,2002-07-10
1.0993454456329346,2002-07-11
1.1280239820480347,2002-07-12
1.1089049577713013,2002-07-15
1.39569091796875,2002-07-16
1.672917127609253,2002-07-17
1.5773218870162964,2002-07-18
1.6155600547790527,2002-07-19
1.6920362710952759,2002-07-22
1.6251195669174194,2002-07-23
1.6537981033325195,2002-07-24
1.6346791982650757,2002-07-25
1.5486432313919067,2002-07-26
1.5868817567825317,2002-07-29
1.672917127609253,2002-07-30
1.6633576154708862,2002-07-31
1.5390838384628296,2002-08-01
1.3670122623443604,2002-08-02
1.3765718936920166,2002-08-05
1.2809765338897705,2002-08-06
1.1949406862258911,2002-08-07
1.2714171409606934,2002-08-08
1.2140599489212036,2002-08-09
1.2427383661270142,2002-08-12
1.4339289665222168,2002-08-13
1.4148097038269043,2002-08-14
1.3861314058303833,2002-08-15
1.7685126066207886,2002-08-16
1.7589528560638428,2002-08-19
1.7207149267196655,2002-08-20
1.6155600547790527,2002-08-21
1.7207149267196655,2002-08-22
1.6155600547790527,2002-08-23
1.6155600547790527,2002-08-26
1.4912863969802856,2002-08-27
1.3574528694152832,2002-08-28
1.2522979974746704,2002-08-29
1.3670122623443604,2002-08-30
1.3287742137908936,2002-09-03
1.3861314058303833,2002-09-04
1.3383338451385498,2002-09-05
1.39569091796875,2002-09-06
1.424369215965271,2002-09-09
1.3861314058303833,2002-09-10
1.39569091796875,2002-09-11
1.3765718936920166,2002-09-12
1.4052503108978271,2002-09-13
1.347893476486206,2002-09-16
1.2809765338897705,2002-09-17
1.2522979974746704,2002-09-18
1.137583613395691,2002-09-19
1.1758215427398682,2002-09-20
1.1471432447433472,2002-09-23
1.1471432447433472,2002-09-24
1.1567027568817139,2002-09-25
1.1280239820480347,2002-09-26
1.0993454456329346,2002-09-27
1.0419883728027344,2002-09-30
0.8794764280319214,2002-10-01
0.7360835671424866,2002-10-02
0.7647621035575867,2002-10-03
0.39194053411483765,2002-10-04
0.3059048354625702,2002-10-07
0.2581072151660919,2002-10-08
0.21986910700798035,2002-10-09
0.2772262394428253,2002-10-10
0.21030960977077484,2002-10-11
0.19119052588939667,2002-10-14
0.21986910700798035,2002-10-15
0.20075005292892456,2002-10-16
