HRL,Date
0.1444481909275055,1981-07-23
0.1444481909275055,1981-07-24
0.14733710885047913,1981-07-27
0.14637401700019836,1981-07-28
0.1444481909275055,1981-07-29
0.14348527789115906,1981-07-30
0.14252237975597382,1981-07-31
0.14252237975597382,1981-08-03
0.1444481909275055,1981-08-04
0.1454111486673355,1981-08-05
0.14348527789115906,1981-08-06
0.14348527789115906,1981-08-07
0.14252237975597382,1981-08-10
0.14252237975597382,1981-08-11
0.14252237975597382,1981-08-12
0.14252237975597382,1981-08-13
0.1386701911687851,1981-08-14
0.1319292187690735,1981-08-17
0.1309661865234375,1981-08-18
0.13000334799289703,1981-08-19
0.13000334799289703,1981-08-20
0.13000334799289703,1981-08-21
0.1309661865234375,1981-08-24
0.12904046475887299,1981-08-25
0.12904046475887299,1981-08-26
0.1261511743068695,1981-08-27
0.1261511743068695,1981-08-28
0.12904046475887299,1981-08-31
0.12904046475887299,1981-09-01
0.12807752192020416,1981-09-02
0.12807752192020416,1981-09-03
0.1261511743068695,1981-09-04
0.1261511743068695,1981-09-08
0.1251881718635559,1981-09-09
0.12422534078359604,1981-09-10
0.12422534078359604,1981-09-11
0.12422534078359604,1981-09-14
0.12422534078359604,1981-09-15
0.12326241284608841,1981-09-16
0.12037362903356552,1981-09-17
0.12037362903356552,1981-09-18
0.11941071599721909,1981-09-21
0.11748433858156204,1981-09-22
0.11652136594057083,1981-09-23
0.11844730377197266,1981-09-24
0.11748433858156204,1981-09-25
0.1126696988940239,1981-09-28
0.11555852741003036,1981-09-29
0.11748433858156204,1981-09-30
0.11844730377197266,1981-10-01
0.11748433858156204,1981-10-02
0.11844730377197266,1981-10-05
0.12037362903356552,1981-10-06
0.12133659422397614,1981-10-07
0.12133659422397614,1981-10-08
0.122299425303936,1981-10-09
0.12133659422397614,1981-10-12
0.12133659422397614,1981-10-13
0.11941071599721909,1981-10-14
0.12133659422397614,1981-10-15
0.12133659422397614,1981-10-16
0.11941071599721909,1981-10-19
0.11941071599721909,1981-10-20
0.11652136594057083,1981-10-21
0.11459551751613617,1981-10-22
0.11363263428211212,1981-10-23
0.11459551751613617,1981-10-26
0.11459551751613617,1981-10-27
0.11555852741003036,1981-10-28
0.11748433858156204,1981-10-29
0.12133659422397614,1981-10-30
0.12133659422397614,1981-11-02
0.12037362903356552,1981-11-03
0.122299425303936,1981-11-04
0.122299425303936,1981-11-05
0.122299425303936,1981-11-06
0.1261511743068695,1981-11-09
0.12422534078359604,1981-11-10
0.12422534078359604,1981-11-11
0.1251881718635559,1981-11-12
0.1261511743068695,1981-11-13
0.12326241284608841,1981-11-16
0.1251881718635559,1981-11-17
0.1261511743068695,1981-11-18
0.1261511743068695,1981-11-19
0.1271146535873413,1981-11-20
0.12904046475887299,1981-11-23
0.1271146535873413,1981-11-24
0.12904046475887299,1981-11-25
0.13000334799289703,1981-11-27
0.1309661865234375,1981-11-30
0.12807752192020416,1981-12-01
0.13385504484176636,1981-12-02
0.1328921765089035,1981-12-03
0.14059601724147797,1981-12-04
0.14252237975597382,1981-12-07
0.14252237975597382,1981-12-08
0.1454111486673355,1981-12-09
0.1482999324798584,1981-12-10
0.1482999324798584,1981-12-11
0.1444481909275055,1981-12-14
0.1415589302778244,1981-12-15
0.14059601724147797,1981-12-16
0.14059601724147797,1981-12-17
0.1415589302778244,1981-12-18
0.13963311910629272,1981-12-21
0.1357814222574234,1981-12-22
0.1386701911687851,1981-12-23
0.1386701911687851,1981-12-24
0.13481852412223816,1981-12-28
0.13674437999725342,1981-12-29
0.13963311910629272,1981-12-30
0.14059601724147797,1981-12-31
0.14059601724147797,1982-01-04
0.14059601724147797,1982-01-05
0.13963311910629272,1982-01-06
0.13963311910629272,1982-01-07
0.13770729303359985,1982-01-08
0.13770729303359985,1982-01-11
0.13770729303359985,1982-01-12
0.13674437999725342,1982-01-13
0.13674437999725342,1982-01-14
0.13674437999725342,1982-01-15
0.13481852412223816,1982-01-18
0.1319292187690735,1982-01-19
0.1328921765089035,1982-01-20
0.13385504484176636,1982-01-21
0.13385504484176636,1982-01-22
0.1328921765089035,1982-01-25
0.1309661865234375,1982-01-26
0.1328921765089035,1982-01-27
0.1328921765089035,1982-01-28
0.13674437999725342,1982-01-29
0.1309661865234375,1982-02-01
0.13385504484176636,1982-02-02
0.1328921765089035,1982-02-03
0.13385504484176636,1982-02-04
0.1328921765089035,1982-02-05
