HWM,Date
29.50006675720215,2018-01-29
29.168603897094727,2018-01-30
29.305084228515625,2018-01-31
29.412540435791016,2018-02-01
28.43570327758789,2018-02-02
25.90569496154785,2018-02-05
24.694421768188477,2018-02-06
24.51859474182129,2018-02-07
23.88364601135254,2018-02-08
24.088783264160156,2018-02-09
24.26461410522461,2018-02-12
24.206005096435547,2018-02-13
24.889787673950195,2018-02-14
24.635807037353516,2018-02-15
24.772567749023438,2018-02-16
24.28415298461914,2018-02-20
24.088783264160156,2018-02-21
23.971561431884766,2018-02-22
24.547895431518555,2018-02-23
24.547895431518555,2018-02-26
24.166927337646484,2018-02-27
23.825037002563477,2018-02-28
23.463607788085938,2018-03-01
23.356155395507812,2018-03-02
23.76642608642578,2018-03-05
23.981327056884766,2018-03-06
24.04970932006836,2018-03-07
24.22553825378418,2018-03-08
24.606508255004883,2018-03-09
24.352529525756836,2018-03-12
24.37206268310547,2018-03-13
23.502676010131836,2018-03-14
23.678503036499023,2018-03-15
23.991098403930664,2018-03-16
23.473379135131836,2018-03-19
23.531986236572266,2018-03-20
23.60036849975586,2018-03-21
22.154645919799805,2018-03-22
22.223020553588867,2018-03-23
22.838428497314453,2018-03-26
22.516075134277344,2018-03-27
22.17418670654297,2018-03-28
22.506309509277344,2018-03-29
21.568546295166016,2018-04-02
21.832292556762695,2018-04-03
22.105802536010742,2018-04-04
22.545377731323242,2018-04-05
22.01788902282715,2018-04-06
22.242565155029297,2018-04-09
22.496540069580078,2018-04-10
22.428157806396484,2018-04-11
22.93610954284668,2018-04-12
22.69190216064453,2018-04-13
23.01426124572754,2018-04-16
23.19986343383789,2018-04-17
23.131479263305664,2018-04-18
22.984956741333008,2018-04-19
22.721208572387695,2018-04-20
21.539236068725586,2018-04-23
21.470861434936523,2018-04-24
21.636926651000977,2018-04-25
21.724836349487305,2018-04-26
21.920207977294922,2018-04-27
17.3974552154541,2018-04-30
17.270465850830078,2018-05-01
16.96764373779297,2018-05-02
16.59516143798828,2018-05-03
16.879423141479492,2018-05-04
17.21269989013672,2018-05-07
17.447954177856445,2018-05-08
17.66360092163086,2018-05-09
17.781230926513672,2018-05-10
17.85964584350586,2018-05-11
17.95766830444336,2018-05-14
17.624391555786133,2018-05-15
17.6538028717041,2018-05-16
17.791030883789062,2018-05-17
17.722415924072266,2018-05-18
18.07529640197754,2018-05-21
18.20272445678711,2018-05-22
18.271339416503906,2018-05-23
18.114503860473633,2018-05-24
18.065494537353516,2018-05-25
17.57538414001465,2018-05-29
17.76162338256836,2018-05-30
17.300920486450195,2018-05-31
17.398942947387695,2018-06-01
17.389135360717773,2018-06-04
17.369537353515625,2018-06-05
17.57538414001465,2018-06-06
17.594985961914062,2018-06-07
17.585186004638672,2018-06-08
17.800832748413086,2018-06-11
17.643997192382812,2018-06-12
17.614591598510742,2018-06-13
17.643997192382812,2018-06-14
17.18329620361328,2018-06-15
17.291114807128906,2018-06-18
17.055864334106445,2018-06-19
16.977445602416992,2018-06-20
16.62456512451172,2018-06-21
16.70298194885254,2018-06-22
16.536346435546875,2018-06-25
16.69318199157715,2018-06-26
16.62456512451172,2018-06-27
16.653974533081055,2018-06-28
16.67357635498047,2018-06-29
16.52654266357422,2018-07-02
16.56575584411621,2018-07-03
16.732391357421875,2018-07-05
16.889225006103516,2018-07-06
17.438152313232422,2018-07-09
17.389135360717773,2018-07-10
16.751996994018555,2018-07-11
16.95784568786621,2018-07-12
