MCIC,Date
688704.5625,2001-04-19
516530.3125,2001-04-20
516530.3125,2001-04-23
516530.3125,2001-04-24
516530.3125,2001-04-25
430439.40625,2001-04-26
430439.40625,2001-04-27
430439.40625,2001-04-30
430439.40625,2001-05-01
344356.0625,2001-05-02
344356.0625,2001-05-03
258265.15625,2001-05-04
258265.15625,2001-05-07
258265.15625,2001-05-08
258265.15625,2001-05-09
258265.15625,2001-05-10
430439.40625,2001-05-11
344356.0625,2001-05-14
344356.0625,2001-05-15
344356.0625,2001-05-16
344356.0625,2001-05-17
344356.0625,2001-05-18
344356.0625,2001-05-21
344356.0625,2001-05-22
344356.0625,2001-05-23
344356.0625,2001-05-24
327136.375,2001-05-25
327136.375,2001-05-29
327136.375,2001-05-30
344356.0625,2001-05-31
344356.0625,2001-06-01
327136.375,2001-06-04
327136.375,2001-06-05
327136.375,2001-06-06
327136.375,2001-06-07
327136.375,2001-06-08
327136.375,2001-06-11
327136.375,2001-06-12
327136.375,2001-06-13
258265.15625,2001-06-14
258265.15625,2001-06-15
258265.15625,2001-06-18
258265.15625,2001-06-19
292696.96875,2001-06-20
292696.96875,2001-06-21
258265.15625,2001-06-22
258265.15625,2001-06-25
292696.96875,2001-06-26
258265.15625,2001-06-27
258265.15625,2001-06-28
258265.15625,2001-06-29
258265.15625,2001-07-02
258265.15625,2001-07-03
189393.9375,2001-07-05
189393.9375,2001-07-06
189393.9375,2001-07-09
189393.9375,2001-07-10
189393.9375,2001-07-11
189393.9375,2001-07-12
344356.0625,2001-07-13
344356.0625,2001-07-16
344356.0625,2001-07-17
344356.0625,2001-07-18
344356.0625,2001-07-19
172174.25,2001-07-20
172174.25,2001-07-23
172174.25,2001-07-24
172174.25,2001-07-25
172174.25,2001-07-26
137742.421875,2001-07-27
172174.25,2001-07-30
172174.25,2001-07-31
172174.25,2001-08-01
206613.640625,2001-08-02
137742.421875,2001-08-03
137742.421875,2001-08-06
137742.421875,2001-08-07
172174.25,2001-08-08
172174.25,2001-08-09
172174.25,2001-08-10
137742.421875,2001-08-13
103303.03125,2001-08-14
168734.84375,2001-08-15
168734.84375,2001-08-16
168734.84375,2001-08-17
223825.75,2001-08-20
223825.75,2001-08-21
103303.03125,2001-08-22
103303.03125,2001-08-23
103303.03125,2001-08-24
103303.03125,2001-08-27
103303.03125,2001-08-28
103303.03125,2001-08-29
103303.03125,2001-08-30
103303.03125,2001-08-31
103303.03125,2001-09-04
275484.84375,2001-09-05
378787.875,2001-09-06
378787.875,2001-09-07
413219.6875,2001-09-10
413219.6875,2001-09-17
378787.875,2001-09-18
275484.84375,2001-09-19
550962.125,2001-09-20
550962.125,2001-09-21
447659.09375,2001-09-24
413219.6875,2001-09-25
244492.421875,2001-09-26
244492.421875,2001-09-27
244492.421875,2001-09-28
275484.84375,2001-10-01
482090.90625,2001-10-02
309916.65625,2001-10-03
309916.65625,2001-10-04
516530.3125,2001-10-05
516530.3125,2001-10-08
585401.5,2001-10-09
516530.3125,2001-10-10
516530.3125,2001-10-11
516530.3125,2001-10-12
516530.3125,2001-10-15
516530.3125,2001-10-16
516530.3125,2001-10-17
516530.3125,2001-10-18
516530.3125,2001-10-19
516530.3125,2001-10-22
516530.3125,2001-10-23
516530.3125,2001-10-24
516530.3125,2001-10-25
516530.3125,2001-10-26
516530.3125,2001-10-29
241045.453125,2001-10-30
241045.453125,2001-10-31
